achajala	<i>ESP:</i> abecedario. <i>QUE:</i> achachha. <i>GUA:</i> achenget<s>i</s>, kuatiat<s>i</s>. 
ansa	<i>ESP:</i> abertura de la boca. <i>QUE:</i> janlla (L). <i>GUA:</i> yuru<s>i</s>p<s>i</s>. 
kamachi kamani	<i>ESP:</i> abogado. <i>QUE:</i> qillqiri. 
willk'i	<i>ESP:</i> abra. <i>QUE:</i> q'asa. <i>GUA:</i> eipea. 
jisk'aptayaña, k'utuchaña	<i>ESP:</i> abreviar. <i>QUE:</i> juch'uyyachiy, kutuyachiy. <i>GUA:</i> mboatüri. 
k'utuchaña, jisk'aptayaña	<i>ESP:</i> abreviar. <i>QUE:</i> juch'uyyachiy, kutuyachiy. <i>GUA:</i> mboatüri. 
jisk'aptayawi, k'utu	<i>ESP:</i> abreviatura. <i>QUE:</i> kutu simi. <i>GUA:</i> atüri. 
k'utu, jisk'aptayawi	<i>ESP:</i> abreviatura. <i>QUE:</i> kutu simi. <i>GUA:</i> atüri. 
qasawi	<i>ESP:</i> abril. <i>QUE:</i> ariwaki. <i>GUA:</i> ara<s>i</s>vi. 
ch'umaña	<i>ESP:</i> absorber. <i>QUE:</i> suq'uy. <i>GUA:</i> oip<s>i</s>temoata. 
jani amuykaya	<i>ESP:</i> abstracto. <i>QUE:</i> yullmi (H). <i>GUA:</i> oip<s>i</s>temoataka. 
jach'a tata, achila	<i>ESP:</i> abuelo, anciano. <i>QUE:</i> yaya, awichu, jatun tata, machula. <i>GUA:</i> tam<s>i</s>i. 
achila, jach'a tata	<i>ESP:</i> abuelo, anciano. <i>QUE:</i> yaya, awichu, jatun tata, machula. <i>GUA:</i> tam<s>i</s>i. 
q'iwjtaña, q'umiña	<i>ESP:</i> aburrido. <i>QUE:</i> majisqa. <i>GUA:</i> iaras<s>i</s> yae. 
q'umiña, q'iwjtaña	<i>ESP:</i> aburrido. <i>QUE:</i> majisqa. <i>GUA:</i> iaras<s>i</s> yae. 
waticha, chiji	<i>ESP:</i> accidente. <i>QUE:</i> ñak'ariy, waqllu, aquyra. <i>GUA:</i> susere. 
chiji, waticha	<i>ESP:</i> accidente. <i>QUE:</i> ñak'ariy, waqllu, aquyra. <i>GUA:</i> susere. 
jiyitatayiri	<i>ESP:</i> acento gramatical. <i>QUE:</i> sinchiyachina. <i>GUA:</i> puäta. 
iyawa saña	<i>ESP:</i> aceptar. <i>QUE:</i> jayñiy. <i>GUA:</i> k<s>i</s>reï. 
jak'achaña	<i>ESP:</i> acercar. <i>QUE:</i> qayllachiy, sispachiy. <i>GUA:</i> moköi. 
k'allk'u	<i>ESP:</i> ácido. <i>QUE:</i> k'allku. <i>GUA:</i> jayas<s>i</s>. 
jallk'a, q'iwasiña	<i>ESP:</i> acobardarse. <i>QUE:</i> jallk'akuy (L), llaqllakuy (L). <i>GUA:</i> kueri. 
q'iwasiña, jallk'a	<i>ESP:</i> acobardarse. <i>QUE:</i> jallk'akuy (L), llaqllakuy (L). <i>GUA:</i> kueri. 
iwxa	<i>ESP:</i> aconsejar. <i>QUE:</i> kunay (H). <i>GUA:</i> mboarakua. 
iwxayasiña	<i>ESP:</i> aconsejarse, pedir consejo. <i>QUE:</i> kunaykuchikuy (H). <i>GUA:</i> emboarakua. 
