a	vocal baja central.
achachi	<span foreground="#228B22">adjetivo y sustantivo.</span> Animal macho de edad. <span foreground="#228B22">Sinón:</span> <i>achichi.</i>
achachi	<span foreground="#228B22">adjetivo.</span> Viejo. Usado como despectivo para personas. <span foreground="#228B22">Sinón:</span> <i>achichi.</i>
achachila	Tatarabuelo. Bisabuelo. <span foreground="#228B22">Sinón:</span> <i>achilana achilapa.</i>
achachila	<span foreground="#228B22">adjetivo.</span> Antepasado.
achachila	<span foreground="#228B22">sustantivo.</span> Dioses tutelares de la región o de la nación. Sin. <i>Wak'a</i>.
achakana	<span foreground="#228B22">sustantivo.</span> Cacto pequeño comestible que crece al ras del suelo y de flores de color lila.
achakana	<span foreground="#228B22">sustantivo.</span> Variedades de la papa que tiene forma del cacto de aquel nombre.
achakay!	Interjección que expresa dolor. Ayay!
achaku	<span foreground="#228B22">sustantivo.</span> Ratón.
achaku	<span foreground="#228B22">figurado.</span> <span foreground="#228B22">adjetivo.</span> Ladrón, -na.
achala	<span foreground="#228B22">adjetivo.</span> Animal en celo, especialmente el cerdo.
achala	<span foreground="#228B22">adjetivo.</span> Lascivo, lujurioso <span foreground="#696969">(Fuente: Erasmo Tarifa Ascarrunz, Diccionario Aymara-Castellano, La Paz, 1989)</span>.
achalari	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> Zorro, -rra. <span foreground="#228B22">Sinón:</span> <i>lari, qamaqi, pampa anu, tiwula, laq'u, kukuli.</i>
achalay!	<span foreground="#228B22">No estandarizado.</span> Expresión interjectiva que denota alegría, gusto o disgusto. Qué rico. Te has antojado <span foreground="#696969">(Fuentes: Pedro Miranda, Diccionario Breve Aymara-Castellano y Castellano-Aymara, La Paz, 1970; Manuel Rigoberto Paredes, Vocabulario de la lengua aymara, La Paz, 1971)</span>.
achanqara	<span foreground="#228B22">sustantivo.</span> (<i>begonia parviflora</i>). Florcita de San Juan <span foreground="#696969">(Fuente: Ludovico Bertonio, Vocabulario de la lengua aymara, Juli, 1612, 1984)</span>.
achanqara	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">adjetivo.</span> Cauteloso, que obra con cautela <span foreground="#696969">(Fuente: Manuel de Lucca, Diccionario Aymara-Castellano y Castellano-Aymara, La Paz, 1983)</span>.
acharaña	<span foreground="#228B22">verbo intransitivo.</span> Mellar, desportillar o abrir boquete en algo.
acharaña	<span foreground="#228B22">No estandarizado.</span> Menoscabar la reputación o crédito personal <span foreground="#696969">(Fuente: Erasmo Tarifa Ascarrunz, Diccionario Aymara-Castellano, La Paz, 1989)</span>.
acharata	Patata a medio cocer. <span foreground="#228B22">Sinón:</span> <i>khallu.</i>
achawachaña	<span foreground="#228B22">figurado.</span> Hacer huir lejos a mordiscos, propio de la llama macho a otro por la hembra.
achichi waka	<span foreground="#228B22">figurado.</span> Toro. <span foreground="#228B22">Sinón:</span> <i>achachi waka.</i>
achika	<span foreground="#228B22">sustantivo.</span> Ruego. Súplica, petición. <span foreground="#228B22">Sinón:</span> <i>achikasiña.</i>
achikaniña	<span foreground="#228B22">verbo transitivo.</span> Ir a rogar. // Rogar desde el otro lado hacia aquí.
achikayaña	<span foreground="#228B22">verbo transitivo.</span> Hacer rogar.
achikraña	<span foreground="#228B22">verbo transitivo.</span> Rogar o suplicar a todos los presentes.
achikaña	<span foreground="#228B22">verbo transitivo.</span> Suplicar, rogar. Deprecar, implorar.
achikjaña	<span foreground="#228B22">verbo transitivo.</span> Conjurar. Rogar mucho.
achikkaña	<span foreground="#228B22">adjetivo.</span> Suplicar mientras tanto.
achikkaya	<span foreground="#228B22">adjetivo.</span> Suplicable. Que se puede suplicar.
achikt'aña	<span foreground="#228B22">verbo transitivo.</span> Rogar pronto.
achiku	<span foreground="#228B22">No estandarizado.</span> <span foreground="#660099">(Manco Capac)</span>. <span foreground="#228B22">sustantivo.</span> Abuelo, padre del padre o de la madre. Expresión de cariño que se emplea para con los ancianos <span foreground="#696969">(Fuente: Manuel de Lucca, Diccionario Aymara-Castellano y Castellano-Aymara, La Paz, 1983)</span>.
achila	<span foreground="#228B22">sustantivo.</span> Abuelo.
achinu	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">neologismo.</span> <span foreground="#228B22">sustantivo.</span> Corbata <span foreground="#696969">(Fuente: Centro Saphi)</span>.
achiqaña	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">verbo intransitivo.</span> Cavar, rebajar o rellenar un terreno para facilitar su uso <span foreground="#696969">(Fuente: Erasmo Tarifa Ascarrunz, Diccionario Aymara-Castellano, La Paz, 1989)</span>.
achira	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> (<i>canna paniculata R. y P.)</i>. Esta planta <i>cannácea</i> fue cultivada por los antiguos aymaras que empleaban los rizomas en la alimentación. Actualmente el cocimiento de estos rizomas se emplea contra el mal de orina <span foreground="#696969">(Fuente: Manuel de Lucca, Diccionario Aymara-Castellano y Castellano-Aymara, La Paz, 1983)</span>.
achikt'aña	<span foreground="#228B22">verbo transitivo.</span> Rogar con diligencia.
achiwa	<span foreground="#228B22">sustantivo.</span> Sombrilla, quitasol.
achiwa	<span foreground="#228B22">sustantivo.</span> Vela de las balsas de totora.
achiwaña	<span foreground="#228B22">No estandarizado.</span> <span foreground="#660099">(Carangas)</span>. <span foreground="#228B22">verbo transitivo.</span> Cubrir con toldos, entoldar <span foreground="#696969">(Fuente: Manuel de Lucca, Diccionario Aymara-Castellano y Castellano-Aymara, La Paz, 1983)</span>.
achjaña	<span foreground="#228B22">verbo transitivo.</span> Acción de morder de los canes.
achjaña	<span foreground="#228B22">verbo transitivo.</span> <span foreground="#228B22">figurado.</span> Ladrar (acto de ladrar de los canes).
achjara	<span foreground="#228B22">No estandarizado.</span> <span foreground="#660099">(Atahuallpa)</span> Expresión que antiguamente se usaba para despedirse <span foreground="#696969">(Fuente: Manuel de Lucca, Diccionario Aymara-Castellano y Castellano-Aymara, La Paz, 1983)</span>.
