anaña, anakiña	<font color=red>CHP:</font> acjjz\n<font color=#2E8B57>ESP:</font> arrear\n<font color=#FF8C00>ENG:</font> to herd
tuqu jamp'atu	<font color=red>CHP:</font> acull zcara\n<font color=#2E8B57>ESP:</font> sapito negro\n<font color=#FF8C00>ENG:</font> little black toad
p'axla	<font color=red>CHP:</font> ach k'ala\n<font color=#2E8B57>ESP:</font> calvo\n<font color=#FF8C00>ENG:</font> bald headed
p'iqi	<font color=red>CHP:</font> acha\n<font color=#2E8B57>ESP:</font> cabeza\n<font color=#FF8C00>ENG:</font> head
thantha	<font color=red>CHP:</font> achi\n<font color=#2E8B57>ESP:</font> usado, gastado\n<font color=#FF8C00>ENG:</font> well-used, worn-out
achuku	<font color=red>CHP:</font> achicu\n<font color=#2E8B57>ESP:</font> ratón\n<font color=#FF8C00>ENG:</font> mouse
pisaña	<font color=red>CHP:</font> achupalla\n<font color=#2E8B57>ESP:</font> medio kilo, una libra\n<font color=#FF8C00>ENG:</font> /2 kilogram
aycha waxt'aña	<font color=red>CHP:</font> achura\n<font color=#2E8B57>ESP:</font> regalo de carne\n<font color=#FF8C00>ENG:</font> gift of meat
thaxa	<font color=red>CHP:</font> ac̈ha\n<font color=#2E8B57>ESP:</font> guano, taquia\n<font color=#FF8C00>ENG:</font> guano, excrement
inak timpu pasaña	<font color=red>CHP:</font> ajalaz\n<font color=#2E8B57>ESP:</font> malgastar tiempo\n<font color=#FF8C00>ENG:</font> to waste time
llampaña	<font color=red>CHP:</font> ajanz\n<font color=#2E8B57>ESP:</font> trasladar\n<font color=#FF8C00>ENG:</font> to move
wajcha	<font color=red>CHP:</font> ajar uza\n<font color=#2E8B57>ESP:</font> huérfano\n<font color=#FF8C00>ENG:</font> orphan
ajara	<font color=red>CHP:</font> ajara\n<font color=#2E8B57>ESP:</font> quinua negra\n<font color=#FF8C00>ENG:</font> black quinua
tantaña	<font color=red>CHP:</font> ajcs\n<font color=#2E8B57>ESP:</font> reunir, juntar\n<font color=#FF8C00>ENG:</font> to assemble, to gather
tantansiña, jikhisiña	<font color=red>CHP:</font> ajcsas\n<font color=#2E8B57>ESP:</font> reunirse\n<font color=#FF8C00>ENG:</font> to come together
anantaña	<font color=red>CHP:</font> ajcz̈quiz\n<font color=#2E8B57>ESP:</font> traer el rebaño al corral\n<font color=#FF8C00>ENG:</font> to bring the herd from pasture to corral
