anaña, anakiña	<font color=red>CHP:</font> acjjz\n<font color=green>ESP:</font> arrear\n<font color=orange>ENG:</font> to herd
tuqu jamp'atu	<font color=red>CHP:</font> acull zcara\n<font color=green>ESP:</font> sapito negro\n<font color=orange>ENG:</font> little black toad
p'axla	<font color=red>CHP:</font> ach k'ala\n<font color=green>ESP:</font> calvo\n<font color=orange>ENG:</font> bald headed
p'iqi	<font color=red>CHP:</font> acha\n<font color=green>ESP:</font> cabeza\n<font color=orange>ENG:</font> head
thantha	<font color=red>CHP:</font> achi\n<font color=green>ESP:</font> usado, gastado\n<font color=orange>ENG:</font> well-used, worn-out
achuku	<font color=red>CHP:</font> achicu\n<font color=green>ESP:</font> ratón\n<font color=orange>ENG:</font> mouse
pisaña	<font color=red>CHP:</font> achupalla\n<font color=green>ESP:</font> medio kilo, una libra\n<font color=orange>ENG:</font> /2 kilogram
aycha waxt'aña	<font color=red>CHP:</font> achura\n<font color=green>ESP:</font> regalo de carne\n<font color=orange>ENG:</font> gift of meat
thaxa	<font color=red>CHP:</font> ac̈ha\n<font color=green>ESP:</font> guano, taquia\n<font color=orange>ENG:</font> guano, excrement
inak timpu pasaña	<font color=red>CHP:</font> ajalaz\n<font color=green>ESP:</font> malgastar tiempo\n<font color=orange>ENG:</font> to waste time
llampaña	<font color=red>CHP:</font> ajanz\n<font color=green>ESP:</font> trasladar\n<font color=orange>ENG:</font> to move
wajcha	<font color=red>CHP:</font> ajar uza\n<font color=green>ESP:</font> huérfano\n<font color=orange>ENG:</font> orphan
ajara	<font color=red>CHP:</font> ajara\n<font color=green>ESP:</font> quinua negra\n<font color=orange>ENG:</font> black quinua
tantaña	<font color=red>CHP:</font> ajcs\n<font color=green>ESP:</font> reunir, juntar\n<font color=orange>ENG:</font> to assemble, to gather
tantansiña, jikhisiña	<font color=red>CHP:</font> ajcsas\n<font color=green>ESP:</font> reunirse\n<font color=orange>ENG:</font> to come together
anantaña	<font color=red>CHP:</font> ajcz̈quiz\n<font color=green>ESP:</font> traer el rebaño al corral\n<font color=orange>ENG:</font> to bring the herd from pasture to corral
thathantata	<font color=red>CHP:</font> ajitaz\n<font color=green>ESP:</font> dejar comida (ya hartado)\n<font color=orange>ENG:</font> to leave food (leftovers)
awtiraña	<font color=red>CHP:</font> ajjz\n<font color=green>ESP:</font> cosechar\n<font color=orange>ENG:</font> to harvest
allchhi	<font color=red>CHP:</font> ajllchi\n<font color=green>ESP:</font> nieto/nieta\n<font color=orange>ENG:</font> grandchild (m/f)
tata	<font color=red>CHP:</font> ajmuz ejp\n<font color=green>ESP:</font> suegro del esposo\n<font color=orange>ENG:</font> father-in-law of husband
mama	<font color=red>CHP:</font> ajmuz maa\n<font color=green>ESP:</font> suegra del esposo\n<font color=orange>ENG:</font> mother-in-law of husband
ikintasiña	<font color=red>CHP:</font> ajps = tjjaz\n<font color=green>ESP:</font> acostarse\n<font color=orange>ENG:</font> to lie down (to sleep)
jaqi axtapi	<font color=red>CHP:</font> ajptjaps\n<font color=green>ESP:</font> meterse en una discusión\n<font color=orange>ENG:</font> to intervene in a discussion
ikiña	<font color=red>CHP:</font> ajpz zquiti\n<font color=green>ESP:</font> cama\n<font color=orange>ENG:</font> bed
ikiyaña	<font color=red>CHP:</font> ajpz zquiti\n<font color=green>ESP:</font> acostar\n<font color=orange>ENG:</font> to put to bed
samsuña, samaqiña	<font color=red>CHP:</font> ajrkiz\n<font color=green>ESP:</font> agitarse\n<font color=orange>ENG:</font> to be agitated
thuxru	<font color=red>CHP:</font> ajts\n<font color=green>ESP:</font> bastón\n<font color=orange>ENG:</font> cane
jarisiña	<font color=red>CHP:</font> ajunz\n<font color=green>ESP:</font> lavarse\n<font color=orange>ENG:</font> to wash oneself
qarqaña	<font color=red>CHP:</font> ajutiz\n<font color=green>ESP:</font> rugir, gritar\n<font color=orange>ENG:</font> to roar, to shout
ñanqhachaña, pirjudikaña	<font color=red>CHP:</font> akacha paac̈ha\n<font color=green>ESP:</font> perjudicar\n<font color=orange>ENG:</font> to ruin, to harm
juyra jak'u	<font color=red>CHP:</font> akallapi\n<font color=green>ESP:</font> harina de quinua\n<font color=orange>ENG:</font> quinua flour
chhankha	<font color=red>CHP:</font> akji\n<font color=green>ESP:</font> peña, roca\n<font color=orange>ENG:</font> rock, boulder
pirwa	<font color=red>CHP:</font> akji c̈herchiz\n<font color=green>ESP:</font> gran montón de víveres\n<font color=orange>ENG:</font> pile of provisions
uywant puriña, antaniña, antanxaña	<font color=red>CHP:</font> akjjatz uyu\n<font color=green>ESP:</font> regresar al corral al atardecer\n<font color=orange>ENG:</font> to return to corral (animals)
p'akintata	<font color=red>CHP:</font> aksi = kjolzi\n<font color=green>ESP:</font> arruinado, quebrado\n<font color=orange>ENG:</font> ruined, broken
p'akjaña	<font color=red>CHP:</font> akz = kjolz\n<font color=green>ESP:</font> quebrar\n<font color=orange>ENG:</font> to break
pantjasiña	<font color=red>CHP:</font> akzic̈ha\n<font color=green>ESP:</font> equivocarse, confundirse\n<font color=orange>ENG:</font> to be mistaken, to be confused
ulira	<font color=red>CHP:</font> ala\n<font color=green>ESP:</font> alero, sobresaliente del techo\n<font color=orange>ENG:</font> eaves, overhang of roof
alaja	<font color=red>CHP:</font> alaja\n<font color=green>ESP:</font> adorno\n<font color=orange>ENG:</font> ornament, decoration
aka ch'usata, yuspaki, aliqaki	<font color=red>CHP:</font> alajapan\n<font color=green>ESP:</font> sin motivo, sin razon, por sí\n<font color=orange>ENG:</font> without reason
ñanqha aruni	<font color=red>CHP:</font> alamutu\n<font color=green>ESP:</font> (preguntar) con intenciones escondidas\n<font color=orange>ENG:</font> (to ask) with hidden intentions
alawanshusu	<font color=red>CHP:</font> alawasñi\n<font color=green>ESP:</font> jactancioso, alabancioso\n<font color=orange>ENG:</font> one who boasts
alawasiña	<font color=red>CHP:</font> alawaszic̈ha\n<font color=green>ESP:</font> jactarse, alabarse\n<font color=orange>ENG:</font> to boast about oneself, to praise oneself
alawaña	<font color=red>CHP:</font> alawaz\n<font color=green>ESP:</font> alabar\n<font color=orange>ENG:</font> to praise
alkalti	<font color=red>CHP:</font> alcanti\n<font color=green>ESP:</font> alcalde\n<font color=orange>ENG:</font> chief authority of an ayllu
alkawiti	<font color=red>CHP:</font> alcawitñi\n<font color=green>ESP:</font> alcahuete\n<font color=orange>ENG:</font> keeper of a secret
kankamu, phasku	<font color=red>CHP:</font> alcu\n<font color=green>ESP:</font> granos de la lengua\n<font color=orange>ENG:</font> bumps on the tongue
alkula	<font color=red>CHP:</font> alcuna\n<font color=green>ESP:</font> alcohol\n<font color=orange>ENG:</font> alcohol
ali	<font color=red>CHP:</font> ali\n<font color=green>ESP:</font> mata\n<font color=orange>ENG:</font> young plant
alintaña	<font color=red>CHP:</font> alintas\n<font color=green>ESP:</font> alentarse, ser alegre\n<font color=orange>ENG:</font> to be happy, to be encouraged
alqa	<font color=red>CHP:</font> alka\n<font color=green>ESP:</font> combinación de dos colores de llama (blanco y negro/café)\n<font color=orange>ENG:</font> combination of two colors on llama (white and black/brown)
alma	<font color=red>CHP:</font> alma\n<font color=green>ESP:</font> alma\n<font color=orange>ENG:</font> soul
alma k'iruña	<font color=red>CHP:</font> alma murtajta\n<font color=green>ESP:</font> envolver a un difunto\n<font color=orange>ENG:</font> to wrap a corpse for burial
allmilla	<font color=red>CHP:</font> almilla\n<font color=green>ESP:</font> camisa, blusa\n<font color=orange>ENG:</font> shirt, blouse
allmilla	<font color=red>CHP:</font> almilla\n<font color=green>ESP:</font> almilla\n<font color=orange>ENG:</font> long undergarment
alman uta	<font color=red>CHP:</font> almiz̈ kjuya = tsjij kjuya\n<font color=green>ESP:</font> casa pequeña con huesos de difuntos\n<font color=orange>ENG:</font> little house with the bones of dead people, raised tomb
alphirisa	<font color=red>CHP:</font> alpjirsa\n<font color=green>ESP:</font> pasante\n<font color=orange>ENG:</font> person responsible for a festival
jaqjata	<font color=red>CHP:</font> alsa\n<font color=green>ESP:</font> regalo de comida durante fiesta\n<font color=orange>ENG:</font> gift of food at a festival
altara	<font color=red>CHP:</font> altara\n<font color=green>ESP:</font> altar\n<font color=orange>ENG:</font> altar
altara	<font color=red>CHP:</font> altara\n<font color=green>ESP:</font> santuario, los 4 santuarios en esquinas de patio de iglesia\n<font color=orange>ENG:</font> the four small shrines at the corners of church patio
jach'ata	<font color=red>CHP:</font> altu joorz̈tan = altu tawkz̈tan\n<font color=green>ESP:</font> en voz alta\n<font color=orange>ENG:</font> loud
alwa	<font color=red>CHP:</font> alwa\n<font color=green>ESP:</font> alba\n<font color=orange>ENG:</font> dawn, daybreak
tispinsa	<font color=red>CHP:</font> alwa\n<font color=green>ESP:</font> el amanecer después de una fiesta\n<font color=orange>ENG:</font> early morning after a festival
utachaña	<font color=red>CHP:</font> alwañz\n<font color=green>ESP:</font> hacer recto/liso el lado de pared con azadón\n<font color=orange>ENG:</font> to smooth a wall
alwirja	<font color=red>CHP:</font> alwirca\n<font color=green>ESP:</font> arveja\n<font color=orange>ENG:</font> green pea
warantaña, phuqhaña	<font color=red>CHP:</font> alz\n<font color=green>ESP:</font> echar líquido adentro, llenar\n<font color=orange>ENG:</font> to fill with liquid
alljaña, allthapiña	<font color=red>CHP:</font> alljatz = alltjapz\n<font color=green>ESP:</font> aporcar (papas)\n<font color=orange>ENG:</font> to pack earth around a (potato) plant
juri uma	<font color=red>CHP:</font> allpi\n<font color=green>ESP:</font> agua turbia\n<font color=orange>ENG:</font> muddy water
allpachu	<font color=red>CHP:</font> allpjachu\n<font color=green>ESP:</font> alpaca\n<font color=orange>ENG:</font> alpaca
alljaña, allthapiña	<font color=red>CHP:</font> alltjapz = alljatz\n<font color=green>ESP:</font> aporcar (papas)\n<font color=orange>ENG:</font> to pack earth around a (potato) plant
alluchata	<font color=red>CHP:</font> allunchichi\n<font color=green>ESP:</font> orzuelo\n<font color=orange>ENG:</font> sty
juma	<font color=red>CHP:</font> am\n<font color=green>ESP:</font> tú\n<font color=orange>ENG:</font> you
lluquchsjata	<font color=red>CHP:</font> amallu\n<font color=green>ESP:</font> tumor\n<font color=orange>ENG:</font> tumor
anch (manq'a) munaña	<font color=red>CHP:</font> amantaz = juztaz c̈heri\n<font color=green>ESP:</font> gustar mucho (comida)\n<font color=orange>ENG:</font> to greatly enjoy (food)
amuyasiña	<font color=red>CHP:</font> amayaraz\n<font color=green>ESP:</font> extrañar\n<font color=orange>ENG:</font> to miss (a person)
amayusiña	<font color=red>CHP:</font> amayas\n<font color=green>ESP:</font> darse cuenta de que algunas cosas/personas faltan\n<font color=orange>ENG:</font> to realize that some things/persons are missing
amayt'asiña	<font color=red>CHP:</font> amayt'as\n<font color=green>ESP:</font> reorientarse cuando perdido\n<font color=orange>ENG:</font> to reorient oneself when lost
amayt'aña	<font color=red>CHP:</font> amayt'az\n<font color=green>ESP:</font> darse cuenta de\n<font color=orange>ENG:</font> to realize, to note
lichiwan thapa	<font color=red>CHP:</font> amaywancara\n<font color=green>ESP:</font> nido de avispa en tolas\n<font color=orange>ENG:</font> nest of mud wasp in bushes
amayuña	<font color=red>CHP:</font> amayz\n<font color=green>ESP:</font> darse cuenta de que una persona/cosa falta\n<font color=orange>ENG:</font> to realize that one person/thing is missing
qura	<font color=red>CHP:</font> ami\n<font color=green>ESP:</font> pasto\n<font color=orange>ENG:</font> fodder
juma pini	<font color=red>CHP:</font> amim = amim cjila\n<font color=green>ESP:</font> tú mismo, tú siempre\n<font color=orange>ENG:</font> you yourself
amjasiña	<font color=red>CHP:</font> amjaz\n<font color=green>ESP:</font> desgustarse\n<font color=orange>ENG:</font> to be fed up with, to be tired of
ikimaya	<font color=red>CHP:</font> amjaz\n<font color=green>ESP:</font> despertar de un sueño hondo y estar medio dormido\n<font color=orange>ENG:</font> to wake up from a deep sleep and not be fully awake
jumata, jumana	<font color=red>CHP:</font> amta\n<font color=green>ESP:</font> de usted/suyo, de ti/tuyo\n<font color=orange>ENG:</font> yours (formal and informal)
amtayaña	<font color=red>CHP:</font> amtayc̈ha\n<font color=green>ESP:</font> animar a comenzar\n<font color=orange>ENG:</font> to encourage to start
amtaña	<font color=red>CHP:</font> amtiz\n<font color=green>ESP:</font> planear trabajo, plan de trabajo\n<font color=orange>ENG:</font> to plan work, a work plan
amtaña	<font color=red>CHP:</font> amtiz\n<font color=green>ESP:</font> recordar brindando a los santos/espíritus\n<font color=orange>ENG:</font> to drink to saints/spirits
llamp'u chuymani	<font color=red>CHP:</font> amu\n<font color=green>ESP:</font> demasiado humilde\n<font color=orange>ENG:</font> very humble
jan kunan kirasiña	<font color=red>CHP:</font> amulaz\n<font color=green>ESP:</font> quedarse sin nada\n<font color=orange>ENG:</font> to fail completely, to be left without anything
amuyt'asiña	<font color=red>CHP:</font> amuyt'az\n<font color=green>ESP:</font> prevenirse de un engaño o peligro\n<font color=orange>ENG:</font> to be aware of a mistake or a danger
munaña	<font color=red>CHP:</font> amz\n<font color=green>ESP:</font> amar, respetar, adorar\n<font color=orange>ENG:</font> to love, to respect, to worship
patarmistuña, irsuña	<font color=red>CHP:</font> amzta\n<font color=green>ESP:</font> subida de cerro\n<font color=orange>ENG:</font> incline of a hill (upward)
janiwa	<font color=red>CHP:</font> ana\n<font color=green>ESP:</font> no\n<font color=orange>ENG:</font> no
jani kunasa	<font color=red>CHP:</font> ana c̈hjul\n<font color=green>ESP:</font> nada de (cosas)\n<font color=orange>ENG:</font> nothing, not any (things)
jani khitisa, jani kunasa	<font color=red>CHP:</font> ana c̈hjulumi = ana jakzilta\n<font color=green>ESP:</font> ninguno (personas, animales)\n<font color=orange>ENG:</font> nobody, no one, none of (persons, animals)
ratuki	<font color=red>CHP:</font> ana enenz̈cu\n<font color=green>ESP:</font> sin demora\n<font color=orange>ENG:</font> without delay
jalla, janti	<font color=red>CHP:</font> ana jaa\n<font color=green>ESP:</font> ...¿no?,...¿verdad?,...¿no es así?\n<font color=orange>ENG:</font> ... isn't it?, ...aren't you?
