a	Aka arsuxa laka manqhata arsuña sallawa.
¡ay!	Chuyma p'arxta. <font color=ForestGreen>/</font> Nayriri samana ayqusa mulljasisa jiksuña arsuwa. ¡Ay! usukipunituwa. ¡Ay! kawkinkarakpacha. <font color=ForestGreen>/</font> ¡Ay! ukaxa janiwa walïkiti watipachawa. <font color=blue>// Uka imillaxa ¡ay!, ¡ay! sasakiwa ayquski, kunaya uschi.</font>
achs…	Chuyma P'arxta. <font color=ForestGreen>/</font> ¡Achachaw! Usuchjasiña, samana jiksuñawa. Lakampita nasampita samana jiksuña.  ¡Ach's! ¡ach's! khitisa parlitu, ¡ach's! ¡ach's! jurma usu inasa katchï. <font color=blue>// Uka warmi usutarakisa ¡achs!, ¡achs! sasawa saski.</font>
achachi	<font color=ForestGreen>st.</font> Achachrata. Walja marani chacha. Waynaxa achachiwa janiwa wawäxiti. <font color=blue>// Chacha jaqiru achachi sañaxa utjiwa, thithisina tuqksnasa ukhamawa.</font> <font color=ForestGreen>/</font> walja marani urqu uywanakaru sataraki, laka ch'akapasa q'ala mirq'irata.  Achachi urqu iwija alasiriwa sarä. alinakaru, quqanakarusa achachi sataraki.  \nNayra achachilanakaxa jupanakana yapuchata juyranaka manq'apxirïtayna, ukata jaya maranaka jakapxirïtayna.
achachila	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Achilana awkipa. Jilïri jaya marani chachawa. Chuymani awki. Achachilaxa allchhina allchhipansa achachilaparakiwa. Mä utana, yuqampi, yuxch'ampi, phuchhampi tullqampi, allchhinakampi ukhamwa qami. Wawanakana awkipana taykapana awkiparuwa achachila sataraki. Jilïri chuymani walja yatiñani chachawa. <font color=blue>// Achachilawa mä jakawi utata sayt'i. </font>
achachila	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Qullu achachilaxa jaya pachani uywiri ajayuwa. Jach'a qullunakaxa uywaña amuyuni uywirinakawa. Sapa chiqa uraqiwa uywirini uywirini. <font color=blue>// Illimani Achachilawa jaqinakaru kunaymana utjirinakampi samxatt'asa uywi. sapachiqana uywiri achachilanaka utji: Sawaya, Titaka, Illampu, Uchu Machi, Pachjiri, Saxama, Illampu, Mururata juk'ampi achachilanakampi, ukata yaqha uywirinakaru achachila ukhama sutichata. Sapa aylluna utjaraki: Itanapu Achachila, Sarija Achachila, ukasa chacha warmirakiwa. Tunupa Mik'atayka chata, puqu mani; Jisk'a jalxatiri jach'a jalxatiri muntirani t'ikhapana panqara. // Nayra pacha achachilanakana ajayupa qullunakana jakasipki.</font>
achachïña	<font color=ForestGreen>ar.</font> Achachi jaqi. <font color=ForestGreen>/</font> Taqita jila marani. Walja marani, amuyuni jaqi. <font color=blue>// Jupaxa inakiwa achachïta sasa arusi.</font>
achachmuktaña	<font color=ForestGreen>ar.</font> Awkirmuktaña. <font color=ForestGreen>/</font> Walja maranakanïxaña. Waynata jila maranïxaña. <font color=blue>// Jilajaxa achachmuktaña asxartwa situwa, wiñayasa waynakïskirista situwa. // Taykajaxa awkijaru achachmuktätawa ukhama sasawa tuqxi.</font>\nNayra awicha, achachilanaka achakana pallasisawa sarnaqapxirïtayna.
achakana	<font color=ForestGreen>st.</font> Achakanaxa ch'aphirara manq'aña waraqu achu, suni uraqinakana achuri. <font color=ForestGreen>/</font> Achakanaxa phayt'asina manq'aña waraquwa. <font color=blue>// Mach'a pachanakana jaqixa achakana pitawa jakaña sapxiwa. </font>
achaku	<font color=ForestGreen>st.</font> Jaqiru yanqhachiri, ñuñuri kasta jisk'a sallqa, uqi samini t'awrani, khuthuri taqi kunsa manq'iri, jaqina yänakapsa t'uruntiri, jaqi jikjiri pampa laq'uwa. <font color=ForestGreen>/</font> Achakuxa jamasata  juyranaka k'uturi, manq'suriwa. <font color=blue>// Achaku mirantatapa utata alismukuyasiñatakiwa. // Kuna pachati achakuxa utjawiru miranti ukaxa watiwa, layqawa achumukusiri sapxiwa. </font>
achaku	<font color=ForestGreen>sm.</font> <font color=ForestGreen>/</font> Achaku sañaxa, amparani jani uka lunthatasiña chuymani jaqiwa. Lunthata jaqiruwa achaku sata. <font color=blue>// Pä kayuni achakuwa utaru mantatayna. </font>
achaku	<font color=ForestGreen>sm.</font> Manq'ata utjata. <font color=ForestGreen>/</font> Achakuruwa chint'aña munta, achakuxa suma chint'atäxiwa, ukhamanaka arusipxi; purakaxa phuqhatakiwa ukhama arunaka qhananchañataki. <font color=blue>// Achakuwa t'ijtirjamäxi, jank'akiya manq'a apanima.</font>
achakusiri	<font color=ForestGreen>st.</font> Lunthatasiri jaqi. <font color=ForestGreen>/</font> Jaqina kunapsa aptiri, sapapataki kunsa muniri, jaqiruwa ukhama sutichata. <font color=blue>// Jupaxa jani manq'a utjki achakusiriwa sariri, ukata sapakiwa manq'asiri. // Nayra pachaxa achakusiri jaqiru, itapalluru ch'iphantasa jawq'supxiritayna.</font>
achala	<font color=ForestGreen>sm.</font> Majtayasita. Jathachiri uywa. <font color=ForestGreen>/</font> Urqu uywanakaxa jathachañatakiwa majtayasi, ukaruwa achala sata. Urqu uywanakawa khuysa aksa qachu uywatjama jalanaqi lat'añataki.\nAchalaxa majta sartayasita uywawa. <font color=ForestGreen>/</font> Uka achala khuchhi pirqapata sari. <font color=ForestGreen>/</font> Uka achala waka qariyituwa. 
achala	<font color=ForestGreen>sm.</font> Chacharusa warmirusa, yanqha sutichañata achala satarakiwa, achala warmi, achala chachawa. Jaqixa chachata sipana warmirara warmita sipana chacharara, qachuq'arnaqti ukhawa ukhama sutichata. Jaqinakatxa chachasa warmisa utjarakiwa, chachaxa jani sapaki jakiri, ukhamaraki warmisa jani sapaki jakiri ukanakaruwa arichu, aricha achala sata. <font color=blue>// Ipalajaxa wali achalapuniwa, kunja chachanakampisa sarnaqakiwa. Uka waynaxa warminakaru uñch'uskiskakiwa, ukata achala sasa jaqimpi sutichayasi. </font>
achalari	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Achalarixa pampana, qulluna jakasiri aycha manq'ani, uywanakaru ukhamaraki jaqirusa ipiptayiri jach'a wich'inkhani juch'usa nasani thayana, qhirwana, junt'u uraqinakana jakiri pampa anuwa. Wasüruxa achalari qulluna uñjta. <font color=blue>// Lari. Qamaqi. Pampa anu. Tiwula. Laq'u. Kukuli. </font>
