acjjz	<font color=green>ESP:</font> arrear\n<font color=blue>AYM:</font> anaña, anakiña\n<font color=orange>ENG:</font> to herd
acull zcara	<font color=green>ESP:</font> sapito negro\n<font color=blue>AYM:</font> tuqu jamp'atu\n<font color=orange>ENG:</font> little black toad
ach k'ala	<font color=green>ESP:</font> calvo\n<font color=blue>AYM:</font> p'axla\n<font color=orange>ENG:</font> bald headed
acha	<font color=green>ESP:</font> cabeza\n<font color=blue>AYM:</font> p'iqi\n<font color=orange>ENG:</font> head
achi	<font color=green>ESP:</font> usado, gastado\n<font color=blue>AYM:</font> thantha\n<font color=orange>ENG:</font> well-used, worn-out
achicu	<font color=green>ESP:</font> ratón\n<font color=blue>AYM:</font> achuku\n<font color=orange>ENG:</font> mouse
achupalla	<font color=green>ESP:</font> medio kilo, una libra\n<font color=blue>AYM:</font> pisaña\n<font color=orange>ENG:</font> /2 kilogram
achura	<font color=green>ESP:</font> regalo de carne\n<font color=blue>AYM:</font> aycha waxt'aña\n<font color=orange>ENG:</font> gift of meat
ac̈ha	<font color=green>ESP:</font> guano, taquia\n<font color=blue>AYM:</font> thaxa\n<font color=orange>ENG:</font> guano, excrement
ajalaz	<font color=green>ESP:</font> malgastar tiempo\n<font color=blue>AYM:</font> inak timpu pasaña\n<font color=orange>ENG:</font> to waste time
ajanz	<font color=green>ESP:</font> trasladar\n<font color=blue>AYM:</font> llampaña\n<font color=orange>ENG:</font> to move
ajar uza	<font color=green>ESP:</font> huérfano\n<font color=blue>AYM:</font> wajcha\n<font color=orange>ENG:</font> orphan
ajara	<font color=green>ESP:</font> quinua negra\n<font color=blue>AYM:</font> ajara\n<font color=orange>ENG:</font> black quinua
ajcs	<font color=green>ESP:</font> reunir, juntar\n<font color=blue>AYM:</font> tantaña\n<font color=orange>ENG:</font> to assemble, to gather
ajcsas	<font color=green>ESP:</font> reunirse\n<font color=blue>AYM:</font> tantansiña, jikhisiña\n<font color=orange>ENG:</font> to come together
ajcz̈quiz	<font color=green>ESP:</font> traer el rebaño al corral\n<font color=blue>AYM:</font> anantaña\n<font color=orange>ENG:</font> to bring the herd from pasture to corral
ajitaz	<font color=green>ESP:</font> dejar comida (ya hartado)\n<font color=blue>AYM:</font> thathantata\n<font color=orange>ENG:</font> to leave food (leftovers)
ajjz	<font color=green>ESP:</font> cosechar\n<font color=blue>AYM:</font> awtiraña\n<font color=orange>ENG:</font> to harvest
ajllchi	<font color=green>ESP:</font> nieto/nieta\n<font color=blue>AYM:</font> allchhi\n<font color=orange>ENG:</font> grandchild (m/f)
ajmuz ejp	<font color=green>ESP:</font> suegro del esposo\n<font color=blue>AYM:</font> tata\n<font color=orange>ENG:</font> father-in-law of husband
ajmuz maa	<font color=green>ESP:</font> suegra del esposo\n<font color=blue>AYM:</font> mama\n<font color=orange>ENG:</font> mother-in-law of husband
ajps = tjjaz	<font color=green>ESP:</font> acostarse\n<font color=blue>AYM:</font> ikintasiña\n<font color=orange>ENG:</font> to lie down (to sleep)
ajptjaps	<font color=green>ESP:</font> meterse en una discusión\n<font color=blue>AYM:</font> jaqi axtapi\n<font color=orange>ENG:</font> to intervene in a discussion
ajpz zquiti	<font color=green>ESP:</font> cama\n<font color=blue>AYM:</font> ikiña\n<font color=orange>ENG:</font> bed
ajpz zquiti	<font color=green>ESP:</font> acostar\n<font color=blue>AYM:</font> ikiyaña\n<font color=orange>ENG:</font> to put to bed
ajrkiz	<font color=green>ESP:</font> agitarse\n<font color=blue>AYM:</font> samsuña, samaqiña\n<font color=orange>ENG:</font> to be agitated
ajts	<font color=green>ESP:</font> bastón\n<font color=blue>AYM:</font> thuxru\n<font color=orange>ENG:</font> cane
ajunz	<font color=green>ESP:</font> lavarse\n<font color=blue>AYM:</font> jarisiña\n<font color=orange>ENG:</font> to wash oneself
ajutiz	<font color=green>ESP:</font> rugir, gritar\n<font color=blue>AYM:</font> qarqaña\n<font color=orange>ENG:</font> to roar, to shout
akacha paac̈ha	<font color=green>ESP:</font> perjudicar\n<font color=blue>AYM:</font> ñanqhachaña, pirjudikaña\n<font color=orange>ENG:</font> to ruin, to harm
akallapi	<font color=green>ESP:</font> harina de quinua\n<font color=blue>AYM:</font> juyra jak'u\n<font color=orange>ENG:</font> quinua flour
akji	<font color=green>ESP:</font> peña, roca\n<font color=blue>AYM:</font> chhankha\n<font color=orange>ENG:</font> rock, boulder
akji c̈herchiz	<font color=green>ESP:</font> gran montón de víveres\n<font color=blue>AYM:</font> pirwa\n<font color=orange>ENG:</font> pile of provisions
akjjatz uyu	<font color=green>ESP:</font> regresar al corral al atardecer\n<font color=blue>AYM:</font> uywant puriña, antaniña, antanxaña\n<font color=orange>ENG:</font> to return to corral (animals)
aksi = kjolzi	<font color=green>ESP:</font> arruinado, quebrado\n<font color=blue>AYM:</font> p'akintata\n<font color=orange>ENG:</font> ruined, broken
akz = kjolz	<font color=green>ESP:</font> quebrar\n<font color=blue>AYM:</font> p'akjaña\n<font color=orange>ENG:</font> to break
akzic̈ha	<font color=green>ESP:</font> equivocarse, confundirse\n<font color=blue>AYM:</font> pantjasiña\n<font color=orange>ENG:</font> to be mistaken, to be confused
ala	<font color=green>ESP:</font> alero, sobresaliente del techo\n<font color=blue>AYM:</font> ulira\n<font color=orange>ENG:</font> eaves, overhang of roof
alaja	<font color=green>ESP:</font> adorno\n<font color=blue>AYM:</font> alaja\n<font color=orange>ENG:</font> ornament, decoration
alajapan	<font color=green>ESP:</font> sin motivo, sin razon, por sí\n<font color=blue>AYM:</font> aka ch'usata, yuspaki, aliqaki\n<font color=orange>ENG:</font> without reason
alamutu	<font color=green>ESP:</font> (preguntar) con intenciones escondidas\n<font color=blue>AYM:</font> ñanqha aruni\n<font color=orange>ENG:</font> (to ask) with hidden intentions
alawasñi	<font color=green>ESP:</font> jactancioso, alabancioso\n<font color=blue>AYM:</font> alawanshusu\n<font color=orange>ENG:</font> one who boasts
alawaszic̈ha	<font color=green>ESP:</font> jactarse, alabarse\n<font color=blue>AYM:</font> alawasiña\n<font color=orange>ENG:</font> to boast about oneself, to praise oneself
alawaz	<font color=green>ESP:</font> alabar\n<font color=blue>AYM:</font> alawaña\n<font color=orange>ENG:</font> to praise
alcanti	<font color=green>ESP:</font> alcalde\n<font color=blue>AYM:</font> alkalti\n<font color=orange>ENG:</font> chief authority of an ayllu
alcawitñi	<font color=green>ESP:</font> alcahuete\n<font color=blue>AYM:</font> alkawiti\n<font color=orange>ENG:</font> keeper of a secret
alcu	<font color=green>ESP:</font> granos de la lengua\n<font color=blue>AYM:</font> kankamu, phasku\n<font color=orange>ENG:</font> bumps on the tongue
alcuna	<font color=green>ESP:</font> alcohol\n<font color=blue>AYM:</font> alkula\n<font color=orange>ENG:</font> alcohol
ali	<font color=green>ESP:</font> mata\n<font color=blue>AYM:</font> ali\n<font color=orange>ENG:</font> young plant
alintas	<font color=green>ESP:</font> alentarse, ser alegre\n<font color=blue>AYM:</font> alintaña\n<font color=orange>ENG:</font> to be happy, to be encouraged
alka	<font color=green>ESP:</font> combinación de dos colores de llama (blanco y negro/café)\n<font color=blue>AYM:</font> alqa\n<font color=orange>ENG:</font> combination of two colors on llama (white and black/brown)
alma	<font color=green>ESP:</font> alma\n<font color=blue>AYM:</font> alma\n<font color=orange>ENG:</font> soul
alma murtajta	<font color=green>ESP:</font> envolver a un difunto\n<font color=blue>AYM:</font> alma k'iruña\n<font color=orange>ENG:</font> to wrap a corpse for burial
almilla	<font color=green>ESP:</font> camisa, blusa\n<font color=blue>AYM:</font> allmilla\n<font color=orange>ENG:</font> shirt, blouse
almilla	<font color=green>ESP:</font> almilla\n<font color=blue>AYM:</font> allmilla\n<font color=orange>ENG:</font> long undergarment
almiz̈ kjuya = tsjij kjuya	<font color=green>ESP:</font> casa pequeña con huesos de difuntos\n<font color=blue>AYM:</font> alman uta\n<font color=orange>ENG:</font> little house with the bones of dead people, raised tomb
alpjirsa	<font color=green>ESP:</font> pasante\n<font color=blue>AYM:</font> alphirisa\n<font color=orange>ENG:</font> person responsible for a festival
alsa	<font color=green>ESP:</font> regalo de comida durante fiesta\n<font color=blue>AYM:</font> jaqjata\n<font color=orange>ENG:</font> gift of food at a festival
altara	<font color=green>ESP:</font> altar\n<font color=blue>AYM:</font> altara\n<font color=orange>ENG:</font> altar
altara	<font color=green>ESP:</font> santuario, los 4 santuarios en esquinas de patio de iglesia\n<font color=blue>AYM:</font> altara\n<font color=orange>ENG:</font> the four small shrines at the corners of church patio
altu joorz̈tan = altu tawkz̈tan	<font color=green>ESP:</font> en voz alta\n<font color=blue>AYM:</font> jach'ata\n<font color=orange>ENG:</font> loud
alwa	<font color=green>ESP:</font> alba\n<font color=blue>AYM:</font> alwa\n<font color=orange>ENG:</font> dawn, daybreak
alwa	<font color=green>ESP:</font> el amanecer después de una fiesta\n<font color=blue>AYM:</font> tispinsa\n<font color=orange>ENG:</font> early morning after a festival
alwañz	<font color=green>ESP:</font> hacer recto/liso el lado de pared con azadón\n<font color=blue>AYM:</font> utachaña\n<font color=orange>ENG:</font> to smooth a wall
alwirca	<font color=green>ESP:</font> arveja\n<font color=blue>AYM:</font> alwirja\n<font color=orange>ENG:</font> green pea
alz	<font color=green>ESP:</font> echar líquido adentro, llenar\n<font color=blue>AYM:</font> warantaña, phuqhaña\n<font color=orange>ENG:</font> to fill with liquid
alljatz = alltjapz	<font color=green>ESP:</font> aporcar (papas)\n<font color=blue>AYM:</font> alljaña, allthapiña\n<font color=orange>ENG:</font> to pack earth around a (potato) plant
allpi	<font color=green>ESP:</font> agua turbia\n<font color=blue>AYM:</font> juri uma\n<font color=orange>ENG:</font> muddy water
allpjachu	<font color=green>ESP:</font> alpaca\n<font color=blue>AYM:</font> allpachu\n<font color=orange>ENG:</font> alpaca
alltjapz = alljatz	<font color=green>ESP:</font> aporcar (papas)\n<font color=blue>AYM:</font> alljaña, allthapiña\n<font color=orange>ENG:</font> to pack earth around a (potato) plant
allunchichi	<font color=green>ESP:</font> orzuelo\n<font color=blue>AYM:</font> alluchata\n<font color=orange>ENG:</font> sty
am	<font color=green>ESP:</font> tú\n<font color=blue>AYM:</font> juma\n<font color=orange>ENG:</font> you
amallu	<font color=green>ESP:</font> tumor\n<font color=blue>AYM:</font> lluquchsjata\n<font color=orange>ENG:</font> tumor
amantaz = juztaz c̈heri	<font color=green>ESP:</font> gustar mucho (comida)\n<font color=blue>AYM:</font> anch (manq'a) munaña\n<font color=orange>ENG:</font> to greatly enjoy (food)
