abecedario	<i>QUE:</i> achachha. <i>AYM:</i> achajala. <i>GUA:</i> achenget<s>i</s>, kuatiat<s>i</s>. 
abertura de la boca	<i>QUE:</i> janlla (L). <i>AYM:</i> ansa. <i>GUA:</i> yuru<s>i</s>p<s>i</s>. 
abogado	<i>QUE:</i> qillqiri. <i>AYM:</i> kamachi kamani. 
abra	<i>QUE:</i> q'asa. <i>AYM:</i> willk'i. <i>GUA:</i> eipea. 
abreviar	<i>QUE:</i> juch'uyyachiy, kutuyachiy. <i>AYM:</i> jisk'aptayaña, k'utuchaña. <i>GUA:</i> mboatüri. 
abreviatura	<i>QUE:</i> kutu simi. <i>AYM:</i> jisk'aptayawi, k'utu. <i>GUA:</i> atüri. 
abril	<i>QUE:</i> ariwaki. <i>AYM:</i> qasawi. <i>GUA:</i> ara<s>i</s>vi. 
absorber	<i>QUE:</i> suq'uy. <i>AYM:</i> ch'umaña. <i>GUA:</i> oip<s>i</s>temoata. 
abstracto	<i>QUE:</i> yullmi (H). <i>AYM:</i> jani amuykaya. <i>GUA:</i> oip<s>i</s>temoataka. 
abuelo, anciano	<i>QUE:</i> yaya, awichu, jatun tata, machula. <i>AYM:</i> jach'a tata, achila. <i>GUA:</i> tam<s>i</s>i. 
anciano, abuelo	<i>QUE:</i> yaya, awichu, jatun tata, machula. <i>AYM:</i> jach'a tata, achila. <i>GUA:</i> tam<s>i</s>i. 
aburrido	<i>QUE:</i> majisqa. <i>AYM:</i> q'iwjtaña, q'umiña. <i>GUA:</i> iaras<s>i</s> yae. 
ácaro, arácnido traqueal	<i>QUE:</i> isu, sisu (L). <i>GUA:</i> tärakakä. 
arácnido traqueal, ácaro	<i>QUE:</i> isu, sisu (L). <i>GUA:</i> tärakakä. 
accidente	<i>QUE:</i> ñak'ariy, waqllu, aquyra. <i>AYM:</i> waticha, chiji. <i>GUA:</i> susere. 
acento gramatical	<i>QUE:</i> sinchiyachina. <i>AYM:</i> jiyitatayiri. <i>GUA:</i> puäta. 
aceptar	<i>QUE:</i> jayñiy. <i>AYM:</i> iyawa saña. <i>GUA:</i> k<s>i</s>reï. 
acercar	<i>QUE:</i> qayllachiy, sispachiy. <i>AYM:</i> jak'achaña. <i>GUA:</i> moköi. 
ácido	<i>QUE:</i> k'allku. <i>AYM:</i> k'allk'u. <i>GUA:</i> jayas<s>i</s>. 
acobardarse	<i>QUE:</i> jallk'akuy (L), llaqllakuy (L). <i>AYM:</i> jallk'a, q'iwasiña. <i>GUA:</i> kueri. 
aconsejar	<i>QUE:</i> kunay (H). <i>AYM:</i> iwxa. <i>GUA:</i> mboarakua. 
aconsejarse, pedir consejo	<i>QUE:</i> kunaykuchikuy (H). <i>AYM:</i> iwxayasiña. <i>GUA:</i> emboarakua. 
pedir consejo, aconsejarse	<i>QUE:</i> kunaykuchikuy (H). <i>AYM:</i> iwxayasiña. <i>GUA:</i> emboarakua. 
acordar, tomar acuerdos	<i>QUE:</i> uyniy, uyñiy (L). <i>AYM:</i> amtaña. <i>GUA:</i> moikavi. 
tomar acuerdos, acordar	<i>QUE:</i> uyniy, uyñiy (L). <i>AYM:</i> amtaña. <i>GUA:</i> moikavi. 
acostumbrarse	<i>QUE:</i> yachakuy. <i>AYM:</i> yatisiña, jichuntaña, awinisiña. <i>GUA:</i> yepokua. 
acrecentar	<i>QUE:</i> jatunyachiy, achkhayachiy, wiñachiy. <i>AYM:</i> jach'aptayaña. <i>GUA:</i> mbotuicha. 
acta	<i>QUE:</i> tantanakuy qillqa. <i>AYM:</i> tantachawi qillqa. <i>GUA:</i> ñemongetaguap<s>i</s>. 
actitud	<i>QUE:</i> karayni (H). <i>AYM:</i> kankaña, lurawi. <i>GUA:</i> tekochauka. 
actividad	<i>QUE:</i> ruway. <i>AYM:</i> lurawi. <i>GUA:</i> yapo, mbaeapo. 
actividad física	<i>QUE:</i> phisika ruway. <i>AYM:</i> janchi lurawi. <i>GUA:</i> rete yapo. 
actor	<i>QUE:</i> aranwaq. <i>AYM:</i> luriri. <i>GUA:</i> mojäangavae. 
acuclillarse	<i>QUE:</i> chukuy (L). <i>AYM:</i> killt'aña. <i>GUA:</i> embosape<s>i</s>, eñevichiï, echuku. 
acueducto	<i>QUE:</i> pincha, witkhu (L). <i>AYM:</i> larq'a. <i>GUA:</i> <s>i</s>rape. 
acuerdo	<i>QUE:</i> uyni, uyñiy. <i>AYM:</i> amta. <i>GUA:</i> ñemometei, maendua. 
adaptación	<i>QUE:</i> tinkurpachiy. <i>AYM:</i> yatisiwi; jichuntawi, awinisiwi. <i>GUA:</i> ñembov<s>i</s>a. 
adaptación auricular	<i>QUE:</i> kurikulunta tinkurpachiy. <i>AYM:</i> yatiqawi jichunuqtawi, askichkipawi. <i>GUA:</i> mboes<s>ï</s>ro moikavi. 
adaptado	<i>QUE:</i> tinkurpachisqa. <i>AYM:</i> askicht'ata. <i>GUA:</i> moikavi. 
adaptar	<i>QUE:</i> tinkurpachiy. <i>AYM:</i> yatintaña, jichuntaña, askichkipaña. <i>GUA:</i> ov<s>i</s>a. 
adaptarse	<i>QUE:</i> yachakuy, amañakuy. <i>AYM:</i> yatisiña. <i>GUA:</i> oñembov<s>i</s>a. 
adecuar	<i>QUE:</i> tinkurpachiy, ch'antallichiy. <i>AYM:</i> askichsuña, askichkipaña. <i>GUA:</i> moikav<s>i</s>. 
adición	<i>QUE:</i> yapay. <i>AYM:</i> jakhthapiwi. <i>GUA:</i> moïru. 
adicionar	<i>QUE:</i> yapay. <i>AYM:</i> jakhthapiña. <i>GUA:</i> ñemoïru. 
adivinanza	<i>QUE:</i> imasmari. <i>AYM:</i> jamusiwi. <i>GUA:</i> mbaerako. 
adjetivo	<i>QUE:</i> sutilli. <i>AYM:</i> suti mayjachiri. <i>GUA:</i> teejäaka, teejäara. 
admiración	<i>QUE:</i> ayaw, añay. <i>AYM:</i> musphawi. <i>GUA:</i> m<s>i</s>akañi. 
adolescente (mujer)	<i>QUE:</i> warma. <i>AYM:</i> tawaqu. <i>GUA:</i> kuñatai. 
adolescente (varón)	<i>QUE:</i> maqt'a. <i>AYM:</i> maxt'a. <i>GUA:</i> kunumi. 
adoptar el varón hijo o hija	<i>QUE:</i> churichakuy, ususichakuy (H/L). <i>AYM:</i> katxaruña, uywthapiña. <i>GUA:</i> ta<s>i</s>ete rami, tay<s>i</s>ete rami. 
adoptar la mujer hijo o hija	<i>QUE:</i> wawachakuy (H). <i>GUA:</i> memb<s>i</s>ete rami. 
adoquín	<i>QUE:</i> khallki. <i>AYM:</i> qala tika. 
adverbio	<i>QUE:</i> rimay tikrachiy, imallichiq. <i>AYM:</i> aruchiri mayjt'ayiri, thijra. <i>GUA:</i> ñeeapo mbor<s>i</s>ka. 
adversario, enemigo	<i>QUE:</i> awqa, jayu. <i>AYM:</i> awqa, awqaru. <i>GUA:</i> tovaicho. 
enemigo, adversario	<i>QUE:</i> awqa, jayu. <i>AYM:</i> awqa, awqaru. <i>GUA:</i> tovaicho. 
adversidad, suceso infeliz	<i>QUE:</i> aquyraki (H), ati (L). <i>AYM:</i> t'aqhisiwi, chiji. <i>GUA:</i> avai. 
suceso infeliz, adversidad	<i>QUE:</i> aquyraki (H), ati (L). <i>AYM:</i> t'aqhisiwi, chiji. <i>GUA:</i> avai. 
afiche	<i>QUE:</i> aphichi. <i>AYM:</i> aphichi. <i>GUA:</i> mbaechaka. 
agosto	<i>QUE:</i> chakra yapuy. <i>AYM:</i> llumpaqa, lakani. <i>GUA:</i> arav<s>i</s>tu. 
agrupar, componer	<i>QUE:</i> qutuchay, tantay. <i>AYM:</i> qutuchaña. <i>GUA:</i> mboat<s>i</s>. 
componer, agrupar	<i>QUE:</i> qutuchay, tantay. <i>AYM:</i> qutuchaña. <i>GUA:</i> mboat<s>i</s>. 
águila andina de color negro	<i>QUE:</i> awankana (L). <i>AYM:</i> paka. <i>GUA:</i> kësekëse. 
águila real andina	<i>QUE:</i> anka. <i>AYM:</i> mamani. 
aguilucho	<i>QUE:</i> anka mallku. <i>GUA:</i> kësekëse oyaramoguë. 
ahora	<i>QUE:</i> kunan. <i>AYM:</i> jichha. <i>GUA:</i> añave. 
