arrear	<font color=red>CHP:</font> acjjz\n<font color=blue>AYM:</font> anaña, anakiña\n<font color=orange>ENG:</font> to herd
sapito negro	<font color=red>CHP:</font> acull zcara\n<font color=blue>AYM:</font> tuqu jamp'atu\n<font color=orange>ENG:</font> little black toad
calvo	<font color=red>CHP:</font> ach k'ala\n<font color=blue>AYM:</font> p'axla\n<font color=orange>ENG:</font> bald headed
cabeza	<font color=red>CHP:</font> acha\n<font color=blue>AYM:</font> p'iqi\n<font color=orange>ENG:</font> head
usado, gastado	<font color=red>CHP:</font> achi\n<font color=blue>AYM:</font> thantha\n<font color=orange>ENG:</font> well-used, worn-out
ratón	<font color=red>CHP:</font> achicu\n<font color=blue>AYM:</font> achuku\n<font color=orange>ENG:</font> mouse
medio kilo, una libra	<font color=red>CHP:</font> achupalla\n<font color=blue>AYM:</font> pisaña\n<font color=orange>ENG:</font> /2 kilogram
regalo de carne	<font color=red>CHP:</font> achura\n<font color=blue>AYM:</font> aycha waxt'aña\n<font color=orange>ENG:</font> gift of meat
guano, taquia	<font color=red>CHP:</font> ac̈ha\n<font color=blue>AYM:</font> thaxa\n<font color=orange>ENG:</font> guano, excrement
malgastar tiempo	<font color=red>CHP:</font> ajalaz\n<font color=blue>AYM:</font> inak timpu pasaña\n<font color=orange>ENG:</font> to waste time
trasladar	<font color=red>CHP:</font> ajanz\n<font color=blue>AYM:</font> llampaña\n<font color=orange>ENG:</font> to move
huérfano	<font color=red>CHP:</font> ajar uza\n<font color=blue>AYM:</font> wajcha\n<font color=orange>ENG:</font> orphan
quinua negra	<font color=red>CHP:</font> ajara\n<font color=blue>AYM:</font> ajara\n<font color=orange>ENG:</font> black quinua
reunir, juntar	<font color=red>CHP:</font> ajcs\n<font color=blue>AYM:</font> tantaña\n<font color=orange>ENG:</font> to assemble, to gather
reunirse	<font color=red>CHP:</font> ajcsas\n<font color=blue>AYM:</font> tantansiña, jikhisiña\n<font color=orange>ENG:</font> to come together
traer el rebaño al corral	<font color=red>CHP:</font> ajcz̈quiz\n<font color=blue>AYM:</font> anantaña\n<font color=orange>ENG:</font> to bring the herd from pasture to corral
dejar comida (ya hartado)	<font color=red>CHP:</font> ajitaz\n<font color=blue>AYM:</font> thathantata\n<font color=orange>ENG:</font> to leave food (leftovers)
cosechar	<font color=red>CHP:</font> ajjz\n<font color=blue>AYM:</font> awtiraña\n<font color=orange>ENG:</font> to harvest
nieto/nieta	<font color=red>CHP:</font> ajllchi\n<font color=blue>AYM:</font> allchhi\n<font color=orange>ENG:</font> grandchild (m/f)
suegro del esposo	<font color=red>CHP:</font> ajmuz ejp\n<font color=blue>AYM:</font> tata\n<font color=orange>ENG:</font> father-in-law of husband
suegra del esposo	<font color=red>CHP:</font> ajmuz maa\n<font color=blue>AYM:</font> mama\n<font color=orange>ENG:</font> mother-in-law of husband
acostarse	<font color=red>CHP:</font> ajps = tjjaz\n<font color=blue>AYM:</font> ikintasiña\n<font color=orange>ENG:</font> to lie down (to sleep)
meterse en una discusión	<font color=red>CHP:</font> ajptjaps\n<font color=blue>AYM:</font> jaqi axtapi\n<font color=orange>ENG:</font> to intervene in a discussion
cama	<font color=red>CHP:</font> ajpz zquiti\n<font color=blue>AYM:</font> ikiña\n<font color=orange>ENG:</font> bed
acostar	<font color=red>CHP:</font> ajpz zquiti\n<font color=blue>AYM:</font> ikiyaña\n<font color=orange>ENG:</font> to put to bed
agitarse	<font color=red>CHP:</font> ajrkiz\n<font color=blue>AYM:</font> samsuña, samaqiña\n<font color=orange>ENG:</font> to be agitated
bastón	<font color=red>CHP:</font> ajts\n<font color=blue>AYM:</font> thuxru\n<font color=orange>ENG:</font> cane
lavarse	<font color=red>CHP:</font> ajunz\n<font color=blue>AYM:</font> jarisiña\n<font color=orange>ENG:</font> to wash oneself
rugir, gritar	<font color=red>CHP:</font> ajutiz\n<font color=blue>AYM:</font> qarqaña\n<font color=orange>ENG:</font> to roar, to shout
perjudicar	<font color=red>CHP:</font> akacha paac̈ha\n<font color=blue>AYM:</font> ñanqhachaña, pirjudikaña\n<font color=orange>ENG:</font> to ruin, to harm
harina de quinua	<font color=red>CHP:</font> akallapi\n<font color=blue>AYM:</font> juyra jak'u\n<font color=orange>ENG:</font> quinua flour
peña, roca	<font color=red>CHP:</font> akji\n<font color=blue>AYM:</font> chhankha\n<font color=orange>ENG:</font> rock, boulder
gran montón de víveres	<font color=red>CHP:</font> akji c̈herchiz\n<font color=blue>AYM:</font> pirwa\n<font color=orange>ENG:</font> pile of provisions
regresar al corral al atardecer	<font color=red>CHP:</font> akjjatz uyu\n<font color=blue>AYM:</font> uywant puriña, antaniña, antanxaña\n<font color=orange>ENG:</font> to return to corral (animals)
