abandono	<font color="green"><i>m</i></font> Jaytjawi.
abigeato	<font color="green"><i>m</i></font> Uywa lunthatawi.
abstracción	<font color="green"><i>f</i></font> Apsuwi.
abstracto, -a	<font color="green"><i>adj</i></font> Ch’amata.
abuso de confianza	<font color="green"><i>m</i></font> Jan yäqawi.
académico, -a	<font color="green"><i>adj</i></font> Yatxatata.
acatar	<font color="green"><i>v</i></font> Iyawsaña.
acceso directo	<font color="green"><i>m</i></font> Chiq mantawi.
acción	<font color="green"><i>f</i></font> Lurawi.
acefalía	<font color="green"><i>f</i></font> Phuqxatawi.
acelerar	<font color="green"><i>v</i></font> Laq saraña, jank’ak saraña.
aceptable	<font color="green"><i>adj</i></font> Iyawskaya.
aceptar	<font color="green"><i>v</i></font> Iyaw saña.
acontecimiento	<font color="green"><i>m</i></font> Kamachawi.
acostumbrar	<font color="green"><i>v</i></font> Yatitatayaña.
acreditación	<font color="green"><i>f</i></font> Uñt’ayawi.
acreditar	<font color="green"><i>v</i></font> Uñt’ayaña.
acta	<font color="green"><i>f</i></font> Tantach qillqa.
actitud	<font color="green"><i>f</i></font> Kankaña.
actividad	<font color="green"><i>f</i></font> Lurawi.
acto	<font color="green"><i>m</i></font> Uñjawi.
actualización	<font color="green"><i>f</i></font> Jichhachawi, qhanstayawi.
actualizar	<font color="green"><i>v</i></font> Jichhachaña, qhanstayaña.
acuerdo	<font color="green"><i>m</i></font> Amtawi.
acuñación	<font color="green"><i>f</i></font> Uywjthapiwi.
adecuar	<font color="green"><i>v</i></font> Kasayaña.
adecuado, -a	<font color="green"><i>adj</i></font> Aski.
adhesión	<font color="green"><i>f</i></font> Mantawi.
adivinanza	<font color="green"><i>f</i></font> Jamusiwi.
adivinar	<font color="green"><i>v</i></font> Jamuña.
adjetivo	<font color="green"><i>m</i></font> Suti mayjt’aya (sm).
adjuntar	<font color="green"><i>v</i></font> Apkataña, jaqkataña.
administración	<font color="green"><i>f</i></font> Apnaqawi.
administrativo, -a	<b>1</b> <font color="green"><i>m/f</i></font> Apnaqiri. <b>2</b> <font color="green"><i>adj</i></font> Apnaqawxata.
admisión	<font color="green"><i>f</i></font> Katuqawi.
adolescencia	<font color="green"><i>f</i></font> Q’axuwi, maxtalla.
adoptado, -a	<font color="green"><i>m/f</i></font> Uta wawa.
adquirir	<font color="green"><i>v</i></font> Jikxataña, alaña.
adverbio	<font color="green"><i>m</i></font> Mayjt’ayiri (m).
afianzar	<font color="green"><i>v</i></font> Ch’amanchayaña.
afiche	<font color="green"><i>m</i></font> Jamulaphi.
agenda	<font color="green"><i>f</i></font> Wakt’ayawi.
agradecimiento	<font color="green"><i>m</i></font> Jallallt’awi.
agricultura	<font color="green"><i>f</i></font> Yapuchawi.
agronómico, -a	<font color="green"><i>adj</i></font> Yapuchawxata.
ajustar	<font color="green"><i>v</i></font> Askichaña, kasayaña, jiythapiña.
ajuste	<font color="green"><i>m</i></font> Askichawi.
alcance	<font color="green"><i>m</i></font> Puriwi.
alimentación	<font color="green"><i>f</i></font> Manq’awi.
allanamiento de domicilio	<font color="green"><i>m</i></font> Utar ch’amamp mantawi.
alterar	<font color="green"><i>v</i></font> Mayjaptayaña.
alternativo, -a	<font color="green"><i>adj</i></font> Maykipa.
ambientar	<font color="green"><i>v</i></font> Yatitatayaña.
ambiente	<font color="green"><i>m</i></font> Yatichaqa.
ámbito	<font color="green"><i>m</i></font> T’aqa.
amenaza	<font color="green"><i>f</i></font> Axsarayawi, yanqhachawi.
análisis	<font color="green"><i>m</i></font> Uñch’ukiwi, uñakipawi.
ancestro	<font color="green"><i>m</i></font> Laq’apacha.
anexar	<font color="green"><i>v</i></font> Apkataña, jaqkataña.
anexo	<font color="green"><i>m</i></font> Apkata, jaqkata.
anillo	<font color="green"><i>m</i></font> Siwi.
aniversario	<font color="green"><i>m</i></font> Yuri amtawi.
antecedente	<font color="green"><i>m</i></font> Nayrt’awi.
antena	<font color="green"><i>f</i></font> Qatuqir lawa.
antigüedad	<font color="green"><i>f</i></font> Nayrata.
anular	<font color="green"><i>v</i></font> P’ampachaña.
apellido	<font color="green"><i>m</i></font> Jatha suti.
apertura	<font color="green"><i>f</i></font> Jist’arawi.
aplazar	<font color="green"><i>v</i></font> Qhipt’ayaña.
aplazo	<font color="green"><i>m</i></font> Qhipt’ayawi.
aplicar	<font color="green"><i>v</i></font> Sarayaña.
apoderado, -a	<font color="green"><i>m/f</i></font> Awkilanti.
aportar	<font color="green"><i>v</i></font> Yanapaña.
aporte	<font color="green"><i>m</i></font> Yanapa.
apoyar	<font color="green"><i>v</i></font> Khuyapayaña, yanapt’aña, arxataña.
apreciar	<font color="green"><i>v</i></font> Q’ayachaña.
aprendizaje	<font color="green"><i>m</i></font> Yatiqawi.
aprobación	<font color="green"><i>f</i></font> <b>1</b> Iyawsawi. <b>2</b> Atipt’awi.
aprobar	<font color="green"><i>v</i></font> <b>1</b> Iyawsaña. <b>2</b> Atipt’aña.
apropiación	<font color="green"><i>f</i></font> Katuntasiwi, nankachasiwi.
apropiar	<font color="green"><i>v</i></font> Katusiña, nankachasiña.
aprovechar	<font color="green"><i>v</i></font> Jakhuxaña.
aptitud	<font color="green"><i>f</i></font> Q’aphawi.
arbitrario, -a	<font color="green"><i>adj</i></font> Jan yatiyata.
archivado, -a	<font color="green"><i>adj</i></font> Imata.
archivador	<font color="green"><i>m</i></font> Imañ laphi, imir laphi.
área	<font color="green"><i>m</i></font> T’aqa, suyu.
argumentar	<font color="green"><i>v</i></font> Yäp amuyaña.
argumento	<font color="green"><i>m</i></font> Yäp amuyu.
arte	<font color="green"><i>m</i></font> Yäpa, k’achachsuwi, k’achanchawi.
articulado, -a	<font color="green"><i>adj</i></font> Mayachata.
articular	<font color="green"><i>v</i></font> Mayachaña.
artículo	<font color="green"><i>m</i></font> Amtachinu.
atribución	<font color="green"><i>f</i></font> Lurawi.
asesor, -a	<font color="green"><i>m/f</i></font> Amuyt’ayiri, qhananchayiri.
asesoramiento	<font color="green"><i>m</i></font> Amuyt’ayawi.
asesorar	<font color="green"><i>v</i></font> Amuyt’ayaña.
asignación	<font color="green"><i>f</i></font> Churawi.
asignar	<font color="green"><i>v</i></font> Churaña.
asignatura	<font color="green"><i>f</i></font> T’aqa.
asimilación	<font color="green"><i>f</i></font> Amuyt’awi.
asimilar	<font color="green"><i>v</i></font> Amuyt’aña.
asistencia familiar	<font color="green"><i>f</i></font> Uta yanapt’awi.
asociación	<font color="green"><i>f</i></font> Tama.
aspecto	<font color="green"><i>m</i></font> Tuqi.
aspirar	<font color="green"><i>v</i></font> Munaña.
aspiración	<font color="green"><i>f</i></font> Munawi.
atención	<font color="green"><i>f</i></font> Uñjawi.
atletismo	<font color="green"><i>m</i></font> T’ijnaqawi.
auditoría	<font color="green"><i>f</i></font> Jakhsuwi, uñsurawi, qhanstayawi.
aula	<font color="green"><i>f</i></font> Yatichaqa.
ausencia	<font color="green"><i>f</i></font> Ch’usasiwi.
autóctono, -a	<font color="green"><i>adj</i></font> Markata.
autoestima	<font color="green"><i>f</i></font> Munasiwi, yaqasiwi.
autoevaluación	<font color="green"><i>f</i></font> Chaninchasiwi.
autofinanciado, -a	<font color="green"><i>adj</i></font> Qullqimp phuqhata.
autogestión	<font color="green"><i>f</i></font> Apnaqasiwi, irnaqasiwi.
autogestionario, -a	<font color="green"><i>adj</i></font> Apnaqasiwxata.
