abandono	<span fgcolor="#228B22"><i>m</i></span> Jaytjawi.
abigeato	<span fgcolor="#228B22"><i>m</i></span> Uywa lunthatawi.
abstracción	<span fgcolor="#228B22"><i>f</i></span> Apsuwi.
abstracto, -a	<span fgcolor="#228B22"><i>adj</i></span> Ch'amata.
abuso de confianza	<span fgcolor="#228B22"><i>m</i></span> Jan yäqawi.
académico, -a	<span fgcolor="#228B22"><i>adj</i></span> Yatxatata.
acatar	<span fgcolor="#228B22"><i>v</i></span> Iyawsaña.
acceso directo	<span fgcolor="#228B22"><i>m</i></span> Chiq mantawi.
acción	<span fgcolor="#228B22"><i>f</i></span> Lurawi.
acefalía	<span fgcolor="#228B22"><i>f</i></span> Phuqxatawi.
acelerar	<span fgcolor="#228B22"><i>v</i></span> Laq saraña, jank'ak saraña.
aceptable	<span fgcolor="#228B22"><i>adj</i></span> Iyawskaya.
aceptar	<span fgcolor="#228B22"><i>v</i></span> Iyaw saña.
acontecimiento	<span fgcolor="#228B22"><i>m</i></span> Kamachawi.
acostumbrar	<span fgcolor="#228B22"><i>v</i></span> Yatitatayaña.
acreditación	<span fgcolor="#228B22"><i>f</i></span> Uñt'ayawi.
acreditar	<span fgcolor="#228B22"><i>v</i></span> Uñt'ayaña.
acta	<span fgcolor="#228B22"><i>f</i></span> Tantach qillqa.
actitud	<span fgcolor="#228B22"><i>f</i></span> Kankaña.
actividad	<span fgcolor="#228B22"><i>f</i></span> Lurawi.
acto	<span fgcolor="#228B22"><i>m</i></span> Uñjawi.
actualización	<span fgcolor="#228B22"><i>f</i></span> Jichhachawi, qhanstayawi.
actualizar	<span fgcolor="#228B22"><i>v</i></span> Jichhachaña, qhanstayaña.
acuerdo	<span fgcolor="#228B22"><i>m</i></span> Amtawi.
acuñación	<span fgcolor="#228B22"><i>f</i></span> Uywjthapiwi.
adecuar	<span fgcolor="#228B22"><i>v</i></span> Kasayaña.
adecuado, -a	<span fgcolor="#228B22"><i>adj</i></span> Aski.
adhesión	<span fgcolor="#228B22"><i>f</i></span> Mantawi.
adivinanza	<span fgcolor="#228B22"><i>f</i></span> Jamusiwi.
adivinar	<span fgcolor="#228B22"><i>v</i></span> Jamuña.
adjetivo	<span fgcolor="#228B22"><i>m</i></span> Suti mayjt'aya (sm).
adjuntar	<span fgcolor="#228B22"><i>v</i></span> Apkataña, jaqkataña.
administración	<span fgcolor="#228B22"><i>f</i></span> Apnaqawi.
administrativo, -a	<b>1</b> <span fgcolor="#228B22"><i>m/f</i></span> Apnaqiri. <b>2</b> <span fgcolor="#228B22"><i>adj</i></span> Apnaqawxata.
admisión	<span fgcolor="#228B22"><i>f</i></span> Katuqawi.
adolescencia	<span fgcolor="#228B22"><i>f</i></span> Q'axuwi, maxtalla.
adoptado, -a	<span fgcolor="#228B22"><i>m/f</i></span> Uta wawa.
adquirir	<span fgcolor="#228B22"><i>v</i></span> Jikxataña, alaña.
adverbio	<span fgcolor="#228B22"><i>m</i></span> Mayjt'ayiri (m).
afianzar	<span fgcolor="#228B22"><i>v</i></span> Ch'amanchayaña.
afiche	<span fgcolor="#228B22"><i>m</i></span> Jamulaphi.
agenda	<span fgcolor="#228B22"><i>f</i></span> Wakt'ayawi.
agradecimiento	<span fgcolor="#228B22"><i>m</i></span> Jallallt'awi.
agricultura	<span fgcolor="#228B22"><i>f</i></span> Yapuchawi.
agronómico, -a	<span fgcolor="#228B22"><i>adj</i></span> Yapuchawxata.
ajustar	<span fgcolor="#228B22"><i>v</i></span> Askichaña, kasayaña, jiythapiña.
ajuste	<span fgcolor="#228B22"><i>m</i></span> Askichawi.
alcance	<span fgcolor="#228B22"><i>m</i></span> Puriwi.
alimentación	<span fgcolor="#228B22"><i>f</i></span> Manq'awi.
allanamiento de domicilio	<span fgcolor="#228B22"><i>m</i></span> Utar ch'amamp mantawi.
alterar	<span fgcolor="#228B22"><i>v</i></span> Mayjaptayaña.
alternativo, -a	<span fgcolor="#228B22"><i>adj</i></span> Maykipa.
ambientar	<span fgcolor="#228B22"><i>v</i></span> Yatitatayaña.
ambiente	<span fgcolor="#228B22"><i>m</i></span> Yatichaqa.
ámbito	<span fgcolor="#228B22"><i>m</i></span> T'aqa.
amenaza	<span fgcolor="#228B22"><i>f</i></span> Axsarayawi, yanqhachawi.
análisis	<span fgcolor="#228B22"><i>m</i></span> Uñch'ukiwi, uñakipawi.
ancestro	<span fgcolor="#228B22"><i>m</i></span> Laq'apacha.
anexar	<span fgcolor="#228B22"><i>v</i></span> Apkataña, jaqkataña.
