a	mew, mu; pvle.
abajo	naq; pvlom.
abandonar	mvñalvn.
abatir	afelzuamvn.
abeja	ziwjiñ.
abertura	(entrada) wvbgiñ, vbgiñ; (en el techo para que salga el humo) wiyoyoruka.
abierto	nvlaley; (los ojos) lelilen; (las piernas) wiralen.
abogar	zuguñman, zvguñman, zuguñpen, zvguñpen.
aborrecer	vzen.
abortar	juzkvn.
abrazar	rofvlvn, pagkon.
abrazo	pagko.
abreviar	picikvnun.
abrigarse	(del viento) makuñtun; (de la lluvia) cejkomtun, cvjkumtukun.
abrigo	nvkvmtuwe.
abrir	nvlan.
abrirse	wegan.
abuela	(paterna) kuku; (materna) cucu.
abuelo	(paterno) baku; (materno) cezki, cece.
abundar	fenxelen, abvlen, pvxvlen.
aburrirse	afeluwvn; coñiwvn.
abusar	yomzuamvn.
acá	tvfa, faw; fapvle; <font color="blue"><i><b>*pasar hacia a.</b></i></font> rupan; <font color="blue"><i><b>*por a.</b></i></font> fapvle, tvfa pvle, faw pvle.
acabar	zewvn, afvn.
acariciar	jawmatun.
acarrear	wiñamvn.
acechar	joftun, elman.
aceite	yiwiñko.
aceptar	jowvn, pin.
acequia	wif.
acercar	fvlvmvn.
acercarse	fvlvn.
acertar	kvjvn, relvn, tuten.
ácido	muxag; koxv; (agrio) mukaz.
aclararse	liftun; (el cielo) liftun wenu.
acogotar	gvxvn.
acometer	lefkontun.
acomodarse	feyvmvn.
acompañar	(guiar) guyvlvn.
acontecer	femvn.
acordarse	kimniekan, kimtun.
acostarse	kuzun.
acostumbrarse	wimvn.
activo	kvlfvn.
acudir	amun, amuh.
acusar	zajun, zajuntukun.
adaptarse	feyvmvn.
adelante	puñma.
adentro	ponwi, koneltu; (de la casa) puruka; <font color="blue"><i><b>*muy a.</b></i></font><b> </b>abvkon; <font color="blue"><i><b>*del lado de a.</b></i></font><b> </b>ponwitu.
adherirse	pvhan.
adivinanza	konew.
adivinar	mupin, pelontun.
admirable	afmatufal.
admirar	afmatun.
admirarse	afmatun.
admitir	jowvn.
adornar	ayfiñvn.
adquirir	nvn, nvh; pen, petun.
adulterar	kakvnun.
adulto	xem, xemce.
adversario	kon.
advertir	(notar) pewvtun, juwan.
afecto	poyen.
afeitar	payuntun.
afeitarse	payuntuwvn.
afilado	yuge.
afilar	yugvmvn.
afirmar	feley pin.
afirmarse	rekvl, rekvltun.
afligirse	mvlezuamvn, awvwvn.
aflojar	jocolvn.
aflojarse	jocolvn, jocolvwvn, jocon.
afónico	kafir.
afrecho	cvkvl.
afrentar	yewelkan.
afuera	wekun; <font color="blue"><i><b>*del lado de a.</b></i></font> wekuntu.
agachado	ponor, poxog; <font color="blue"><i><b>*pasar a. por debajo</b></i></font><b> </b>siñumrumen; cvñvlrumen.
agacharse	jowvkvnvwvn, jowvnaqvn.
agarrar	nvn, nvh, tun; ñvmin.
agarrarse	nvwvn.
ágil	kvlfvn; (ser) yewmen.
agradar	tuten.
agradecer	mañumvn.
agraviar	jazkvlvn.
agregado	yom.
agregar	yompeñ.
agridulce	mukur.
agrio	koxv; (ácido) mukaz.
agua	ko; (caliente) kufvh; (que se quedo sin agua) arken; <font color="blue"><i><b>*beber a.</b></i></font> pvtokon.
aguacero	fvxa mawvh.
aguardar	vgvmvn.
agudo	yuge.
águila	<font color="blue"><i><b>*a. leonada</b></i></font> kalkiñ; <font color="blue"><i><b>*a. mora</b></i></font> pewko.
aguilucho	ñamku.
aguja	(de colihue) zvpijwe.
agujerear	katan; wecozvn; (abrir) wegan.
ahí	tvfey mew; <font color="blue"><i><b>*por a.</b></i></font> fey pvle.
ahogar	(apretando el cuello) gvxvn.
ahogarse	(asfixiarse) xvfvn; (en el agua) vrfin.
ahora	fewla; (en un breve momento) azo.
ahuyentar	wemvn.
ají	xapi; (machacado) xahanxapi; (molido con sal) xapicazi.
ajo	aku.
