a ese lado	<font color="blue">(f)</font> Mejwë - mo'we.
a mi lado	Yɨ̈yä'.
abandonar, dejar, soltar	<i><font color="green">v.</font></i> Farajyak.
abanico o venteador	<i><font color="green">s.</font></i> Fijfityi'.
abeja barba de san pedro	<i><font color="green">s.</font></i> Shira'katyi'.
abeja de fuego	<i><font color="green">s.</font></i> Tshijtyi'.
abeja mañu mañu de color negro	<i><font color="green">s.</font></i> Roro'.
abeja pequeña negra	<i><font color="green">s.</font></i> Ñïbi'.
abeja señorita que hace su nido en los turiros	<i><font color="green">s.</font></i> Jï'rï'.
abeja señorita, abeja plomiza que forma pequeños cántaros de miel	<i><font color="green">s.</font></i> Jëwë' - pheñmɨñsi'.
abeja turiro	<i><font color="green">s.</font></i> Toka.
ablandar	<i><font color="green">v.</font></i> Pitsɨy'.
aborrecer	<i><font color="green">v.</font></i> Shöityak.
abrazar	<i><font color="green">v.</font></i> Nokhen'.
abril	<i><font color="green">s.</font></i> Tsisyi'si' ïwaj <font color="blue">(Cov)</font> - wajpen'dye'yatyi <font color="blue">(SA)</font>.
abrir la pierna	<i><font color="green">v.</font></i> Dyechher'.
abrir	<i><font color="green">v.</font></i> Wañak <font color="blue">(SA)</font> - jufuryë' <font color="blue">(Cov)</font>.
abuela millo (amuleto)	<i><font color="green">s.</font></i> Jeye' korpa.
abuela	<i><font color="green">s.</font></i> Jeye'.
abuelo	<i><font color="green">s.</font></i> Wiya'.
aburrido	<i><font color="green">adj.</font></i> Shöyi'joij.
aburrirse	<i><font color="green">v.</font></i> Shöijä'.
acantilado	<i><font color="green">s.</font></i> Tshuw.
acariciar	<i><font color="green">v.</font></i> Tyam'nak.
acaso	<i><font color="green">adv.</font></i> Adyak <font color="blue">(SA)</font> - anik dyaj <font color="blue">(Cov)</font>.
aceite del árbol de copaiba	<i><font color="green">s.</font></i> Chhudye' kopaiwasi'.
aceptar	<i><font color="green">v.</font></i> Jäjyi <font color="blue">(Cov)</font> – jɨ̈jyi <font color="blue">(SA)</font>.
acercar	<i><font color="green">v.</font></i> <font color="blue">(m)</font> Chëi'yäy - jïmëyïj.
acercarse	<i><font color="green">v.</font></i> Ɨya'ya'.
achachayrú	<i><font color="green">s.</font></i> Bɨwey'.
achicarse (tamaño)	<i><font color="green">v.</font></i> Ji'siñiti.
acompañar	<i><font color="green">v.</font></i> Jïjkäk.
acordase	<i><font color="green">v.</font></i> Yökij <font color="blue">(Cov)</font> - dyijtiban' <font color="blue">(SA)</font>.
acostumbrarse	<i><font color="green">v.</font></i> Yikij.
acto sexual	<i><font color="green">s.</font></i> Dyïkdye' <font color="blue">(Cov)</font> - tyɨkdye' <font color="blue">(SA)</font>; Ne'maki (Cov - SA).
actuar	<i><font color="green">v.</font></i> Jɨn'tyaki.
adelantar a alguien, tomar la delantera	<i><font color="green">v.</font></i> Käjñäk.
adelantar	<i><font color="green">v.</font></i> Tashij.
adelante	<i><font color="green">adv.</font></i> <font color="blue">(m)</font> Tashchhe'.
