abadesa	Aware:sa.
abajo	Yańlo.
abajo	Ya'lo.
abeja	Chuydi.
abierto	Ra:kwa.
abierto a la fuerza	Wescho.
abiscocharse	(por ejemplo en el horno) Chatełni.
aborrecer	Donna.
aborrecerse	Jarachijni.
abrazar a alguien	Juła:ye.
abrazarlo a alguien	Jułna.
abrigarse	Chankocheł.
abrigo	Chanko.
abrir a la fuerza	Wesna.
abrir a la fuerza algo que no es para abrir	Wasa:cho.
abrir el monte	(buscando salida) Wesmo:łe.
abrir espacio	Tata:choł.
abrirse	Racho:cho.
abrir una puerta	Kelna.
abrir una puerta u otra cosa	Kele:łe.
absorber	Łowa:łe.
abuelo(a)	Nono'.
abusar de algo	Pakayewe:łe.
abusar de alguien	Paka:ye.
acabar algo	Bara:na.
acabar de morir	Chonte'.
acariciar a alguien	Siyełna.
acarrear sus trastes	Jaka:rim.
aceitarse el cuerpo	Chira:ti'i.
aceite de raya	Chavo'mes.
aceptar	Jaywane:łe.
aceptar a alguien	Jaywa:na.
aceptar una cosa que alguien le da a uno	Jaylopa:na.
acercar algo	Nałna.
acercarse	Nałcheł.
achacado	Kemme.
achachairú	Chakakayra.
aclarando el día	Jelewni.
acobardado	Ba:baycho.
acomodado	(por ejemplo una cama acomodada) Ajka:pa.
acomodar	Ajkapa:na.
acomodar algo	Aja:pa.
acomodar en fila	Samato:va.
acomodar la cama	Vi.
acomodarse	Ajkalowescheł.
acomodar una coas tras otra	Ajato:to.
acomodar un cuarto	Ikacho:na.
acompañante	Oylo.
acompañar	Oyloniłna.
aconsejar	Bokowe:łe.
aconsejarle a alguien	Boko:na.
acordarse	To'baycho.
acostado(a) de espalda	Kewwe.
acostado con alguien	Deyałe'a.
acostarse	De:cheł.
acostarse con alguien	Deya:łe.
acostarse con una mujer	Deyałechakwe:ya.
acostarse juntos	De:chijni.
acrecentar o multiplicar algo	Eyajna.
acrecentarse	Eyajni.
adelante	Naychi.
adentro de una casa	Daychoł.
adinerada	Baraya:na.
adivinar	Chona:ra.
adobe	Toto:kwa.
a dónde vas?	Joynan.
adornar	Silna.
adornarlo	Tije:na.
adornar sombrero	Tijeto:na.
adorno	Lowe:kwi.
adorno	Ti:je.
aeropuerto	Javuńwa:nas.
afanoso	Batejasra.
afilar	Wisna.
agacharse	Waldupiń.
agarrar	Ewna.
agazapado	Wadu:dul.
agonizando	Łowkate.
agotarse la munición	Ba:dineł.
agradecer a alguien	Solopayi:na.
agrandar algo	Mere'na.
agrio	Cha:soy.
agrío	Ra:pis.
agua	To:mi.
agua bendita	Chuswanmi.
agua caliente	Jo:jo:mi.
aguacil	(libélula) Su'pay.
agua clara	Ilimni.
agua con jabón	Jawo:mi.
agua donde hay pochi	Chichanramlo.
aguantar	Jara'cho:na.
aguantar algo	Ba:lomajna.
aguja	Modinła:ris.
agujón hecho de cuerno	Kojamutelwambes.
ahí	Nakal.
ahí	(visible) Nokode.
ahí	(más lejos) Nokolde.
ahijado(a)	Łi:ye.
ahogarse con agua	Se'mina.
ahogarse con algo espeso	Se'lo:na.
ahogarse con humo	Se'ru:na.
ahora	Kwey.
ahora	Kweyka.
ahora	Nokowa.
ahorrar	Italo:ba.
ahumado	Bujru:kwa.
ajena	So:tełe.
ají	Chi:ji.
ala	Tovaykwa.
alabarse	Vańkato:łe.
alacrán	Kuńsisi:wa.
alcanza	Manara'a.
alcanzar a alguien	Jowe:na.
alcanzar algo	Ya:sina'.
alcanzarle algo a alguien	Kwajna.
alcanzarlo a alguien o algo	Balowesna.
al centro	Terescho.
alcornoqui	(árbol) Ti:poł.
al día siguiente	Tawa'ni.
al disparate	Jekakara.
alegría	Bele'wa:nas.
alejarse	Kila:laj.
alejarse	Nandu'.
alejarse dos personas que ya no se quieren	Tańcho:łe.
alejarse dos personas que ya no se quieren	Uńcho:łe.
aleteo de las aves	Va:vayiń.
al final del día	Łuvuyni.
al frente	Alkawanłe.
algodonero	Bujdinmo:ri.
algo que infunde miedo	Tino'.
algo que no tiene cola	Tambojsi.
alguien que encabeza algo	Bakwanłe:kwa.
alguien que se inventa cosas	Vatasi:pa.
alguien que se mejora de una enfermedad	Ajkabaycho:ni.
algún día	Telayka:ka.
algunos	So:kate.
aliciado	Yełyełwanra:ni.
alimento	Ka:na.
alimento cocido al tiesto	Baybijełto.
alimento fresco hecho de masa de yuca	Tova'loł.
aliñar algo	Dili'na.
aliso	(árbol) No:ros.
alistado la lazada	Loycho.
alistar	Loye:na.
alistar algo	Loyna.
alistarse	Lo:ye.
allá	Nosde.
allegarse	(reflexivo) Jaylo:ba.
allegarse	Umcho:łe.
alma	Bawrawa:wa.
al medio	Terescho.
almendra	Chochołkwa.
almidón de yuca	Diveḿba.
almohada	Di'bakwa.
al momento	Po:raka.
alojamiento	Yełna.
a lo mejor	Joyka.
al otro lado	Alcho.
al otro lado del río	Aldi.
al revés	Jolkwa.
altivo	Jo'ka:toł.
alto	Ku:lo.
alto de estatura	Ku:des.
altura	Ku:lolo:ba.
alumbrar	Jele:łe.
alumbrar algo	Jelewna.
alumbrar algo	Jelna.
alumbrar con vela	Jela:ra.
alumno	Vańkapawanne.
alzar	Pe'na.
alzar	Sawe:łe.
alzar	Wayna.
alzar algo	Dajna.
alzar madera	Peka:vos.
amable	Si'way.
amanecer	Jelewni.
amanecer	Tawake:ni.
amanecerse en otra cosa	Tawa'tovałni.
amanecerse sin haber dormido	Jelewweni.
amansar un animal	Vata:poy.
amante	Oyye:ye.
amar	Kwajescha:ye.
amar a alguien	Kwajesna.
amargo	Se:se.
amarillear	Serejni.
amarillento	Serejawa:di.
amarillo	Se:rej.
amarrar	Jama:łe.
amarrar	Suḿna.
amarrar bien	Supa:ba.
amarrar con soga o huasca	Supa:łe.
amarrarlo	Jamna.
amarrar su jase	Suḿpi:łe.
amasar algo	Ni'na.
amasar algo hasta que tenga una forma redonda	Nika:ba.
amasar una masa	Yata:buń.
ambaibo	Wo'wo.
ambiente tranquilo	Daylo.
amigo	Alra.
amigo(a)	Albaycho.
amistarse	Umcho:łe.
amoldar	Pay'na.
amonestar	Juke:łe.
amonestar a alguien	Ju:na.
