a	<font color="green"><i>prep.</i></font> Awa, s'u.
a causa de	<font color="green"><i>conj.</i></font> Jepuiti.
a diario	<font color="green"><i>adv.</i></font> Pamapa tsine.
a favor de	<font color="green"><i>adv.</i></font> Jepuiti.
a pesar de	<font color="green"><i>conj.</i></font> Biame.
a veces	<font color="green"><i>adv.</i></font> Piadha piadha nuati.
abajo	<font color="green"><i>prep.</i></font> Ema s'u.<br><b>Por abajo </b><font color="green"><i>adv.</i></font> Ema je, emakuawa.
por abajo	<font color="green"><i>adv.</i></font> Ema je, emakuawa.
abandonar	<font color="green"><i>v.</i></font> -netiajus'ia-.
abandonado	<font color="green"><i>adj.</i></font> Jus'ianetiajiji.
abatir los hilos cuando se teje	<font color="green"><i>v.</i></font> -janajated'iti-.
abeja	<font color="green"><i>s.</i></font> Was'a.<br><b>Abeja de la tierra </b><font color="green"><i>s.</i></font> Med'i was'a.<br><b>Abeja leña </b><font color="green"><i>s.</i></font> Kuati was'a.<br><b>Abeja negra chica que vive dentro la selva; no pica pero molesta mucho (Barbón) </b><font color="green"><i>s.</i></font> Atata was'a.<br><b>Abeja que tiene el pico como brazo doblado </b><font color="green"><i>s.</i></font> Ebai was'a.<br><b>Abeja que tiene pico con varios ramos </b><font color="green"><i>s.</i></font> Was'a djara.<br><b>Abeja que vive en la tierra </b><font color="green"><i>s.</i></font> Yawa was'a.<br><b>Abeja quema-quema </b><font color="green"><i>s.</i></font> Kuati was'a.<br><b>Abeja tigre </b><font color="green"><i>s.</i></font> Iba was'a.<br><b>Abeja turiro (vive en el nido del turiro) </b><font color="green"><i>s.</i></font> Nawama was'a.<br><b>Abeja vergonzosa </b><font color="green"><i>s.</i></font> Bidju wasa.<br><b>Abejas </b><font color="green"><i>s.</i></font> Ai id'e kuana.<br><b>Cera de abeja </b><font color="green"><i>s.</i></font> Wini.<br><b>Miel de abeja </b><font color="green"><i>s.</i></font> Was'a ena.
abeja de la tierra	<font color="green"><i>s.</i></font> Med'i was'a.
abeja leña	<font color="green"><i>s.</i></font> Kuati was'a.
abeja negra chica que vive dentro la selva; no pica pero molesta mucho (barbón)	<font color="green"><i>s.</i></font> Atata was'a.
abeja que tiene el pico como brazo doblado	<font color="green"><i>s.</i></font> Ebai was'a.
abeja que tiene pico con varios ramos	<font color="green"><i>s.</i></font> Was'a djara.
abeja que vive en la tierra	<font color="green"><i>s.</i></font> Yawa was'a.
abeja quema-quema	<font color="green"><i>s.</i></font> Kuati was'a.
abeja tigre	<font color="green"><i>s.</i></font> Iba was'a.
abeja turiro (vive en el nido del turiro)	<font color="green"><i>s.</i></font> Nawama was'a.
abeja vergonzosa	<font color="green"><i>s.</i></font> Bidju wasa.
