a	<span fgcolor="#228B22"><i>prep.</i></span> Awa, s'u.
a causa de	<span fgcolor="#228B22"><i>conj.</i></span> Jepuiti.
a diario	<span fgcolor="#228B22"><i>adv.</i></span> Pamapa tsine.
a favor de	<span fgcolor="#228B22"><i>adv.</i></span> Jepuiti.
a pesar de	<span fgcolor="#228B22"><i>conj.</i></span> Biame.
a veces	<span fgcolor="#228B22"><i>adv.</i></span> Piadha piadha nuati.
abajo	<span fgcolor="#228B22"><i>prep.</i></span> Ema s'u.\n<b>Por abajo </b><span fgcolor="#228B22"><i>adv.</i></span> Ema je, emakuawa.
por abajo	<span fgcolor="#228B22"><i>adv.</i></span> Ema je, emakuawa.
abandonar	<span fgcolor="#228B22"><i>v.</i></span> -netiajus'ia-.
abandonado	<span fgcolor="#228B22"><i>adj.</i></span> Jus'ianetiajiji.
abatir los hilos cuando se teje	<span fgcolor="#228B22"><i>v.</i></span> -janajated'iti-.
abeja	<span fgcolor="#228B22"><i>s.</i></span> Was'a.\n<b>Abeja de la tierra </b><span fgcolor="#228B22"><i>s.</i></span> Med'i was'a.\n<b>Abeja leña </b><span fgcolor="#228B22"><i>s.</i></span> Kuati was'a.\n<b>Abeja negra chica que vive dentro la selva; no pica pero molesta mucho (Barbón) </b><span fgcolor="#228B22"><i>s.</i></span> Atata was'a.\n<b>Abeja que tiene el pico como brazo doblado </b><span fgcolor="#228B22"><i>s.</i></span> Ebai was'a.\n<b>Abeja que tiene pico con varios ramos </b><span fgcolor="#228B22"><i>s.</i></span> Was'a djara.\n<b>Abeja que vive en la tierra </b><span fgcolor="#228B22"><i>s.</i></span> Yawa was'a.\n<b>Abeja quema-quema </b><span fgcolor="#228B22"><i>s.</i></span> Kuati was'a.\n<b>Abeja tigre </b><span fgcolor="#228B22"><i>s.</i></span> Iba was'a.\n<b>Abeja turiro (vive en el nido del turiro) </b><span fgcolor="#228B22"><i>s.</i></span> Nawama was'a.\n<b>Abeja vergonzosa </b><span fgcolor="#228B22"><i>s.</i></span> Bidju wasa.\n<b>Abejas </b><span fgcolor="#228B22"><i>s.</i></span> Ai id'e kuana.\n<b>Cera de abeja </b><span fgcolor="#228B22"><i>s.</i></span> Wini.\n<b>Miel de abeja </b><span fgcolor="#228B22"><i>s.</i></span> Was'a ena.
abeja de la tierra	<span fgcolor="#228B22"><i>s.</i></span> Med'i was'a.
abeja leña	<span fgcolor="#228B22"><i>s.</i></span> Kuati was'a.
abeja negra chica que vive dentro la selva; no pica pero molesta mucho (barbón)	<span fgcolor="#228B22"><i>s.</i></span> Atata was'a.
abeja que tiene el pico como brazo doblado	<span fgcolor="#228B22"><i>s.</i></span> Ebai was'a.
abeja que tiene pico con varios ramos	<span fgcolor="#228B22"><i>s.</i></span> Was'a djara.
abeja que vive en la tierra	<span fgcolor="#228B22"><i>s.</i></span> Yawa was'a.
abeja quema-quema	<span fgcolor="#228B22"><i>s.</i></span> Kuati was'a.
abeja tigre	<span fgcolor="#228B22"><i>s.</i></span> Iba was'a.
abeja turiro (vive en el nido del turiro)	<span fgcolor="#228B22"><i>s.</i></span> Nawama was'a.
abeja vergonzosa	<span fgcolor="#228B22"><i>s.</i></span> Bidju wasa.
abejas	<span fgcolor="#228B22"><i>s.</i></span> Ai id'e kuana.
cera de abeja	<span fgcolor="#228B22"><i>s.</i></span> Wini.
miel de abeja	<span fgcolor="#228B22"><i>s.</i></span> Was'a ena.
ablandar	<span fgcolor="#228B22"><i>v.</i></span> -djurea-.\n<b>Ablandar al hervir </b><span fgcolor="#228B22"><i>v.</i></span> -djapadjurea-.\n<b>Ablandar carne cocida al machacar en mortero </b><span fgcolor="#228B22"><i>v.</i></span> -tetsidjurea-.
ablandar al hervir	<span fgcolor="#228B22"><i>v.</i></span> -djapadjurea-.
ablandar carne cocida al machacar en mortero	<span fgcolor="#228B22"><i>v.</i></span> -tetsidjurea-.
abocar	<span fgcolor="#228B22"><i>v.</i></span> -jubu-.
abochornar	<span fgcolor="#228B22"><i>v.</i></span> -jabujutiti-.
abofetear	<span fgcolor="#228B22"><i>v.</i></span> -buawapatsi-.
abonar	<span fgcolor="#228B22"><i>v.</i></span> -tsajawama-.
abortar	<span fgcolor="#228B22"><i>v.</i></span> Enanakuina -pu-.
abotonar	<span fgcolor="#228B22"><i>sev.</i></span> -jabutuniti-.
abozalar	<span fgcolor="#228B22"><i>v.</i></span> -wibud'ekeji-.
abrazar	<span fgcolor="#228B22"><i>v.</i></span> -id'ami-.
abrigarse	<span fgcolor="#228B22"><i>v.</i></span> -jababuti-.
abril	<span fgcolor="#228B22"><i>s.</i></span> Badhi pushi.
abrir	<span fgcolor="#228B22"><i>v.</i></span> -d'ia-.\n<b>Abrir (como la mano) </b><span fgcolor="#228B22"><i>v.</i></span> -pirara-.\n<b>Abrir la boca </b><span fgcolor="#228B22"><i>v.</i></span> -kuatsadjera-.\n<b>Abrir la puerta </b><span fgcolor="#228B22"><i>v.</i></span> -tseked'ia-.\n<b>Abrir los ojos </b><span fgcolor="#228B22"><i>v.</i></span> -jabatia-.\n<b>Abrirse la bola (como de algodón en la planta) </b><span fgcolor="#228B22"><i>v.</i></span> -japiatati-.\n<b>Abrirse una flor </b><span fgcolor="#228B22"><i>v.</i></span> -japujuti-.
abrir (como la mano)	<span fgcolor="#228B22"><i>v.</i></span> -pirara-.
abrir la boca	<span fgcolor="#228B22"><i>v.</i></span> -kuatsadjera-.
abrir la puerta	<span fgcolor="#228B22"><i>v.</i></span> -tseked'ia-.
abrir los ojos	<span fgcolor="#228B22"><i>v.</i></span> -jabatia-.
abrirse la bola (como de algodón en la planta)	<span fgcolor="#228B22"><i>v.</i></span> -japiatati-.
abrirse una flor	<span fgcolor="#228B22"><i>v.</i></span> -japujuti-.
absorber líquido	<span fgcolor="#228B22"><i>v.</i></span> -ribi-.
absorto	<span fgcolor="#228B22"><i>adj.</i></span> Janimes'etatijiji.
abstraído en meditación	<span fgcolor="#228B22"><i>adj.</i></span> Janimes'etatijiji.
abuela	<span fgcolor="#228B22"><i>s.</i></span> Awicha.
abuelo	<span fgcolor="#228B22"><i>s.</i></span> Tata edji.
abundante	<span fgcolor="#228B22"><i>adj.</i></span> Dhuji eni.
abusivo	<span fgcolor="#228B22"><i>adj.</i></span> Amadjamadja.
acabar de tomar o comer	<span fgcolor="#228B22"><i>v.</i></span> -judhi-.\n<b>Acabarse </b><span fgcolor="#228B22"><i>v.</i></span> -pupe-.
acabarse	<span fgcolor="#228B22"><i>v.</i></span> -pupe-.
acalambrarse	<span fgcolor="#228B22"><i>v.</i></span> -jaribiati-.
acanalar	<span fgcolor="#228B22"><i>v.</i></span> -tiwepedha-.
