a	<span foreground="#228B22"><i>sustantivo.</i></span> <span foreground="#228B22"><i>anatonomía.</i></span> cabello; <span foreground="#228B22">Ejem:</span> ndea = tu cabello; akɨa = cabello sucio
a	<span foreground="#228B22"><i>sustantivo.</i></span> foto, alma, espíritu, sombra, figura, imagen; <span foreground="#228B22"><i>figurativo.</i></span> sombra (protección) <span foreground="#228B22">Ejem:</span> cheä aekɨuka = me hice tomar una foto.
a	<span foreground="#228B22"><i>prefijo.</i></span> <span foreground="#228B22"><i>pronombre.</i></span> <span foreground="#228B22"><i>1a persona singular.</i></span> yo, me (nasalizado por el contexto); <span foreground="#228B22">Ejem:</span> akaru = (yo) como; aparavɨkɨ = (yo) trabajo, amano = (me) muero
a	<span foreground="#228B22"><i>sufijo.</i></span> con verbo <span foreground="#228B22"><i>intransitivo.</i></span> indica "lugar", (usar mayormente con "pe"); <span foreground="#228B22">Ejem:</span> oikoa pe = donde vive; oparavɨkɨa pe = donde trabaja (nasalizado por el contexto)
a	<span foreground="#228B22"><i>sufijo.</i></span> para <span foreground="#228B22"><i>verbo.</i></span> trans. indica el instrumento o autor de una acción; <span foreground="#228B22">Ejem:</span> imbopúa = la persona que toca o el instrumento con que se toca. (nasalizado por el contexto)
a	<span foreground="#228B22"><i>participio.</i></span> posp. sentido negativo (solamente para tiempo pasado y presente); <span foreground="#228B22">Ejem:</span> ou = vino; oua = no vino; okea = no duerme (en la zona del Isoso no se nasaliza)
(a)a	<span foreground="#228B22"><i>verbo.</i></span> caer; caer bajo curación <span foreground="#228B22">Ejem:</span> michia oa ɨvɨra güi = el niño se cayó del árbol; <span foreground="#228B22">Comparar:</span> oa, oupitɨ
(a)a	<span foreground="#228B22"><i>verbo.</i></span> nacer; <span foreground="#228B22">Ejem:</span> michia oa ramo = el niño recién nació
aa	<span foreground="#228B22"><i>sustantivo.</i></span> <span foreground="#696969"><b>(rrj)</b></span> pelo, vello; <span foreground="#228B22">Ejem:</span> jaa yae = mucho vello, velludo
achaa	<span foreground="#228B22"><i>interjecció<span foreground="#228B22"><i>sustantivo.</i></span></i></span> ¡ay! quejido de hombre, sorpresa, cansancio; <span foreground="#228B22">Comparar:</span> achaɨ; <span foreground="#228B22">Alternativa:</span> asaa
achaɨ	<span foreground="#228B22"><i>interjecció<span foreground="#228B22"><i>sustantivo.</i></span></i></span> ¡ay! quejido de hombre, dolor agudo; <span foreground="#228B22">Comparar:</span> achaa; <span foreground="#228B22">Alternativa:</span> asaɨ
achi	<span foreground="#228B22"><i>sustantivo.</i></span> harina de maíz (cocido después de moler); <span foreground="#228B22">Comparar:</span> atikui
achipire	<span foreground="#228B22"><i>sustantivo.</i></span> afrecho; <span foreground="#228B22">Comparar:</span> avati-räɨpire
(che)ächio	<span foreground="#228B22"><i>verbo.</i></span> estornudar; <span foreground="#228B22">Ejem:</span> cheachio mbaetɨ ipora cheve = no me gusta estornudar
ächo	<span foreground="#228B22"><i>adjetivo.</i></span> edad madura; de buen tamaño
achuai	<span foreground="#228B22"><i>sustantivo.</i></span> <span foreground="#696969"><b>(y)</b></span> buche; <span foreground="#228B22">Ejem:</span> uru iyachuai oyekuaa = se ve el buche de la gallina; <span foreground="#228B22">Comparar:</span> yuai
ae	<span foreground="#228B22"><i>adjetivo.</i></span> propio; <span foreground="#228B22">Ejem:</span> chero ae = mi propia casa
aeño	<span foreground="#228B22"><i>adverbio.</i></span> se, solo se, de su propia voluntad (forma una acción reflexiva); <span foreground="#228B22">Ejem:</span> jae aeño oyeyuka = se mató
ägua	<span foreground="#228B22"><i>adverbio.</i></span> todavía (se usa con "ndei" antepuesto al verbo que modifica); <span foreground="#228B22">Ejem:</span> ndei aja agua = todavía no voy a ir; <span foreground="#228B22">Alternativa:</span> agüe
aguaa	<span foreground="#228B22"><i>sustantivo.</i></span> frentero; nombre dado a una pequeña pieza que queda directamente en la frente de la chipa
aguara	<span foreground="#228B22"><i>sustantivo.</i></span>g. <span foreground="#228B22"><i>zoológico.</i></span> zorro; <span foreground="#228B22"><i>figurativo.</i></span> persona astuta u orgullosa
(che)aguara	<span foreground="#228B22"><i>verbo.</i></span> <span foreground="#696969"><b>(y)</b></span> enorgullecerse como un zorro; <span foreground="#228B22">Ejem:</span> agüɨye ndeaguara = no seas orgulloso
aguaraguara	<span foreground="#228B22"><i>sustantivo.</i></span> <span foreground="#228B22"><i>zoológico.</i></span> avispón (insecto); <span foreground="#228B22">Ejem:</span> aguaraguara jasɨ oporoöpi = la picadura del avispón es doloroso
aguara-käikai	<span foreground="#228B22"><i>sustantivo.</i></span> cucu, coco
aguaratï	<span foreground="#228B22"><i>sustantivo.</i></span> <span foreground="#228B22"><i>zoológico.</i></span> zorro blanco; <span foreground="#228B22">Comparar:</span> aguara
aguaraü	<span foreground="#228B22"><i>sustantivo.</i></span> <span foreground="#228B22"><i>zoológico.</i></span> zorro negro; <span foreground="#228B22">Comparar:</span> aguara
aguarauguai	<span foreground="#228B22"><i>sustantivo.</i></span> <span foreground="#228B22"><i>botánica.</i></span> especie de paja usado en techar; <span foreground="#228B22">Alternativa:</span> aguaraguai
aguarayaɨmba	<span foreground="#228B22"><i>sustantivo.</i></span> <span foreground="#228B22"><i>zoológico.</i></span> lobo, perro de la raza pastor alemán; <span foreground="#228B22">Comparar:</span> aguara, yaɨmba
aguarayu	<span foreground="#228B22"><i>sustantivo.</i></span> <span foreground="#228B22"><i>zoológico.</i></span> zorro amarillo; <span foreground="#228B22">Comparar:</span> aguara
aguasa	<span foreground="#228B22"><i>sustantivo.</i></span> adulterio, fornicación; <span foreground="#228B22">Ejem:</span> aguasa pe oiko vae = vive en adulterio; iyaguasa pota vae = adúltero, prostituta
(che)aguasa	<span foreground="#228B22"><i>verbo.</i></span> <span foreground="#696969"><b>(y)</b></span> adulterar, fornicar; <span foreground="#228B22">Ejem:</span> iyaguasa oiko = vive en adulterio
agüe	<span foreground="#228B22"><i>sufijo.</i></span> convierte el verbo a gerundio; <span foreground="#228B22">Ejem:</span> nderɨaipoagüe rekaruta = tú sudando comerás
agüero	<span foreground="#228B22"><i>sustantivo.</i></span> máscara (mayormente para carnaval); persona disfrazada con máscara; <span foreground="#228B22">Ejem:</span> agüero opɨrae = el disfrazado baila
(che)agüɨ	<span foreground="#228B22"><i>verbo.</i></span> tambalear; <span foreground="#228B22">Comparar:</span> (a)mboagui
agüɨno	imp. ¡No!; <span foreground="#228B22">Comparar:</span> agüɨye
(che)ägüɨro	<span foreground="#228B22"><i>verbo.</i></span> <span foreground="#696969"><b>(rrj)</b></span> sentir o tener celos; <span foreground="#228B22">Comparar:</span> tägüɨro
agüɨye	imp. ¡No! mandato de prohibición; <span foreground="#228B22">Ejem:</span> agüɨye nemonda = no seas ladrón; <span foreground="#228B22">Comparar:</span> agüɨno, ani
agüɨyeta tëi	<span foreground="#228B22"><i>adverbio.</i></span> no debía; <span foreground="#228B22">Ejem:</span> agüɨyeta tëi reyapo = no debías hacer
(a)ai	<span foreground="#228B22"><i>verbo.</i></span> rasguñar, rayar, tajar; <span foreground="#228B22">Ejem:</span> cheyaɨmba oai yagua = mi perro rasguñó el tigre
äi	<span foreground="#228B22"><i>sustantivo.</i></span> <span foreground="#228B22"><i>anatonomía.</i></span> <span foreground="#696969"><b>(rrj)</b></span> diente; <span foreground="#228B22">Ejem:</span> cheräi jasɨ = me duele mi diente; <span foreground="#228B22">Comparar:</span> täi
aicho	<span foreground="#228B22"><i>sustantivo.</i></span> <span foreground="#696969"><b>(rrj)</b></span> suegra (de hombre); <span foreground="#228B22">Ejem:</span> jaicho ou = vino su suegra; <span foreground="#228B22">Comparar:</span> taicho
aipo	<span foreground="#228B22"><i>adverbio.</i></span> ¡escucha! siento, ¡atención!; <span foreground="#228B22">Ejem:</span> aipo chekangɨ ma! = oiga, me siento cansado!
(che)aire	<span foreground="#228B22"><i>verbo.</i></span> tener contracción nerviosa; <span foreground="#228B22">Alternativa:</span> iyuruäpe; <span foreground="#228B22">Ejem:</span> iyuru iaire = tiene contracción nerviosa de la boca
äi-rugua	<span foreground="#228B22"><i>sustantivo.</i></span> pos. <span foreground="#696969"><b>(rrj)</b></span> muela; <span foreground="#228B22">Comparar:</span> okɨpɨ; <span foreground="#228B22">Ejem:</span> chërai-rugua jasɨ = me duele la muela; <span foreground="#228B22">Comparar:</span> täi-rugua
aitɨ	<span foreground="#228B22"><i>sustantivo.</i></span> <span foreground="#696969"><b>(rrj)</b></span> nido; <span foreground="#228B22"><i>figurativo.</i></span> andrajoso, despeinado, desordenado; <span foreground="#228B22">Ejem:</span> güira jaitɨ ipöra yae = el nido del pájaro es muy bonito
aɨ	<span foreground="#228B22"><i>interjecció<span foreground="#228B22"><i>sustantivo.</i></span></i></span> expresión de repugnancia (mujer); <span foreground="#228B22">Comparar:</span> aɨguaa, guaa
aɨ	<span foreground="#228B22"><i>sustantivo.</i></span> <span foreground="#696969"><b>(rrt)</b></span> hijo (de hombre); <span foreground="#228B22">Ejem:</span> Jesucristo Tumpa Taɨ = Jesucristo el Hijo de Dios
(che)aɨai	<span foreground="#228B22"><i>verbo.</i></span> <span foreground="#696969"><b>(rrj)</b></span> estar apurado, con urgencia; <span foreground="#228B22">Ejem:</span> jaɨai oiko = él está apurado; <span foreground="#228B22">Comparar:</span> (che)angeko, angai
aɨe	<span foreground="#228B22"><i>sustantivo.</i></span> <span foreground="#696969"><b>(rrj)</b></span> pariente varón (de mujer); <span foreground="#228B22">Ejem:</span> cheraɨe katu vae ko = tengo bastante parientes
aɨguaa	<span foreground="#228B22"><i>interjecció<span foreground="#228B22"><i>sustantivo.</i></span></i></span> expresión de repugnancia (mujer); <span foreground="#228B22">Comparar:</span> aɨ
(che)aɨkue	<span foreground="#696969"><b>(rrj)</b></span> detrás, después; <span foreground="#228B22">Ejem:</span> ojo tu jaɨkue = fue detrás de su padre
aivetei	<span foreground="#228B22"><i>adverbio.</i></span> <span foreground="#696969"><b>(rrj)</b></span> de apenas
(a)aɨkuemoña	<span foreground="#228B22"><i>verbo.</i></span> seguir (a una persona por o para algo), perseguir; <span foreground="#228B22">Ejem:</span> roaɨkuemoña imonda vae = seguimos al ladrón; <span foreground="#228B22">Comparar:</span> (a)moña
(a)aɨmbeka	<span foreground="#228B22"><i>verbo.</i></span> abrir el choclo, vaina de frejol
(a)aɨña	<span foreground="#228B22"><i>verbo.</i></span> cardar (sacar la semilla del algodón); <span foreground="#228B22">Ejem:</span> kuña oaɨña mandɨyu = la mujer saca la semilla del algodó<span foreground="#228B22"><i>sustantivo.</i></span>
aɨraanga	<span foreground="#228B22"><i>sustantivo.</i></span> <span foreground="#696969"><b>(rrt)</b></span> hijastro (de hombre); <span foreground="#228B22">Ejem:</span> oyuvanga taɨraanga re = maltrata a su hijastro
aɨrɨpɨ	<span foreground="#228B22"><i>sustantivo.</i></span> <span foreground="#696969"><b>(rrt)</b></span> primogénito (de hombre); <span foreground="#228B22">Ejem:</span> Esaú, Jacob taɨrɨpɨ = Esaú el primogénito de Jacob
aɨtatɨ	<span foreground="#228B22"><i>sustantivo.</i></span> <span foreground="#696969"><b>(rrt)</b></span> nuera, cuñada (hombre); <span foreground="#228B22">Ejem:</span> nderaɨtatɨ jäta ngatu = tu nuera es trabajadora
(a)aɨu	<span foreground="#228B22"><i>verbo.</i></span> amar, <span foreground="#228B22">Ejem:</span> aaiu cheru = amo a mi padre; <span foreground="#228B22">Comparar:</span> mboroaɨu
(a)äɨvo	<span foreground="#228B22"><i>verbo.</i></span> pronosticar una desgracia, malagüerear, <span foreground="#228B22">Ejem:</span> kuae güɨra cheräɨvo = este pájaro anuncia mal para mí; <span foreground="#228B22">Comparar:</span> äugua
äka	<span foreground="#228B22"><i>sustantivo.</i></span> <span foreground="#228B22"><i>anatonomía.</i></span> <span foreground="#696969"><b>(ñ)</b></span> cabeza; <span foreground="#228B22">Ejem:</span> cheäka jasɨ = me duele la cabeza
äka-güɨrai	<span foreground="#228B22"><i>adjetivo.</i></span> sin nada en la cabeza (gorra, sombrero, etc)
äkakui	<span foreground="#228B22"><i>sustantivo.</i></span> <span foreground="#696969"><b>(ñ)</b></span> caspa; <span foreground="#228B22">Ejem:</span> kuae iñakakui = este tiene caspa
akaa	<span foreground="#228B22"><i>interjecció<span foreground="#228B22"><i>sustantivo.</i></span></i></span> ¡ay! (quejido de mujer); <span foreground="#228B22">Comparar:</span> akai
äkae	<span foreground="#228B22"><i>sustantivo.</i></span> <span foreground="#228B22"><i>zoológico.</i></span> urraca, susu; <span foreground="#228B22">Ejem:</span> äkae jesaete yae = la urraca es muy arisco
akai	<span foreground="#228B22"><i>interjecció<span foreground="#228B22"><i>sustantivo.</i></span></i></span> ¡ay! (quejido de mujer) dolor agudo; <span foreground="#228B22">Comparar:</span> akaa
äka-ɨru	<span foreground="#228B22"><i>sustantivo.</i></span> <span foreground="#696969"><b>(ñ)</b></span> gorra, sombrero
(che)akamambu	<span foreground="#228B22"><i>verbo.</i></span> inflarse
äkandɨta	<span foreground="#228B22"><i>sustantivo.</i></span> <span foreground="#696969"><b>(ñ)</b></span> almohada; <span foreground="#228B22">Ejem:</span> cheäkandɨta = mi almohada
(che)akañɨ	<span foreground="#228B22"><i>verbo.</i></span> <span foreground="#696969"><b>(ñ)</b></span> olvidar; <span foreground="#228B22">Ejem:</span> cheakañɨ jenta güi = me olvidé de su pueblo; <span foreground="#228B22">Comparar:</span> kañɨ
akape	<span foreground="#228B22"><i>sustantivo.</i></span> <span foreground="#228B22"><i>anatonomía.</i></span> <span foreground="#696969"><b>(rrj)</b></span> horcajadura, ángulo que hacen los muslos; <span foreground="#228B22">Comparar:</span> takape
äkapi	<span foreground="#228B22"><i>sustantivo.</i></span> <span foreground="#228B22"><i>zoológico.</i></span> especie de pájaro en alguna zona dicen que anuncia la llegada de una visita
(che)äkarachi	<span foreground="#228B22"><i>verbo.</i></span> <span foreground="#696969"><b>(ñ)</b></span> ser crespo, cabello ondulado; <span foreground="#228B22">Comparar:</span> chächi
äka-rasɨ	<span foreground="#228B22"><i>sustantivo.</i></span> <span foreground="#696969"><b>(ñ)</b></span> dolor de cabeza; <span foreground="#228B22">Ejem:</span> cheäka-rasɨ = mi dolor de cabeza; <span foreground="#228B22">Comparar:</span> äka, jasɨ
(che)äka-rasɨ	<span foreground="#228B22"><i>verbo.</i></span> <span foreground="#696969"><b>(ñ)</b></span> tener dolor de cabeza; <span foreground="#228B22">Ejem:</span> cheäka-rasɨ aï = estoy con dolor de cabeza
(ai)äka-asɨa	<span foreground="#228B22"><i>verbo.</i></span> <span foreground="#696969"><b>(ñ)</b></span> cortar la cabeza, degollar; <span foreground="#228B22">Comparar:</span> a yaseo-kɨ̈ti
äka-regua	<span foreground="#228B22"><i>sustantivo.</i></span> agarrapelo, pichica, corona
äka-soya	<span foreground="#228B22"><i>sustantivo.</i></span> velo de la cabeza
(che)äkateɨ	<span foreground="#228B22"><i>verbo.</i></span> <span foreground="#696969"><b>(rrj)</b></span> mezquinar, <span foreground="#228B22">Ejem:</span> aguɨye nerakateɨ = no mezquines; <span foreground="#228B22">Comparar:</span> täkateɨ
