, wech	zorrillo
aak'i	mojar
abilajo	escuchenlo
abin	cuento
achaj	hacha
achamta	bajate
achantá	bájate
achelal	bajada
achi	bajó
achin	báñate
achino	bañar
achinó	bañarse
achitá	bájar
achitaj	bajar
aj	carrizo
ajalin	trabajo
ajalom	trabajador
ajan	elote
ajate'	matazano
ajaw	luna, mes
ajaxil	sombra
ak'	tortuga
ak'ach	nuevo
ak'al	tierno
ak'al tut	ejotes
aki	venir
akuxaj	aguja
al	pesado
al	peso
alá	dígamelo
alachet	díle
alanonchet	dícelo
alanxax	naranja
alatiwet	dímelo
albe'	préstamelo
alip'	suegra
alom	para animales
am	araña
an'aj	tu casa
anat	anciana
anma	corazón
anxux	ajo
aq'	lengua
aq'a	dar
aq'achet	dáselo
aq'amaqchiban	encimalo
aq'anoq	mételo
aq'atiwet	dámelo
aq'bal	noche
aq'e'	le dieron
aq'echet	le dieron
aq'ol	una carga
aqoq	avispa
armunix	limón
asukal	azúcar
at	pene
ats'	sal
aw	grito, siembra
awajo	siémbrenlo
awal	sembradillo
awanqix	siembren
awaq'ani	gracias
aweqe'	sembraron
awet	tu
awet	tuyo
awet	tuyo,suyo
awete'	de ustedes
awete'	ustedes
awex	tu pantalon
awi	sembrar
awila	lo viste
axila'	le tuviste miedo
axux	ajo
baaj	tuza
baaq	hueso
bachan	sebastián
baj	tuza
bak	cuñado
balam	tigre
balam mis	tigre
balben	un rollo
baluk	cuncuño
balune'	nueve
baq	hueso
baq ej	dientes
baqal	olote
baxkal	mazorca con pocos granos
baxkal wi'	calvo, pelón
bej	camino
beja'	cañada
bejeni	camina
bejeni	caminár
bejenqix	camine
bejenxin	caminale pues
bejom	caminante
belan	tirado
beleli	recto, derecho
belki	cayó
belobal	enrollado
beloni	se enrrolló
beqani	ronchas
bis	delgado
bis ti winaq	hombre delgado
bisu'	pensar
bisuni	pensando
bit	canto, canción
bitaani	cantar
bitan	enfermo
bitani	cantar
bitóm	cantante
bok'ba	abrigo para tapar
bok'o	tapado
bok'onon	tápalo
bok'ui'	sombrero
bowi	acabó
bowisa'	acábalo
box	tortilla
bun'an	echado
buqan	monton
buqan	un monton
buqane'	amontonado
buqba'oq	amontónalo ahi
busini	nadar
buts'	beso
buts'u'	besar
buts'u'ok	bésalo
buts'uqin	bésame
ch'ajui	ardér
ch'ajwisa'	encender
ch'aki	acabo
ch'aw	tamale
ch'ean	colgado
ch'ean	un racimo colgado
ch'el	pájaro
ch'el	pájaro chocoyo
ch'ewa'	colgar
ch'i'	perro
ch'i'ja'	nutria
ch'ijíw	pez
ch'ilán	estirado
ch'in	niño
ch'istawi	encontrar
ch'istawisa'	encontrar/conseguir
ch'ojon	rata
ch'ojón	ratón
ch'olol	sápo
ch'olól	sapo
ch'uum	torcido
ch'uuy	una bolsa
cha	decir
cha'al kap'	miel
cha'al q'och	pozól
chabi	oir
chabi'	oír
chajchi	jugar
chajchi	jugar, juega
chajchibeok	acariciar
chajkí	después
chaki	venir
chal	dedos
chal	su hijo
chala	decir
chala'	decir
chala'	dice
chalan xtoq'	en vos baja
chalán'	debajo
chalkap'	abeja
cham	nariz
champi	rebotar
chap	cangrejo
chaq'a'	dar
chaq'a'ach	colocar
chaq'an, xet	para objetos planos
chaq'anon	enviar
chaqte'	cama
chat snuk'	esófago
chawa'	leer
chawí	llegar
chawi'	oir
chbejeni	caminar
chelwani	rostro o cara
chet	el
chet	ojo
chet	suyo
chet ts'iba	describir
chete'	de ellos
chete'	ellos
chex	verde
chibel	abajo
chibel xwej	sobaco
chichaj	dónde
chijiw	rana
chik'anon	conducir/llevar
chik'atá	traer
chik'ato	traer
chikin	oreja
chikinte'	hongo
chila	ver
chilá	ver
chila'	ver
chin	criatura
chin'	cáscara
chisqisa'	empezar
chistawisa'	encontrar
chitam	jabalí
chitam kuch	jabali
chitoja'	acompañar
chk'eolni	escarbar
chmukuní	mirar
chok	mata o planta
choksa	aconsejar/poner
choksa'al	vestirse
chon'on	vender
chon'oni	vender
chono ti wet	véndemelo
choq	una planta
chq'aja'	quebrar
chq'eqal chet	negro del ojo
chul	grillo
chul	zapote
chuli	volver/venir
chumil	baile
chunlom	bailador
chuq'	lombriz
chuul	zapote
culantro	cilantro
denaá	así es
ech	cuerda
ej	diente
ejats	dentadura
ek	machete
elan	quítate
elan	sálte
elanquix	quítense
elelal	para abajo
eli	salió
eliqe'	salieron
elnon	salió
elq'om	ladrón
eltal	salida
eq'aan	mañana
eq'ani	robar
eqaan	mañana
eqan	mañana
esa'	quítalo
esa'	quitar/quítalo
esa'el	quítalo
esa'jó	quítenlo
esbal te'	aserradero
esem	barbilla
esem	quijada
eta	descomponer
ewi	ayer
ewí	ayer
galán	bien / bueno
galan	bueno
galan	esta bien
galan okan	bien, éntrale
galan okan	muy bien, éntrale
galan okan	muy bien, pásenle
galan wik'uj	hierbabuena
gána	quiere
ganai'	lo quiso, lo quiere
ganaiqe'	lo quieren
ganchuj	gancho
goq'	flaco
ibooy	armadillo
ibox	mi tortilla
iboy	armadillo
ich	anciano
ich	viejo
icham itun	hermano mayor
ichbi	envejecer
igana	afirmativo
ij	nieto
ik	chile
ik'ael	quítalo
ik'i	pasado
ikáj	temascal
il	delito
ilá	mírelo
ilaj	fíjese,míralo
ilbál	mirador
ilomán	velador
im	ceno, tetas
im	pecho, seno
im	seno, pecho
in'at	semilla
indeje'	así es
indeje'	sí
inina wich'	más o menos
inu'ul	hermanito
iq'amaq	levántelo
iq'anon	llévelo
iq'anqix	pasen
iq'anqix tete'	pasen por acá
