ä'	<i><font color="green">s.</font></i> Espíritu.
ä'äjtyäbä'	<i><font color="green">s.</font></i> Mata caballo, mantis.
a'ara'	<font color="blue">(Cov)</font> <font color="green">Sinón:</font> <b>ara' anik</b> <font color="blue">(SA)</font>. <i><font color="green">adv.</font></i> Bastante.
a'chi'	<i><font color="green">adj.</font></i> <font color="blue">(f)</font> Dañado.
a'chi'	<i><font color="green">adj.</font></i> <font color="blue">(f)</font> Feo, sucio. Lugar feo.
a'chi'	<i><font color="green">v.</font></i> <font color="blue">(f)</font> Ensuciar.
a'chikitij	<i><font color="green">v.</font></i> <font color="blue">(m)</font> Ensuciarse.
a'kawa'	<i><font color="green">s.</font></i> Macono gris come víbora.
ä'khantyi'	<i><font color="green">s.</font></i> Peto amarillo.
ä'ni'	<font color="blue">(Cov)</font> <font color="green">Sinón:</font> <b>ä'nis</b> <font color="blue">(SA)</font>. <i><font color="green">adj.</font></i> <font color="blue">(f)</font> Bonita.
ä'ni'tyi'	<font color="blue">(Cov)</font> <font color="green">Sinón:</font> <b>ä'nity</b> <font color="blue">(SA)</font>. <i><font color="green">adj.</font></i> <font color="blue">(m)</font> Simpático.
a'nijyakis	<i><font color="green">s.</font></i> Adornos.
ä'nis	<font color="blue">(SA)</font> <font color="green">Sinón:</font> <b>ä'ni'</b> <font color="blue">(Cov)</font>. <i><font color="green">adj.</font></i> <font color="blue">(f)</font> Bonita.
ä'nity	<font color="blue">(SA)</font> <font color="green">Sinón:</font> <b>ä'ni'tyi'</b> <font color="blue">(Cov)</font>. <i><font color="green">adj.</font></i> <font color="blue">(m)</font> Simpático.
achi'tij	<i><font color="green">v.</font></i> Dañarse.
achi'tyak	<i><font color="green">v.</font></i> Dañar o fregar.
achi'yi	<font color="blue">(SA)</font> <font color="green">Sinón:</font> <b>jam jum'tyaki</b> <font color="blue">(Cov)</font>. <i><font color="green">v.</font></i> Maldecir con palabras.
achi'yis	<i><font color="green">adj.</font></i> <font color="blue">(f)</font> Mala.
achi'yityi'	<i><font color="green">adj.</font></i> <font color="blue">(m)</font> Malo.
ächïj	<i><font color="green">s.</font></i> Perro.
achijchi'	<i><font color="green">adj.</font></i> <font color="blue">(m)</font> Hediondo.
adyak	<font color="blue">(SA)</font> <font color="green">Sinón:</font> <b>anik dyaj</b> <font color="blue">(Cov)</font>. <i><font color="green">adv.</font></i> Acaso; ¿es cierto?
ädyë'	<i><font color="green">s.</font></i> Brasa.
agostokhan	En agosto.
aj	<font color="green">Sinón:</font> <b>atyɨ'</b>. <i><font color="green">adv.</font></i> Si; listo; ya.
aj	<font color="blue">(Cov)</font> <font color="green">Sinón:</font> <b>jɨ̈j</b> <font color="blue">(SA)</font>. <i><font color="green">adv.</font></i> Si, ya, aceptación.
aja'	<i><font color="green">s.</font></i> Gripe.
ajaij	<i><font color="green">v.</font></i> <font color="blue">(m)</font> Agripar.
äjchädyetyi'	<i><font color="green">s.</font></i> Colmillo.
ajja'	<i><font color="green">s.</font></i> Moco.
äjkäwïtä'	<i><font color="green">s.</font></i> Cien pies de cuerpo aplanado y delgado.
ajtsajdye'	<i><font color="green">s.</font></i> Salamandra.
aka' ji'chhuyitidyesi'	<i><font color="green">s.</font></i> Escuela.
aka' pinitikdyes	<i><font color="green">s.</font></i> Posta sanitaria.
aka'	<i><font color="green">s.</font></i> Casa.
aka'khan	<i><font color="green">adv.</font></i> Dentro la casa; en la casa.
aka'tshijdyesi'	<i><font color="green">s.</font></i> Cocina.
aka'ya'	<i><font color="green">prep.</font></i> En la casa; junto a la casa.
akhos	<i><font color="green">s.</font></i> Ajo.
ämërë	<i><font color="green">s.</font></i> Pez tahualla, tawalla o lampita.
