ä'	<i><span fgcolor="#008000">s.</span></i> Espíritu.
ä'äjtyäbä'	<i><span fgcolor="#008000">s.</span></i> Mata caballo, mantis.
a'ara'	<span fgcolor="blue">(Cov)</span> <span fgcolor="#008000">Sinón:</span> <b>ara' anik</b> <span fgcolor="blue">(SA)</span>. <i><span fgcolor="#008000">adv.</span></i> Bastante.
a'chi'	<i><span fgcolor="#008000">adj.</span></i> <span fgcolor="blue">(f)</span> Dañado.
a'chi'	<i><span fgcolor="#008000">adj.</span></i> <span fgcolor="blue">(f)</span> Feo, sucio. Lugar feo.
a'chi'	<i><span fgcolor="#008000">v.</span></i> <span fgcolor="blue">(f)</span> Ensuciar.
a'chikitij	<i><span fgcolor="#008000">v.</span></i> <span fgcolor="blue">(m)</span> Ensuciarse.
a'kawa'	<i><span fgcolor="#008000">s.</span></i> Macono gris come víbora.
ä'khantyi'	<i><span fgcolor="#008000">s.</span></i> Peto amarillo.
ä'ni'	<span fgcolor="blue">(Cov)</span> <span fgcolor="#008000">Sinón:</span> <b>ä'nis</b> <span fgcolor="blue">(SA)</span>. <i><span fgcolor="#008000">adj.</span></i> <span fgcolor="blue">(f)</span> Bonita.
ä'ni'tyi'	<span fgcolor="blue">(Cov)</span> <span fgcolor="#008000">Sinón:</span> <b>ä'nity</b> <span fgcolor="blue">(SA)</span>. <i><span fgcolor="#008000">adj.</span></i> <span fgcolor="blue">(m)</span> Simpático.
a'nijyakis	<i><span fgcolor="#008000">s.</span></i> Adornos.
ä'nis	<span fgcolor="blue">(SA)</span> <span fgcolor="#008000">Sinón:</span> <b>ä'ni'</b> <span fgcolor="blue">(Cov)</span>. <i><span fgcolor="#008000">adj.</span></i> <span fgcolor="blue">(f)</span> Bonita.
ä'nity	<span fgcolor="blue">(SA)</span> <span fgcolor="#008000">Sinón:</span> <b>ä'ni'tyi'</b> <span fgcolor="blue">(Cov)</span>. <i><span fgcolor="#008000">adj.</span></i> <span fgcolor="blue">(m)</span> Simpático.
achi'tij	<i><span fgcolor="#008000">v.</span></i> Dañarse.
achi'tyak	<i><span fgcolor="#008000">v.</span></i> Dañar o fregar.
achi'yi	<span fgcolor="blue">(SA)</span> <span fgcolor="#008000">Sinón:</span> <b>jam jum'tyaki</b> <span fgcolor="blue">(Cov)</span>. <i><span fgcolor="#008000">v.</span></i> Maldecir con palabras.
achi'yis	<i><span fgcolor="#008000">adj.</span></i> <span fgcolor="blue">(f)</span> Mala.
achi'yityi'	<i><span fgcolor="#008000">adj.</span></i> <span fgcolor="blue">(m)</span> Malo.
ächïj	<i><span fgcolor="#008000">s.</span></i> Perro.
achijchi'	<i><span fgcolor="#008000">adj.</span></i> <span fgcolor="blue">(m)</span> Hediondo.
adyak	<span fgcolor="blue">(SA)</span> <span fgcolor="#008000">Sinón:</span> <b>anik dyaj</b> <span fgcolor="blue">(Cov)</span>. <i><span fgcolor="#008000">adv.</span></i> Acaso; ¿es cierto?
ädyë'	<i><span fgcolor="#008000">s.</span></i> Brasa.
agostokhan	En agosto.
aj	<span fgcolor="#008000">Sinón:</span> <b>atyɨ'</b>. <i><span fgcolor="#008000">adv.</span></i> Si; listo; ya.
aj	<span fgcolor="blue">(Cov)</span> <span fgcolor="#008000">Sinón:</span> <b>jɨ̈j</b> <span fgcolor="blue">(SA)</span>. <i><span fgcolor="#008000">adv.</span></i> Si, ya, aceptación.
aja'	<i><span fgcolor="#008000">s.</span></i> Gripe.
ajaij	<i><span fgcolor="#008000">v.</span></i> <span fgcolor="blue">(m)</span> Agripar.
äjchädyetyi'	<i><span fgcolor="#008000">s.</span></i> Colmillo.
ajja'	<i><span fgcolor="#008000">s.</span></i> Moco.
äjkäwïtä'	<i><span fgcolor="#008000">s.</span></i> Cien pies de cuerpo aplanado y delgado.
ajtsajdye'	<i><span fgcolor="#008000">s.</span></i> Salamandra.
aka' ji'chhuyitidyesi'	<i><span fgcolor="#008000">s.</span></i> Escuela.
aka' pinitikdyes	<i><span fgcolor="#008000">s.</span></i> Posta sanitaria.
aka'	<i><span fgcolor="#008000">s.</span></i> Casa.
aka'khan	<i><span fgcolor="#008000">adv.</span></i> Dentro la casa; en la casa.
aka'tshijdyesi'	<i><span fgcolor="#008000">s.</span></i> Cocina.
aka'ya'	<i><span fgcolor="#008000">prep.</span></i> En la casa; junto a la casa.
akhos	<i><span fgcolor="#008000">s.</span></i> Ajo.
ämërë	<i><span fgcolor="#008000">s.</span></i> Pez tahualla, tawalla o lampita.
an'dye'	<span fgcolor="blue">(SA)</span> <span fgcolor="#008000">Sinón:</span> <b>majdye'</b> <span fgcolor="blue">(Cov)</span>. <i><span fgcolor="#008000">s.</span></i> Poza de río o arroyo, lugar hondo, profundo.
änïj	<i><span fgcolor="#008000">adv.</span></i> Muy despacio.
anik dyaj	<span fgcolor="blue">(Cov)</span> <span fgcolor="#008000">Sinón:</span> <b>adyak</b> <span fgcolor="blue">(SA)</span>. <i><span fgcolor="#008000">adv.</span></i> Acaso; ¿es cierto?
anik jum'	Muy bien.
anik	<i><span fgcolor="#008000">s.</span></i> Verdad.
aniknash	<span fgcolor="blue">(SA)</span> <span fgcolor="#008000">Sinón:</span> <b>jibidyaj kha</b> <span fgcolor="blue">(Cov)</span>. <i><span fgcolor="#008000">adv.</span></i> Ciertamente.
aniksis	<i><span fgcolor="#008000">adj.</span></i> <span fgcolor="blue">(f)</span> Cierto, verdadero.
aniksis	<i><span fgcolor="#008000">adv.</span></i> <span fgcolor="blue">(f)</span> Verdaderamente.
aniktyɨ'	<span fgcolor="blue">(m)</span> De verdad.
aniktyi'	<span fgcolor="blue">(SA)</span> <span fgcolor="#008000">Sinón:</span> <b>jibidyaj</b> <span fgcolor="blue">(Cov)</span>. <i><span fgcolor="#008000">conj.</span></i> Claro, por supuesto, respuesta afirmativa.
aniktyity	<i><span fgcolor="#008000">adj.</span></i> <span fgcolor="blue">(m)</span> Verdadero.
äñ	<i><span fgcolor="#008000">s.</span></i> Pómulo, mejilla, cachete.
añedye'	<i><span fgcolor="#008000">s.</span></i> Tiempo de lluvia.
añej	<i><span fgcolor="#008000">s.</span></i> Lluvia. Nube.
añey'	<i><span fgcolor="#008000">v.</span></i> Llover.
apainiki	<i><span fgcolor="#008000">s.</span></i> Árbol del cual se obtiene la medicina para curar carachas.
äpëj	<i><span fgcolor="#008000">s.</span></i> Peto tatú, variedad de avispa peto.
aph bin'ka'dyedye'tyi'	<i><span fgcolor="#008000">s.</span></i> Hualusa moradiza.
aph jaibabatyi'	<i><span fgcolor="#008000">s.</span></i> Hualusa blanca.
aph	<i><span fgcolor="#008000">s.</span></i> Hualusa (nombre genérico), tubérculo que crece en zonas cálidas.
ar'dyiy'	<i><span fgcolor="#008000">s.</span></i> Llanto de loro paraba.
ara'	<span fgcolor="blue">(SA)</span> <span fgcolor="#008000">Sinón:</span> <b>arasi'</b> <span fgcolor="blue">(Cov)</span>. <i><span fgcolor="#008000">s.</span></i> Cantidad, haber en cantidad. Harto.
ara' anik	<span fgcolor="blue">(SA)</span> <span fgcolor="#008000">Sinón:</span> <b>a'ara'</b> <span fgcolor="blue">(Cov)</span>. <i><span fgcolor="#008000">adv.</span></i> Bastante.
arajdye	<i><span fgcolor="#008000">adv.</span></i> Casi.
arajdye' rujin'	<i><span fgcolor="#008000">adv.</span></i> Casi todos, la mayoría.
arajtyak	<i><span fgcolor="#008000">adj.</span></i> Nueve.
arajtyaki' tyak	<i><span fgcolor="#008000">adj.</span></i> Noventa.
arajtyakyatyi'	ïwaj <i><span fgcolor="#008000">s.</span></i> Septiembre.
arara'	<i><span fgcolor="#008000">s.</span></i> Pica pica; itapallo.
arasi'	<span fgcolor="blue">(Cov)</span> <span fgcolor="#008000">Sinón:</span> <b>ara'</b> <span fgcolor="blue">(SA)</span>. <i><span fgcolor="#008000">s.</span></i> Cantidad, haber en cantidad. Harto.
arasi' chhush	<i><span fgcolor="#008000">s.</span></i> Hemorragia.
are'	<i><span fgcolor="#008000">adj.</span></i> Herido, lastimado, enfermo.
are'	<i><span fgcolor="#008000">v.</span></i> Herir.
are'redye'	<i><span fgcolor="#008000">s.</span></i> Dolor superficial del cuerpo.
are'ti'	<i><span fgcolor="#008000">v.</span></i> <span fgcolor="blue">(f)</span> Lastimarse.
are'tidye'	<i><span fgcolor="#008000">s.</span></i> Herida.
are'yi	<i><span fgcolor="#008000">adj.</span></i> <span fgcolor="blue">(m)</span> Adolorido.
are'yi'	<i><span fgcolor="#008000">v.</span></i> <span fgcolor="blue">(f)</span> Doler.
arejwak	<i><span fgcolor="#008000">v.</span></i> Quejarse.
arejwakdye'	<i><span fgcolor="#008000">s.</span></i> Quejido.
ari'ra	<i><span fgcolor="#008000">s.</span></i> Variedad de peto chuturubí café, de nido alargado y plano.
ariosh	<i><span fgcolor="#008000">interj.</span></i> ¡Adios!, ¡Chau!
arosh jijya	<i><span fgcolor="#008000">v.</span></i> Sembrar arroz.
arosh	<i><span fgcolor="#008000">s.</span></i> Arroz.
asajtyoko'	<i><span fgcolor="#008000">s.</span></i> Peto amigo del hombre, de color negro y alas negruzcas; pica, es venenoso y carnívoro.
äshäbä'	<span fgcolor="#008000">Sinón:</span> <b>pofi</b>. <i><span fgcolor="#008000">s.</span></i> Papaya.
äshäbäsi' ro'yakdye'	<i><span fgcolor="#008000">s.</span></i> Baile de la papaya.
äshäbäson	<i><span fgcolor="#008000">s.</span></i> Árbol de corocho.
äshäshäj	<i><span fgcolor="#008000">s.</span></i> Limón, cítrico.
asoka	<i><span fgcolor="#008000">s.</span></i> Azúcar.
atsibañ	<span fgcolor="blue">(Cov)</span> <span fgcolor="#008000">Sinón:</span> <b>ka'ñibɨn</b> <span fgcolor="blue">(SA)</span>. <i><span fgcolor="#008000">v.</span></i> Volver, regresar.
atsij	<i><span fgcolor="#008000">v.</span></i> <span fgcolor="blue">(m)</span> Venir.
aty	<i><span fgcolor="#008000">adv.</span></i> Ya, suficiente o como pregunta de haber finalizado una acción.
atyaj	<i><span fgcolor="#008000">s.</span></i> Sobrino / tío (dicho por el hombre).
atyapi'	<i><span fgcolor="#008000">s.</span></i> El bikaj de más edad, más grande.
atyay	<i><span fgcolor="#008000">s.</span></i> Tío.
atyɨ'	<span fgcolor="#008000">Sinón:</span> <b>aj</b>. <i><span fgcolor="#008000">adv.</span></i> Si.
äwä'	<i><span fgcolor="#008000">s.</span></i> Hijo, hija.
äwä'jitis	<i><span fgcolor="#008000">s.</span></i> Salamanquesa.
äwä'yeban'	<i><span fgcolor="#008000">v.</span></i> <span fgcolor="blue">(f)</span> Engendrar; volver a tener hijo.
awijre'	<span fgcolor="#008000">Sinón:</span> <b>shiri'</b>. <i><span fgcolor="#008000">s.</span></i> Charo o chuchío, variedad de cañahueca que crece en las orillas de ríos y arroyos.
awɨjre' tshe'raktyi'	<span fgcolor="#008000">Sinón:</span> <b>shɨrɨ' tshe'raktyi'</b>. <i><span fgcolor="#008000">s.</span></i> Charos rajados, usado para techar la casa y para el contorno de las esteras.
