body	<font face="Doulos SIL"><font color="blue">ES:</font> cuerpo; <font color="blue">DE:</font> Körper; <font color="blue">FR:</font> corps; <font color="blue">URU:</font> taxi (?) , <font color="green">Nota:</font> <font color="grey">"cf. ‘dos’" (Métraux 1935: 94).</font></font>
head	<font face="Doulos SIL"><font color="blue">ES:</font> cabeza; <font color="blue">DE:</font> Kopf / Schädel; <font color="blue">FR:</font> tête; <font color="blue">URU:</font> acha <font color="grey">(Muysken 2005)</font>; áča / áč'a <font color="grey">(Vellard 1950)</font>; ača <font color="grey">(Métraux 1935)</font>; p'āḗke <font color="grey">(Florentino 1929)</font>; ā́tša <font color="grey">(Lehmann Ancoaqui 1929)</font>; acha, <font color="green">Nota:</font> <font color="grey">"Achoa, cabello, entre los Cayapas del Ecuador, Cham en Culli, dialecto de Pallasca, es cabeza; Acha cabello en Chinchansuyo, y Acsa en Humalles." (Polo [1901] 1957: 80). </font>; ača / tsh(í)jpe <font color="grey">(Uhle 1894)</font>.</font>
neck	<font face="Doulos SIL"><font color="blue">ES:</font> pescuezo, nuca; <font color="blue">DE:</font> Genick, Nacken; <font color="blue">FR:</font> nuque; <font color="blue">URU:</font> tota <font color="grey">(Muysken 2005)</font>; tota <font color="grey">(Métraux 1935)</font>; kora <font color="grey">(Polo 1901)</font>.</font>
back of the head	<font face="Doulos SIL"><font color="blue">ES:</font> cogote, cuello; <font color="blue">DE:</font> Hinterkopf, Nacken; <font color="blue">URU:</font> xora <font color="grey">(Muysken 2005)</font>.</font>
neck	<font face="Doulos SIL"><font color="blue">ES:</font> cuello; <font color="blue">DE:</font> Hals; <font color="blue">FR:</font> cou; <font color="blue">URU:</font> xora <font color="grey">(Métraux 1935)</font>.</font>
throat	<font face="Doulos SIL"><font color="blue">ES:</font> garganta; <font color="blue">DE:</font> Kehle; <font color="blue">URU:</font> xọ́xa <font color="grey">(Vellard 1967)</font>; xọ-xa' <font color="grey">(Vellard 1950)</font>; lṓχ̯o <font color="grey">(Nicolás 1929)</font>; lu’ṛχ̣ <font color="grey">(Lehmann Ancoaqui 1929)</font>; spojorau <font color="grey">(Polo 1901)</font>.</font>
Adam's apple	<font face="Doulos SIL"><font color="blue">ES:</font> nuez; <font color="blue">DE:</font> Adamsapfel; <font color="blue">FR:</font> pomme d‘adam; <font color="blue">URU:</font> tonxora <font color="grey">(Métraux 1935)</font>.</font>
trachea	<font face="Doulos SIL"><font color="blue">ES:</font> tráquea; <font color="blue">DE:</font> Luftröhre; <font color="blue">FR:</font> trachée artère; <font color="blue">URU:</font> tonxora <font color="grey">(Métraux 1935)</font>.</font>
palate	<font face="Doulos SIL"><font color="blue">ES:</font> paladar; <font color="blue">DE:</font> Gaumen; <font color="blue">URU:</font> ā́tishi tšā́ka’ <font color="grey">(Lehmann Ancoaqui 1929)</font>.</font>
hair	<font face="Doulos SIL"><font color="blue">ES:</font> cabello; <font color="blue">DE:</font> Haar; <font color="blue">FR:</font> cheveu; <font color="blue">URU:</font> chera / chira <font color="grey">(Muysken 2005)</font>; čí-ra <font color="grey">(Vellard 1950)</font>; če̱ra <font color="grey">(Métraux 1935)</font>; nik'ū́ta <font color="grey">(Florentino 1929)</font>; nūk'ṓta <font color="grey">(Lehmann Chi'mu 1929)</font>; ĭχ̯klīsa <font color="grey">(Lehmann Ancoaqui 1929)</font>; cḗra / čera <font color="grey">(Uhle 1894)</font>.</font>
white hair	<font face="Doulos SIL"><font color="blue">ES:</font> cabello blanco; <font color="blue">DE:</font> weißes Haar; <font color="blue">URU:</font> chiw chira <font color="grey">(Muysken 2005)</font>.</font>
plait	<font face="Doulos SIL"><font color="blue">ES:</font> trenza; <font color="blue">DE:</font> Haarzopf; <font color="blue">FR:</font> natte; <font color="blue">URU:</font> čúñ <font color="grey">(Vellard 1950)</font>; kisana / čiñs / muiča <font color="grey">(Métraux 1935)</font>; k'ắna <font color="grey">(Lehmann Chi'mu 1929)</font>; tšṓu’ntša <font color="grey">(Lehmann Ancoaqui 1929)</font>.</font>
newly made plaits	<font face="Doulos SIL"><font color="blue">ES:</font> trenzas recién hechas; <font color="blue">FR:</font> tresses de cheveaux nouées; <font color="blue">URU:</font> šku úrtaK’ <font color="grey">(Vellard 1950)</font>.</font>
plait	<font face="Doulos SIL"><font color="blue">ES:</font> trenza; <font color="blue">DE:</font> Zopf; <font color="blue">FR:</font> tresse, <font color="green">Nota:</font> <font color="grey">Uncertain to what the difference is between 'natte' and 'tresse' (Métraux 1935: 108).</font>; <font color="blue">URU:</font> čera-skurs <font color="grey">(Métraux 1935)</font>.</font>
to plait	<font face="Doulos SIL"><font color="blue">ES:</font> trenzar; <font color="blue">DE:</font> flechten; <font color="blue">FR:</font> tresser; <font color="blue">URU:</font> skur <font color="grey">(Métraux 1935)</font>.</font>
many small braids	<font face="Doulos SIL"><font color="blue">ES:</font> muchas trenzitas; <font color="blue">DE:</font> viele kleine Zöpfe; <font color="blue">URU:</font> čočo <font color="grey">(LaBarre 1941)</font>.</font>
beard	<font face="Doulos SIL"><font color="blue">ES:</font> barba (pelo); <font color="blue">DE:</font> Kinnbart; <font color="blue">URU:</font> chip <font color="grey">(Muysken 2005)</font>; číb / cib-ci <font color="grey">(Vellard 1950)</font>; sī́p'ī <font color="grey">(Lehmann Chi'mu 1929)</font>; shī́pi / shī́pi <font color="grey">(Lehmann Ancoaqui 1929)</font>; chers / chirs <font color="grey">(Polo 1901)</font>.</font>
moustache	<font face="Doulos SIL"><font color="blue">ES:</font> bigote; <font color="blue">DE:</font> Schnurrbart; <font color="blue">FR:</font> moustache; <font color="blue">URU:</font> sip <font color="grey">(Métraux 1935)</font>.</font>
white beard	<font face="Doulos SIL"><font color="blue">ES:</font> barba blanca; <font color="blue">DE:</font> weißer Bart; <font color="blue">URU:</font> či-wu <font color="grey">(Vellard 1950)</font>.</font>
face	<font face="Doulos SIL"><font color="blue">ES:</font> cara; <font color="blue">DE:</font> Gesicht; <font color="blue">URU:</font> yukj <font color="grey">(Muysken 2005)</font>; yuk <font color="grey">(Vellard 1950)</font>; yuksi <font color="grey">(Métraux 1935)</font>; ăχ̬ā́nu <font color="grey">(Florentino 1929)</font>; yū́kị <font color="grey">(Lehmann Ancoaqui 1929)</font>; yuk(i) <font color="grey">(Uhle 1894)</font>.</font>
cheeks	<font face="Doulos SIL"><font color="blue">ES:</font> mejillas; <font color="blue">DE:</font> Wangen; <font color="blue">URU:</font> yū́ki <font color="grey">(Florentino 1929)</font>; pí’sk-yū́kū <font color="grey">(Lehmann Ancoaqui 1929)</font>.</font>
chin	<font face="Doulos SIL"><font color="blue">ES:</font> barbilla; <font color="blue">DE:</font> Kinn; <font color="blue">FR:</font> menton; <font color="blue">URU:</font> kanču <font color="grey">(Métraux 1935)</font>.</font>
eye	<font face="Doulos SIL"><font color="blue">ES:</font> ojo(s); <font color="blue">DE:</font> Auge; <font color="blue">FR:</font> œil; <font color="blue">URU:</font> chhukhe <font color="grey">(Muysken 2005)</font>; čúki <font color="grey">(Vellard 1967)</font>; čuk'ẹ́ <font color="grey">(Vellard 1950)</font>; siñi <font color="grey">(Métraux 1935)</font>; tš'āχ̣nie' / tš'ū́χ̣nĭă <font color="grey">(Florentino 1929)</font>; tšūk <font color="grey">(Lehmann Ancoaqui 1929)</font>; shucui <font color="grey">(Bacarreza 1910)</font>; shucui / chuqui <font color="grey">(Polo 1901)</font>; čuki <font color="grey">(Uhle 1894)</font>.</font>
eyelid	<font face="Doulos SIL"><font color="blue">ES:</font> párpado; <font color="blue">DE:</font> Augenlid(er); <font color="blue">FR:</font> paupière; <font color="blue">URU:</font> chhukhe chqisi <font color="grey">(Muysken 2005)</font>; čúk' ẹ ¢íļi , <font color="green">Nota:</font> <font color="grey">"peau de l'oeil" (Vellard, 1950: 57).</font>; čuk-skisi / čukči-skisi , <font color="green">Nota:</font> <font color="grey">"litt. ‚peau de l’œil‘" (Métraux 1935: 103). </font>; skēsi <font color="grey">(Uhle 1894)</font>.</font>
eyelashes	<font face="Doulos SIL"><font color="blue">ES:</font> pestañas; <font color="blue">DE:</font> Augenwimpern; <font color="blue">URU:</font> uch chimcha / chhukh chimcha <font color="grey">(Muysken 2005)</font>; tšūk-tšĕ́mtša <font color="grey">(Lehmann Ancoaqui 1929)</font>.</font>
eyebrow(s)	<font face="Doulos SIL"><font color="blue">ES:</font> cejas; <font color="blue">DE:</font> Augenbraue(n); <font color="blue">FR:</font> sourcil; <font color="blue">URU:</font> chimcha <font color="grey">(Muysken 2005)</font>; či / čúk'ẹ či, <font color="green">Nota:</font> <font color="grey">"poils de l'oeil" (Vellard, 1950: 57).</font>; čuk-čimča <font color="grey">(Métraux 1935)</font>; tšūntša <font color="grey">(Lehmann Chi'mu 1929)</font>; tšū’k-tšĕ́mtša <font color="grey">(Lehmann Ancoaqui 1929)</font>.</font>
tear(s)	<font face="Doulos SIL"><font color="blue">ES:</font> lágrima; <font color="blue">DE:</font> Träne(n); <font color="blue">FR:</font> larmes; <font color="blue">URU:</font> khaw <font color="grey">(Muysken 2005)</font>; táx-¢ẹ / háx-¢ẹ <font color="grey">(Vellard 1950)</font>; k<sup>x</sup>au̯ski / kax čipi <font color="grey">(Métraux 1935)</font>; !kā́u’i / khā́u’i <font color="grey">(Lehmann Ancoaqui 1929)</font>.</font>
