a	Primera letra del abecedario español y del orden latino internacional, que representa un fonema vocálico abierto y central. <b>2.</b> Fil. Signo de la proposición universal afirmativa.
a	Gramat. (“a” = “ru”, es el sufijo direccional en el idioma aymara). <span foreground="#228B22">Ej::</span> <i>a) Utaru = a la casa. b) Jumaru = a usted.</i>
ab aeterno	Dícese Sinti nayratsa nayratpacha.
ábaco	<span foreground="#228B22">s.</span> Jakhuña. <span foreground="#228B22">Sinón:</span> <span foreground="#483D8B">wakhuña</span>.
abajar	<span foreground="#228B22">v. tr.</span> Saraqaña. <span foreground="#228B22">Sinón:</span> <span foreground="#483D8B">maqaqaña aynacharu</span>.
abajeño, -ña	<span foreground="#228B22">adj.</span> Aynachankiri. <b>2.</b> Natural de El Bajío; pertenece a la región de los Estados de Guanajuato, Michoacán y Jalisco, en México. <b>3.</b> Natural o procedente de costas y tierras bajas. <b>4.</b> Sureño en Argentina.
abajo	<span foreground="#228B22">adv.</span> Aynacha. <b>2.</b> Hacia lugar o parte inferior.
abajo	<span foreground="#228B22">s.</span> Sur. <b>2.</b> Aynacha tuqi. (Punto cardinal del horizonte. Cuesta abajo. El abajo firmante).
ab initio	Dícese Qalltutpacha pachana.
abalanzar	<span foreground="#228B22">v. tr.</span> Jalkataña. <b>2.</b> Chikkataña. <b>3.</b> Nayraqataru alt'aña.
abalear	<span foreground="#228B22">v. tr.</span> Khuytuña. <span foreground="#228B22">Ej::</span> <i>Siwara khuytuña = Abalear la cebada.</i>
abalorio	<span foreground="#228B22">s.</span> Wallqa. Pequeña cuenta en vidrio (cadena de perlas).
abanderado	<span foreground="#228B22">pronl.</span> Wiphala apiri. <b>2.</b> El que lleva bandera en las procesiones u otros actos públicos.
abandonada	<span foreground="#228B22">s.</span> Jiwurata, jaytjata (<span foreground="#228B22">p.e.</span> abandonar cría). <b>2.</b> Axaraña, en Bolivia.
abandonado, -da	<span foreground="#228B22">adj.</span> Jaytjata, jaytamukuta. <span foreground="#228B22">Ej::</span> <i>Q'ipimukuta = abandonado el atado.</i>
abandonar	<span foreground="#228B22">v. tr.</span> Jaytjaña. <b>2.</b> Jaqumukuña. <b>3.</b> Jikhamukuña. <b>4.</b> Jik'imukuma. <b>5.</b> Alismukuña. <b>6.</b> Anamukuña. <b>7.</b> Asamukuña. <b>8.</b> Inkumukuña. <b>9.</b> Iqamukuña. <b>10.</b> Iramukuña. <b>11.</b> Irpamukuña. <b>12.</b> Itumukuña. <b>13.</b> Kallamukuña. <b>14.</b> Wayumukuña. <b>15.</b> Willimukuña. <b>16.</b> Jach'imukuña. <b>17.</b> Jaytamukuña. <b>18.</b> Liwimukuña. <b>19.</b> Jat'imukuña.
abaratar	<span foreground="#228B22">Fig.</span> <span foreground="#228B22">v. tr.</span> Wajarayaña. <span foreground="#228B22">Var:</span> <span foreground="#483D8B">wajayaña</span>. <b>2.</b> Iraqaña. <b>3.</b> Chani iraqaña.
abarca	<span foreground="#228B22">s.</span> Jiskhu. <span foreground="#228B22">Var:</span> <span foreground="#483D8B">wiskhu </span>(sandalia). <b>2.</b> Ojota. <span foreground="#228B22">Sinón:</span> <span foreground="#483D8B">phuulq'u</span>.
abarcar	<span foreground="#228B22">v. tr.</span> Marqaña, marqtuña. <b>2.</b> Qhumtapiña. <b>3.</b> <span foreground="#228B22">Fig.</span> Uñatataña. (Ceñir algo con los brazos o con la mano. Rodear, comprender. Contener, implicar o encerrar en sí. Percibir o dominar con la vista, de una vez, algo en su totalidad).
abarrotar	<span foreground="#228B22">v. tr.</span> Phinaña. <b>2.</b> Phuqt'ayaña. <b>3.</b> Qutuchaña. (Hacinar. Amontonar, acumular, juntar sin orden.)
abarrote	<span foreground="#228B22">pronl.</span> Uta manqha aljaña qhatu. (<span foreground="#228B22">pl.</span> Artículos comestible y otros mercaderías más).
abastecer	<span foreground="#228B22">v. tr.</span> Manq'a  phuqantaña. <b>2.</b> Manq'a apthapiña, tantthapiña. <b>3.</b> <span foreground="#228B22">adv.</span> Yänaka mathapiyaña. <b>4.</b> Kunaymana yänaka aptapiña utaru.
abasto	Qhatu manq'anaka aptapita, phayañataki, aljañataki.
abatido	Jani waliru uñjata. <b>2.</b> <span foreground="#228B22">Fig.</span> aynacht'ata. <b>3.</b> Pamaparu liwinuqtata.
abatir	<span foreground="#228B22">v. tr.</span> Jaqutattayaña, pirqa alljaña. <b>2.</b> Jaquqaña, jaqsuña. <b>3.</b> Liwimuktayaña. (Derribar, derrocar, echar por tierra. Hacer que algo caiga o descienda).
abdómen	<span foreground="#228B22">Anat.</span> Puraka. <span foreground="#228B22">Sinón:</span> <span foreground="#483D8B">phatanka</span>. abdomen. (Vientre, cavidad del cuerpo de los vertebrados). En los mamíferos queda limitada por el diafragma. (conjunto de vísceras). 2 . <span foreground="#228B22">Zool.</span> En muchos animales invertebrados, región que sigue al tórax; (<span foreground="#228B22">p.e.</span> en los insectos).
