soplar; aire, viento	(v) -áchajuka. Piachajuka eta yuku sopla el juego. Nachajuka, soplo. Náchajuaka, soplar el cuerpo (con algún objeto, o soplar el fuego). Náchaju'aukicha, soplo el ojo. Piachaju'aukichanu, sopla mi ojo. Piachajuaka ete yuku, supla el fuego.
aire; soplar, viento	(v) -áchajuka. Piachajuka eta yuku sopla el juego. Nachajuka, soplo. Náchajuaka, soplar el cuerpo (con algún objeto, o soplar el fuego). Náchaju'aukicha, soplo el ojo. Piachaju'aukichanu, sopla mi ojo. Piachajuaka ete yuku, supla el fuego.
viento; soplar; aire	(v) -áchajuka. Piachajuka eta yuku sopla el juego. Nachajuka, soplo. Náchajuaka, soplar el cuerpo (con algún objeto, o soplar el fuego). Náchaju'aukicha, soplo el ojo. Piachaju'aukichanu, sopla mi ojo. Piachajuaka ete yuku, supla el fuego.
resuello; resoplo; respiración	(n) -áchajurapa.
resoplo; resuello; respiración	(n) -áchajurapa.
respiración; resuello; resoplo	(n) -áchajurapa.
adulto, mayor de edad	(n) achánaru. Achánaruvipa, ya eres mayor de edad.
mayor de edad; adulto	(n) achánaru. Achánaruvipa, ya eres mayor de edad.
humano, la gente	se emplea en singular para designar al varón y en singular para abarcar a ambos sexos. (n) achane.
gente, humano	se emplea en singular para designar al varón y en singular para abarcar a ambos sexos. (n) achane.
persona viva	(n) achánekene. Nima'a'i esu esena achanekene'i, vi a una mujer de verdad viva.
hacer vivir, revivirlo	(v) -áchanecha. Ema viya tiáchanechanu'i. El señor me dio vida.
revivirlo; hacer vivir	(v) -áchanecha. Ema viya tiáchanechanu'i. El señor me dio vida.
aun está vivo	(v) achanecha'a. Eta juka tamuku achaneicha'a. El pero todavía está vivo.
volver en sí; después de desmayarse; revivir; reconstituirse	(n) -áchanechawa.
después de desmayarse; volver en sí; revivir; reconstituirse	(n) -áchanechawa.
revivir; volver en sí; después de desmayarse; reconstituirse	(n) -áchanechawa.
reconstituirse; volver en sí; después de desmayarse; revivir	(n) -áchanechawa.
mascaras; un grupo de bailadores típicos (llamado "mascaritas")	(n) achánemirana.
compasión, generoso de buen corazón	(v) achánesamure.
generoso de buen corazón; compasión	(v) achánesamure.
alma, espíritu de uno	(n) -áchanewa. Makárichu ema viya máimati eta náchanewa ena acháneana. Sólo Dios conoce el alma de la gente.
espíritu de uno; alma	(n) -áchanewa. Makárichu ema viya máimati eta náchanewa ena acháneana. Sólo Dios conoce el alma de la gente.
chamuscar	(v) -ácharaka. Piacharaka eta iya, chamuscar al mono. Tiacharákanu'i eta yuku, me chamusco el fuego.
chamuscar	(v) -ácharakawa. Ráfagas de llamas de fuego. Carbonizar. Tiácharakawa eta kachi te tamuruira'i. Se chamuscó el motacu cuando se ardió.
carbonizar al interior chamuscar, meter llamas de fuego dentro de alguna cosa	(v) -ácharajuereka. Monte. Tiácharajuereka simena eta yucu. El fuego siempre chamusca el monte. Ema achane macharajuereka eta jurnu, el hombre chamusca el horno. Ema felix macharajuereka'i eta yukuki pasa tauchuka eta mata. Felix chamusca adentro del palo para que salga el tatu.
meter llamas de fuego dentro de alguna cosa; carbonizar al interior chamuscar	(v) -ácharajuereka. Monte. Tiácharajuereka simena eta yucu. El fuego siempre chamusca el monte. Ema achane macharajuereka eta jurnu, el hombre chamusca el horno. Ema felix macharajuereka'i eta yukuki pasa tauchuka eta mata. Felix chamusca adentro del palo para que salga el tatu.
camino; vía; carretera; calle, senda	(n) achene. Eta achene nayanirare ena acheneana, el camino es donde transita la gente.
vía; camino; carretera; calle, senda	(n) achene. Eta achene nayanirare ena acheneana, el camino es donde transita la gente.
carretera; camino; vía; calle, senda	(n) achene. Eta achene nayanirare ena acheneana, el camino es donde transita la gente.
calle; camino; vía; carretera, senda	(n) achene. Eta achene nayanirare ena acheneana, el camino es donde transita la gente.
senda; camino; vía; carretera; calle	(n) achene. Eta achene nayanirare ena acheneana, el camino es donde transita la gente.
cerca del camino	(n) achénechakaya. Nunaki'ai eta namakene te achenechakaya.
calle	(n) -ache'ukure. Esu meme tiakipaikawa'i te viache'ukure kape sache, la señora se cayó en la calle ayer.
decisión	(n) -áche'upanewaka. Ena nuchichanaveana te ichasiwakapa nache'upanewakapa, mis hijos adultos cada uno tomó su camino.
día de mañana, futuro cercano	(adv.) achíchu. Achíchurichu pichawa. Vuelve mañana mismo.
futuro cercano; el día de mañana	(adv.) achíchu. Achíchurichu pichawa. Vuelve mañana mismo.
remojar; chivé (harina, polvo) remojado	(v) -áchipaka. Piachipaka eta jarina viawaraina, remoja el chive para nuestro jacuú.
chivé (harina, polvo) remojado; remojar	(v) -áchipaka. Piachipaka eta jarina viawaraina, remoja el chive para nuestro jacuú.
rociar con los dedos	(v) -áchichijika. Piachichijika eta yuwapa te arusu, rocía la harina de arroz.
payaso típico entre los ignacianos; baile típico chistoso	(n) achu. Teyereruwa saku vimu'ikiape tikisa; siasire te parumame; mirare tikaepiya te yukuki; yupairiki tepiñuki te yukuki; veparupewa te parumane; tavíripiki te ta'i chaka'i te'epa tajipaña kuparara.
abuelo	(n) -áchuka. Ema/eñi nachuka, mi abuelo.
bisabuelo	(n) -áchukaekene. Ema nachukaekene tijarakanu'i eta nukaye'ekene'i puiti. Mi bisabuelo me dio los que tengo ahora.
abuelos del antepasado	(n) -áchukanaveanaini. Ena viáchukanaveanaini tumeanaicha'a, los antepasado eran muy valiente.
cuento; caso; apodo de tocayasco de hombre; costumbre o sistema	(n) -áchukarapi. Vechejisi'ayare eta máchukarapi ema ichini. Vamos a contar sobre el cuento del tigre.
caso; cuento; apodo de tocayasco de hombre; costumbre o sistema	(n) -áchukarapi. Vechejisi'ayare eta máchukarapi ema ichini. Vamos a contar sobre el cuento del tigre.
apodo de tocayasco de hombre; cuento; caso; costumbre o sistema	(n) -áchukarapi. Vechejisi'ayare eta máchukarapi ema ichini. Vamos a contar sobre el cuento del tigre.
costumbre o sistema; cuento; caso; apodo de tocayasco de hombre	(n) -áchukarapi. Vechejisi'ayare eta máchukarapi ema ichini. Vamos a contar sobre el cuento del tigre.
silbato	(n) -achuja. Tejekawapa eta nachuja ena amaperuana; se fregó el silbato de los muchachos.
hamaca	la hamaca mojeña es tejido del hilo de algodón hecha por las mujeres mojeña. (n) áchuji. Eta achuji maimasirare amuyana etapa nakanarasirarewa ena viachukana. La hamaca es donde duermen los niños y donde descansan los abuelos.
bufeo (un mamífero del agua)	(n) aika. Eta aika panaikana te kajakure te tiápanainapa eta una, el bufeo arriba cuando el agua ya va subir en los río. Eta aika tiupikusiri. El bufeo tiene pico largo.
¡caramba che!; ¡hay por dios!	(interjección) aíchapukaini. Aíchapukaini wa'icha nítujikawaima'i nuyána te víjaremu'u. ¡Caramba che, no voy a poder ir a la fiesta!
¡hay por dios!; ¡caramba che!	(interjección) aíchapukaini. Aíchapukaini wa'icha nítujikawaima'i nuyána te víjaremu'u. ¡Caramba che, no voy a poder ir a la fiesta!
especie de loro, parabachí (un ave)	(n) aja. Tinika sipani eta aja, el loro come maíz. Tijurukana te yukukiana vienen entre los arboles.
parabachí (un ave); especie de loro	(n) aja. Tinika sipani eta aja, el loro come maíz. Tijurukana te yukukiana vienen entre los arboles.
hombre; varón, macho	(n) ajaíra. Ajairara'apa ema nuchicha ya es jovencito mi hijo. Ajáirakenepa ya es bien hombre. Ajáirainapa ya va ser hombre. Ema ajaira tikaematanera'i, el hombre es trabajador.
varón; hombre, macho	(n) ajaíra. Ajairara'apa ema nuchicha ya es jovencito mi hijo. Ajáirakenepa ya es bien hombre. Ajáirainapa ya va ser hombre. Ema ajaira tikaematanera'i, el hombre es trabajador.
macho; hombre; varón	(n) ajaíra. Ajairara'apa ema nuchicha ya es jovencito mi hijo. Ajáirakenepa ya es bien hombre. Ajáirainapa ya va ser hombre. Ema ajaira tikaematanera'i, el hombre es trabajador.
camijeta; ropa de hombre, cusma	(n) ajairamuíri'a. Tejido de hilo de algodón elaborado de las mujere mojeña. Eta nuye'e ajairamuiri'a temitiaka'i te nupena. Mi camijeta se perdió en mi casa.
ropa de hombre; camijeta, cusma	(n) ajairamuíri'a. Tejido de hilo de algodón elaborado de las mujere mojeña. Eta nuye'e ajairamuiri'a temitiaka'i te nupena. Mi camijeta se perdió en mi casa.
cusma; camijeta; ropa de hombre	(n) ajairamuíri'a. Tejido de hilo de algodón elaborado de las mujere mojeña. Eta nuye'e ajairamuiri'a temitiaka'i te nupena. Mi camijeta se perdió en mi casa.
puramente hombres	(n) ajairakijiana. Ajairakijiana ena nuchichanaveana mis hijos todos son hombre.
hombre valiente; hombre de verdad	(n) ajáirakene. Ena viachukanaveanaini akaneni ajairakeneanaicha'a tumeanaicha'a los abuelos de ante eran valientes.
hombre de verdad; hombre valiente	(n) ajáirakene. Ena viachukanaveanaini akaneni ajairakeneanaicha'a tumeanaicha'a los abuelos de ante eran valientes.
gallo, ave macho	(n) ajairi'i. Techejikapa eta ajair'i warayu tijara'inapa, ya conto el pollo ya va amanecer.
ave macho; gallo	(n) ajairi'i. Techejikapa eta ajair'i warayu tijara'inapa, ya conto el pollo ya va amanecer.
¿quién es?	se refiere a una pregunta de ¿quién es?; en el idioma sinónimo de limpiar. (v) -ája'a. Nája'avi, ¿quién eres? Limpiar. Piaja'a eta vinisirare, limpia la mesa.
secar (con toalla o trapo); desecar	(v) -ája'akawa. Piaja'aka esu amuya. Sécala a la niña.
desecar; secar (con toalla o trapo)	(v) -ája'akawa. Piaja'aka esu amuya. Sécala a la niña.
secar un cuerpo con trapo	(v) -ájameka. Piajameka eta vinisirare te amaratataji, secar la mesa con trapo.
limpiar el pie	(v) -ájapewacha. Piajapewachawa límpiate el pie.
secar los utensilios de mesa	(v) -ájasimuri'a. Nájasimuri'aya. Voy a secar los utensilios de mesa.
abrir la boca; lamer (de gatos)	(v) -ájajaka. Piájajaka apaesa ema vépukukia'era'i maíma'a eta pia'e. Abre la boca para que el dentista pueda ver tu diente. Eta kajiure tiajajaka te tijure sache. El lagarto abre la boca cuando se asolea.
lamer (de gatos); abrir la boca	(v) -ájajaka. Piájajaka apaesa ema vépukukia'era'i maíma'a eta pia'e. Abre la boca para que el dentista pueda ver tu diente. Eta kajiure tiajajaka te tijure sache. El lagarto abre la boca cuando se asolea.
bostezar	(v) -ájajairi'i. Nájajairi'i taicha tawara'aicha nímaka. Estoy bostezando porque todavía tengo sueño.
bostezar; inspirar, aspirar	(v) -ájajamuri'a. Ena tikarawa'uraiana tiajajamuri'ana taicha tivitanapa los estudiantes están bostezando porque ya están cansado. Ena tiájajairi'iana ello está bostezando toditos juntos.
inspirar; bostezar, aspirar	(v) -ájajamuri'a. Ena tikarawa'uraiana tiajajamuri'ana taicha tivitanapa los estudiantes están bostezando porque ya están cansado. Ena tiájajairi'iana ello está bostezando toditos juntos.
aspirar; bostezar; inspirar	(v) -ájajamuri'a. Ena tikarawa'uraiana tiajajamuri'ana taicha tivitanapa los estudiantes están bostezando porque ya están cansado. Ena tiájajairi'iana ello está bostezando toditos juntos.
boquiabierta (estar)	(v) -ájajaraka. Tiajajaraka esu amuya te timara'i la niña se pone boquiabierta cuando se pone a mirar.
brazo extendido	(v) -ájarupawaki. Najarupawaki te mamiraru'u Viya extiendo mis brazos ante Dios.
abrir la mano con palma encima	(v) -ájaruwa'u.
abrir los dedos del pie, estar con los dedos extendidos	(v) -ájarukiwa. Najarukiwa'u extendiendo los dedos de la mano.
estar con los dedos extendidos; abrir los dedos del pie	(v) -ájarukiwa. Najarukiwa'u extendiendo los dedos de la mano.
mamar, chupar pezón de la madre	(v) -ájika. Ena ánichichana amúyana wa'i náituka térana te pusiyu, takárichu tiájikana. Los niños chiquitos no saben beber en taza, sólo chupan.
chupar pezón de la madre; mamar	(v) -ájika. Ena ánichichana amúyana wa'i náituka térana te pusiyu, takárichu tiájikana. Los niños chiquitos no saben beber en taza, sólo chupan.
estar seco adentro (pozo, río, taza y algún oyo)	(v) -ájiku. Tiájikupa eta kajákure. Ya se secó el río. Tiajikupa eta yupi, ya se secó el cántaro.
seco	(v) -ájiji. Tiájijipa wama'i. Ya está seca la pampa. Nájijika lo seco. Piajijika eta pimuiri'a, seca tu vestido. Náji'a seco la ropa en mi cuerpo. Náji'akawa me seque con trapo. Tiájijipa eta tajuru ya se seco el retoño o planta. Tiájijinapa eta kajakure. Ya se está secando el río. Tiájipi'i eta uchepi, se seco el sabayón, tiajipi'i eta kichare, eta seco o asoleado la víbora.
secar en el sol cuero o charque	(v) -ájimereka.
plátano maduro secado por el sol, chuño de plátano maduro (tikísa)	(n) ajíne.
chuño de plátano maduro (tikísa); plátano maduro secado por el sol	(n) ajíne.
asolear en el suelo (ropa)	(v) -ájipaika.
brazo paralizado	(n) -ájipawaki. Najipawakipa ya se paralizó mi brazo.
asolear leña, asolear arroz	(v) -ájikereka.
asolear arroz; asolear leña	(v) -ájikereka.
palo seco; leña; granos secos (arroz, chocolate, café, etc.)	(n) -ájikeru.
leña; palo seco; granos secos (arroz, chocolate, café, etc.)	(n) -ájikeru.
granos secos (arroz, chocolate, café, etc.); palo seco; leña	(n) -ájikeru.
secarse una planta, palo o grano	(v) -ájiki. Tiájiki eta yukuki, está seco el palo.
palo o grano; secarse una planta	(v) -ájiki. Tiájiki eta yukuki, está seco el palo.
asolear, secar granos	(v) -ájiki'a. Najiki'a eta nu'arusura. Seco mi arroz.
secar granos; asolear	(v) -ájiki'a. Najiki'a eta nu'arusura. Seco mi arroz.
enflaquecerse mucho, persona seca muy flaca	(v) -ájime.
persona seca muy flaca; enflaquecerse mucho	(v) -ájime.
secarlo (vaso, plato, cabeza, cucharón)	(v) -ájisika.
asar (charque, pollo, pato, etc.)	(v) -ájimaka. Viájimakayare eta juka waka te ajímaraki. Vamos a asar esta carne en pacumuto.
palo pacumuto (anticuchero)	(n) ajímaraki.
asado	(n) -ájimaru. Tijupa eta piajimaru, ya se quemó tu asado.
asado en braza	(v) ajímaruka. Viníkaicha eta wachere ajímaruka te emániki. Comemos el buchere asado en brazas.
cosa de diferente clase; cualquier cosa	(n) -ájiparaka.
cualquier cosa; cosa de diferente clase	(n) -ájiparaka.
tantas cositas	(v) -ájiparakana. Najiparakana gente de toda clase. Títekapanapa ena nájiparakana nasi'a'airuana te wama'i. Llegaron tanta (clase de) gente en la pampa. Tájiparakana'i eta visámakeneana maurira'ana te najáka ena acháneana. Son tantas clases de mala palabras que se oye de la gente.
esclavo; trabajando todos los días, sin días libres	(adj) ajire. Narari'i ena ajíreana te emátaneka taicha wuícha'a náitawachacha eta nave'akene'í muriare. Algunos esclavos continúan trabajando porque no terminan de pagar la ropa que sacan.
trabajando todos los días; esclavo, sin días libres	(adj) ajire. Narari'i ena ajíreana te emátaneka taicha wuícha'a náitawachacha eta nave'akene'í muriare. Algunos esclavos continúan trabajando porque no terminan de pagar la ropa que sacan.
sin días libres; esclavo; trabajando todos los días	(adj) ajire. Narari'i ena ajíreana te emátaneka taicha wuícha'a náitawachacha eta nave'akene'í muriare. Algunos esclavos continúan trabajando porque no terminan de pagar la ropa que sacan.
amigo	(n) -ájiriare. Esu najiriare tikajumapa taicha tamúrakawa suematane. Mi amiga se enfermó por su trabajo que es muy duro.
escritura; título; plano; inscripción; partido de bautismo; fe de edad	(n) -ájukuna. Nájukuna. Mi partido de bautismo.
título; escritura; plano; inscripción; partido de bautismo; fe de edad	(n) -ájukuna. Nájukuna. Mi partido de bautismo.
plano; escritura; título; inscripción; partido de bautismo; fe de edad	(n) -ájukuna. Nájukuna. Mi partido de bautismo.
inscripción; escritura; título; plano; partido de bautismo; fe de edad	(n) -ájukuna. Nájukuna. Mi partido de bautismo.
partido de bautismo; escritura; título; plano; inscripción; fe de edad	(n) -ájukuna. Nájukuna. Mi partido de bautismo.
fe de edad; escritura; título; plano; inscripción; partido de bautismo	(n) -ájukuna. Nájukuna. Mi partido de bautismo.
escribir; inscribir; anotar	(v) -ájukunacha.
inscribir; escribir; anotar	(v) -ájukunacha.
anotar; escribir; inscribir	(v) -ájukunacha.
escribir, asentar en libro	(v) -ájucha. Ema tiájurekara'i májucha te ajumeruka eta suchusine eta súchusira esu amuya. El secretario escribió en el libro la fecha del nacimiento de la niña.
asentar en libro; escribir	(v) -ájucha. Ema tiájurekara'i májucha te ajumeruka eta suchusine eta súchusira esu amuya. El secretario escribió en el libro la fecha del nacimiento de la niña.
pizarra	(n) -ajúchemeresirare. Eta najumeresirare te nimitureka wa'ipa tiuri la pizarra.
nombre de una danza orijinaria de pueblo mojeño ignaciano	(n) ajúcharaki. Eta irimaraki ajucharaki tákamunu eta tapusiana taji'u eta waka, tikanasi apanapaimamaji sintapiana. Eta tapusiana eta taji'una waka eta takanunu te tirimaikana ena tirimaikaraiana.
escribir en o rayar la pared	(v) -ájucheka. Najucheka te yuchana escribo en la pared.
historia (describir historia)	(n) -ajuekene'a.
escribir la historia	(v) -ájuekene'a.
papel	(n) ajúmeruka. Eta ajúmeruka tijapu viajuchirare eta vipanereru eta taunaka wa'i tépa'aima'i, el papel es blanco donde escribimos nuestros pensamientos lo guarda jamas se borra.
escribir en el suelo	(v) -ájupairíka.
