A, a	primera letra del alfabeto quechua normalizado; representa a la vocal baja central /a/; no tiene variaciones en su pronunciación a, a 1 uyaywa [a] <font color=blue>qillqa.</font> <font color=ForestGreen>s.</font> Juk ñiqi qillqa qhichwa ñancharisqa qillqakunamanta; uyaywa. Kay a uyaywaqa mana jayk'aqpis wakjinayanchu. Jinapis simip, phatmip qallariyninpi, tukukuyninpi, iskay upayariq chawpinpipis riyta atin: akllay, ruwana. <font color=brown>(ñancha, rk)</font>
A cuál	mayqinman mayqinmantaq quna kanman? A cuál se le debiera dar?
A cuánto	jayk'akama <font color=purple>LPZ</font>. <font color=brown>(pat)</font>
A discreción	<font color=ForestGreen>v.</font> Samariy
A dónde	mayman <font color=purple>LPZ</font> maymantaq. <font color=brown>(pat)</font>
A dónde	mayñiqmantaq. <font color=brown>(rk)</font>
A dónde	<font color=purple>LPZ</font> <font color=ForestGreen>adv.</font> Mayta, maytataq. <font color=brown>(ceq, pat)</font>
A dónde siempre	maytapuni <font color=purple>LPZ</font>. <font color=brown>(pat)</font>
A dondequiera	<font color=ForestGreen>pron.int.</font> Mayllamampis <font color=brown>(ceq)</font>
A la derecha	<font color=ForestGreen>f.</font> Pañaman, pañaman kutiy 
A la izquierda	<font color=ForestGreen>f.</font> Lluq'iman, lluq'iman kutiy 
A lo largo	<font color=purple>LPZ</font> <font color=ForestGreen>adv.</font> Kimraynin <font color=brown>(pat)</font>
A lo que hay	<font color=ForestGreen>adv.</font> Kasqanmanjina <font color=purple>LPZ</font> <font color=brown>(pat)</font>
A manos llenas	<font color=ForestGreen>adv.</font> Maki junt'a <font color=purple>LPZ</font> <font color=brown>(atd, pat)</font>
A medias	<font color=ForestGreen>adj.</font> Khuskan khuskan <font color=purple>LPZ</font> kuskan kuskan <font color=purple>PTS</font> khuskan khuskan <font color=brown>(pat)</font>
A menudo, cada vez	<font color=ForestGreen>adv.</font> Sapa kuti <font color=brown>(ceq, rk)</font>
A otra parte	<font color=ForestGreen>adv.</font> Jukñiqman <font color=brown>(ceq)</font>
A otro	wakman <font color=purple>LPZ</font>. <font color=brown>(pat)</font>
A pie	<font color=ForestGreen>adv.</font> Chakipi <font color=brown>(ceq, rk)</font>
A qué	imaman <font color=purple>LPZ</font>. <font color=brown>(pat)</font>
A qué	imamantaq.
¿a qué equivale?	Imamantaq ñikun?
¿a qué pues?	Imaman a? <font color=brown>(rk)</font>
A quién	pita <font color=purple>LPZ</font> <font color=purple>PTS</font> <font color=ForestGreen>pron.int.</font> Pitataq. <font color=brown>(pat, rk)</font>
A quién	más pitawan <font color=purple>LPZ</font>. <font color=brown>(pat)</font>
¿a quién?	Piman. <font color=brown>(rk)</font>
A quiénes	pikunatataq.
A todas partes	<font color=ForestGreen>adv.</font> Tukuyñiqta <font color=brown>(ceq)</font>
A un lado	<font color=ForestGreen>adv.</font> Jukñiqman <font color=purple>LPZ</font> <font color=brown>(pat)</font>
A veces	wakin kuti
Ábaco incaico	<font color=ForestGreen>s.</font> Yupana
Abajo	<font color=ForestGreen>adv.</font> Ura <font color=purple>CHU</font> <font color=purple>LPZ</font> <font color=purple>PTS</font> <font color=brown>(ceq, lot, pat, rh, str)</font>
Abalorio	<font color=ForestGreen>s.</font> Chakira (tla)
Abanderado	st. <font color=ForestGreen>s.</font> El que lleva la bandera. Wiphalachiq, unanchachiq. (tla)
Abandonado	<font color=ForestGreen>part.</font> saqirparisqa <font color=purple>LPZ</font>. <font color=brown>(pat)</font>
Abandonar	<font color=ForestGreen>v.tr.</font> Saqiray <font color=purple>LPZ</font> <font color=brown>(pat)</font>
Abandonar definitivamente	<font color=ForestGreen>v.tr.</font> Saqirpariy jaqirpariy <font color=purple>LPZ</font> <font color=purple>PTS</font> <font color=brown>(lot, pat)</font>
Abandonar, negar a sus hijos (personas), crías (animales): animal que desconoce su cría, mujeres que dejan sus hijos	ajay <font color=purple>LPZ</font> <font color=ForestGreen>v.tr.</font> <font color=red>Kikin: saqirpay</font>. <font color=brown>(pat)</font>
Abandono	<font color=ForestGreen>s.</font> Desamparado, dejadez. Saqisqa. (tla)
Abanicar	<font color=ForestGreen>v.tr.</font> Wayrachiy. (tla)
Abaratar	<font color=ForestGreen>v.tr.</font> Chaninnay, pisiyachiy (tla)
Abarca	<font color=ForestGreen>s.</font> Juk'uta ujut'a <font color=purple>LPZ</font> <font color=purple>PTS</font> <font color=brown>(gro, pat, rk)</font>
Abarcar, ceñir o llevar con los brazos	<font color=ForestGreen>v.tr.</font> Marq'ay. <font color=brown>(rpaa, tla)</font>
Abarrote	<font color=ForestGreen>s.</font> Mikhuna qhatu. (tla)
Abasto	<font color=ForestGreen>s.</font> Qhatu, mikhuna qhatu (tla)
Abatido; lánguido	<font color=ForestGreen>adj.</font> Umphu <font color=red>kikin: chullchu</font>. <font color=brown>(ceq)</font>
Abdomen	<font color=ForestGreen>s.</font> <font color=blue>ukhu.</font> Wiksa.
Abecedario	<font color=ForestGreen>s.</font> Achachha <font color=red>kikin: sanampakuna</font>. <font color=brown>(arusimiñee)</font>
Abeja silvestre	<font color=ForestGreen>s.</font> t'uktu <font color=brown>(rpaa, tla)</font>
Abeja silvestre y pequeña	<font color=ForestGreen>s.</font> Ch'iru <font color=brown>(ceq)</font>
Abeja solitaria	Son los amarillos algo grandes, aprovechan pequeños hoyitos, donde elaboran dulce en cilindros, cubierto de hoja. <font color=ForestGreen>s.</font> Sapa wanquyru <font color=purple>LPZ</font> <font color=blue>khuru.</font> <font color=brown>(pat)</font>
Abeja, hay otros tipos	wanquyru <font color=purple>LPZ</font> <font color=ForestGreen>s.</font> Misk'i ruwaq, phawaq, wach'ikuq <font color=blue>khuru.</font> <font color=red>Ñawpan: huanccuyro</font>. Abeja. <font color=brown>(dgh, pat)</font>
Abejar.	<font color=ForestGreen>s.</font> Wayrunq'u thapa. (tla)
Abejón	Son grandes, solitarios, tienen como platos de barro, allí almacenan miel. Jichhu wanquyru (ichhu) <font color=purple>LPZ</font> ichhu wanqoyru <font color=ForestGreen>s.</font> T'uru chuwata jina ruwanku, chaypi misk'ita waqaychanku. <font color=red>Qhaway: wayrunq'u</font>. <font color=brown>(pat)</font>
Abejón	Son solitarios, labran la tierra en lugares secos, y luego hacen barro para el revoque del hoyo, allí elaboran sus dulces. <font color=ForestGreen>s.</font> Jallp'a wanquyru (wayrunq'u) <font color=purple>LPZ</font> <font color=brown>(pat)</font>
Abejorro	<font color=ForestGreen>s.</font> Zumba mucho al volar. Wayrunq'u <font color=purple>PTS</font> wayronq'o. <font color=blue>Khuru.</font> <font color=brown>(lot)</font>
Abertura de la boca, bostezo	<font color=ForestGreen>s.</font> Janlla <font color=brown>(arusimiñee, lay)</font>
Abertura; agujero	<font color=ForestGreen>s.</font> Jutk'u, k'aqllu <font color=purple>LPZ</font> <font color=brown>(aul, pat)</font>
Abertura de la camisa	<font color=ForestGreen>s.</font> Unkup kunkan
Abiertas, consonantes, vocales	<font color=ForestGreen>s.</font> Kicharisqakuna. <font color=brown>(ab)</font>
Abierto	<font color=ForestGreen>adj.</font> Kicha <font color=purple>PTS</font> <font color=brown>(rk)</font>
Abierto	<font color=ForestGreen>part.</font> Kichasqa <font color=purple>LPZ</font> <font color=brown>(pat)</font>
Abierto (como flor)	<font color=ForestGreen>adj.</font> Phancha <font color=purple>PTS</font> <font color=brown>(lot)</font>
Abierto; herramienta para tejer	<font color=ForestGreen>adj.</font> Chumpi khalla <font color=purple>LPZ</font> <font color=brown>(pat)</font>
Abigarrado	<font color=ForestGreen>adj.</font> Ch'iqchi.
Ablandar	<font color=ForestGreen>v.</font> Llamp'uyachiy 
Ablandar	<font color=ForestGreen>v.tr.</font> Llamp'uy
Ablandar la carne	llamp'uray <font color=purple>CHU</font> <font color=ForestGreen>v.tr.</font> <font color=brown>(rk)</font>
Ablandarse, enternecerse (al atender un pedido, o en una discusión)	<font color=ForestGreen>v.imp.</font> Llulluyay <font color=purple>sxx</font> <font color=blue>tikra.</font> <font color=brown>(rk)</font>
Ablandarse	prnl. Llamp'uyay (tla)
Abofetear; sopapear	<font color=ForestGreen>v.tr.</font> T'aqllay <font color=purple>LPZ</font> t'aqlliy <font color=brown>(dgh, ceq, pat)</font>
Abogado	<font color=ForestGreen>s. y adj.</font> Qillqiri, amachaq <font color=brown>(arusimiñee)</font>
Abollar	<font color=ForestGreen>v.tr.</font> Llinq'iy <font color=brown>(ceq)</font>
Abominable	<font color=ForestGreen>adj.</font> Llana <font color=brown>(ceq)</font>
Abonador; persona que pone abono	wanunchaq <font color=purple>LPZ</font> <font color=ForestGreen>s. y adj.</font> Wanuta churaq, qharipas warmipas. <font color=brown>(pat)</font>
