cuerpo	<font face="Doulos SIL"><font color="blue">EN:</font> body; <font color="blue">DE:</font> Körper; <font color="blue">FR:</font> corps; <font color="blue">URU:</font> taxi (?) , <font color="green">Nota:</font> <font color="grey">"cf. ‘dos’" (Métraux 1935: 94).</font></font>
cabeza	<font face="Doulos SIL"><font color="blue">EN:</font> head; <font color="blue">DE:</font> Kopf / Schädel; <font color="blue">FR:</font> tête; <font color="blue">URU:</font> acha <font color="grey">(Muysken 2005)</font>; áča / áč'a <font color="grey">(Vellard 1950)</font>; ača <font color="grey">(Métraux 1935)</font>; p'āḗke <font color="grey">(Florentino 1929)</font>; ā́tša <font color="grey">(Lehmann Ancoaqui 1929)</font>; acha, <font color="green">Nota:</font> <font color="grey">"Achoa, cabello, entre los Cayapas del Ecuador, Cham en Culli, dialecto de Pallasca, es cabeza; Acha cabello en Chinchansuyo, y Acsa en Humalles." (Polo [1901] 1957: 80). </font>; ača / tsh(í)jpe <font color="grey">(Uhle 1894)</font>.</font>
pescuezo, nuca	<font face="Doulos SIL"><font color="blue">EN:</font> neck; <font color="blue">DE:</font> Genick, Nacken; <font color="blue">FR:</font> nuque; <font color="blue">URU:</font> tota <font color="grey">(Muysken 2005)</font>; tota <font color="grey">(Métraux 1935)</font>; kora <font color="grey">(Polo 1901)</font>.</font>
cogote, cuello	<font face="Doulos SIL"><font color="blue">EN:</font> back of the head; <font color="blue">DE:</font> Hinterkopf, Nacken; <font color="blue">URU:</font> xora <font color="grey">(Muysken 2005)</font>.</font>
cuello	<font face="Doulos SIL"><font color="blue">EN:</font> neck; <font color="blue">DE:</font> Hals; <font color="blue">FR:</font> cou; <font color="blue">URU:</font> xora <font color="grey">(Métraux 1935)</font>.</font>
garganta	<font face="Doulos SIL"><font color="blue">EN:</font> throat; <font color="blue">DE:</font> Kehle; <font color="blue">URU:</font> xọ́xa <font color="grey">(Vellard 1967)</font>; xọ-xa' <font color="grey">(Vellard 1950)</font>; lṓχ̯o <font color="grey">(Nicolás 1929)</font>; lu’ṛχ̣ <font color="grey">(Lehmann Ancoaqui 1929)</font>; spojorau <font color="grey">(Polo 1901)</font>.</font>
nuez	<font face="Doulos SIL"><font color="blue">EN:</font> Adam's apple; <font color="blue">DE:</font> Adamsapfel; <font color="blue">FR:</font> pomme d‘adam; <font color="blue">URU:</font> tonxora <font color="grey">(Métraux 1935)</font>.</font>
tráquea	<font face="Doulos SIL"><font color="blue">EN:</font> trachea; <font color="blue">DE:</font> Luftröhre; <font color="blue">FR:</font> trachée artère; <font color="blue">URU:</font> tonxora <font color="grey">(Métraux 1935)</font>.</font>
paladar	<font face="Doulos SIL"><font color="blue">EN:</font> palate; <font color="blue">DE:</font> Gaumen; <font color="blue">URU:</font> ā́tishi tšā́ka’ <font color="grey">(Lehmann Ancoaqui 1929)</font>.</font>
cabello	<font face="Doulos SIL"><font color="blue">EN:</font> hair; <font color="blue">DE:</font> Haar; <font color="blue">FR:</font> cheveu; <font color="blue">URU:</font> chera / chira <font color="grey">(Muysken 2005)</font>; čí-ra <font color="grey">(Vellard 1950)</font>; če̱ra <font color="grey">(Métraux 1935)</font>; nik'ū́ta <font color="grey">(Florentino 1929)</font>; nūk'ṓta <font color="grey">(Lehmann Chi'mu 1929)</font>; ĭχ̯klīsa <font color="grey">(Lehmann Ancoaqui 1929)</font>; cḗra / čera <font color="grey">(Uhle 1894)</font>.</font>
