corps	<font face="Doulos SIL"><font color="blue">ES:</font> cuerpo; <font color="blue">EN:</font> body; <font color="blue">DE:</font> Körper; <font color="blue">URU:</font> taxi (?) , <font color="green">Nota:</font> <font color="grey">"cf. ‘dos’" (Métraux 1935: 94).</font></font>
tête	<font face="Doulos SIL"><font color="blue">ES:</font> cabeza; <font color="blue">EN:</font> head; <font color="blue">DE:</font> Kopf / Schädel; <font color="blue">URU:</font> acha <font color="grey">(Muysken 2005)</font>; áča / áč'a <font color="grey">(Vellard 1950)</font>; ača <font color="grey">(Métraux 1935)</font>; p'āḗke <font color="grey">(Florentino 1929)</font>; ā́tša <font color="grey">(Lehmann Ancoaqui 1929)</font>; acha, <font color="green">Nota:</font> <font color="grey">"Achoa, cabello, entre los Cayapas del Ecuador, Cham en Culli, dialecto de Pallasca, es cabeza; Acha cabello en Chinchansuyo, y Acsa en Humalles." (Polo [1901] 1957: 80). </font>; ača / tsh(í)jpe <font color="grey">(Uhle 1894)</font>.</font>
nuque	<font face="Doulos SIL"><font color="blue">ES:</font> pescuezo, nuca; <font color="blue">EN:</font> neck; <font color="blue">DE:</font> Genick, Nacken; <font color="blue">URU:</font> tota <font color="grey">(Muysken 2005)</font>; tota <font color="grey">(Métraux 1935)</font>; kora <font color="grey">(Polo 1901)</font>.</font>
cou	<font face="Doulos SIL"><font color="blue">ES:</font> cuello; <font color="blue">EN:</font> neck; <font color="blue">DE:</font> Hals; <font color="blue">URU:</font> xora <font color="grey">(Métraux 1935)</font>.</font>
pomme d‘adam	<font face="Doulos SIL"><font color="blue">ES:</font> nuez; <font color="blue">EN:</font> Adam's apple; <font color="blue">DE:</font> Adamsapfel; <font color="blue">URU:</font> tonxora <font color="grey">(Métraux 1935)</font>.</font>
trachée artère	<font face="Doulos SIL"><font color="blue">ES:</font> tráquea; <font color="blue">EN:</font> trachea; <font color="blue">DE:</font> Luftröhre; <font color="blue">URU:</font> tonxora <font color="grey">(Métraux 1935)</font>.</font>
cheveu	<font face="Doulos SIL"><font color="blue">ES:</font> cabello; <font color="blue">EN:</font> hair; <font color="blue">DE:</font> Haar; <font color="blue">URU:</font> chera / chira <font color="grey">(Muysken 2005)</font>; čí-ra <font color="grey">(Vellard 1950)</font>; če̱ra <font color="grey">(Métraux 1935)</font>; nik'ū́ta <font color="grey">(Florentino 1929)</font>; nūk'ṓta <font color="grey">(Lehmann Chi'mu 1929)</font>; ĭχ̯klīsa <font color="grey">(Lehmann Ancoaqui 1929)</font>; cḗra / čera <font color="grey">(Uhle 1894)</font>.</font>
natte	<font face="Doulos SIL"><font color="blue">ES:</font> trenza; <font color="blue">EN:</font> plait; <font color="blue">DE:</font> Haarzopf; <font color="blue">URU:</font> čúñ <font color="grey">(Vellard 1950)</font>; kisana / čiñs / muiča <font color="grey">(Métraux 1935)</font>; k'ắna <font color="grey">(Lehmann Chi'mu 1929)</font>; tšṓu’ntša <font color="grey">(Lehmann Ancoaqui 1929)</font>.</font>
tresses de cheveaux nouées	<font face="Doulos SIL"><font color="blue">ES:</font> trenzas recién hechas; <font color="blue">EN:</font> newly made plaits; <font color="blue">URU:</font> šku úrtaK’ <font color="grey">(Vellard 1950)</font>.</font>
tresse	<font face="Doulos SIL"><font color="blue">FR:</font> tresse, <font color="green">Nota:</font> <font color="grey">Uncertain to what the difference is between 'natte' and 'tresse' (Métraux 1935: 108).</font>; <font color="blue">ES:</font> trenza; <font color="blue">EN:</font> plait; <font color="blue">DE:</font> Zopf; <font color="blue">URU:</font> čera-skurs <font color="grey">(Métraux 1935)</font>.</font>
tresser	<font face="Doulos SIL"><font color="blue">ES:</font> trenzar; <font color="blue">EN:</font> to plait; <font color="blue">DE:</font> flechten; <font color="blue">URU:</font> skur <font color="grey">(Métraux 1935)</font>.</font>
moustache	<font face="Doulos SIL"><font color="blue">ES:</font> bigote; <font color="blue">EN:</font> moustache; <font color="blue">DE:</font> Schnurrbart; <font color="blue">URU:</font> sip <font color="grey">(Métraux 1935)</font>.</font>
menton	<font face="Doulos SIL"><font color="blue">ES:</font> barbilla; <font color="blue">EN:</font> chin; <font color="blue">DE:</font> Kinn; <font color="blue">URU:</font> kanču <font color="grey">(Métraux 1935)</font>.</font>
œil	<font face="Doulos SIL"><font color="blue">ES:</font> ojo(s); <font color="blue">EN:</font> eye; <font color="blue">DE:</font> Auge; <font color="blue">URU:</font> chhukhe <font color="grey">(Muysken 2005)</font>; čúki <font color="grey">(Vellard 1967)</font>; čuk'ẹ́ <font color="grey">(Vellard 1950)</font>; siñi <font color="grey">(Métraux 1935)</font>; tš'āχ̣nie' / tš'ū́χ̣nĭă <font color="grey">(Florentino 1929)</font>; tšūk <font color="grey">(Lehmann Ancoaqui 1929)</font>; shucui <font color="grey">(Bacarreza 1910)</font>; shucui / chuqui <font color="grey">(Polo 1901)</font>; čuki <font color="grey">(Uhle 1894)</font>.</font>
