achengeti, kuatiati	<i>GUA:</i> achenget<s>i</s>, kuatiat<s>i</s>. <i>ESP:</i> abecedario. <i>QUE:</i> achachha. <i>AYM:</i> achajala. 
kuatiati, achengeti	<i>GUA:</i> achenget<s>i</s>, kuatiat<s>i</s>. <i>ESP:</i> abecedario. <i>QUE:</i> achachha. <i>AYM:</i> achajala. 
yuruipi	<i>GUA:</i> yuru<s>i</s>p<s>i</s>. <i>ESP:</i> abertura de la boca. <i>QUE:</i> janlla (L). <i>AYM:</i> ansa. 
eipea	<i>GUA:</i> eipea. <i>ESP:</i> abra. <i>QUE:</i> q'asa. <i>AYM:</i> willk'i. 
mboatüri	<i>GUA:</i> mboatüri. <i>ESP:</i> abreviar. <i>QUE:</i> juch'uyyachiy, kutuyachiy. <i>AYM:</i> jisk'aptayaña, k'utuchaña. 
atüri	<i>GUA:</i> atüri. <i>ESP:</i> abreviatura. <i>QUE:</i> kutu simi. <i>AYM:</i> jisk'aptayawi, k'utu. 
araivi	<i>GUA:</i> ara<s>i</s>vi. <i>ESP:</i> abril. <i>QUE:</i> ariwaki. <i>AYM:</i> qasawi. 
oipitemoata	<i>GUA:</i> oip<s>i</s>temoata. <i>ESP:</i> absorber. <i>QUE:</i> suq'uy. <i>AYM:</i> ch'umaña. 
oipitemoataka	<i>GUA:</i> oip<s>i</s>temoataka. <i>ESP:</i> abstracto. <i>QUE:</i> yullmi (H). <i>AYM:</i> jani amuykaya. 
tamii	<i>GUA:</i> tam<s>i</s>i. <i>ESP:</i> abuelo, anciano. <i>QUE:</i> yaya, awichu, jatun tata, machula. <i>AYM:</i> jach'a tata, achila. 
iarasi yae	<i>GUA:</i> iaras<s>i</s> yae. <i>ESP:</i> aburrido. <i>QUE:</i> majisqa. <i>AYM:</i> q'iwjtaña, q'umiña. 
tärakakä	<i>GUA:</i> tärakakä. <i>ESP:</i> ácaro, arácnido traqueal. <i>QUE:</i> isu, sisu (L). 
susere	<i>GUA:</i> susere. <i>ESP:</i> accidente. <i>QUE:</i> ñak'ariy, waqllu, aquyra. <i>AYM:</i> waticha, chiji. 
puäta	<i>GUA:</i> puäta. <i>ESP:</i> acento gramatical. <i>QUE:</i> sinchiyachina. <i>AYM:</i> jiyitatayiri. 
kireï	<i>GUA:</i> k<s>i</s>reï. <i>ESP:</i> aceptar. <i>QUE:</i> jayñiy. <i>AYM:</i> iyawa saña. 
moköi	<i>GUA:</i> moköi. <i>ESP:</i> acercar. <i>QUE:</i> qayllachiy, sispachiy. <i>AYM:</i> jak'achaña. 
jayasi	<i>GUA:</i> jayas<s>i</s>. <i>ESP:</i> ácido. <i>QUE:</i> k'allku. <i>AYM:</i> k'allk'u. 
kueri	<i>GUA:</i> kueri. <i>ESP:</i> acobardarse. <i>QUE:</i> jallk'akuy (L), llaqllakuy (L). <i>AYM:</i> jallk'a, q'iwasiña. 
mboarakua	<i>GUA:</i> mboarakua. <i>ESP:</i> aconsejar. <i>QUE:</i> kunay (H). <i>AYM:</i> iwxa. 
emboarakua	<i>GUA:</i> emboarakua. <i>ESP:</i> aconsejarse, pedir consejo. <i>QUE:</i> kunaykuchikuy (H). <i>AYM:</i> iwxayasiña. 
moikavi	<i>GUA:</i> moikavi. <i>ESP:</i> acordar, tomar acuerdos. <i>QUE:</i> uyniy, uyñiy (L). <i>AYM:</i> amtaña. 
yepokua	<i>GUA:</i> yepokua. <i>ESP:</i> acostumbrarse. <i>QUE:</i> yachakuy. <i>AYM:</i> yatisiña, jichuntaña, awinisiña. 
mbotuicha	<i>GUA:</i> mbotuicha. <i>ESP:</i> acrecentar. <i>QUE:</i> jatunyachiy, achkhayachiy, wiñachiy. <i>AYM:</i> jach'aptayaña. 
ñemongetaguapi	<i>GUA:</i> ñemongetaguap<s>i</s>. <i>ESP:</i> acta. <i>QUE:</i> tantanakuy qillqa. <i>AYM:</i> tantachawi qillqa. 
tekochauka	<i>GUA:</i> tekochauka. <i>ESP:</i> actitud. <i>QUE:</i> karayni (H). <i>AYM:</i> kankaña, lurawi. 
yapo, mbaeapo	<i>GUA:</i> yapo, mbaeapo. <i>ESP:</i> actividad. <i>QUE:</i> ruway. <i>AYM:</i> lurawi. 
mbaeapo, yapo	<i>GUA:</i> yapo, mbaeapo. <i>ESP:</i> actividad. <i>QUE:</i> ruway. <i>AYM:</i> lurawi. 
rete yapo	<i>GUA:</i> rete yapo. <i>ESP:</i> actividad física. <i>QUE:</i> phisika ruway. <i>AYM:</i> janchi lurawi. 
mojäangavae	<i>GUA:</i> mojäangavae. <i>ESP:</i> actor. <i>QUE:</i> aranwaq. <i>AYM:</i> luriri. 
