-a-	<font color="green"><i>part.</i></font> indica que la acción del verbo se realizará en el futuro, <font color="green">Ej:</font> <font color="blue"><i>ajkvtun</i></font> escuché; <font color="blue"><i>ajkvtu</i></font><font color="blue"><i><b>a</b></i></font><font color="blue"><i>n</i></font> escucharé.
acawaj	<font color="green"><i>s.</i></font> gallina, gallo, pollo. <font color="blue"><i><b>*</b></i></font><font color="blue"><i><b>alka a.</b></i></font> gallo.
az	<font color="green"><i>s.</i></font> <b>1</b> aspecto externo, forma, color, semblante. <b>2</b> cara o faz, lado <font color="green">Ej:</font> <font color="blue"><i>ka az mew</i></font> en el otro lado. <b>3</b> personalidad, costumbre <font color="green">Ej:</font> <font color="blue"><i>kiñe wesa az niey ñi kawej</i></font> mi caballo tiene una mala costumbre.
az	<font color="green"><i>adj.</i></font> bonito, armonioso, bien arreglado <font color="green">Ej:</font> <font color="blue"><i>az vy</i></font> nombre bonito.
az zuamvn	<font color="green"><i>v.</i></font> decidir, estar resuelto.
azentun	<font color="green"><i>v.trans.</i></font> <b>1</b> hallar bueno, razonable o justificado <font color="green">Ej:</font> <font color="blue"><i>azentun ñi zugu</i></font> me parece bueno mi asunto. <b>2</b> copiar.
azentun	<font color="green"><i>s.</i></font> <b>1 </b>el retrato, la imagen. <b>2</b> la copia.
azkan	<font color="green"><i>v.trans.</i></font> hacer maldad con astucia.
azkvnun	<font color="green"><i>v.trans.</i></font> <b>1</b> dejar arreglado, dejar en orden. <b>2</b> dirigir, apuntar, poner algo con el frente hacia cierto lado.
azkintun	<font color="green"><i>v.trans.</i></font> divisar, observar.
azman	<font color="green"><i>v.trans.</i></font> <b>1</b> hallar casualmente. <b>2</b> recibir a alguien.
az mapu	<font color="green"><i>s.</i></font> conjunto de características de un territorio.
azmapu	<font color="green"><i>s.</i></font> persona de la misma tierra, paisano. <font color="green"><i>Ver: </i></font><font color="blue"><i>az mapu.</i></font>
azmogen	<font color="green"><i>v.</i></font> acostumbrar vivir <font color="green">Ej:</font> <font color="blue"><i>cumgeci ñi azmogelen ce fij mapu mew</i></font> como acostumbra vivir la gente en toda la tierra.
azmogen	<font color="green"><i>s.</i></font> modo de vivir, costumbres.
aztuyen	<font color="green"><i>v.trans.</i></font> tener algo por costumbre.
azvn	<font color="green"><i>v.</i></font> <b>1</b> verse bien, ser bonito. <b>2 </b>estar bien, en orden, convenido, arreglado. <b>3</b> tener práctica o destreza en algo <font color="green">Ej:</font> <font color="blue"><i>azvn feyci kvzaw mew</i></font> tengo práctica en ese trabajo.
azyen	<font color="green"><i>v.trans.</i></font> seguir los modos o las costumbres de alguien.
af-	el extremo, el límite <font color="green">Ej:</font> <font color="blue"><i><b>af</b></i></font><font color="blue"><i>mapu</i></font> los confines de la tierra, <font color="blue"><i><b>af</b></i></font><font color="blue"><i>antv</i></font> el último día.
afafan	<font color="green"><i>s.</i></font> vitoreo.
afzuamvn	<font color="green"><i>v.</i></font> admirarse, asombrarse.
afelvn	<font color="green"><i>v.trans.</i></font> <b>1</b> cansar, molestar, fastidiar. <b>2</b> ponerle fin a algo. <b>3</b> suspender una acción.
afentun	<font color="green"><i>v.trans.</i></font> <b>1</b> concluir. <b>2</b> abominar, aborrecer.
afkazi	<font color="green"><i>s.</i></font> <b>1</b> el costado de una persona. <b>2</b> pareja, compañero/a; la persona que está al lado de otra.
afkazinien	<font color="green"><i>v.</i></font> tener al lado, tener por compañía <font color="green">Ej:</font> <font color="blue"><i>afkaziniey ñi caw</i></font> tiene por compañía a su padre.
afmatun	<b>1</b><font color="green"><i> v.trans.</i></font> admirar. <b>2</b><font color="green"><i> v.</i></font> admirarse, maravillarse.
afgvnengen	<font color="green"><i>v.</i></font> ser extremadamente astuto.
afpun	<font color="green"><i>v.</i></font> llegar al fin.
afvmvn	<font color="green"><i>v.trans.</i></font> cocer, cocinar.
afvn	<font color="green"><i>v.</i></font> acabar, concluir. <font color="blue"><i><b>*</b></i></font><font color="blue"><i><b>afi ñi zuam</b></i></font> me aburrí, me cansé de algo.
afvn	<font color="green"><i>v.</i></font> cocerse, cocinarse.
akun	<font color="green"><i>v.</i></font> arribar acá, llegar acá.
ale(n)	<font color="green"><i>s.</i></font> luz de la luna. <font color="blue"><i><b>*</b></i></font><font color="blue"><i><b>alegey</b></i></font> hay luna, alumbra la luna.
aliwen	<font color="green"><i>s.</i></font> árbol.
alka	<b>1</b><font color="green"><i> adj.</i></font> macho, referido a las aves y en ocasiones a pequeños cuadrúpedos. <b>2</b><font color="green"><i> s.</i></font> gallo.
alofvn	<font color="green"><i>v.</i></font> relumbrar.
abv	<font color="green"><i>complem.</i></font> mucho, muy. <font color="blue"><i><b>*</b></i></font><font color="blue"><i><b>a. mapu</b></i></font> lejos. <font color="blue"><i><b>*</b></i></font><font color="blue"><i><b>a. antv</b></i></font> ya avanzado el día. <font color="blue"><i><b>*</b></i></font><font color="blue"><i><b>a. puh</b></i></font> muy de noche. <font color="blue"><i><b>*</b></i></font><font color="blue"><i><b>abvke mapu</b></i></font> tierras lejanas.
abvantvn	<font color="green"><i>v.</i></font> ser tarde, hacerse tarde.
abvn	<font color="green"><i>v.</i></font> ser mucho, ser grande <font color="green">Ej:</font> <font color="blue"><i>abvy ñi kuxan</i></font> es mucho mi dolor. <font color="blue"><i><b>*</b></i></font><font color="blue"><i><b>a. mew</b></i></font> después de mucho tiempo. <font color="blue"><i><b>*</b></i></font><font color="blue"><i><b>pici a. mew</b></i></font> después de un corto tiempo.
abvñma	<font color="green"><i>adv.</i></font> por largo tiempo.
abvñman	<font color="green"><i>v.</i></font> demorar, durar mucho, tardarse, permanecer largo tiempo.
abvpvra	<font color="green"><i>adj.</i></font> alto.
ajfen	<font color="green"><i>adj.</i></font> herido, lastimado.
ajfiz(a)	<font color="green"><i>s.</i></font> arveja.
ajfvlvn	<font color="green"><i>v.trans.</i></font> herir.
ajfvn	<font color="green"><i>v.</i></font> <b>1</b> recibir una herida, lastimarse. <b>2</b> mellarse.
ajkvn	<font color="green"><i>v./v.trans.</i></font> oír.
ajwe	<font color="green"><i>complem.</i></font> <b>1</b> medianamente, no muy. <b>2</b> con colores, acercarse a tal color <font color="green">Ej:</font> <font color="blue"><i>ajwe cozi</i></font> amarillento.
ajwe(keci)	<font color="green"><i>deriv.</i></font> <b>1</b> paulatinamente. <b>2</b> con dificultad; con paciencia.
