achapu'u	Palabra que se pronuncia cuando a la persona no le agrada lo que le dicen.
achiskwa	Estornudar.
achichi	Estar manchado.
achichi:na	Manchar algo.
ajalo:maj	Contar. Relatar, narrar algo.
aja:pa	Acomodar algo. Arreglos.
ajato:to	Acomodar una coas tras otra.
aja:ra	Contar narrara relatar algo. Chisme.
ajarawa:nas	Cuento narración.
ajasi:pa	Cuentero, chismoso.
aje:łe	Escoger.
ajkabaycho:ni	Alguien que se mejora de una enfermedad.
ajkalo:wes	Estar acomodado(a), arreglado(a).
ajkalowescheł	Acomodarse, arreglarse.
ajka:pa	Acomodado, por ejemplo una cama acomodada.
ajkapa:na	Acomodar, poner en orden.
ajka:ra	Estar compuesto, arreglado.
ajkara:na	Componer, arreglar algo.
vi	Acomodar la cama.
ajkaye:na	Arreglar a alguien.
ajlomajcheł	Contar de si mismo, contar la historia de uno.
ajłabał	Andar a pie.
ajna	Separar algo.
ajpa	Estar guardado.
ajpa:na	Guardar algo en un cajón.
ajsi:kwa	Contar de su sueño.
ajtejni	Descansar.
ajtivijni	Calmar el dolor.
aj'imeł	Caminar de noche.
a:kay	Hermano(a) mayor.
a:lalas	Todas las veces.
alasełni	Chillidos estridentes por todas partes.
ala'kwa	Encontrarse entre varios.
albaycho	Amigo(a).
albijraneł	Juntos en el río.
alchiwanneni	Ser enemigo.
alcho	Al otro lado.
alcho:ni	Dividido en dos, por la mitad.
aldi	Lado opuesto, al otro lado del río, laguna o de una calle.
aldimmajye	Vivienda de la banda, del otro lado.
aldi:na	Ir al otro lado.
alimeł	Anoche.
alkaka:ye	Pariente.
alkapanełe	Comedirse, ayudarse.
alkapa:ni	Ayudarse.
alka:va	Insistir.
alkava:ni	En este momento.
alkawanłe	Al frente.
alkwe:ya	Compañera, hermana.
alla:kwa	Varón.
alle	Paisano, pariente, indígena.
allo:ba	Compañero, camarada de armas.
allo:cho	Compañero de farra.
allo:maj	Compañero de una acción.
alma:kilo	Apellido Almaquio.
almaro:ni	Compañero de ocio; dos personas ociosas.
alo:we	Saliva.
alpa	Ayudar.
alpanełe	Ayudar.
alpa:ni	Ayudarse, apoyarse.
alra	Amigo.
altu:ne	Dos personas de color.
altura:chi	Punta con punta.
alu'	Apegado.
alu'cheł	Apegarse, juntarse.
alu'na	Apegar juntar.
alwa	Con quien converso, dialogo.
alwaj	Esposo(a).
alwajni	Pareja de casados.
alwambeń	Papel de cuaderno.
alwanascheł	Hablar por uno mismo.
alwa:ni	Conversar, charlar.
alwaniwa:nas	Conversación ó forma de conversar.
alwiteł	Compañero(a) de castigo.
alwitełni	Castigados juntos.
al'imeł	Anoche, toda la noche, se dice cuando una actividad a durado toda la noche.
ama'poj	Meter una cosa dentro de otra cosa.
ama:ye	Embarcar a alguien.
ama'kwa'a	Vacío.
amba:łe	Enterrarse.
ambolo	Apellido Amblo.
ambuteł	Metido en el barro.
ambute:łe	Meterse en el barro.
amcho:łe	Ir en ancas.
amka:rim	Utensilios para guardar cosas. Canastas bolsa, cajón.
amloł	Metido en el agua.
amlo:łe	Meterse en el agua.
amłabal	Metido en la tierra.
amłaba:łe	Meterse en la tierra.
amme	Embarcado.
albu:ni	Comer juntos.
alchi	Su par.
alchi:ni	Apareado.
alchiwanne	Enemigo.
a:mon	Entrar.
amriko:neł	Embolsado.
a:na	Hermano(a) menor.
