Körper	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> cuerpo; <span fgcolor="blue">EN:</span> body; <span fgcolor="blue">FR:</span> corps; <span fgcolor="blue">URU:</span> taxi (?) , <span fgcolor="#228B22">Nota:</span> <span fgcolor="#696969">"cf. ‘dos’" (Métraux 1935: 94).</span></span>
Kopf / Schädel	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> cabeza; <span fgcolor="blue">EN:</span> head; <span fgcolor="blue">FR:</span> tête; <span fgcolor="blue">URU:</span> acha <span fgcolor="#696969">(Muysken 2005)</span>; áča / áč'a <span fgcolor="#696969">(Vellard 1950)</span>; ača <span fgcolor="#696969">(Métraux 1935)</span>; p'āḗke <span fgcolor="#696969">(Florentino 1929)</span>; ā́tša <span fgcolor="#696969">(Lehmann Ancoaqui 1929)</span>; acha, <span fgcolor="#228B22">Nota:</span> <span fgcolor="#696969">"Achoa, cabello, entre los Cayapas del Ecuador, Cham en Culli, dialecto de Pallasca, es cabeza; Acha cabello en Chinchansuyo, y Acsa en Humalles." (Polo [1901] 1957: 80). </span>; ača / tsh(í)jpe <span fgcolor="#696969">(Uhle 1894)</span>.</span>
Genick, Nacken	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> pescuezo, nuca; <span fgcolor="blue">EN:</span> neck; <span fgcolor="blue">FR:</span> nuque; <span fgcolor="blue">URU:</span> tota <span fgcolor="#696969">(Muysken 2005)</span>; tota <span fgcolor="#696969">(Métraux 1935)</span>; kora <span fgcolor="#696969">(Polo 1901)</span>.</span>
Hinterkopf, Nacken	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> cogote, cuello; <span fgcolor="blue">EN:</span> back of the head; <span fgcolor="blue">URU:</span> xora <span fgcolor="#696969">(Muysken 2005)</span>.</span>
Hals	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> cuello; <span fgcolor="blue">EN:</span> neck; <span fgcolor="blue">FR:</span> cou; <span fgcolor="blue">URU:</span> xora <span fgcolor="#696969">(Métraux 1935)</span>.</span>
Kehle	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> garganta; <span fgcolor="blue">EN:</span> throat; <span fgcolor="blue">URU:</span> xọ́xa <span fgcolor="#696969">(Vellard 1967)</span>; xọ-xa' <span fgcolor="#696969">(Vellard 1950)</span>; lṓχ̯o <span fgcolor="#696969">(Nicolás 1929)</span>; lu’ṛχ̣ <span fgcolor="#696969">(Lehmann Ancoaqui 1929)</span>; spojorau <span fgcolor="#696969">(Polo 1901)</span>.</span>
Adamsapfel	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> nuez; <span fgcolor="blue">EN:</span> Adam's apple; <span fgcolor="blue">FR:</span> pomme d‘adam; <span fgcolor="blue">URU:</span> tonxora <span fgcolor="#696969">(Métraux 1935)</span>.</span>
Luftröhre	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> tráquea; <span fgcolor="blue">EN:</span> trachea; <span fgcolor="blue">FR:</span> trachée artère; <span fgcolor="blue">URU:</span> tonxora <span fgcolor="#696969">(Métraux 1935)</span>.</span>
Gaumen	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> paladar; <span fgcolor="blue">EN:</span> palate; <span fgcolor="blue">URU:</span> ā́tishi tšā́ka’ <span fgcolor="#696969">(Lehmann Ancoaqui 1929)</span>.</span>
Haar	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> cabello; <span fgcolor="blue">EN:</span> hair; <span fgcolor="blue">FR:</span> cheveu; <span fgcolor="blue">URU:</span> chera / chira <span fgcolor="#696969">(Muysken 2005)</span>; čí-ra <span fgcolor="#696969">(Vellard 1950)</span>; če̱ra <span fgcolor="#696969">(Métraux 1935)</span>; nik'ū́ta <span fgcolor="#696969">(Florentino 1929)</span>; nūk'ṓta <span fgcolor="#696969">(Lehmann Chi'mu 1929)</span>; ĭχ̯klīsa <span fgcolor="#696969">(Lehmann Ancoaqui 1929)</span>; cḗra / čera <span fgcolor="#696969">(Uhle 1894)</span>.</span>
weißes Haar	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> cabello blanco; <span fgcolor="blue">EN:</span> white hair; <span fgcolor="blue">URU:</span> chiw chira <span fgcolor="#696969">(Muysken 2005)</span>.</span>
Haarzopf	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> trenza; <span fgcolor="blue">EN:</span> plait; <span fgcolor="blue">FR:</span> natte; <span fgcolor="blue">URU:</span> čúñ <span fgcolor="#696969">(Vellard 1950)</span>; kisana / čiñs / muiča <span fgcolor="#696969">(Métraux 1935)</span>; k'ắna <span fgcolor="#696969">(Lehmann Chi'mu 1929)</span>; tšṓu’ntša <span fgcolor="#696969">(Lehmann Ancoaqui 1929)</span>.</span>
Zopf	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> trenza; <span fgcolor="blue">EN:</span> plait; <span fgcolor="blue">FR:</span> tresse, <span fgcolor="#228B22">Nota:</span> <span fgcolor="#696969">Uncertain to what the difference is between 'natte' and 'tresse' (Métraux 1935: 108).</span>; <span fgcolor="blue">URU:</span> čera-skurs <span fgcolor="#696969">(Métraux 1935)</span>.</span>
flechten	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> trenzar; <span fgcolor="blue">EN:</span> to plait; <span fgcolor="blue">FR:</span> tresser; <span fgcolor="blue">URU:</span> skur <span fgcolor="#696969">(Métraux 1935)</span>.</span>
viele kleine Zöpfe	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> muchas trencitas; <span fgcolor="blue">EN:</span> many small braids; <span fgcolor="blue">URU:</span> čočo <span fgcolor="#696969">(LaBarre 1941)</span>.</span>
Kinnbart	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> barba (pelo); <span fgcolor="blue">EN:</span> beard; <span fgcolor="blue">URU:</span> chip <span fgcolor="#696969">(Muysken 2005)</span>; číb / cib-ci <span fgcolor="#696969">(Vellard 1950)</span>; sī́p'ī <span fgcolor="#696969">(Lehmann Chi'mu 1929)</span>; shī́pi / shī́pi <span fgcolor="#696969">(Lehmann Ancoaqui 1929)</span>; chers / chirs <span fgcolor="#696969">(Polo 1901)</span>.</span>
Schnurrbart	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> bigote; <span fgcolor="blue">EN:</span> moustache; <span fgcolor="blue">FR:</span> moustache; <span fgcolor="blue">URU:</span> sip <span fgcolor="#696969">(Métraux 1935)</span>.</span>
weißer Bart	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> barba blanca; <span fgcolor="blue">EN:</span> white beard; <span fgcolor="blue">URU:</span> či-wu <span fgcolor="#696969">(Vellard 1950)</span>.</span>
Gesicht	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> cara; <span fgcolor="blue">EN:</span> face; <span fgcolor="blue">URU:</span> yukj <span fgcolor="#696969">(Muysken 2005)</span>; yuk <span fgcolor="#696969">(Vellard 1950)</span>; yuksi <span fgcolor="#696969">(Métraux 1935)</span>; ăχ̬ā́nu <span fgcolor="#696969">(Florentino 1929)</span>; yū́kị <span fgcolor="#696969">(Lehmann Ancoaqui 1929)</span>; yuk(i) <span fgcolor="#696969">(Uhle 1894)</span>.</span>
Wangen	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> mejillas; <span fgcolor="blue">EN:</span> cheeks; <span fgcolor="blue">URU:</span> yū́ki <span fgcolor="#696969">(Florentino 1929)</span>; pí’sk-yū́kū <span fgcolor="#696969">(Lehmann Ancoaqui 1929)</span>.</span>
Kinn	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> barbilla; <span fgcolor="blue">EN:</span> chin; <span fgcolor="blue">FR:</span> menton; <span fgcolor="blue">URU:</span> kanču <span fgcolor="#696969">(Métraux 1935)</span>.</span>
Auge	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> ojo(s); <span fgcolor="blue">EN:</span> eye; <span fgcolor="blue">FR:</span> œil; <span fgcolor="blue">URU:</span> chhukhe <span fgcolor="#696969">(Muysken 2005)</span>; čúki <span fgcolor="#696969">(Vellard 1967)</span>; čuk'ẹ́ <span fgcolor="#696969">(Vellard 1950)</span>; siñi <span fgcolor="#696969">(Métraux 1935)</span>; tš'āχ̣nie' / tš'ū́χ̣nĭă <span fgcolor="#696969">(Florentino 1929)</span>; tšūk <span fgcolor="#696969">(Lehmann Ancoaqui 1929)</span>; shucui <span fgcolor="#696969">(Bacarreza 1910)</span>; shucui / chuqui <span fgcolor="#696969">(Polo 1901)</span>; čuki <span fgcolor="#696969">(Uhle 1894)</span>.</span>
Augenlid(er)	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> párpado; <span fgcolor="blue">EN:</span> eyelid; <span fgcolor="blue">FR:</span> paupière; <span fgcolor="blue">URU:</span> chhukhe chqisi <span fgcolor="#696969">(Muysken 2005)</span>; čúk' ẹ ¢íļi , <span fgcolor="#228B22">Nota:</span> <span fgcolor="#696969">"peau de l'oeil" (Vellard, 1950: 57).</span>; čuk-skisi / čukči-skisi , <span fgcolor="#228B22">Nota:</span> <span fgcolor="#696969">"litt. ‚peau de l’œil‘" (Métraux 1935: 103). </span>; skēsi <span fgcolor="#696969">(Uhle 1894)</span>.</span>
Augenwimpern	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> pestañas; <span fgcolor="blue">EN:</span> eyelashes; <span fgcolor="blue">URU:</span> uch chimcha / chhukh chimcha <span fgcolor="#696969">(Muysken 2005)</span>; tšūk-tšĕ́mtša <span fgcolor="#696969">(Lehmann Ancoaqui 1929)</span>.</span>
Augenbraue(n)	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> cejas; <span fgcolor="blue">EN:</span> eyebrow(s); <span fgcolor="blue">FR:</span> sourcil; <span fgcolor="blue">URU:</span> chimcha <span fgcolor="#696969">(Muysken 2005)</span>; či / čúk'ẹ či, <span fgcolor="#228B22">Nota:</span> <span fgcolor="#696969">"poils de l'oeil" (Vellard, 1950: 57).</span>; čuk-čimča <span fgcolor="#696969">(Métraux 1935)</span>; tšūntša <span fgcolor="#696969">(Lehmann Chi'mu 1929)</span>; tšū’k-tšĕ́mtša <span fgcolor="#696969">(Lehmann Ancoaqui 1929)</span>.</span>
Träne(n)	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> lágrima; <span fgcolor="blue">EN:</span> tear(s); <span fgcolor="blue">FR:</span> larmes; <span fgcolor="blue">URU:</span> khaw <span fgcolor="#696969">(Muysken 2005)</span>; táx-¢ẹ / háx-¢ẹ <span fgcolor="#696969">(Vellard 1950)</span>; k<sup>x</sup>au̯ski / kax čipi <span fgcolor="#696969">(Métraux 1935)</span>; !kā́u’i / khā́u’i <span fgcolor="#696969">(Lehmann Ancoaqui 1929)</span>.</span>
Mund	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> boca; <span fgcolor="blue">EN:</span> mouth; <span fgcolor="blue">URU:</span> ata <span fgcolor="#696969">(Muysken 2005)</span>; at'-ta <span fgcolor="#696969">(Vellard 1950)</span>; ā́ta <span fgcolor="#696969">(Lehmann Chi'mu 1929)</span>; ā́tă <span fgcolor="#696969">(Lehmann Ancoaqui 1929)</span>; ata <span fgcolor="#696969">(Bacarreza 1910)</span>; ata / tura-ata <span fgcolor="#696969">(Polo 1901)</span>; atbŭlŭ (?) <span fgcolor="#696969">(Uhle 1894)</span>.</span>
Speichel	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> saliva; <span fgcolor="blue">EN:</span> saliva; <span fgcolor="blue">URU:</span> tutu / chqaru <span fgcolor="#696969">(Muysken 2005)</span>; tū́-tu <span fgcolor="#696969">(Vellard 1950)</span>; tṓsa / tšā́χ̯ŭ́a <span fgcolor="#696969">(Lehmann Chi'mu 1929)</span>; tšχ̣ắṛū <span fgcolor="#696969">(Lehmann Ancoaqui 1929)</span>; tocaru, <span fgcolor="#228B22">Nota:</span> <span fgcolor="#696969">"De toccai, saliva en quechua." (Polo [1901] 1957: 87).</span></span>
