(de gallina o pajaro), nido	q'u'
a los tres días	oxij
a veces	ji'a indeje'
abajo	chibel
abeja	chalkap'
abiertas	tsejan
abierto	jamán
abrazado	meq'obal
abrazarse	meq'obal xbaje
ábrelo	jama'e
abrigo para tapar	bok'ba
abrir	jama'
abuela	mi'
abuelo	wa'ich
acábalo	bowisa'
acabó	bowi
acabo	ch'aki
acariciar	chajchibeok
aceite	tsolbal-it
achiote	jo'x
acompañar	chitoja'
aconsejar, poner	choksa
acostado	talan
acostado	talán
acostar	q'iaqa
adorno	tselbal
afila	ñuquni
afilar	ñuqu'
afirmativo	igana
agarrado	lokó
agarrar	xloko
agárrelo	lokó
agrio	paj
agua	ja'
aguacate	on'
aguacatillo	tsitsi on'
aguacero	n'abal
aguado, vació	loqán
aguila	manti k'uk'um
aguja	akuxaj
ahí	teje'
ahora	tsani
ahorita	to
ahorita sera	tomaan
aire	kajiq
ajo	anxux
ajo	axux
ala	xik'
alacran	sinam
alacrán	sinám
alargado	xwa'
alentado	kawal
allá	telá
alto	kan
amanecer	nisaqbiel
amargo	k'aj
amargo	q'aj
amarillo	q'an
amarillo, maduro	q'an
amontonado	buqane'
amontonado	molán
amontónalo ahi	buqba'oq
anciana	anat
anciano	ich
anillo	irpich
ano	yuts'
anona	k'iwix
antier	kabije
antier	kawije
aparato digestico	xk'uul
apenas estamos llegando	kawil ki'uli
apenas estoy llegando	toki'uli
aprender	x-atsaj
apretado	jits'
apúrate	sap'
aquel, ese	janwe'
aquí en el camino	te' ti bej
aquí en la casa	te' ti n'aj
araña	am
árbol	te'
ardér	ch'ajui
ardilla	kuk
ardilla chico	lusti kuk
arena	ts'awun
arenoso	qu'an
arete	uj
argenio, chahuistle	soj
ariera	jokox
arma, escopeta	tujk'ubal
armadillo	ibooy
armadillo	iboy
arrancar	jolo'
arriera, zompopo	jokox
arrodillar	kuman
arrodillate	kumanqa'
arrójalo, aviéntalo	paanon
aserradero	esbal te'
así es	denaá
así es	indeje'
asistir	yocheawe'a
atole	ulul
atrapar	xmochoach
aviéntalo	tulinón
aviéntalo, arrójalo	paanon
avispa	aqoq
ayer	ewi
ayer	ewí
ayúdame	koltaqin
azar	len'a
azúcar	asukal
baca abajo	n'upan
bailador	chunlom
baile	chumil
bajada	achelal
bájar	achitá
