abajo	Uray.
abandonar	Saqiy, saqirpariy; wikch'uy.
abanicar	Wayrachiy.
abanico	Wayrachina.
abaratado	Uraykachisqa, pisiyasqa.
abarcar	Marq'ay, hapt'ay, aptay.
abatido	Ullpusqa, phutisqa.
abatirse	Ullpukuy, phutikuy.
abdicar	<span foreground="#660099">Cuz.</span> Haqiy; <span foreground="#660099">Aya.</span> Saqiy.
abdomen	Wiksa.
abeja	<span foreground="#660099">Aya.</span> Wayrunqu; <span foreground="#660099">Cuz.</span> Wanquyru.
abertura	Kicha, q'asa, raqra.
abierto	Kicha, kichasqa.
abigeato	Uywa suway.
abismo	Laqha, ukhu pacha.
ablandar	Llamp'uyachiy.
abobado	Upa, upayasqa.
abochornado	Ruphapakusqa, p'inqakusqa.
abochornarse	Ruphapakuy, p'inqarqukuy.
abofetear	<span foreground="#660099">Cuz.</span> Saqmay; <span foreground="#660099">Aya.</span> Laqyay, lapuy.
abolir	Qulluchiy, chinkachiy.
abollado	<span foreground="#660099">Cuz.</span> Q'apnu ~ q'apñu; <span foreground="#660099">Aya.</span> Taqñu.
abollar	<span foreground="#660099">Cuz.</span> Q'apnuy; <span foreground="#660099">Aya.</span> Taqñuy.
abominable	Millay, millana; chiqnipasqa.
abominar	Millay, chiqnipay.
abonar	Wanuchay.
abono	Wanu, q'upa.
aborrecer	Chiqniy, chiqnikuy.
aborrecible	Chiqnina, chiqnipaslla.
aborrecido	Chiqnisqa.
abortar	Sulluy.
aborto	Sullu.
abra	Q'asa.
abrasar	Ruphay, rawray.
abrazar	Mak'alliy, marq'ay.
abridor	Kachaq, kichariq.
abrigado	(lugar) Q'uñi.
abrigar	Qatay, quñichiy.
abrir	Kichay.\n(abrir la boca): hakariy, hanllariy, k'akchay.\n(abrir una flor): phanchiy.
abrochar	T'ipay.
absolver	Pampachay.
absorber	Ch'unqay, suquy.
abstinencia	Sasiy.
abuela	Paya.
abuelo	Machu.
abultar	Ch'upuy, punkiy, hatunyachiy.
abundante	Achkha, ancha, anchallaña.
aburrirse	Amipuy, amirquy.
abusar	Allquchay, mana allin ruray.
acá	Kaypi.
acabar	Tukuy, p'uchukay.
acallar	Upallachiy.
acanalar	Suk'ay, yarqhachay.
acardenalar	Q'uyuyachiy.
acariciar	Waylluy, khuyapay.
acarrear	Astay, apay.
acaso	Icha, ichapas, ichach, paqta.
acaudalado	Qhapaq, qullqiyuq, qullqisapa.
acceder	<span foreground="#660099">Cuz.</span> Huñiy, uyniy; <span foreground="#660099">Aya.</span> Awniy.
acechar	Watiqay, suyapayay.
acelerar	Utqhay.
acepillar	Llaqllay, llamp'uyachiy.
aceptar	Chaskiy, awñiy, awniy.
acequia	Yarqha.
acercar	Asuykachiy, ach'uykachiy, sichpaykachiy ~ hichpaykachiy.
acertar	Chayachiy, quykuy.
acertijo	Watuchiy, watuchina.
acicalar	Lluchk'achiy, llamp'uyachiy.
ácido	P'uchqu.
aclarar	Sut'inchay.\n(el agua): chhuyay.\n(la atmósfera): qicharikuy.
aclimatarse	Yachakuy.
acobardarse	Chinayayay, manchapakuy.
acocear	Hayt'ay.
acoger	Chaskiy, qurpachay.
acometer	Qallariy, atipakuy.\n(entre varios): waykay.
acomodar	Churay, allichay.
acompañante	Pusaq, tiyapayaq.
acompañar	Pusay, tiyaysiy.
aconchavarse	Kamachinakuy, rimanakuy.
acongojarse	Llakikuy, phutikuy.
acopiar	Huñuy, suntuy, tantay.
acoplar	Hap'ichiy, much'apunachiy.
acordar	Rimanakuy, kamachinakuy.
acordarse	Yuyarikuy.
acortar	Huch'uyachiy, taksayachiy.
acosar	Qatikachay, qatipayay.
acostarse	Sirikuy, ustukuy.
acostumbrado	Yachasqa.
acostumbrarse	Yachakuy.
acrecentar	Mirachiy, achkhayachiy, wiñachiy.
acreedor	Manuq, manuyuq.
activar	K'uchikachay, utqhayachiy.
actualmente	Kunan ~ kanan, kunallan, kunanpuni.
acuclillarse	<span foreground="#660099">Cuz.</span> Runkuykuy, <span foreground="#660099">Aya.</span> Unchuykuy.
acuchillar	T'urpuy, tuksiy.
acudir	(en socorro) Yanapay, amachay.
acueducto	Yarqha, pincha.
acumular	Huñuy, tantay, qutuy.
acuoso	Unu-unu, yakusapa; huq'u.
acurrucarse	Usthuy, unchukuy.
acusar	Tumpay, willay.
achacar	Huchayay, tumpay.
achacoso	Unquyaraq.
achatado	P'altayasqa, t'añusqa.
achatar	T'añuy, p'altayachiy.
achicar	Taksayachiy, huch'uyachiy ~ uchukyachiy.
achicharrar	Q'aspay, thiqtichiy, rupachiy.
achispar	Sinkachiy, machachiy.
adaptar	Tinkuchiy.
adaptarse	Yachakuy.
adelantar	Ñawpariy.
adelante	Ñawpapi.
adelgazar	(una persona o animal): tulluyay.\n(un objeto plano): llapsayay.\n(un objeto cilindrico): llañuyay ~ ñañuyay.
además	Chaymanta, astawan.
adentro	Ukhu.
aderezar	Sumaqyachiy, allichay.
adeudarse	Manukuy, manuchakuy.
adherir	<span foreground="#660099">Cuz.</span> K'askachiy, ratachiy; laqay.
adicionar	Yapay.
adiestrar	Yachachiy, riqsichiy.
adinerado	Qullqisapa, qhapaq.
adivinanza	Watuchiy, watuchina.
adivinar	<span foreground="#660099">Cuz.</span> Watuy; <span foreground="#660099">Aya.</span> Musyay.
adolescente	(hombre): maqta.\n(mujer): t'asqi.
adolorido	Nanasqa.
adonde	Mayta, mayman.
adoptar	(el hombre): churichakuy.\n(la mujer): wawachakuy.
adorar	Much'aykuy.
adormecer	Susunkay.
adornar	Allichay, sumaqyachiy.
adquirir	Tariy, tarikuy, rantiy.
adrede	Munaywan, yanqa.
adular	Llaqway, llunk'uy.
adúltero	Wasanchaq.
adulto	Kallpayuq, wiñay, hunt'asqa.
advenedizo	Mitma, hawaruna.
adversario	Awqa, tinkuqmasi.
adversidad	Ñak'arikuy, llakiy.
advertir	Willay, niy, yuyaykachiy.
adyacente	Qaylla, kaylla.
afable	Llamp'u sunqu, ñukñu sunqu.
afear	Millayyachiy.
afectar	Chayay.
afectuoso	Munaq, khuyakuq, sunquyuq.
afeminado	Chinanayaq.
afianzar	Takyachiy.
afición	Munapay, khuyapay.
afilar	Ñawch'iyachiy, ñañuyachiy.
afinar	(un objeto) Takyachiy.
aflicción	Llaki, phuti, muchuy.
aflojar	Wayayachiy, kachariy, paskariy.
afónico	Ch'aka.
afortunado	Samiyuq.
afrecho	Hamch'i.
afrenta	P'inqay.
afuera	Hawa.
agacharse	K'umuy, k'uytuy.
agarrar	Hap'iy.
agave	Paqpa, chuchaw.
ágil	<span foreground="#660099">Cuz.</span> K'uchi; <span foreground="#660099">Aya.</span> Tuki.
agitar	(líquido) Aytiy, aywiy.
aglomerar	Tawqay, ñit'iy.
agonizar	Wañunayay, p'itinayay.
agorero	Musyaq, yachaq, umu.
agotarse	(en el trabajo): sayk'uy, pisipay.\n(el agua): ch'akiy.\n(el tiempo): tukuy.
agradable	Sumaq, misk'i.
agradar	(causar placer): kusichiy.\n(al paladar): misk'iy.
agradecer	Yupaychay, riqsikuy.
agrandar	Hatunyachiy, wiñachiy.
agregar	Yapay.
agriar	P'uchquchiy, qamyachiy ~ qaymachiy.
agrio	P'uchqu.
agrietado	Raqrasqa.
agrupar	Huñuy, tawqay.
agua	<span foreground="#660099">Cuz.</span> Unu; <span foreground="#660099">Aya.</span> Yaku.
aguacero	Para.
aguar	Unuyachiy, yakuyachiy.
aguaitar	Watiqay.
aguardar	Suyay, suyaykuy.
agudo	Llañu ~ ñañu.
águila	Anka.
agujerear	T'uquy, huchk'uy, uchkuy.
agujero	T'uqu, huchk'u, uchku.
aguijón	Wach'i, t'urpuna.
aguja	Yawri, sirana.
agusanarse	Kuruy.
ahí	Chaypi.
ahijar	(el hombre): churiyay, yumay.\n(la mujer): wawachay.
ahogar	<span foreground="#660099">Cuz.</span> Hiq'ipachiy; <span foreground="#660099">Aya.</span> Iqipachiy.
ahondar	P'ukruchay, ukhuchay.
ahora	Kunan, kanan.
ahorcar	Siq'uy, warkuy.
ahuecar	<span foreground="#660099">Cuz.</span> Huchk'uy; <span foreground="#660099">Aya.</span> Uchkuy.
ahumar	Q'usñichiy.
ahuyentar	Ayqichiy, manchachiy, qarquy.
