corps	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> cuerpo; <span fgcolor="blue">EN:</span> body; <span fgcolor="blue">DE:</span> Körper; <span fgcolor="blue">URU:</span> taxi (?) , <span fgcolor="#228B22">Nota:</span> <span fgcolor="#696969">"cf. ‘dos’" (Métraux 1935: 94).</span></span>
tête	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> cabeza; <span fgcolor="blue">EN:</span> head; <span fgcolor="blue">DE:</span> Kopf / Schädel; <span fgcolor="blue">URU:</span> acha <span fgcolor="#696969">(Muysken 2005)</span>; áča / áč'a <span fgcolor="#696969">(Vellard 1950)</span>; ača <span fgcolor="#696969">(Métraux 1935)</span>; p'āḗke <span fgcolor="#696969">(Florentino 1929)</span>; ā́tša <span fgcolor="#696969">(Lehmann Ancoaqui 1929)</span>; acha, <span fgcolor="#228B22">Nota:</span> <span fgcolor="#696969">"Achoa, cabello, entre los Cayapas del Ecuador, Cham en Culli, dialecto de Pallasca, es cabeza; Acha cabello en Chinchansuyo, y Acsa en Humalles." (Polo [1901] 1957: 80). </span>; ača / tsh(í)jpe <span fgcolor="#696969">(Uhle 1894)</span>.</span>
nuque	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> pescuezo, nuca; <span fgcolor="blue">EN:</span> neck; <span fgcolor="blue">DE:</span> Genick, Nacken; <span fgcolor="blue">URU:</span> tota <span fgcolor="#696969">(Muysken 2005)</span>; tota <span fgcolor="#696969">(Métraux 1935)</span>; kora <span fgcolor="#696969">(Polo 1901)</span>.</span>
cou	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> cuello; <span fgcolor="blue">EN:</span> neck; <span fgcolor="blue">DE:</span> Hals; <span fgcolor="blue">URU:</span> xora <span fgcolor="#696969">(Métraux 1935)</span>.</span>
pomme d‘adam	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> nuez; <span fgcolor="blue">EN:</span> Adam's apple; <span fgcolor="blue">DE:</span> Adamsapfel; <span fgcolor="blue">URU:</span> tonxora <span fgcolor="#696969">(Métraux 1935)</span>.</span>
trachée artère	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> tráquea; <span fgcolor="blue">EN:</span> trachea; <span fgcolor="blue">DE:</span> Luftröhre; <span fgcolor="blue">URU:</span> tonxora <span fgcolor="#696969">(Métraux 1935)</span>.</span>
cheveu	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> cabello; <span fgcolor="blue">EN:</span> hair; <span fgcolor="blue">DE:</span> Haar; <span fgcolor="blue">URU:</span> chera / chira <span fgcolor="#696969">(Muysken 2005)</span>; čí-ra <span fgcolor="#696969">(Vellard 1950)</span>; če̱ra <span fgcolor="#696969">(Métraux 1935)</span>; nik'ū́ta <span fgcolor="#696969">(Florentino 1929)</span>; nūk'ṓta <span fgcolor="#696969">(Lehmann Chi'mu 1929)</span>; ĭχ̯klīsa <span fgcolor="#696969">(Lehmann Ancoaqui 1929)</span>; cḗra / čera <span fgcolor="#696969">(Uhle 1894)</span>.</span>
natte	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> trenza; <span fgcolor="blue">EN:</span> plait; <span fgcolor="blue">DE:</span> Haarzopf; <span fgcolor="blue">URU:</span> čúñ <span fgcolor="#696969">(Vellard 1950)</span>; kisana / čiñs / muiča <span fgcolor="#696969">(Métraux 1935)</span>; k'ắna <span fgcolor="#696969">(Lehmann Chi'mu 1929)</span>; tšṓu’ntša <span fgcolor="#696969">(Lehmann Ancoaqui 1929)</span>.</span>
tresses de cheveaux nouées	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> trenzas recién hechas; <span fgcolor="blue">EN:</span> newly made plaits; <span fgcolor="blue">URU:</span> šku úrtaK’ <span fgcolor="#696969">(Vellard 1950)</span>.</span>
tresse	<span face="Doulos SIL"><span fgcolor="blue">FR:</span> tresse, <span fgcolor="#228B22">Nota:</span> <span fgcolor="#696969">Uncertain to what the difference is between 'natte' and 'tresse' (Métraux 1935: 108).</span>; <span fgcolor="blue">ES:</span> trenza; <span fgcolor="blue">EN:</span> plait; <span fgcolor="blue">DE:</span> Zopf; <span fgcolor="blue">URU:</span> čera-skurs <span fgcolor="#696969">(Métraux 1935)</span>.</span>
tresser	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> trenzar; <span fgcolor="blue">EN:</span> to plait; <span fgcolor="blue">DE:</span> flechten; <span fgcolor="blue">URU:</span> skur <span fgcolor="#696969">(Métraux 1935)</span>.</span>
moustache	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> bigote; <span fgcolor="blue">EN:</span> moustache; <span fgcolor="blue">DE:</span> Schnurrbart; <span fgcolor="blue">URU:</span> sip <span fgcolor="#696969">(Métraux 1935)</span>.</span>
menton	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> barbilla; <span fgcolor="blue">EN:</span> chin; <span fgcolor="blue">DE:</span> Kinn; <span fgcolor="blue">URU:</span> kanču <span fgcolor="#696969">(Métraux 1935)</span>.</span>
œil	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> ojo(s); <span fgcolor="blue">EN:</span> eye; <span fgcolor="blue">DE:</span> Auge; <span fgcolor="blue">URU:</span> chhukhe <span fgcolor="#696969">(Muysken 2005)</span>; čúki <span fgcolor="#696969">(Vellard 1967)</span>; čuk'ẹ́ <span fgcolor="#696969">(Vellard 1950)</span>; siñi <span fgcolor="#696969">(Métraux 1935)</span>; tš'āχ̣nie' / tš'ū́χ̣nĭă <span fgcolor="#696969">(Florentino 1929)</span>; tšūk <span fgcolor="#696969">(Lehmann Ancoaqui 1929)</span>; shucui <span fgcolor="#696969">(Bacarreza 1910)</span>; shucui / chuqui <span fgcolor="#696969">(Polo 1901)</span>; čuki <span fgcolor="#696969">(Uhle 1894)</span>.</span>
paupière	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> párpado; <span fgcolor="blue">EN:</span> eyelid; <span fgcolor="blue">DE:</span> Augenlid(er); <span fgcolor="blue">URU:</span> chhukhe chqisi <span fgcolor="#696969">(Muysken 2005)</span>; čúk' ẹ ¢íļi , <span fgcolor="#228B22">Nota:</span> <span fgcolor="#696969">"peau de l'oeil" (Vellard, 1950: 57).</span>; čuk-skisi / čukči-skisi , <span fgcolor="#228B22">Nota:</span> <span fgcolor="#696969">"litt. ‚peau de l’œil‘" (Métraux 1935: 103). </span>; skēsi <span fgcolor="#696969">(Uhle 1894)</span>.</span>
sourcil	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> cejas; <span fgcolor="blue">EN:</span> eyebrow(s); <span fgcolor="blue">DE:</span> Augenbraue(n); <span fgcolor="blue">URU:</span> chimcha <span fgcolor="#696969">(Muysken 2005)</span>; či / čúk'ẹ či, <span fgcolor="#228B22">Nota:</span> <span fgcolor="#696969">"poils de l'oeil" (Vellard, 1950: 57).</span>; čuk-čimča <span fgcolor="#696969">(Métraux 1935)</span>; tšūntša <span fgcolor="#696969">(Lehmann Chi'mu 1929)</span>; tšū’k-tšĕ́mtša <span fgcolor="#696969">(Lehmann Ancoaqui 1929)</span>.</span>
