-a-	<span fgcolor="#008000"><i>part.</i></span> indica que la acción del verbo se realizará en el futuro, <span fgcolor="#008000">Ej:</span> <span fgcolor="blue"><i>ajkvtun</i></span> escuché; <span fgcolor="blue"><i>ajkvtu</i></span><span fgcolor="blue"><i><b>a</b></i></span><span fgcolor="blue"><i>n</i></span> escucharé.
acawaj	<span fgcolor="#008000"><i>s.</i></span> gallina, gallo, pollo. <span fgcolor="blue"><i><b>*</b></i></span><span fgcolor="blue"><i><b>alka a.</b></i></span> gallo.
az	<span fgcolor="#008000"><i>s.</i></span> <b>1</b> aspecto externo, forma, color, semblante. <b>2</b> cara o faz, lado <span fgcolor="#008000">Ej:</span> <span fgcolor="blue"><i>ka az mew</i></span> en el otro lado. <b>3</b> personalidad, costumbre <span fgcolor="#008000">Ej:</span> <span fgcolor="blue"><i>kiñe wesa az niey ñi kawej</i></span> mi caballo tiene una mala costumbre.
az	<span fgcolor="#008000"><i>adj.</i></span> bonito, armonioso, bien arreglado <span fgcolor="#008000">Ej:</span> <span fgcolor="blue"><i>az vy</i></span> nombre bonito.
az zuamvn	<span fgcolor="#008000"><i>v.</i></span> decidir, estar resuelto.
azentun	<span fgcolor="#008000"><i>v.trans.</i></span> <b>1</b> hallar bueno, razonable o justificado <span fgcolor="#008000">Ej:</span> <span fgcolor="blue"><i>azentun ñi zugu</i></span> me parece bueno mi asunto. <b>2</b> copiar.
azentun	<span fgcolor="#008000"><i>s.</i></span> <b>1 </b>el retrato, la imagen. <b>2</b> la copia.
azkan	<span fgcolor="#008000"><i>v.trans.</i></span> hacer maldad con astucia.
azkvnun	<span fgcolor="#008000"><i>v.trans.</i></span> <b>1</b> dejar arreglado, dejar en orden. <b>2</b> dirigir, apuntar, poner algo con el frente hacia cierto lado.
azkintun	<span fgcolor="#008000"><i>v.trans.</i></span> divisar, observar.
azman	<span fgcolor="#008000"><i>v.trans.</i></span> <b>1</b> hallar casualmente. <b>2</b> recibir a alguien.
az mapu	<span fgcolor="#008000"><i>s.</i></span> conjunto de características de un territorio.
azmapu	<span fgcolor="#008000"><i>s.</i></span> persona de la misma tierra, paisano. <span fgcolor="#008000"><i>Ver: </i></span><span fgcolor="blue"><i>az mapu.</i></span>
azmogen	<span fgcolor="#008000"><i>v.</i></span> acostumbrar vivir <span fgcolor="#008000">Ej:</span> <span fgcolor="blue"><i>cumgeci ñi azmogelen ce fij mapu mew</i></span> como acostumbra vivir la gente en toda la tierra.
azmogen	<span fgcolor="#008000"><i>s.</i></span> modo de vivir, costumbres.
aztuyen	<span fgcolor="#008000"><i>v.trans.</i></span> tener algo por costumbre.
azvn	<span fgcolor="#008000"><i>v.</i></span> <b>1</b> verse bien, ser bonito. <b>2 </b>estar bien, en orden, convenido, arreglado. <b>3</b> tener práctica o destreza en algo <span fgcolor="#008000">Ej:</span> <span fgcolor="blue"><i>azvn feyci kvzaw mew</i></span> tengo práctica en ese trabajo.
azyen	<span fgcolor="#008000"><i>v.trans.</i></span> seguir los modos o las costumbres de alguien.
af-	el extremo, el límite <span fgcolor="#008000">Ej:</span> <span fgcolor="blue"><i><b>af</b></i></span><span fgcolor="blue"><i>mapu</i></span> los confines de la tierra, <span fgcolor="blue"><i><b>af</b></i></span><span fgcolor="blue"><i>antv</i></span> el último día.
afafan	<span fgcolor="#008000"><i>s.</i></span> vitoreo.
afzuamvn	<span fgcolor="#008000"><i>v.</i></span> admirarse, asombrarse.
afelvn	<span fgcolor="#008000"><i>v.trans.</i></span> <b>1</b> cansar, molestar, fastidiar. <b>2</b> ponerle fin a algo. <b>3</b> suspender una acción.
afentun	<span fgcolor="#008000"><i>v.trans.</i></span> <b>1</b> concluir. <b>2</b> abominar, aborrecer.
afkazi	<span fgcolor="#008000"><i>s.</i></span> <b>1</b> el costado de una persona. <b>2</b> pareja, compañero/a; la persona que está al lado de otra.
afkazinien	<span fgcolor="#008000"><i>v.</i></span> tener al lado, tener por compañía <span fgcolor="#008000">Ej:</span> <span fgcolor="blue"><i>afkaziniey ñi caw</i></span> tiene por compañía a su padre.
afmatun	<b>1</b><span fgcolor="#008000"><i> v.trans.</i></span> admirar. <b>2</b><span fgcolor="#008000"><i> v.</i></span> admirarse, maravillarse.
afgvnengen	<span fgcolor="#008000"><i>v.</i></span> ser extremadamente astuto.
afpun	<span fgcolor="#008000"><i>v.</i></span> llegar al fin.
afvmvn	<span fgcolor="#008000"><i>v.trans.</i></span> cocer, cocinar.
afvn	<span fgcolor="#008000"><i>v.</i></span> acabar, concluir. <span fgcolor="blue"><i><b>*</b></i></span><span fgcolor="blue"><i><b>afi ñi zuam</b></i></span> me aburrí, me cansé de algo.
afvn	<span fgcolor="#008000"><i>v.</i></span> cocerse, cocinarse.
akun	<span fgcolor="#008000"><i>v.</i></span> arribar acá, llegar acá.
ale(n)	<span fgcolor="#008000"><i>s.</i></span> luz de la luna. <span fgcolor="blue"><i><b>*</b></i></span><span fgcolor="blue"><i><b>alegey</b></i></span> hay luna, alumbra la luna.
aliwen	<span fgcolor="#008000"><i>s.</i></span> árbol.
alka	<b>1</b><span fgcolor="#008000"><i> adj.</i></span> macho, referido a las aves y en ocasiones a pequeños cuadrúpedos. <b>2</b><span fgcolor="#008000"><i> s.</i></span> gallo.
alofvn	<span fgcolor="#008000"><i>v.</i></span> relumbrar.
abv	<span fgcolor="#008000"><i>complem.</i></span> mucho, muy. <span fgcolor="blue"><i><b>*</b></i></span><span fgcolor="blue"><i><b>a. mapu</b></i></span> lejos. <span fgcolor="blue"><i><b>*</b></i></span><span fgcolor="blue"><i><b>a. antv</b></i></span> ya avanzado el día. <span fgcolor="blue"><i><b>*</b></i></span><span fgcolor="blue"><i><b>a. puh</b></i></span> muy de noche. <span fgcolor="blue"><i><b>*</b></i></span><span fgcolor="blue"><i><b>abvke mapu</b></i></span> tierras lejanas.
abvantvn	<span fgcolor="#008000"><i>v.</i></span> ser tarde, hacerse tarde.
abvn	<span fgcolor="#008000"><i>v.</i></span> ser mucho, ser grande <span fgcolor="#008000">Ej:</span> <span fgcolor="blue"><i>abvy ñi kuxan</i></span> es mucho mi dolor. <span fgcolor="blue"><i><b>*</b></i></span><span fgcolor="blue"><i><b>a. mew</b></i></span> después de mucho tiempo. <span fgcolor="blue"><i><b>*</b></i></span><span fgcolor="blue"><i><b>pici a. mew</b></i></span> después de un corto tiempo.
abvñma	<span fgcolor="#008000"><i>adv.</i></span> por largo tiempo.
abvñman	<span fgcolor="#008000"><i>v.</i></span> demorar, durar mucho, tardarse, permanecer largo tiempo.
abvpvra	<span fgcolor="#008000"><i>adj.</i></span> alto.
ajfen	<span fgcolor="#008000"><i>adj.</i></span> herido, lastimado.
ajfiz(a)	<span fgcolor="#008000"><i>s.</i></span> arveja.
ajfvlvn	<span fgcolor="#008000"><i>v.trans.</i></span> herir.
ajfvn	<span fgcolor="#008000"><i>v.</i></span> <b>1</b> recibir una herida, lastimarse. <b>2</b> mellarse.
ajkvn	<span fgcolor="#008000"><i>v./v.trans.</i></span> oír.
ajwe	<span fgcolor="#008000"><i>complem.</i></span> <b>1</b> medianamente, no muy. <b>2</b> con colores, acercarse a tal color <span fgcolor="#008000">Ej:</span> <span fgcolor="blue"><i>ajwe cozi</i></span> amarillento.
ajwe(keci)	<span fgcolor="#008000"><i>deriv.</i></span> <b>1</b> paulatinamente. <b>2</b> con dificultad; con paciencia.
ajwiñ	<span fgcolor="#008000"><i>s.</i></span> <b>1</b> bulto o atado grande <span fgcolor="#008000">Ej:</span> <span fgcolor="blue"><i>ajwiñ takun</i></span> atado grande de ropa. <b>2</b> bolsa improvisada plegando el borde de la ropa. <b>3</b> atado que se hace para llevar cosas a la espalda y amarradas en el cuello.
am	<span fgcolor="#008000"><i>modif.</i></span> indica que la frase es una pregunta <span fgcolor="#008000">Ej:</span> <span fgcolor="blue"><i>¿iney </i></span><span fgcolor="blue"><i><b>am</b></i></span><span fgcolor="blue"><i> akuy?</i></span><b> </b>¿quién llegó? esta partícula no es indispensable <span fgcolor="#008000">Ej:</span> <span fgcolor="blue"><i>¿iney akuy?</i></span> ¿quién llegó?
am	<span fgcolor="#008000"><i>s.</i></span> alma del recién muerto, fantasma.
-am	<span fgcolor="#008000"><i>desin.</i></span> indica propósito o finalidad, <span fgcolor="#008000">Ej:</span> <span fgcolor="blue"><i>kimvn</i></span><span fgcolor="blue"> conocer, </span><span fgcolor="blue"><i>kim</i></span><span fgcolor="blue"><i><b>am</b></i></span> para conocer.
ama	<span fgcolor="#008000"><i>modif.</i></span> <span fgcolor="#008000">Sinón:</span> <span fgcolor="blue"><i>am</i></span><span fgcolor="blue"><i><b>.</b></i></span>
ampin	<span fgcolor="#008000"><i>v.trans.</i></span> aplicar un remedio en polvo a la piel o las llagas.
