A, a 	1 uyaywa [a] qillqa. <font color="#228B22">s.</font> Juk ñiqi qillqa qhichwa ñancharisqa qillqakunamanta; uyaywa. Kay a uyaywaqa mana jayk'aqpis wakjinayanchu. Jinapis simip, phatmip qallariyninpi, tukukuyninpi, iskay upayariq chawpinpipis riyta atin: akllay, ruwana. A, a: primera letra del alfabeto quechua normalizado; representa a la vocal baja central /a/; no tiene variaciones en su pronunciación. <font color="#8B4513">(ñancha, rk)</font>
A	<font color="#800080">PTS</font> <font color="#228B22">aq</font> Ruwakunan munasqanchikta jawanchan, tapuypi, kamachiypi, kutichikuypi ima. Pues, expresión de asentimiento; apócope de ari. <font color="#8B4513">(ceq, lot, rk)</font> Imaman a? a qué pues? <font color="#8B4513">(rk)</font>
Awya Yala	<font color="#228B22">s.</font> América <font color="#8B4513">(ILCQ)</font>
Achacha	<font color="#228B22">s.</font> Pukllanapaq. Juguete. <font color="#8B4513">(arusimiñee)</font>
Achachi	<font color="#0000FF">masi.</font> <font color="#228B22">s.</font> Abuelo. <font color="#8B4513">(ceq, rh)</font> 
Achachi	<font color="#800080">sxx</font> <font color="#228B22">s.</font> Viejo (personas). <font color="#8B4513">(rk)</font> 
Achachila	<font color="#0000FF">masi.</font> <font color="#228B22">s.</font> Abuelo. <font color="#8B4513">(ceq)</font>
Achachila	<font color="#800080">LPZ</font> <font color="#228B22">s.</font> Dioses naturales <font color="#8B4513">(cerros grandes)</font>. <font color="#8B4513">(pat)</font>
Achachha	<font color="#228B22">s.</font> Abecedario <font color="#FF0000">kikin: sanampakuna</font>. <font color="#8B4513">(arusimiñee)</font>
Achakana	<font color="#800080">PTS</font> <font color="#0000FF">mallki.</font> <font color="#228B22">s.</font> Cacto, variedad de. <font color="#8B4513">(ceq)</font>
Achakaw	<font color="#800080">LPZ</font> <font color="#228B22">aq</font> Qué caliente. <font color="#8B4513">(pat)</font>
Achaki	<font color="#228B22">&lt;kas.</font> <font color="#800080">LPZ</font> <font color="#228B22">s.</font> Imamantachus unqunchik, achakiman yuyarikuna; imapis tiyan achaki. Achaque; por eso - atrapado por dioses. <font color="#8B4513">(pat)</font>
Achakiy	<font color="#228B22">&lt;kas.</font> <font color="#228B22">r.</font>p. Achacar, atribuir, culpar. <font color="#8B4513">(ceq)</font>
Achaku	<font color="#228B22">&lt;aym.</font> <font color="#800080">PTS</font> <font color="#228B22">s.</font> Ratón. <font color="#8B4513">(rh)</font> 
Achala	<font color="#800080">LPZ</font> <font color="#228B22">s.</font> Placer. <font color="#8B4513">(pat)</font> 
Achala	<font color="#800080">LPZ</font> <font color="#228B22">s.t.</font> Mujeriego. <font color="#8B4513">(pat)</font> 
Achalaw	<font color="#228B22">aq</font> Qué bueno. <font color="#8B4513">(ceq)</font>
Achalay	<font color="#800080">PTS</font> <font color="#228B22">r.p.</font> Ofrendar (tejido o dinero) al alférez u otras personas para honrarlas. <font color="#8B4513">(rh)</font>
Achalanayki tiyan	Tienes que dar un regalo. <font color="#8B4513">(rh)</font>
Achallqu	<font color="#800080">LPZ</font> <font color="#0000FF">mallki.</font> <font color="#228B22">s.</font> Cabellos del maíz. <font color="#8B4513">(dgh, pat)</font> <font color="#FF0000">kikin: phuñi</font>.
Achanqara	<font color="#800080">LPZ</font> <font color="#800080">PTS</font> <font color="#0000FF">mallki.</font> <font color="#228B22">s.</font> Begonia; planta silvestre medicinal con espinas, hoja redonda y flor rosada. <font color="#8B4513">(pat, rk)</font>\nLPZ <font color="#FF0000">kikin: ach'uqmuri</font>. <font color="#8B4513">(pat)</font>
Achay	<font color="#800080">PTS</font> <font color="#228B22">s.t.</font>, <font color="#228B22">ranti.</font> Ese, esa, eso <font color="#FF0000">kikin: anchay</font>. <font color="#8B4513">(lot, rk)</font>
Achay	<font color="#228B22">s.t.</font>, <font color="#228B22">ranti.</font> Chaypuni. Ese, eso mismo. <font color="#8B4513">(ceq)</font> 
Achira	<font color="#800080">LPZ</font> <font color="#800080">PTS</font> <font color="#0000FF">mallki.</font> <font color="#228B22">s.</font> Achira, planta de la familia de las Cannáceas, de raíz comestible; medicinal. <font color="#8B4513">(ceq, pat, DRAE)</font>
Achiwa	<font color="#228B22">s.</font> Quitasol, sombrilla. <font color="#FF0000">Kikin: llanthuna, llanthucha </font><font color="#8B4513">(dgh, pol,)</font>
Achiwiti 	<font color="#228B22">&lt;nahua:</font>  achiyotl  (achuete)  <font color="#800080">LPZ</font>  <font color="#800080">PTS</font> mallki. <font color="#228B22">s.</font> Achiote, bija; colorante para la comida (rojo). <font color="#8B4513">(pat, rk)</font>
Achkha	<font color="#800080">LPZ</font> <font color="#228B22">s.t.</font> Abundante, numeroso. <font color="#8B4513">(pat)</font>
Achkha	<font color="#800080">CBB</font> <font color="#800080">CHU</font> <font color="#800080">LPZ</font> <font color="#800080">PTS</font> <font color="#228B22">s.t.</font> Harto, mucho. <font color="#8B4513">(pat, ceq, gro, pat, lot, rh, str)</font>
Achkhata	<font color="#800080">CBB</font> <font color="#800080">LPZ</font> achkata <font color="#800080">PTS</font> ashkhata <font color="#228B22">r.t.</font> Mucho. <font color="#8B4513">(xa, pat, rh)</font>
Achkhayuq	<font color="#800080">LPZ</font> <font color="#228B22">s.</font> Entre hartos. <font color="#8B4513">(pat)</font>
Achkha, tawkaq	<font color="#228B22">s.</font> Plural. <font color="#8B4513">(arusimiñee)</font>
Achkhayachiq	<font color="#0000FF">simi.</font> <font color="#228B22">s.</font> Imatapis sut'inchanapaq k'askaq: jukmanta yapasqa, iskaymanta astawanpis. Pluralizador. <font color="#8B4513">(arusimiñee, ñancha)</font>
Achkhayachiy	<font color="#0000FF">yupa.</font> <font color="#228B22">r.p.</font> Aumentar en cantidad. <font color="#8B4513">(arusimiñee)</font>
Achkhayachiy	<font color="#800080">LPZ</font> achkayachiy <font color="#800080">PTS</font> <font color="#228B22">r.p.</font> Hacer aumentar. <font color="#8B4513">(pat)</font>
Achkhayachiy	<font color="#800080">LPZ</font> <font color="#228B22">r.p.</font> Multiplicar. <font color="#8B4513">(ceq, pat)</font>
Achkhayachiy	<font color="#228B22">r.p.</font> Reproducir, hacer que se incremente en cantidad. <font color="#8B4513">(arusimiñee)</font> <font color="#FF0000">awqan: pisiyachiy disminuir</font>.
Achkhayay	<font color="#800080">LPZ</font> <font color="#800080">PTS</font> <font color="#228B22">r.mp.</font> Multiplicarse <font color="#FF0000">awqan: pisiyay</font>. <font color="#8B4513">(pat)</font>
Achkhayay	<font color="#800080">LPZ</font> <font color="#228B22">r.p.</font> Aumentarse. <font color="#8B4513">(pat)</font>
Achkha phinkichilla	<font color="#228B22">s.</font> Densidad de corriente. <font color="#FF0000">Kikin: sinchi phinkichilla<font color="#0000FF">*</font></font>
Achkha yupaqillqa*	<font color="#0000FF">khipu.</font> <font color="#228B22">s.</font> Polinomio.
Achu kiru	<font color="#800080">LPZ</font> <font color="#228B22">s.</font> Jatun uya kiruyuq, quwipaqjina. Tiene dos dientes grandes adelante. <font color="#8B4513">(pat)</font>
Achuma	<font color="#0000FF">mallki.</font> <font color="#228B22">s.</font> Cardón gigante. <font color="#8B4513">(DRAE)</font>
Achuma, qhiwillu	<font color="#800080">PTS</font> <font color="#0000FF">mallki.</font> <font color="#228B22">s.</font> Cacto, variedad de. <font color="#8B4513">(lot)</font>
Achuni	<font color="#800080">LPZ</font> <font color="#228B22">s.</font> Achhumi. Tejón. <font color="#8B4513">(pat)</font>
Achupalla	<font color="#0000FF">yupa.</font> <font color="#228B22">s.</font> Balanza de platillos. <font color="#8B4513">(arusimiñee, pat)</font>
Achupalla, warkhunakuna	<font color="#228B22">s.</font> Pesas (del marco). <font color="#8B4513">(dgh, arusimiñee)</font>
Achupalla	<font color="#0000FF">tupu.</font> <font color="#228B22">s.</font> Pesa de bronce (16 onzas). <font color="#8B4513">(ceq, rk)</font>
Achupalla	<font color="#0000FF">mallki.</font> <font color="#228B22">s.</font> Planta silvestre; de la familia de las Bromeliáceas, piña, anana. <font color="#8B4513">(ceq, DRAE, alquivi)</font>
Achuqalla	<font color="#800080">LPZ</font> purum <font color="#0000FF">uywa.</font> <font color="#228B22">s.</font> Juk juch'uy kampu uywa, quwimanta juch'uy yaparisqa. Roedor de los valles de Charazani, come seso de cuy. <font color="#8B4513">(pat)</font>
Achuqay	<font color="#800080">LPZ</font> <font color="#800080">PTS</font> <font color="#228B22">r.p.</font> Bajar algo con la boca. <font color="#8B4513">(pat, rk)</font>
Achuqcha	<font color="#800080">LPZ</font> <font color="#0000FF">mallki.</font> <font color="#228B22">s.</font> Mallki urin achuqchata. Caiba; planta herbácea, flores amarillas, frutos comestibles (Cyclantera brachyhotrys); planta que se cultiva en el maizal, para la ensalada y sopa. <font color="#8B4513">(ceq, pat, DRAE)</font>
Achura	<font color="#228B22">s.</font> Carne que se da al que ayuda a carnear, como propina. <font color="#8B4513">(ceq)</font>
Achuray	<font color="#228B22">r.p.</font> Distribuir, repartir. <font color="#8B4513">(dgh, arusimiñee)</font>
Achuy	<font color="#800080">LPZ</font> <font color="#228B22">r.p.</font> Llevar con los dientes. <font color="#8B4513">(pat)</font>
Achuy	<font color="#800080">PTS</font> <font color="#228B22">r.p.</font> Achusunqa. Llevar en la boca, los animales mamíferos. <font color="#8B4513">(ceq, rh)</font>
