a	Primera grafía y primera vocal del idioma Aymara. Con diéresis (<span foreground="#483D8B">ä - </span>ä) es la vocal alargada. Ej: Llätunka = Nueve, Phäña = Material que se utiliza como combustible.
äña	<span foreground="#228B22">v. tr.</span> Llevar (objeto largo). <span foreground="#228B22">Ej:</span> <i>Lawa ayaña = Llevar el palo. <span foreground="#228B22">Sinón:</span> <span foreground="#483D8B">ayaña</span>.</i>
acha	<span foreground="#228B22">Inst.</span> Hacha. <b>2.</b> <span foreground="#228B22">Geog.</span> Quebrada y lugar de la provincia de Arica, norte de Chile. <b>3.</b> Acha proviene de voz aymara. <span foreground="#228B22">Ej:</span> <i>Jach'a = Grande.</i>
<span foreground="#483D8B">achachay</span>!	<span foreground="#228B22">interj.</span> Ay… ayay! (<span foreground="#228B22">p.e.</span> sentir el dolor).
achachi	<span foreground="#228B22">adj.</span> Viejo, persona vieja; animal viejo. <b>2.</b> <span foreground="#228B22">adj.</span> Vetusto, -ta. <span foreground="#228B22">Ej:</span> <i>a) Achachi jaqi = Gente vieja o persona mayor. b) Achachi phisi = Gato viejo. c) Achahi yuqalla = Niño más mayor que el otro.</i> <span foreground="#228B22">Var:</span> <span foreground="#483D8B">achichi</span>.
achachila	<span foreground="#228B22">s.</span> Abuelo. <span foreground="#228B22">Var:</span> <span foreground="#483D8B">achila</span>, <span foreground="#483D8B">achichila</span>. <b>2.</b> Tatarabuelo. <b>3.</b> Anciano. <span foreground="#228B22">Sinón:</span> <span foreground="#483D8B">awkirana</span>.
achachila	<span foreground="#228B22">s.</span> Espíritu tutelar del cerro más elevado de la localidad, hado. <span foreground="#228B22">Var:</span> <span foreground="#483D8B">achila</span>, <span foreground="#483D8B">achichila</span>. <span foreground="#228B22">Sinón:</span> <span foreground="#483D8B">apu</span>.
achachilana achachilapa	<span foreground="#228B22">n.</span> Tatarabuelo, abuelo del abuelo.
achachila-sunkha	<span foreground="#228B22">adj.</span> Barba de abuelo. <b>2.</b> <span foreground="#228B22">Bot.</span> Helecho (planta criptógama), nombre común de las plantas pteridofitas, se encuentra en lugares rocosos, húmedos y sombríos. <b>3.</b> <span foreground="#228B22">Bot.</span> Liquen. <span foreground="#228B22">Sinón:</span> <span foreground="#483D8B">qarqa-sunkha</span>.
achachila-sunkha	<span foreground="#228B22">Bot.</span> Calawalla, planta medicinal que se encuentra en peñas. <b>2.</b> Musgo. <span foreground="#228B22">Sinón:</span> <span foreground="#483D8B">kalawalla</span>.
achachiptaña	<span foreground="#228B22">v. tr.</span> Envejecer. <b>2.</b> <span foreground="#228B22">Lit.</span> Llegar a la edad avanzada. <span foreground="#228B22">Var:</span> <span foreground="#483D8B">achachkiptaña</span>. <span foreground="#228B22">Sinón:</span> <span foreground="#483D8B">awkiptaña</span>.
achachkiptata	<span foreground="#228B22">adj.</span> Envejecido, -da. <b>2.</b> <span foreground="#228B22">Fig.</span> Que viene de mucho tiempo atrá<span foreground="#228B22">s.</span> <span foreground="#228B22">Sinón:</span> <span foreground="#483D8B">achachmuktata</span>.
achachmuktata	<span foreground="#228B22">adj.</span> Envejecido, -da. <b>2.</b> Que viene de mucho tiempo atrá<span foreground="#228B22">s.</span> <span foreground="#228B22">Sinón:</span> <span foreground="#483D8B">achachkiptata</span>.
achachinaka	<span foreground="#228B22">Fig.</span> Ancestros. <b>2.</b> Los viejos.
achakana	<span foreground="#228B22">Bot.</span> Cacto, planta comestible, medicina y también vale para predecir. <b>2.</b> Nombre de diversas plantas de la familia de las cactáceas, comprende especies de tallo carnoso y grandes surcos meridianos y con flores sobre las costillas. <b>3.</b> Cactos de diferentes colores verdusco, tamaños y formas.
achakana	<span foreground="#228B22">Bot.</span> Cacto que produce el sank'ayo, fruto agradable al paladar.
achakana	<span foreground="#228B22">Bot.</span> Cacto. <span foreground="#228B22">Var:</span> Achajana, Achuma, Awarqallu, Jawa-q'uwa, jawa-q'ulla.
<span foreground="#483D8B">achakay</span>!	<span foreground="#228B22">interj.</span> Expresa de dolor. <b>2.</b> <span foreground="#228B22">Excl.</span> ¡Ay! Expresión de dolor o aflicció<span foreground="#228B22">n.</span> <span foreground="#228B22">Var:</span> <span foreground="#483D8B">achakaw</span>, <span foreground="#483D8B">achichiw</span>. <span foreground="#228B22">Sinón:</span> <span foreground="#483D8B">atatay</span>.
achaku	<span foreground="#228B22">Zool.</span> Ratón, mamífero roedor. <span foreground="#228B22">Ej:</span> <i>Janq'u achaku = Ratón blanco.</i>
achaku-p'iya	<span foreground="#228B22">adj.</span> Hueco del rató<span foreground="#228B22">n.</span>
achaku-qallu	<span foreground="#228B22">Zool.</span> Ratón pequeño.
achala	<span foreground="#228B22">adj.</span> Sensual. <b>2.</b> Erótico, -ca. <b>3.</b> Lascivo, -va, lujurioso, -sa.
achala	<span foreground="#228B22">adj.</span> Semental. <b>2.</b> Padrear (<span foreground="#228B22">p.e.</span> padrillo). <b>3.</b> <span foreground="#228B22">Fig.</span> Mujeriego.
achalay	<span foreground="#228B22">interj.</span> ¡Achalay! Expresión interjectiva que denota gusto o disgusto. <span foreground="#228B22">Ej:</span> <i>Achalay! wali misk'i = ¡Oh! Qué rico.</i>
achalji	<span foreground="#228B22">Fig.</span> El chancho que copula a la chancha. <b>2.</b> Dícese en plena copulació<span foreground="#228B22">n.</span>
achala-qallu	<span foreground="#228B22">Fig.</span> Cerdo tierno reservado para padrillo.
achanqara	<span foreground="#228B22">Bot.</span> Planta perenne, originaria de América, de la familia de las Begoniáceas, de unos cuatro decímetros de altura, con tallos carnosos, hojas grandes, acorazonadas, dentadas, de color verde bronceado por encima, rojizas y con nervios muy salientes por el envés, y flores monoicas, con pedúnculos largos y dicótomos, sin corola y con el cáliz de color de rosa. <b>2.</b> Planta medicinal y flor de la selva.
achaqullu	Ver <span foreground="#483D8B">jach'a qullu</span>.
achika	<span foreground="#228B22">raíz.</span> Ruego. <b>2.</b> Petición, súplica.
achikaña	<span foreground="#228B22">v. tr.</span> Rogar.
achira	<span foreground="#228B22">Bot.</span> Tubérculo alimenticia y medicinal. Pertenece a la familia de las Cannáceas (sus rizomas cocidos se emplean contra afecciones de las vías urinarias). <span foreground="#228B22">Sinón:</span> <span foreground="#483D8B">anuchira</span>.
achiwa	<span foreground="#228B22">s.</span> Vela de balsa (balsa es un barco pequeño hecho de totora). <b>2.</b> Sombrilla, quitasol.
achiwatu	<span foreground="#228B22">Bot.</span> Achiote, colorante. <b>2.</b> Bija. <span foreground="#228B22">Sinón:</span> <span foreground="#483D8B">achiwiti</span>.
achiya	<span foreground="#228B22">adj.</span> Bello, -lla, hermoso, -sa. <b>2.</b> Dícese colorido. <b>3.</b> <span foreground="#228B22">Bot.</span> Flor. <span foreground="#228B22">Sinón:</span> <span foreground="#483D8B">sumalla</span>, <span foreground="#483D8B">jiwalla</span>.
achiya	<span foreground="#228B22">Bot.</span> Flor. <span foreground="#228B22">Sinón:</span> <span foreground="#483D8B">panqara</span>, <span foreground="#483D8B">thuthumpi</span>, <span foreground="#483D8B">t'ika</span>.
achjaña	<span foreground="#228B22">v. tr.</span> Morder (<span foreground="#228B22">p.e.</span> perro). <span foreground="#228B22">Ej:</span> <i>a) Lakampi achjaña = Morder con la boca. b) anumpi achjayaña = Hacer morder con el perro. <span foreground="#228B22">Sinón:</span> <span foreground="#483D8B">p'atjaña</span>.</i>
