acjjz	<font color=#2E8B57>ESP:</font> arrear\n<font color=blue>AYM:</font> anaña, anakiña\n<font color=#FF8C00>ENG:</font> to herd
acull zcara	<font color=#2E8B57>ESP:</font> sapito negro\n<font color=blue>AYM:</font> tuqu jamp'atu\n<font color=#FF8C00>ENG:</font> little black toad
ach k'ala	<font color=#2E8B57>ESP:</font> calvo\n<font color=blue>AYM:</font> p'axla\n<font color=#FF8C00>ENG:</font> bald headed
acha	<font color=#2E8B57>ESP:</font> cabeza\n<font color=blue>AYM:</font> p'iqi\n<font color=#FF8C00>ENG:</font> head
achi	<font color=#2E8B57>ESP:</font> usado, gastado\n<font color=blue>AYM:</font> thantha\n<font color=#FF8C00>ENG:</font> well-used, worn-out
achicu	<font color=#2E8B57>ESP:</font> ratón\n<font color=blue>AYM:</font> achuku\n<font color=#FF8C00>ENG:</font> mouse
achupalla	<font color=#2E8B57>ESP:</font> medio kilo, una libra\n<font color=blue>AYM:</font> pisaña\n<font color=#FF8C00>ENG:</font> /2 kilogram
achura	<font color=#2E8B57>ESP:</font> regalo de carne\n<font color=blue>AYM:</font> aycha waxt'aña\n<font color=#FF8C00>ENG:</font> gift of meat
ac̈ha	<font color=#2E8B57>ESP:</font> guano, taquia\n<font color=blue>AYM:</font> thaxa\n<font color=#FF8C00>ENG:</font> guano, excrement
ajalaz	<font color=#2E8B57>ESP:</font> malgastar tiempo\n<font color=blue>AYM:</font> inak timpu pasaña\n<font color=#FF8C00>ENG:</font> to waste time
ajanz	<font color=#2E8B57>ESP:</font> trasladar\n<font color=blue>AYM:</font> llampaña\n<font color=#FF8C00>ENG:</font> to move
ajar uza	<font color=#2E8B57>ESP:</font> huérfano\n<font color=blue>AYM:</font> wajcha\n<font color=#FF8C00>ENG:</font> orphan
ajara	<font color=#2E8B57>ESP:</font> quinua negra\n<font color=blue>AYM:</font> ajara\n<font color=#FF8C00>ENG:</font> black quinua
ajcs	<font color=#2E8B57>ESP:</font> reunir, juntar\n<font color=blue>AYM:</font> tantaña\n<font color=#FF8C00>ENG:</font> to assemble, to gather
ajcsas	<font color=#2E8B57>ESP:</font> reunirse\n<font color=blue>AYM:</font> tantansiña, jikhisiña\n<font color=#FF8C00>ENG:</font> to come together
ajcz̈quiz	<font color=#2E8B57>ESP:</font> traer el rebaño al corral\n<font color=blue>AYM:</font> anantaña\n<font color=#FF8C00>ENG:</font> to bring the herd from pasture to corral
ajitaz	<font color=#2E8B57>ESP:</font> dejar comida (ya hartado)\n<font color=blue>AYM:</font> thathantata\n<font color=#FF8C00>ENG:</font> to leave food (leftovers)
ajjz	<font color=#2E8B57>ESP:</font> cosechar\n<font color=blue>AYM:</font> awtiraña\n<font color=#FF8C00>ENG:</font> to harvest
ajllchi	<font color=#2E8B57>ESP:</font> nieto/nieta\n<font color=blue>AYM:</font> allchhi\n<font color=#FF8C00>ENG:</font> grandchild (m/f)
ajmuz ejp	<font color=#2E8B57>ESP:</font> suegro del esposo\n<font color=blue>AYM:</font> tata\n<font color=#FF8C00>ENG:</font> father-in-law of husband
ajmuz maa	<font color=#2E8B57>ESP:</font> suegra del esposo\n<font color=blue>AYM:</font> mama\n<font color=#FF8C00>ENG:</font> mother-in-law of husband
ajps = tjjaz	<font color=#2E8B57>ESP:</font> acostarse\n<font color=blue>AYM:</font> ikintasiña\n<font color=#FF8C00>ENG:</font> to lie down (to sleep)
ajptjaps	<font color=#2E8B57>ESP:</font> meterse en una discusión\n<font color=blue>AYM:</font> jaqi axtapi\n<font color=#FF8C00>ENG:</font> to intervene in a discussion
ajpz zquiti	<font color=#2E8B57>ESP:</font> cama\n<font color=blue>AYM:</font> ikiña\n<font color=#FF8C00>ENG:</font> bed
ajpz zquiti	<font color=#2E8B57>ESP:</font> acostar\n<font color=blue>AYM:</font> ikiyaña\n<font color=#FF8C00>ENG:</font> to put to bed
ajrkiz	<font color=#2E8B57>ESP:</font> agitarse\n<font color=blue>AYM:</font> samsuña, samaqiña\n<font color=#FF8C00>ENG:</font> to be agitated
ajts	<font color=#2E8B57>ESP:</font> bastón\n<font color=blue>AYM:</font> thuxru\n<font color=#FF8C00>ENG:</font> cane
ajunz	<font color=#2E8B57>ESP:</font> lavarse\n<font color=blue>AYM:</font> jarisiña\n<font color=#FF8C00>ENG:</font> to wash oneself
ajutiz	<font color=#2E8B57>ESP:</font> rugir, gritar\n<font color=blue>AYM:</font> qarqaña\n<font color=#FF8C00>ENG:</font> to roar, to shout
akacha paac̈ha	<font color=#2E8B57>ESP:</font> perjudicar\n<font color=blue>AYM:</font> ñanqhachaña, pirjudikaña\n<font color=#FF8C00>ENG:</font> to ruin, to harm
akallapi	<font color=#2E8B57>ESP:</font> harina de quinua\n<font color=blue>AYM:</font> juyra jak'u\n<font color=#FF8C00>ENG:</font> quinua flour
akji	<font color=#2E8B57>ESP:</font> peña, roca\n<font color=blue>AYM:</font> chhankha\n<font color=#FF8C00>ENG:</font> rock, boulder
akji c̈herchiz	<font color=#2E8B57>ESP:</font> gran montón de víveres\n<font color=blue>AYM:</font> pirwa\n<font color=#FF8C00>ENG:</font> pile of provisions
akjjatz uyu	<font color=#2E8B57>ESP:</font> regresar al corral al atardecer\n<font color=blue>AYM:</font> uywant puriña, antaniña, antanxaña\n<font color=#FF8C00>ENG:</font> to return to corral (animals)
aksi = kjolzi	<font color=#2E8B57>ESP:</font> arruinado, quebrado\n<font color=blue>AYM:</font> p'akintata\n<font color=#FF8C00>ENG:</font> ruined, broken
akz = kjolz	<font color=#2E8B57>ESP:</font> quebrar\n<font color=blue>AYM:</font> p'akjaña\n<font color=#FF8C00>ENG:</font> to break
akzic̈ha	<font color=#2E8B57>ESP:</font> equivocarse, confundirse\n<font color=blue>AYM:</font> pantjasiña\n<font color=#FF8C00>ENG:</font> to be mistaken, to be confused
ala	<font color=#2E8B57>ESP:</font> alero, sobresaliente del techo\n<font color=blue>AYM:</font> ulira\n<font color=#FF8C00>ENG:</font> eaves, overhang of roof
alaja	<font color=#2E8B57>ESP:</font> adorno\n<font color=blue>AYM:</font> alaja\n<font color=#FF8C00>ENG:</font> ornament, decoration
alajapan	<font color=#2E8B57>ESP:</font> sin motivo, sin razon, por sí\n<font color=blue>AYM:</font> aka ch'usata, yuspaki, aliqaki\n<font color=#FF8C00>ENG:</font> without reason
alamutu	<font color=#2E8B57>ESP:</font> (preguntar) con intenciones escondidas\n<font color=blue>AYM:</font> ñanqha aruni\n<font color=#FF8C00>ENG:</font> (to ask) with hidden intentions
alawasñi	<font color=#2E8B57>ESP:</font> jactancioso, alabancioso\n<font color=blue>AYM:</font> alawanshusu\n<font color=#FF8C00>ENG:</font> one who boasts
alawaszic̈ha	<font color=#2E8B57>ESP:</font> jactarse, alabarse\n<font color=blue>AYM:</font> alawasiña\n<font color=#FF8C00>ENG:</font> to boast about oneself, to praise oneself
alawaz	<font color=#2E8B57>ESP:</font> alabar\n<font color=blue>AYM:</font> alawaña\n<font color=#FF8C00>ENG:</font> to praise
alcanti	<font color=#2E8B57>ESP:</font> alcalde\n<font color=blue>AYM:</font> alkalti\n<font color=#FF8C00>ENG:</font> chief authority of an ayllu
alcawitñi	<font color=#2E8B57>ESP:</font> alcahuete\n<font color=blue>AYM:</font> alkawiti\n<font color=#FF8C00>ENG:</font> keeper of a secret
alcu	<font color=#2E8B57>ESP:</font> granos de la lengua\n<font color=blue>AYM:</font> kankamu, phasku\n<font color=#FF8C00>ENG:</font> bumps on the tongue
alcuna	<font color=#2E8B57>ESP:</font> alcohol\n<font color=blue>AYM:</font> alkula\n<font color=#FF8C00>ENG:</font> alcohol
ali	<font color=#2E8B57>ESP:</font> mata\n<font color=blue>AYM:</font> ali\n<font color=#FF8C00>ENG:</font> young plant
alintas	<font color=#2E8B57>ESP:</font> alentarse, ser alegre\n<font color=blue>AYM:</font> alintaña\n<font color=#FF8C00>ENG:</font> to be happy, to be encouraged
alka	<font color=#2E8B57>ESP:</font> combinación de dos colores de llama (blanco y negro/café)\n<font color=blue>AYM:</font> alqa\n<font color=#FF8C00>ENG:</font> combination of two colors on llama (white and black/brown)
alma	<font color=#2E8B57>ESP:</font> alma\n<font color=blue>AYM:</font> alma\n<font color=#FF8C00>ENG:</font> soul
alma murtajta	<font color=#2E8B57>ESP:</font> envolver a un difunto\n<font color=blue>AYM:</font> alma k'iruña\n<font color=#FF8C00>ENG:</font> to wrap a corpse for burial
almilla	<font color=#2E8B57>ESP:</font> camisa, blusa\n<font color=blue>AYM:</font> allmilla\n<font color=#FF8C00>ENG:</font> shirt, blouse
almilla	<font color=#2E8B57>ESP:</font> almilla\n<font color=blue>AYM:</font> allmilla\n<font color=#FF8C00>ENG:</font> long undergarment
almiz̈ kjuya = tsjij kjuya	<font color=#2E8B57>ESP:</font> casa pequeña con huesos de difuntos\n<font color=blue>AYM:</font> alman uta\n<font color=#FF8C00>ENG:</font> little house with the bones of dead people, raised tomb
alpjirsa	<font color=#2E8B57>ESP:</font> pasante\n<font color=blue>AYM:</font> alphirisa\n<font color=#FF8C00>ENG:</font> person responsible for a festival
alsa	<font color=#2E8B57>ESP:</font> regalo de comida durante fiesta\n<font color=blue>AYM:</font> jaqjata\n<font color=#FF8C00>ENG:</font> gift of food at a festival
altara	<font color=#2E8B57>ESP:</font> altar\n<font color=blue>AYM:</font> altara\n<font color=#FF8C00>ENG:</font> altar
altara	<font color=#2E8B57>ESP:</font> santuario, los 4 santuarios en esquinas de patio de iglesia\n<font color=blue>AYM:</font> altara\n<font color=#FF8C00>ENG:</font> the four small shrines at the corners of church patio
altu joorz̈tan = altu tawkz̈tan	<font color=#2E8B57>ESP:</font> en voz alta\n<font color=blue>AYM:</font> jach'ata\n<font color=#FF8C00>ENG:</font> loud
alwa	<font color=#2E8B57>ESP:</font> alba\n<font color=blue>AYM:</font> alwa\n<font color=#FF8C00>ENG:</font> dawn, daybreak
alwa	<font color=#2E8B57>ESP:</font> el amanecer después de una fiesta\n<font color=blue>AYM:</font> tispinsa\n<font color=#FF8C00>ENG:</font> early morning after a festival
alwañz	<font color=#2E8B57>ESP:</font> hacer recto/liso el lado de pared con azadón\n<font color=blue>AYM:</font> utachaña\n<font color=#FF8C00>ENG:</font> to smooth a wall
alwirca	<font color=#2E8B57>ESP:</font> arveja\n<font color=blue>AYM:</font> alwirja\n<font color=#FF8C00>ENG:</font> green pea
alz	<font color=#2E8B57>ESP:</font> echar líquido adentro, llenar\n<font color=blue>AYM:</font> warantaña, phuqhaña\n<font color=#FF8C00>ENG:</font> to fill with liquid
alljatz = alltjapz	<font color=#2E8B57>ESP:</font> aporcar (papas)\n<font color=blue>AYM:</font> alljaña, allthapiña\n<font color=#FF8C00>ENG:</font> to pack earth around a (potato) plant
allpi	<font color=#2E8B57>ESP:</font> agua turbia\n<font color=blue>AYM:</font> juri uma\n<font color=#FF8C00>ENG:</font> muddy water
allpjachu	<font color=#2E8B57>ESP:</font> alpaca\n<font color=blue>AYM:</font> allpachu\n<font color=#FF8C00>ENG:</font> alpaca
alltjapz = alljatz	<font color=#2E8B57>ESP:</font> aporcar (papas)\n<font color=blue>AYM:</font> alljaña, allthapiña\n<font color=#FF8C00>ENG:</font> to pack earth around a (potato) plant
allunchichi	<font color=#2E8B57>ESP:</font> orzuelo\n<font color=blue>AYM:</font> alluchata\n<font color=#FF8C00>ENG:</font> sty
am	<font color=#2E8B57>ESP:</font> tú\n<font color=blue>AYM:</font> juma\n<font color=#FF8C00>ENG:</font> you
amallu	<font color=#2E8B57>ESP:</font> tumor\n<font color=blue>AYM:</font> lluquchsjata\n<font color=#FF8C00>ENG:</font> tumor
amantaz = juztaz c̈heri	<font color=#2E8B57>ESP:</font> gustar mucho (comida)\n<font color=blue>AYM:</font> anch (manq'a) munaña\n<font color=#FF8C00>ENG:</font> to greatly enjoy (food)
amayaraz	<font color=#2E8B57>ESP:</font> extrañar\n<font color=blue>AYM:</font> amuyasiña\n<font color=#FF8C00>ENG:</font> to miss (a person)
amayas	<font color=#2E8B57>ESP:</font> darse cuenta de que algunas cosas/personas faltan\n<font color=blue>AYM:</font> amayusiña\n<font color=#FF8C00>ENG:</font> to realize that some things/persons are missing
amayt'as	<font color=#2E8B57>ESP:</font> reorientarse cuando perdido\n<font color=blue>AYM:</font> amayt'asiña\n<font color=#FF8C00>ENG:</font> to reorient oneself when lost
amayt'az	<font color=#2E8B57>ESP:</font> darse cuenta de\n<font color=blue>AYM:</font> amayt'aña\n<font color=#FF8C00>ENG:</font> to realize, to note
amaywancara	<font color=#2E8B57>ESP:</font> nido de avispa en tolas\n<font color=blue>AYM:</font> lichiwan thapa\n<font color=#FF8C00>ENG:</font> nest of mud wasp in bushes
amayz	<font color=#2E8B57>ESP:</font> darse cuenta de que una persona/cosa falta\n<font color=blue>AYM:</font> amayuña\n<font color=#FF8C00>ENG:</font> to realize that one person/thing is missing
