to herd	<font color=red>CHP:</font> acjjz\n<font color=#2E8B57>ESP:</font> arrear\n<font color=blue>AYM:</font> anaña, anakiña
little black toad	<font color=red>CHP:</font> acull zcara\n<font color=#2E8B57>ESP:</font> sapito negro\n<font color=blue>AYM:</font> tuqu jamp'atu
bald headed	<font color=red>CHP:</font> ach k'ala\n<font color=#2E8B57>ESP:</font> calvo\n<font color=blue>AYM:</font> p'axla
head	<font color=red>CHP:</font> acha\n<font color=#2E8B57>ESP:</font> cabeza\n<font color=blue>AYM:</font> p'iqi
well-used, worn-out	<font color=red>CHP:</font> achi\n<font color=#2E8B57>ESP:</font> usado, gastado\n<font color=blue>AYM:</font> thantha
mouse	<font color=red>CHP:</font> achicu\n<font color=#2E8B57>ESP:</font> ratón\n<font color=blue>AYM:</font> achuku
/2 kilogram	<font color=red>CHP:</font> achupalla\n<font color=#2E8B57>ESP:</font> medio kilo, una libra\n<font color=blue>AYM:</font> pisaña
gift of meat	<font color=red>CHP:</font> achura\n<font color=#2E8B57>ESP:</font> regalo de carne\n<font color=blue>AYM:</font> aycha waxt'aña
guano, excrement	<font color=red>CHP:</font> ac̈ha\n<font color=#2E8B57>ESP:</font> guano, taquia\n<font color=blue>AYM:</font> thaxa
to waste time	<font color=red>CHP:</font> ajalaz\n<font color=#2E8B57>ESP:</font> malgastar tiempo\n<font color=blue>AYM:</font> inak timpu pasaña
to move	<font color=red>CHP:</font> ajanz\n<font color=#2E8B57>ESP:</font> trasladar\n<font color=blue>AYM:</font> llampaña
orphan	<font color=red>CHP:</font> ajar uza\n<font color=#2E8B57>ESP:</font> huérfano\n<font color=blue>AYM:</font> wajcha
black quinua	<font color=red>CHP:</font> ajara\n<font color=#2E8B57>ESP:</font> quinua negra\n<font color=blue>AYM:</font> ajara
to assemble, to gather	<font color=red>CHP:</font> ajcs\n<font color=#2E8B57>ESP:</font> reunir, juntar\n<font color=blue>AYM:</font> tantaña
to come together	<font color=red>CHP:</font> ajcsas\n<font color=#2E8B57>ESP:</font> reunirse\n<font color=blue>AYM:</font> tantansiña, jikhisiña
to bring the herd from pasture to corral	<font color=red>CHP:</font> ajcz̈quiz\n<font color=#2E8B57>ESP:</font> traer el rebaño al corral\n<font color=blue>AYM:</font> anantaña
to leave food (leftovers)	<font color=red>CHP:</font> ajitaz\n<font color=#2E8B57>ESP:</font> dejar comida (ya hartado)\n<font color=blue>AYM:</font> thathantata
to harvest	<font color=red>CHP:</font> ajjz\n<font color=#2E8B57>ESP:</font> cosechar\n<font color=blue>AYM:</font> awtiraña
grandchild (m/f)	<font color=red>CHP:</font> ajllchi\n<font color=#2E8B57>ESP:</font> nieto/nieta\n<font color=blue>AYM:</font> allchhi
father-in-law of husband	<font color=red>CHP:</font> ajmuz ejp\n<font color=#2E8B57>ESP:</font> suegro del esposo\n<font color=blue>AYM:</font> tata
mother-in-law of husband	<font color=red>CHP:</font> ajmuz maa\n<font color=#2E8B57>ESP:</font> suegra del esposo\n<font color=blue>AYM:</font> mama
to lie down (to sleep)	<font color=red>CHP:</font> ajps = tjjaz\n<font color=#2E8B57>ESP:</font> acostarse\n<font color=blue>AYM:</font> ikintasiña
