a	<span foreground="#228B22"><i>preposición.</i></span> pe; <span foreground="#228B22">Ejem:</span> a las doce = dose pe, a veces = amope
abajo	<span foreground="#228B22"><i>adverbio.</i></span> ɨvɨpe, ɨvɨkotɨ; <span foreground="#228B22">Ejem:</span> fue para abajo = ɨvɨkotɨ ojo; <span foreground="#228B22">Comparar:</span> debajo
abandonar	<span foreground="#228B22"><i>verbo.</i></span> (a)eya, (a)mombo; <span foreground="#228B22">Ejem:</span> abandono a mis hijos = aeya cheraɨ reta; <span foreground="#228B22">Comparar:</span> dejar
abanico	<span foreground="#228B22"><i>sustantivo.</i></span> tapegua, yepeyuka
abaratar	<span foreground="#228B22"><i>verbo.</i></span> (a)mbogüeyɨ jepɨ
abarca	<span foreground="#228B22"><i>sustantivo.</i></span> pɨapaa, mbɨapaa
abastecer	<span foreground="#228B22"><i>verbo.</i></span> tembíu (a)ñovatu, (a)yembieka, mbaetɨ mbae (a)mboata
abatido	<span foreground="#228B22"><i>adjetivo.</i></span> ipɨatɨtɨ vae
abatir	<span foreground="#228B22"><i>verbo.</i></span> (a)yuka, (a)mbopɨatɨtɨ
abdicar	<span foreground="#228B22"><i>verbo.</i></span> (a)eya; <span foreground="#228B22">Comparar:</span> abandonar
abdomen	<span foreground="#228B22"><i>sustantivo.</i></span> <span foreground="#228B22"><i>anatonomía.</i></span> tɨe <span foreground="#696969"><b>(rrj)</b></span>; <span foreground="#228B22">Ejem:</span> jasɨ jɨe = tiene dolor en el abdómen
abejorro	<span foreground="#228B22"><i>sustantivo.</i></span> <span foreground="#228B22"><i>zoológico.</i></span> manganga
abierto	<span foreground="#228B22"><i>adjetivo.</i></span> oyepea; <span foreground="#228B22">Ejem:</span> la puerta está abierto = öke oyepea oï
abismo	<span foreground="#228B22"><i>sustantivo.</i></span> (bib) ɨvɨkuaguasu, ivisoro, ɨvɨkua oasavi vae; <span foreground="#228B22">Ejem:</span> cayó en el abismo = ɨvɨkuaguasu pe oa
abofetear	<span foreground="#228B22"><i>verbo.</i></span> (a)ovapete; <span foreground="#228B22">Comparar:</span> cara
abollado	<span foreground="#228B22"><i>adjetivo.</i></span> ichokua, yapua, ichombe; <span foreground="#228B22">Ejem:</span> quedó totalmente abollado = opaetei ichokua opɨta
abominable	<span foreground="#228B22"><i>adjetivo.</i></span> pɨ̈chɨi vae, yavaete vae, yuguaru vae; <span foreground="#228B22">Ejem:</span> el pecado es abominable a Dios = mbaeyoa yavaete ko Tumpa pe
abominación	<span foreground="#228B22"><i>sustantivo.</i></span> mbae pɨ̈chɨi, mbaeavaete, yuguaru
aborrecer	<span foreground="#228B22"><i>verbo.</i></span> (a)motareɨ, (a)röɨro
abortar	<span foreground="#228B22"><i>verbo.</i></span> (che)membɨokua; <span foreground="#228B22">Ejem:</span> ella abortó = imembɨokua
aborto	<span foreground="#228B22"><i>sustantivo.</i></span> membɨokua
abrazar	<span foreground="#228B22"><i>verbo.</i></span> (ai)küava
abrazo	<span foreground="#228B22"><i>sustantivo.</i></span> ñeküava, ñoküava
abrigo	<span foreground="#228B22"><i>sustantivo.</i></span> yeasoika, ñeapevaka; <span foreground="#228B22"><i>figurativo.</i></span> ñepɨroka
abrir	<span foreground="#228B22"><i>verbo.</i></span> (ai)pea, (a)popira; <span foreground="#228B22">Ejem:</span> abro la puerta = aipea öke
abrogar	<span foreground="#228B22"><i>verbo.</i></span> (a)mboai
absceso	<span foreground="#228B22"><i>sustantivo.</i></span> atii
absolutamente	<span foreground="#228B22"><i>adverbio.</i></span> opaetei; <span foreground="#228B22">Ejem:</span> se perdió absolutamente todo = opaetei okañɨ
abstenerse	<span foreground="#228B22"><i>verbo.</i></span> (a)yekuaku
abuela	<span foreground="#228B22"><i>sustantivo.</i></span> yarɨ, jai
abuelo	<span foreground="#228B22"><i>sustantivo.</i></span> tamɨi (rrl); <span foreground="#228B22">Ejem:</span> cheramɨi = mi abuelo; <span foreground="#228B22">Alternativa:</span> tamui
abundancia	<span foreground="#228B22"><i>sustantivo.</i></span> jeta yae, jeta ete
abundante	<span foreground="#228B22"><i>adjetivo.</i></span> jeta yae
abundar	<span foreground="#228B22"><i>verbo.</i></span> (a)mbojeta
aburrimiento	<span foreground="#228B22"><i>sustantivo.</i></span> kuerai, pochɨ
aburrir	<span foreground="#228B22"><i>verbo.</i></span> (a)mbogüerai; aburrirse = (che)kuera
abusar	<span foreground="#228B22"><i>verbo.</i></span> (a)yuvanga katu; <span foreground="#228B22">Ejem:</span> me abuso del chico = ayuvanga katu michia re
abusivo	<span foreground="#228B22"><i>adjetivo.</i></span> oyuvanga katu vae, imbaeyuvanga
abuso	<span foreground="#228B22"><i>sustantivo.</i></span> yuvanga katu, mbaeyuvanga
acá	<span foreground="#228B22"><i>adverbio.</i></span> kuae kotɨ
acabable	<span foreground="#228B22"><i>adjetivo.</i></span> opa vae
acabar	<span foreground="#228B22"><i>verbo.</i></span> (a)mboapɨ; <span foreground="#228B22">Ejem:</span> omboapɨ ma = ya lo acabó; <span foreground="#228B22">Comparar:</span> opa
acacia	<span foreground="#228B22"><i>sustantivo.</i></span> <span foreground="#228B22"><i>botánica.</i></span> ɨvɨra-käti
academia	<span foreground="#228B22"><i>sustantivo.</i></span> yemboe renda
acalorar	<span foreground="#228B22"><i>verbo.</i></span> (a)mboakuvo; acalorarse = (che)akuvo <span foreground="#696969"><b>(rrj)</b></span>
acallar	<span foreground="#228B22"><i>verbo.</i></span> (a)mokii, (a)mokirii, (a)mokiriri
acampar	<span foreground="#228B22"><i>verbo.</i></span> (a)pɨta ñuu pe, (a)yembojeyupa
acariciar	<span foreground="#228B22"><i>verbo.</i></span> (a)momora, (ai)pichɨ pichɨ
acarrear	<span foreground="#228B22"><i>verbo.</i></span> (a)raja = llevar, (a)ru = traer
acaso	<span foreground="#228B22"><i>adverbio.</i></span> güɨramoi, aramoi, yera
accidente	<span foreground="#228B22"><i>sustantivo.</i></span> mbaesusere; <span foreground="#228B22">Comparar:</span> desgracia
acción	<span foreground="#228B22"><i>sustantivo.</i></span> mbaeapo
acechanza	<span foreground="#228B22"><i>sustantivo.</i></span> poropïaro
acechar	<span foreground="#228B22"><i>verbo.</i></span> (ai)pïaro
aceite (de ricino)	<span foreground="#228B22"><i>sustantivo.</i></span> kavɨsɨvo, kavɨsɨro kɨra
aceituna	<span foreground="#228B22"><i>sustantivo.</i></span> olivo iagüe (ɨvɨra ia)
acelerar	<span foreground="#228B22"><i>verbo.</i></span> (a)moakua; <span foreground="#228B22">Comparar:</span> (che)äkua
aceptar	<span foreground="#228B22"><i>verbo.</i></span> (ai)pɨɨ, (che)kɨ̈reɨ
acerca	<span foreground="#228B22"><i>adverbio.</i></span> re, regua, jese; <span foreground="#228B22">Ejem:</span> acerca de la casa = o regua, acerca de él = jese
acercar	<span foreground="#228B22"><i>verbo.</i></span> (a)mboya, (a)mokói
acercarse	<span foreground="#228B22"><i>verbo.</i></span> (a)ya jese
aclamar	<span foreground="#228B22"><i>verbo.</i></span> (a)sapúkai
aclarar	<span foreground="#228B22"><i>verbo.</i></span> (a)moësaka, (a)echauka kavi; <span foreground="#228B22">Ejem:</span> aclarar ideas = (a)echauka kavi (mbosɨmbi cheve)
acomodar	<span foreground="#228B22"><i>verbo.</i></span> (a)moi kavi, (a)ñono kavi
acompañar	<span foreground="#228B22"><i>verbo.</i></span> (che)upíe <span foreground="#696969"><b>(rrj)</b></span>, (a)moiru; <span foreground="#228B22">Ejem:</span> le acompañó = ojo jupíe, acompáñeme = yaja cherupíe
aconsejar	<span foreground="#228B22"><i>verbo.</i></span> (a)mboarakuaa
acontecer	<span foreground="#228B22"><i>verbo.</i></span> mbae oasa, maratu oasa
acontecimiento	<span foreground="#228B22"><i>sustantivo.</i></span> maratu; <span foreground="#228B22">Ejem:</span> ¿Qué acontece? = ¿Maratu pa?, algo ha acontecido = oime maratu
acordar	<span foreground="#228B22"><i>verbo.</i></span> jökorai (a)pɨta, (a)yembopɨayovake
acordarse	<span foreground="#228B22"><i>verbo.</i></span> (che)maendúa; <span foreground="#228B22">Ejem:</span> se acuerda = imaendúa
acortar	<span foreground="#228B22"><i>verbo.</i></span> (a)mboapúa, (a)mbochutu
acostar	<span foreground="#228B22"><i>verbo.</i></span> (a)ñeno, (a)yapakua
acostumbrarse	<span foreground="#228B22"><i>verbo.</i></span> (a)yepokuaa; <span foreground="#228B22">Ejem:</span> no me acostumbro = mbaetɨ ayepokuaa; (a)vɨa
acta	<span foreground="#228B22"><i>sustantivo.</i></span> mbaekuatía yemboatɨ regua
actitud	<span foreground="#228B22"><i>sustantivo.</i></span> teko <span foreground="#696969"><b>(rrj)</b></span>
activar	<span foreground="#228B22"><i>verbo.</i></span> (a)mbaeapo, yambaeapo
actividad	<span foreground="#228B22"><i>sustantivo.</i></span> mbaeapo, mbaravɨkɨ
actual	<span foreground="#228B22"><i>sustantivo.</i></span> añave pegua
acuático,-ca	<span foreground="#228B22"><i>adjetivo.</i></span> ɨ rupigua
acudir	<span foreground="#228B22"><i>verbo.</i></span> (a)ja (...) kotɨ, (a)ja ikotɨ; <span foreground="#228B22">Ejem:</span> acudí a mi padre = aja cheru kotɨ; acudí a él = aja ikotɨ
acuerdo	<span foreground="#228B22"><i>adverbio.</i></span> pɨayovake,yemongeta; <span foreground="#228B22">Ejem:</span> estar de acuerdo con = pɨayovake; <span foreground="#228B22">Comparar:</span> acordar
acumular	<span foreground="#228B22"><i>verbo.</i></span> (a)mboatɨ
acusado	<span foreground="#228B22"><i>adjetivo.</i></span> jeko vae
acusador	<span foreground="#228B22"><i>sustantivo.</i></span> oporomboeko vae
acusar	<span foreground="#228B22"><i>verbo.</i></span> (a)ñeapo, (a)mboya, (a)mboeko; <span foreground="#228B22">Comparar:</span> quejarse
achicar	<span foreground="#228B22"><i>verbo.</i></span> (a)momichi
achiote	<span foreground="#228B22"><i>sustantivo.</i></span> <span foreground="#228B22"><i>botánica.</i></span> uruku
adelante	<span foreground="#228B22"><i>adverbio.</i></span> tenonde; <span foreground="#228B22">Ejem:</span> lo botó hacia adelante = omombo tenonde kotɨ
adelgazar	<span foreground="#228B22"><i>verbo.</i></span> (a)mopoi, (a)mopïreri (grosor)
además	<span foreground="#228B22"><i>adverbio.</i></span> yoapɨ; <span foreground="#228B22">Ejem:</span> mbaetɨ yoapɨ anoi = además no tengo
adentro	<span foreground="#228B22"><i>adverbio.</i></span> japɨpe
adhesivo	<span foreground="#228B22"><i>adjetivo.</i></span> ipomo
adiestrar	<span foreground="#228B22"><i>verbo.</i></span> (a)mbopoki
