soplar; aire, viento	<font color="green">(v)</font> -áchajuka. Piachajuka eta yuku sopla el juego. Nachajuka, soplo. Náchajuaka, soplar el cuerpo (con algún objeto, o soplar el fuego). Náchaju'aukicha, soplo el ojo. Piachaju'aukichanu, sopla mi ojo. Piachajuaka ete yuku, supla el fuego.
aire; soplar, viento	<font color="green">(v)</font> -áchajuka. Piachajuka eta yuku sopla el juego. Nachajuka, soplo. Náchajuaka, soplar el cuerpo (con algún objeto, o soplar el fuego). Náchaju'aukicha, soplo el ojo. Piachaju'aukichanu, sopla mi ojo. Piachajuaka ete yuku, supla el fuego.
viento; soplar; aire	<font color="green">(v)</font> -áchajuka. Piachajuka eta yuku sopla el juego. Nachajuka, soplo. Náchajuaka, soplar el cuerpo (con algún objeto, o soplar el fuego). Náchaju'aukicha, soplo el ojo. Piachaju'aukichanu, sopla mi ojo. Piachajuaka ete yuku, supla el fuego.
resuello; resoplo; respiración	<font color="green">(n)</font> -áchajurapa.
resoplo; resuello; respiración	<font color="green">(n)</font> -áchajurapa.
respiración; resuello; resoplo	<font color="green">(n)</font> -áchajurapa.
adulto, mayor de edad	<font color="green">(n)</font> achánaru. Achánaruvipa, ya eres mayor de edad.
mayor de edad; adulto	<font color="green">(n)</font> achánaru. Achánaruvipa, ya eres mayor de edad.
humano, la gente	se emplea en singular para designar al varón y en singular para abarcar a ambos sexos. <font color="green">(n)</font> achane.
gente, humano	se emplea en singular para designar al varón y en singular para abarcar a ambos sexos. <font color="green">(n)</font> achane.
persona viva	<font color="green">(n)</font> achánekene. Nima'a'i esu esena achanekene'i, vi a una mujer de verdad viva.
hacer vivir, revivirlo	<font color="green">(v)</font> -áchanecha. Ema viya tiáchanechanu'i. El señor me dio vida.
revivirlo; hacer vivir	<font color="green">(v)</font> -áchanecha. Ema viya tiáchanechanu'i. El señor me dio vida.
aun está vivo	<font color="green">(v)</font> achanecha'a. Eta juka tamuku achaneicha'a. El pero todavía está vivo.
volver en sí; después de desmayarse; revivir; reconstituirse	<font color="green">(n)</font> -áchanechawa.
después de desmayarse; volver en sí; revivir; reconstituirse	<font color="green">(n)</font> -áchanechawa.
revivir; volver en sí; después de desmayarse; reconstituirse	<font color="green">(n)</font> -áchanechawa.
reconstituirse; volver en sí; después de desmayarse; revivir	<font color="green">(n)</font> -áchanechawa.
mascaras; un grupo de bailadores típicos (llamado "mascaritas")	<font color="green">(n)</font> achánemirana.
compasión, generoso de buen corazón	<font color="green">(v)</font> achánesamure.
generoso de buen corazón; compasión	<font color="green">(v)</font> achánesamure.
alma, espíritu de uno	<font color="green">(n)</font> -áchanewa. Makárichu ema viya máimati eta náchanewa ena acháneana. Sólo Dios conoce el alma de la gente.
espíritu de uno; alma	<font color="green">(n)</font> -áchanewa. Makárichu ema viya máimati eta náchanewa ena acháneana. Sólo Dios conoce el alma de la gente.
chamuscar	<font color="green">(v)</font> -ácharaka. Piacharaka eta iya, chamuscar al mono. Tiacharákanu'i eta yuku, me chamusco el fuego.
chamuscar	<font color="green">(v)</font> -ácharakawa. Ráfagas de llamas de fuego. Carbonizar. Tiácharakawa eta kachi te tamuruira'i. Se chamuscó el motacu cuando se ardió.
carbonizar al interior chamuscar, meter llamas de fuego dentro de alguna cosa	<font color="green">(v)</font> -ácharajuereka. Monte. Tiácharajuereka simena eta yucu. El fuego siempre chamusca el monte. Ema achane macharajuereka eta jurnu, el hombre chamusca el horno. Ema felix macharajuereka'i eta yukuki pasa tauchuka eta mata. Felix chamusca adentro del palo para que salga el tatu.
meter llamas de fuego dentro de alguna cosa; carbonizar al interior chamuscar	<font color="green">(v)</font> -ácharajuereka. Monte. Tiácharajuereka simena eta yucu. El fuego siempre chamusca el monte. Ema achane macharajuereka eta jurnu, el hombre chamusca el horno. Ema felix macharajuereka'i eta yukuki pasa tauchuka eta mata. Felix chamusca adentro del palo para que salga el tatu.
camino; vía; carretera; calle, senda	<font color="green">(n)</font> achene. Eta achene nayanirare ena acheneana, el camino es donde transita la gente.
vía; camino; carretera; calle, senda	<font color="green">(n)</font> achene. Eta achene nayanirare ena acheneana, el camino es donde transita la gente.
carretera; camino; vía; calle, senda	<font color="green">(n)</font> achene. Eta achene nayanirare ena acheneana, el camino es donde transita la gente.
calle; camino; vía; carretera, senda	<font color="green">(n)</font> achene. Eta achene nayanirare ena acheneana, el camino es donde transita la gente.
senda; camino; vía; carretera; calle	<font color="green">(n)</font> achene. Eta achene nayanirare ena acheneana, el camino es donde transita la gente.
cerca del camino	<font color="green">(n)</font> achénechakaya. Nunaki'ai eta namakene te achenechakaya.
calle	<font color="green">(n)</font> -ache'ukure. Esu meme tiakipaikawa'i te viache'ukure kape sache, la señora se cayó en la calle ayer.
decisión	<font color="green">(n)</font> -áche'upanewaka. Ena nuchichanaveana te ichasiwakapa nache'upanewakapa, mis hijos adultos cada uno tomó su camino.
día de mañana, futuro cercano	<font color="green">(adv.)</font> achíchu. Achíchurichu pichawa. Vuelve mañana mismo.
futuro cercano; el día de mañana	<font color="green">(adv.)</font> achíchu. Achíchurichu pichawa. Vuelve mañana mismo.
remojar; chivé (harina, polvo) remojado	<font color="green">(v)</font> -áchipaka. Piachipaka eta jarina viawaraina, remoja el chive para nuestro jacuú.
chivé (harina, polvo) remojado; remojar	<font color="green">(v)</font> -áchipaka. Piachipaka eta jarina viawaraina, remoja el chive para nuestro jacuú.
rociar con los dedos	<font color="green">(v)</font> -áchichijika. Piachichijika eta yuwapa te arusu, rocía la harina de arroz.
payaso típico entre los ignacianos; baile típico chistoso	<font color="green">(n)</font> achu. Teyereruwa saku vimu'ikiape tikisa; siasire te parumame; mirare tikaepiya te yukuki; yupairiki tepiñuki te yukuki; veparupewa te parumane; tavíripiki te ta'i chaka'i te'epa tajipaña kuparara.
abuelo	<font color="green">(n)</font> -áchuka. Ema/eñi nachuka, mi abuelo.
bisabuelo	<font color="green">(n)</font> -áchukaekene. Ema nachukaekene tijarakanu'i eta nukaye'ekene'i puiti. Mi bisabuelo me dio los que tengo ahora.
abuelos del antepasado	<font color="green">(n)</font> -áchukanaveanaini. Ena viáchukanaveanaini tumeanaicha'a, los antepasado eran muy valiente.
cuento; caso; apodo de tocayasco de hombre; costumbre o sistema	<font color="green">(n)</font> -áchukarapi. Vechejisi'ayare eta máchukarapi ema ichini. Vamos a contar sobre el cuento del tigre.
caso; cuento; apodo de tocayasco de hombre; costumbre o sistema	<font color="green">(n)</font> -áchukarapi. Vechejisi'ayare eta máchukarapi ema ichini. Vamos a contar sobre el cuento del tigre.
apodo de tocayasco de hombre; cuento; caso; costumbre o sistema	<font color="green">(n)</font> -áchukarapi. Vechejisi'ayare eta máchukarapi ema ichini. Vamos a contar sobre el cuento del tigre.
costumbre o sistema; cuento; caso; apodo de tocayasco de hombre	<font color="green">(n)</font> -áchukarapi. Vechejisi'ayare eta máchukarapi ema ichini. Vamos a contar sobre el cuento del tigre.
silbato	<font color="green">(n)</font> -achuja. Tejekawapa eta nachuja ena amaperuana; se fregó el silbato de los muchachos.
hamaca	la hamaca mojeña es tejido del hilo de algodón hecha por las mujeres mojeña. <font color="green">(n)</font> áchuji. Eta achuji maimasirare amuyana etapa nakanarasirarewa ena viachukana. La hamaca es donde duermen los niños y donde descansan los abuelos.
bufeo (un mamífero del agua)	<font color="green">(n)</font> aika. Eta aika panaikana te kajakure te tiápanainapa eta una, el bufeo arriba cuando el agua ya va subir en los río. Eta aika tiupikusiri. El bufeo tiene pico largo.
¡caramba che!; ¡hay por dios!	<font color="green">(interjección)</font> aíchapukaini. Aíchapukaini wa'icha nítujikawaima'i nuyána te víjaremu'u. ¡Caramba che, no voy a poder ir a la fiesta!
¡hay por dios!; ¡caramba che!	<font color="green">(interjección)</font> aíchapukaini. Aíchapukaini wa'icha nítujikawaima'i nuyána te víjaremu'u. ¡Caramba che, no voy a poder ir a la fiesta!
especie de loro, parabachí (un ave)	<font color="green">(n)</font> aja. Tinika sipani eta aja, el loro come maíz. Tijurukana te yukukiana vienen entre los arboles.
parabachí (un ave); especie de loro	<font color="green">(n)</font> aja. Tinika sipani eta aja, el loro come maíz. Tijurukana te yukukiana vienen entre los arboles.
hombre; varón, macho	<font color="green">(n)</font> ajaíra. Ajairara'apa ema nuchicha ya es jovencito mi hijo. Ajáirakenepa ya es bien hombre. Ajáirainapa ya va ser hombre. Ema ajaira tikaematanera'i, el hombre es trabajador.
varón; hombre, macho	<font color="green">(n)</font> ajaíra. Ajairara'apa ema nuchicha ya es jovencito mi hijo. Ajáirakenepa ya es bien hombre. Ajáirainapa ya va ser hombre. Ema ajaira tikaematanera'i, el hombre es trabajador.
macho; hombre; varón	<font color="green">(n)</font> ajaíra. Ajairara'apa ema nuchicha ya es jovencito mi hijo. Ajáirakenepa ya es bien hombre. Ajáirainapa ya va ser hombre. Ema ajaira tikaematanera'i, el hombre es trabajador.
