abajo	Uray, ukhu
abceso	Ch'upu
abdomen, barriga	Wiksa
abeja	Wanquyru
abofetear	T'aqllay, ch'aqlay
abono	Wanu
abortar	Sulluy
abra	Q'asa
abrazar	Marq'ay, uqllay
abrir	Kichay
abrir cosas blandas	Llik'iy
abrojo	Kichka, qipu
abuela, anciana	Mamaku, yuyaq warmi, paya
abuelo, anciano	Machula, yuyaq
acercarse	Chimpay, asuykuy, qayllachay
achicoria	Pilli pilli
achiote	Achiyuti
achira (planta)	Achira
ácido (comidas y bebidas)	K'arku
aclarar	Achikyay, sut'iyay
acné, espinilla, barro	Muchi
adelante	Ñawpaq
adelgazar	Llaqllay, ñañuyachiy, tulluyay
adivinanza	Watuchiy
adorar	Much'ay
adornar	Achalay, allichay, sumaqyachiy
adosar, levantar pared, pircar	Pirqay
adulación, adular	Llunk'uy
adversario	Awqa
afeitar	Thupay
afeminado	Maqlla
aflojar la tierra	Allay, yapuy, chakmay
afrecho	Chhapa
aftas	Phatku
agarrar	Hap'iy, chaskiy
ágil, listo, vivo	K'uchi
agitar	Chhapchiy, thalay
agonizante, moribundo	Wañunayaq
agradecimiento, agradecer	Añaychay
agrio, ácido	K'arku, p'uchqu
agrupar	Huñuy, tantay
agua	Unu, yaku
aguacero	Para
aguila	Anka
aguja de arriero	Yawri
agujero	Hutk'u, t'uqu
agusanado	Kurusqa
ahogar, asfixiar	Hiq'ipay, mukiy
airampo (cacto)	Ayrampu
ají	Uchu
ajustado	Mat'i
alabar, venerar, honrar	Yupaychay
alacrán	Sirara, sira sira, nina q'ara
alas, extremidades superiores	Rapra
alcanzar	Hayway, aypay, taripay
alegrar, festejar	Kusikuy, q'uchukuy
alejar	Anchuy, karunchay
alejarse	Ayqiy
alga	Laqu
algodón	Utku
alma, espíritu	Nuna
almacigal, semillero	Wampal
almas penando	Kukuchi
almohada	Sawnana
alojar	Qurpachay
alpaca	Paqucha
alto, altura	Sayaynin, hatun
alumbrar, brillar	K'anchay
alumno(a)	Yachakuq
alzar	Huqariy, wichachiy
amanecer	Illariy, sut'iyay, achikyay, paqariy
amar, querer	Munay, khuyay
amaranto, sangoracha	Kiwicha, achita
amargo, picante	Haya
amarillear, madurar	Paruyay, puquy
amarillo(a)	Q'illu
amarrar	Watay, khipuy
