Árbol de guapomó	Que crece en los llanos orientales de Bolivia. <font color=ForestGreen><b>bot.s.:</b></font> A'gi
Guapomó	Fruto del árbol del guapomó. <font color=ForestGreen><b>bot.s.:</b></font> A'i
¡Reciban!, ¡Recíbanlo!	Orden que da una persona a un grupo para que reciba a personas, animales o cosas. <font color=ForestGreen><b>vtr.imper.:</b></font> Ajachpa
Muela / molares	Dientes de otras personas. <font color=ForestGreen><b>n.f.pl.:</b></font> Ajakaragi
¡Cuiden!	Orden de cuidar. <font color=ForestGreen><b>vtr.imper.:</b></font> Ajañoka
¡Cuídenmelo muy bien!	Cuidar personas, animales o cosas. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Ajañokagnenajicha
Advertir a alguien de cualquier tipo de peligro	<font color=ForestGreen><b>interj.:</b></font> Ajañokajno
¡No se descuiden!	No descuidar a personas, animales o cosas. Atento en el cuidado. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Ajañokajnotsero
¿Ya lo cuidaron?	Persona que pregunta si cuidaron a alguna cosa de mucho valor. <font color=ForestGreen><b>vtr.interrog.:</b></font> Ajañokripo
¿Están cuidando?	1.- Persona que pregunta a un grupo si están cuidando animales o cosas. 2.- <font color=ForestGreen><b>Coloq.:</b></font> Velar a un difunto. <font color=ForestGreen><b>vtr.ger.interrog.:</b></font> Ajañoriko
¡Cuídenmelo!	Orden de una persona a otras de cuidar a personas, animales o cosas. <font color=ForestGreen><b>vtr.imper.pl.:</b></font> Ajañosnanu
Rebanar	Hacer rebanadas de alimentos sólidos u otros objetos. <font color=ForestGreen><b>vtr.:</b></font> Ajatka
Picar	Picar hoja de tabaco, como también la yuca asada. <font color=ForestGreen><b>vtr.:</b></font> Ajatpaka
¡Enganchen!	Acción de sujetar, enganchar y unir. <font color=ForestGreen><b>vtr.imper.:</b></font> Ajátaka
Jabón de ustedes	Jabón que pertenece a otras personas. <font color=ForestGreen><b>n.m.ind.:</b></font> Ajawonra
¿Traen?	Acción de traer algo. Pregunta que hace una persona en traer productos agrícolas del chaco. <font color=ForestGreen><b>vtr.interrog.:</b></font> Ajeppono
Gases intestinales	Residuo gaseoso de la digestión que se acumula en el intestino y causa molestias. <font color=ForestGreen><b>n.m.:</b></font> Ajeppueko
Saludar. ¿Cómo están ustedes?	<font color=ForestGreen><b>vtr.:</b></font> Ajichrokwoo'i
Señalar la costilla de una persona	<font color=ForestGreen><b>vtr.pron.demos.:</b></font> Ajiimone
¡Sorpréndanlo ustedes!	Sorprender a otras personas, animales. <font color=ForestGreen><b>vtr.imper.:</b></font> Achimroka
Simba de hamaca	Que sirve de soporte para colgar una hamaca	<font color=ForestGreen><b>n.f.:</b></font> Achmonsi
Hilado	Material de algodón para elaborar hamaca. <font color=ForestGreen><b>n.m.:</b></font> Achpi
