abajo	Mụijya'.
abajo	Quichĉan.
abandonar	Farajje'.
abandonar	Farajjeyaqui.
abandonar	Farajjetaque'.
abandonar	Yạjquiqui.
abeja	Coroma.
abeja negra	Roro'.
abertura	Tŝup.
abierto	Najyajyaij, najyaijtyi'.
abierto en el monte	Sajrai'.
ablandar	Jị'pi'tsuyaqui.
ablandar	Ni'yi'.
ablandar	Ni'joij.
ablandar	Tyiraqui.
aborrecido o despreciado	Fạ́cactyi' - si'.
aborto	Jojoi' na'ij- nai'.
abrasar	Ạdyei'.
abraza	Noq̂uen'je'.
abrazado con la pareja	Noĉo'ĉoyeja'.
abrazar	Choben'je'.
abrazar	Chobo'naqui.
abrazar	Noq̂uen'yi.
abrigo	Nabactyity.
abrir	Ĉhaijje'.
abrir	Ĉhapje'.
abrir	P̂e'je'.
abrir	Ej: la puerta. Vanĉhui'.
abrir	Vanĉhute.
abrir la boca	Jaĉhen'yi.
abrir las alas para volar	Ĉhevyi.
abrir lata	Shevaqui, shevva'te, shevte.
abrir los ojos	Doijrojyi.
abrir para dar paso entre medio de otras cosas	Dyeten'je'.
abrir paso	Dyen.
abrir paso en la muchedumbre	Dyenjeyacsi.
abrir: puerta	Vanacje'.
abrir puerta cuando la casa es propia	Vanchuqui.
abrirse	(flor, ala, etc.) Ĉhaijti.
abrir: tijera, etc	Dyecher'je'.
abrir: trampa	Vechen'je', veche'ñe'.
absorber	Tyucu'maqui, tyucu'me'.
abuela	Jäye'.
abuelo	Bába.
abuelo	Vịya'.
aburrido	Quiba'saqui.
aburrido	Quisbánaqui.
aburrido	Voro'shaqui.
acabar	Rä'i, rä'eja.
acabar	Räjjeyaqui.
acabar	Räjjotaqui.
acabarlos	Tasje'.
acabarse	Mọtsi', mọtsi.
acarrear	Ji'venaqui, ji'veñe', ji'venjan.
acción de cavar	Fochonje'.
acción de ventear	Fijnacdye'.
acecha	Jutac bu'yi.
aceite	Aseijte.
aceitoso	Túneij.
acelerar algún motor	Pejje'.
aceptamos	Jụjtyeja.
acercar	Chẹi'ya'taqui.
acercarse	Chẹi'ya' yi.
acercarse demasiado a una persona	Chẹi'ya'jete- je'.
acercase a una persona u otra cosa	Cạ̈r'je'.
acerrar madera	Shucaqui, shuque', shucte.
acertar	Jị'tŝoqui, ji'tŝun.
achachairú	(fruta silvestre) Ịbijq̂ui.
ácida	Bicaquis.
acidez	P̂ashi'shiij.
acobardado	Shoyi, shoijja'.
acobardarse	Shọijjoij.
acobardarse de	Shọijtaqui.
acomodar	Jämi'taqui.
acomodar	Nạyenje'.
acomodar	Víqui.
acomodar bien	Jämi"taqui.
acomodar como cama	Ĉa'tsaqui.
acomodar el feto en la matriz	Quev'je'.
acomodar feto en la matriz para facilitar el parto	Que'vaqui.
acomodarse	Jäm'ĉhuti.
acomodarse	Jämi'ti.
acompañar	Pen'dyetuqui.
acompañar algún familiar o persona conocida	Jịjcaqui.
aconsejar	Voro'tacsi.
acontecer	Rụijjoij.
acoplar al grupo	Cächyetŝọij.
acordarse de alguien	Dyijjeyaqui.
acortar un compromiso o contrato	Ji'tätsaqui.
acosar	Ñutsjeĉúñe'.
acostado	Chụjduij.
acostarse	Chuden'yi.
acostarse de barriga	Chubur'yi.
acostumbrado	Yictaqui, yictacsi.
actitud de macho	Son' yu'ti.
actuar cuando uno está preocupado o en pánico	Jo'me'quequeij.
acuática	Vojrodye'.
acumular	Dụri'naqui.
acumular	Äñ'jeyaqui.
acumular alguna cosa u objeto	Äñivaqui.
acumular poner uno encima del otro	Äts ätsjeyaqui.
adelantar	Ji'tashdyi.
adelantar	Jä'mij.
adelantar	Tashmuñi.
adelantar	Tashi.
adelante	Tash.
adelante	Tashche'.
adivine!	Ĉhị́va!
adivinen	Ĉhị́jam'.
admirar	Ĉhivejyi.
admirar	Se'je', se'yi.
a donde	Yóvedyem'.
a donde	Yóya'.
adoptar	Ạva'tute -tui'.
adorar	Cudyiti.
adorar algo como dios	Jen'tui'.
adorar a una cosa	(virgen y otros) Dyu'tse'.
adormecido	Putyuij-i'.
adornar	Sháshatuqui.
adorno	Jäm'yedyes.
adorno	Shásha.
adquirir conocimientos	Dyidyijjoij.
adueñar	Ĉụi'dyes tuqui.
adueñar de lo ajeno	Ĉụi' dyestui'.
adultera(o)	Me'taquis p̂en, me'taquity son'.
adulterar	Vävämejoij -joisi'.
adulterio	P̂entudye'.
adulterio	Vo'vodye'.
adúltero	(mujeriego) Ĉhivo'voty -s.
adulto	P̂urety -res.
adulto	Rijtety, rijtes.
a este lado	Uvetaque.
afeitadora	Queraquis.
afeitar	Quejraqui.
afilar pala, hacha, machete, etc	Motaqui.
afirmar	Tyimje'.
afloja	Socyi.
aflojar	Dofocje'.
aflojar	Sovocje'.
aflojar la tierra	Fuda'caqui.
afortunadamente	Ạni' chuc.
afta,	(enfermedad de la boca con manchas blanca) Jại'dye'.
agachado	P̂udi'.
agachado	Vụdu'duij, vụdu'dui'.
agachado	Vụdujduj.
agachar la cabeza	Vụdui'yi.
agarrar	Potsin'je', potsi'ñe'.
agarrar	Tababajjeyacsi.
agarrar	Tapje'.
agarrar fuerte	(animal o persona) Cọtso'je'.
agarrar lo escapado	Ĉhujịjcaqui.
agarrarse del cabello	Chipan'je', c̣hipa'ñe'.
agarrar todos juntos	Cochen'.
agarrar un puñado de algo	Poc̣hocje'.
agilizar	Ji'cavintye'.
agonizando	Penva'joij.
agonizar	Cänjọij.
agonizar	Tyụm'joij.
agonizar	Vechoro'rojyi.
agonizar de alguna enfermedad	Cạ̈n.
agorar de brazo	Yemen'je'-te.
agotado	Tạn'joij.
agradecido	Yoshoropaij.
agresivo rimero	Tashche' tashche'yi.
agria	Bicaquis.
agrio	P̂uya'yaij, p̂uya'yai'.
agrio ácido	Bịcuquity- quis.
agua	Ojñi'.
agua bien clara	Ĉhintyi' - si'.
agua estancada	Chucujcus ojñi'.
agua lleva con fuerza	P̂oyajje'.
aguantar	Dyichchuti.
aguantar o resistir de algo	Dyichjetye'.
agua que baja de nivel	(noria) Chị'yi'.
agua que está tibia	Jushu'shui'.
águila	Boñij.
águila	Jo'.
aguja	Yóque'.
agujerear algo propio	Jonocjeyaqui.
agujero	Jojdojdos.
ahí donde	Yóya'.
ahí está	Mosh tyu'.
ahí está	Mọ'ya', mu'ya'.
ahí está	(apuntando) Mush tyu'.
ahí está	Mu'ya', mọ'ya'.
ahí está él	Mu'ya'.
ahijado	Ạva'tucdye'.
ahí lejos	U, uj.
ahí mismo	Tacya'dye.
ahogarse	P̂uti, p̂uteja', p̂utja'.
ahogarse	Tọmi.
ahogarse en el agua	Ji'p̂uti.
ahora	Q̂uin'.
ahora	Q̂uin'dye.
ahora si	Q̂uin' ĉhat.
ají	Tạ'.
ajipa raíz	Ĉojĉo.
ají pequeño	(aribibi) Shị́shi.
ají picante	Ịnoj.
ají redondo	Vojvo.
ajustar	Sacan'je', saca'ñe'.
ala	Pavaj.
alabar	Tima'que'.
alabarse uno mismo	Fibi'naqui, fibi'ñe'.
alabarse uno mismo	Ji'ma'jotyiti.
alacrán	Ijtyiquij.
ala de insecto	P̂an.
al anochecer	Muya'dyety tsun.
ala pequeña	Sivijvi.
alargar	Mocha'je'.
alargar	Nochje'.
alborotar	Sac ja'yacsi.
alcanza	Tupuj.
alcanzar	Ĉha'she'.
alcanzar	(como enfermedad al cuerpo) Jadaquicdyi.
al día siguiente	Nojno.
alegrarse	Ma'jotye'.
alegre	Ma'joij.
alejarse	Mochti.
alentar	Jiĉun yụ'tac.
alerta	Dyijbu'yi.
aleta del pescado	Chịquidye'.
aleta de pez	Sivijvi.
aletear	Ĉupyi, ĉupĉupyi.
al fin	Ĉhäjäm'.
al fin	Yósi'dye, yósi'dyem'.
al final	Jadyicve.
al final de	(ubicación) Tätscäi'.
algo	Cạjijcai'.
algo	Nạijtye'.
algo añadido	Cächtacdye'.
algo cae que tapa	Ñucyetŝọij.
algo colgado	Turen'je'.
