cuerpo	<span face="Doulos SIL"><span fgcolor="blue">EN:</span> body; <span fgcolor="blue">DE:</span> Körper; <span fgcolor="blue">FR:</span> corps; <span fgcolor="blue">URU:</span> taxi (?) , <span fgcolor="#228B22">Nota:</span> <span fgcolor="#696969">"cf. ‘dos’" (Métraux 1935: 94).</span></span>
cabeza	<span face="Doulos SIL"><span fgcolor="blue">EN:</span> head; <span fgcolor="blue">DE:</span> Kopf / Schädel; <span fgcolor="blue">FR:</span> tête; <span fgcolor="blue">URU:</span> acha <span fgcolor="#696969">(Muysken 2005)</span>; áča / áč'a <span fgcolor="#696969">(Vellard 1950)</span>; ača <span fgcolor="#696969">(Métraux 1935)</span>; p'āḗke <span fgcolor="#696969">(Florentino 1929)</span>; ā́tša <span fgcolor="#696969">(Lehmann Ancoaqui 1929)</span>; acha, <span fgcolor="#228B22">Nota:</span> <span fgcolor="#696969">"Achoa, cabello, entre los Cayapas del Ecuador, Cham en Culli, dialecto de Pallasca, es cabeza; Acha cabello en Chinchansuyo, y Acsa en Humalles." (Polo [1901] 1957: 80). </span>; ača / tsh(í)jpe <span fgcolor="#696969">(Uhle 1894)</span>.</span>
pescuezo, nuca	<span face="Doulos SIL"><span fgcolor="blue">EN:</span> neck; <span fgcolor="blue">DE:</span> Genick, Nacken; <span fgcolor="blue">FR:</span> nuque; <span fgcolor="blue">URU:</span> tota <span fgcolor="#696969">(Muysken 2005)</span>; tota <span fgcolor="#696969">(Métraux 1935)</span>; kora <span fgcolor="#696969">(Polo 1901)</span>.</span>
cogote, cuello	<span face="Doulos SIL"><span fgcolor="blue">EN:</span> back of the head; <span fgcolor="blue">DE:</span> Hinterkopf, Nacken; <span fgcolor="blue">URU:</span> xora <span fgcolor="#696969">(Muysken 2005)</span>.</span>
cuello	<span face="Doulos SIL"><span fgcolor="blue">EN:</span> neck; <span fgcolor="blue">DE:</span> Hals; <span fgcolor="blue">FR:</span> cou; <span fgcolor="blue">URU:</span> xora <span fgcolor="#696969">(Métraux 1935)</span>.</span>
garganta	<span face="Doulos SIL"><span fgcolor="blue">EN:</span> throat; <span fgcolor="blue">DE:</span> Kehle; <span fgcolor="blue">URU:</span> xọ́xa <span fgcolor="#696969">(Vellard 1967)</span>; xọ-xa' <span fgcolor="#696969">(Vellard 1950)</span>; lṓχ̯o <span fgcolor="#696969">(Nicolás 1929)</span>; lu’ṛχ̣ <span fgcolor="#696969">(Lehmann Ancoaqui 1929)</span>; spojorau <span fgcolor="#696969">(Polo 1901)</span>.</span>
nuez	<span face="Doulos SIL"><span fgcolor="blue">EN:</span> Adam's apple; <span fgcolor="blue">DE:</span> Adamsapfel; <span fgcolor="blue">FR:</span> pomme d‘adam; <span fgcolor="blue">URU:</span> tonxora <span fgcolor="#696969">(Métraux 1935)</span>.</span>
tráquea	<span face="Doulos SIL"><span fgcolor="blue">EN:</span> trachea; <span fgcolor="blue">DE:</span> Luftröhre; <span fgcolor="blue">FR:</span> trachée artère; <span fgcolor="blue">URU:</span> tonxora <span fgcolor="#696969">(Métraux 1935)</span>.</span>
paladar	<span face="Doulos SIL"><span fgcolor="blue">EN:</span> palate; <span fgcolor="blue">DE:</span> Gaumen; <span fgcolor="blue">URU:</span> ā́tishi tšā́ka’ <span fgcolor="#696969">(Lehmann Ancoaqui 1929)</span>.</span>
cabello	<span face="Doulos SIL"><span fgcolor="blue">EN:</span> hair; <span fgcolor="blue">DE:</span> Haar; <span fgcolor="blue">FR:</span> cheveu; <span fgcolor="blue">URU:</span> chera / chira <span fgcolor="#696969">(Muysken 2005)</span>; čí-ra <span fgcolor="#696969">(Vellard 1950)</span>; če̱ra <span fgcolor="#696969">(Métraux 1935)</span>; nik'ū́ta <span fgcolor="#696969">(Florentino 1929)</span>; nūk'ṓta <span fgcolor="#696969">(Lehmann Chi'mu 1929)</span>; ĭχ̯klīsa <span fgcolor="#696969">(Lehmann Ancoaqui 1929)</span>; cḗra / čera <span fgcolor="#696969">(Uhle 1894)</span>.</span>
cabello blanco	<span face="Doulos SIL"><span fgcolor="blue">EN:</span> white hair; <span fgcolor="blue">DE:</span> weißes Haar; <span fgcolor="blue">URU:</span> chiw chira <span fgcolor="#696969">(Muysken 2005)</span>.</span>
trenza	<span face="Doulos SIL"><span fgcolor="blue">EN:</span> plait; <span fgcolor="blue">DE:</span> Haarzopf; <span fgcolor="blue">FR:</span> natte; <span fgcolor="blue">URU:</span> čúñ <span fgcolor="#696969">(Vellard 1950)</span>; kisana / čiñs / muiča <span fgcolor="#696969">(Métraux 1935)</span>; k'ắna <span fgcolor="#696969">(Lehmann Chi'mu 1929)</span>; tšṓu’ntša <span fgcolor="#696969">(Lehmann Ancoaqui 1929)</span>.</span>
trenzas recién hechas	<span face="Doulos SIL"><span fgcolor="blue">EN:</span> newly made plaits; <span fgcolor="blue">FR:</span> tresses de cheveaux nouées; <span fgcolor="blue">URU:</span> šku úrtaK’ <span fgcolor="#696969">(Vellard 1950)</span>.</span>
trenza	<span face="Doulos SIL"><span fgcolor="blue">EN:</span> plait; <span fgcolor="blue">DE:</span> Zopf; <span fgcolor="blue">FR:</span> tresse, <span fgcolor="#228B22">Nota:</span> <span fgcolor="#696969">Uncertain to what the difference is between 'natte' and 'tresse' (Métraux 1935: 108).</span>; <span fgcolor="blue">URU:</span> čera-skurs <span fgcolor="#696969">(Métraux 1935)</span>.</span>
trenzar	<span face="Doulos SIL"><span fgcolor="blue">EN:</span> to plait; <span fgcolor="blue">DE:</span> flechten; <span fgcolor="blue">FR:</span> tresser; <span fgcolor="blue">URU:</span> skur <span fgcolor="#696969">(Métraux 1935)</span>.</span>
muchas trencitas	<span face="Doulos SIL"><span fgcolor="blue">EN:</span> many small braids; <span fgcolor="blue">DE:</span> viele kleine Zöpfe; <span fgcolor="blue">URU:</span> čočo <span fgcolor="#696969">(LaBarre 1941)</span>.</span>
barba (pelo)	<span face="Doulos SIL"><span fgcolor="blue">EN:</span> beard; <span fgcolor="blue">DE:</span> Kinnbart; <span fgcolor="blue">URU:</span> chip <span fgcolor="#696969">(Muysken 2005)</span>; číb / cib-ci <span fgcolor="#696969">(Vellard 1950)</span>; sī́p'ī <span fgcolor="#696969">(Lehmann Chi'mu 1929)</span>; shī́pi / shī́pi <span fgcolor="#696969">(Lehmann Ancoaqui 1929)</span>; chers / chirs <span fgcolor="#696969">(Polo 1901)</span>.</span>
bigote	<span face="Doulos SIL"><span fgcolor="blue">EN:</span> moustache; <span fgcolor="blue">DE:</span> Schnurrbart; <span fgcolor="blue">FR:</span> moustache; <span fgcolor="blue">URU:</span> sip <span fgcolor="#696969">(Métraux 1935)</span>.</span>
barba blanca	<span face="Doulos SIL"><span fgcolor="blue">EN:</span> white beard; <span fgcolor="blue">DE:</span> weißer Bart; <span fgcolor="blue">URU:</span> či-wu <span fgcolor="#696969">(Vellard 1950)</span>.</span>
cara	<span face="Doulos SIL"><span fgcolor="blue">EN:</span> face; <span fgcolor="blue">DE:</span> Gesicht; <span fgcolor="blue">URU:</span> yukj <span fgcolor="#696969">(Muysken 2005)</span>; yuk <span fgcolor="#696969">(Vellard 1950)</span>; yuksi <span fgcolor="#696969">(Métraux 1935)</span>; ăχ̬ā́nu <span fgcolor="#696969">(Florentino 1929)</span>; yū́kị <span fgcolor="#696969">(Lehmann Ancoaqui 1929)</span>; yuk(i) <span fgcolor="#696969">(Uhle 1894)</span>.</span>
mejillas	<span face="Doulos SIL"><span fgcolor="blue">EN:</span> cheeks; <span fgcolor="blue">DE:</span> Wangen; <span fgcolor="blue">URU:</span> yū́ki <span fgcolor="#696969">(Florentino 1929)</span>; pí’sk-yū́kū <span fgcolor="#696969">(Lehmann Ancoaqui 1929)</span>.</span>
