-áchajuka	<font color="green">(v)</font> soplar, aire, viento. Piachajuka eta yuku sopla el juego. Nachajuka, soplo. Náchajuaka, soplar el cuerpo (con algún objeto, o soplar el fuego). Náchaju'aukicha, soplo el ojo. Piachaju'aukichanu, sopla mi ojo. Piachajuaka ete yuku, supla el fuego.
-áchajurapa	<font color="green">(n)</font> resuello, resoplo; respiración.
achánaru	<font color="green">(n)</font> adulto, mayor de edad. Achánaruvipa, ya eres mayor de edad.
achane	<font color="green">(n)</font> humano (se emplea en singular para designar al varón y en singular para abarcar a ambos sexos) "la gente."
achánekene	<font color="green">(n)</font> persona viva. Nima'a'i esu esena achanekene'i, vi a una mujer de verdad viva.
-áchanecha	<font color="green">(v)</font> hacer vivir, revivirlo. Ema viya tiáchanechanu'i. El señor me dio vida.
achanecha'a	<font color="green">(v)</font> aun está vivo. Eta juka tamuku achaneicha'a. El pero todavía está vivo.
-áchanechawa	<font color="green">(n)</font> volver en sí, después de desmayarse; revivir; reconstituirse.
achánemirana	<font color="green">(n)</font> mascaras (semejante parecida a la cara de personas); un grupo de bailadores típicos hombres y mujeres (llamado "mascaritas" cara de gente).
achánesamure	<font color="green">(v)</font> compasión, generoso de buen corazón.
-áchanewa	<font color="green">(n)</font> alma, espíritu de uno. Makárichu ema viya máimati eta náchanewa ena acháneana. Sólo Dios conoce el alma de la gente.
-ácharaka	<font color="green">(v)</font> chamuscar. Piacharaka eta iya, chamuscar al mono. Tiacharákanu'i eta yuku, me chamusco el fuego.
-ácharakawa	<font color="green">(v)</font> chamuscar. Ráfagas de llamas de fuego. Carbonizar. Tiácharakawa eta kachi te tamuruira'i. Se chamuscó el motacu cuando se ardió.
-ácharajuereka	<font color="green">(v)</font> carbonizar al interior chamuscar, meter llamas de fuego dentro de alguna cosa. Monte. Tiácharajuereka simena eta yucu. El fuego siempre chamusca el monte. Ema achane macharajuereka eta jurnu, el hombre chamusca el horno. Ema felix macharajuereka'i eta yukuki pasa tauchuka eta mata. Felix chamusca adentro del palo para que salga el tatu.
achene	<font color="green">(n)</font> camino, vía, carretera, calle, senda. Eta achene nayanirare ena acheneana, el camino es donde transita la gente.
achénechakaya	<font color="green">(n)</font> cerca del camino. Nunaki'ai eta namakene te achenechakaya.
-ache'ukure	<font color="green">(n)</font> calle. Esu meme tiakipaikawa'i te viache'ukure kape sache, la señora se cayó en la calle ayer.
-áche'upanewaka	<font color="green">(n)</font> decisión. Ena nuchichanaveana te ichasiwakapa nache'upanewakapa, mis hijos adultos cada uno tomó su camino.
achíchu	<font color="green">(adv.)</font> el día de mañana, futuro cercano. Achíchurichu pichawa. Vuelve mañana mismo.
-áchipaka	<font color="green">(v)</font> remojar; chivé (harina, polvo) remojado. Piachipaka eta jarina viawaraina, remoja el chive para nuestro jacuú.
-áchichijika	<font color="green">(v)</font> rociar con los dedos. Piachichijika eta yuwapa te arusu, rocía la harina de arroz.
achu	<font color="green">(n)</font> payaso típico entre los ignacianos; baile típico chistoso.\nTeyereruwa saku vimu'ikiape tikisa, siasire te parumame, mirare tikaepiya te yukuki, yupairiki tepiñuki te yukuki, veparupewa te parumane, tavíripiki te ta'i chaka'i te'epa tajipaña kuparara.
-áchuka	<font color="green">(n)</font> abuelo. Ema/eñi nachuka, mi abuelo.
-áchukaekene	<font color="green">(n)</font> bisabuelo. Ema nachukaekene tijarakanu'i eta nukaye'ekene'i puiti. Mi bisabuelo me dio los que tengo ahora.
-áchukanaveanaini	<font color="green">(n)</font> abuelos del antepasado. Ena viáchukanaveanaini tumeanaicha'a, los antepasado eran muy valiente.
-áchukarapi	<font color="green">(n)</font> cuento, caso; apodo de tocayasco de hombre; costumbre o sistema. Vechejisi'ayare eta máchukarapi ema ichini. Vamos a contar sobre el cuento del tigre.
-achuja	<font color="green">(n)</font> silbato. Tejekawapa eta nachuja ena amaperuana; se fregó el silbato de los muchachos.
áchuji	<font color="green">(n)</font> hamaca, la hamaca mojeña es tejido del hilo de algodón hecha por las mujeres mojeña. Eta achuji maimasirare amuyana etapa nakanarasirarewa ena viachukana. La hamaca es donde duermen los niños y donde descansan los abuelos.
aika	<font color="green">(n)</font> bufeo (un mamífero del agua). Eta aika panaikana te kajakure te tiápanainapa eta una, el bufeo arriba cuando el agua ya va subir en los río. Eta aika tiupikusiri. El bufeo tiene pico largo.
aíchapukaini	<font color="green">(interjección)</font> ¡caramba che!; ¡hay por dios!. Aíchapukaini wa'icha nítujikawaima'i nuyána te víjaremu'u. ¡Caramba che, no voy a poder ir a la fiesta!
aja	<font color="green">(n)</font> especie de loro, parabachí (un ave). Tinika sipani eta aja, el loro come maíz. Tijurukana te yukukiana vienen entre los arboles.
ajaíra	<font color="green">(n)</font> hombre, varón, macho. Ajairara'apa ema nuchicha ya es jovencito mi hijo. Ajáirakenepa ya es bien hombre. Ajáirainapa ya va ser hombre. Ema ajaira tikaematanera'i, el hombre es trabajador.
ajairamuíri'a	<font color="green">(n)</font> camijeta, ropa de hombre, cusma. Tejido de hilo de algodón elaborado de las mujere mojeña. Eta nuye'e ajairamuiri'a temitiaka'i te nupena. Mi camijeta se perdió en mi casa.
ajairakijiana	<font color="green">(n)</font> puramente hombres. Ajairakijiana ena nuchichanaveana mis hijos todos son hombre.
ajáirakene	<font color="green">(n)</font> hombre valiente; hombre de verdad. Ena viachukanaveanaini akaneni ajairakeneanaicha'a tumeanaicha'a los abuelos de ante eran valientes.
ajairi'i	<font color="green">(n)</font> gallo, ave macho. Techejikapa eta ajair'i warayu tijara'inapa, ya conto el pollo ya va amanecer.
-ája'a	<font color="green">(v)</font> se refiere a una pregunta de ¿quién es?; en el idioma sinónimo de limpiar. Nája'avi, ¿quién eres? Limpiar. Piaja'a eta vinisirare, limpia la mesa.
-ája'akawa	<font color="green">(v)</font> secar (con toalla o trapo); desecar. Piaja'aka esu amuya. Sécala a la niña.
-ájameka	<font color="green">(v)</font> secar un cuerpo con trapo. Piajameka eta vinisirare te amaratataji, secar la mesa con trapo.
-ájapewacha	<font color="green">(v)</font> limpiar el pie. Piajapewachawa límpiate el pie.
-ájasimuri'a	<font color="green">(v)</font> secar los utensilios de mesa. Nájasimuri'aya. Voy a secar los utensilios de mesa.
-ájajaka	<font color="green">(v)</font> abrir la boca; lamer (de gatos). Piájajaka apaesa ema vépukukia'era'i maíma'a eta pia'e. Abre la boca para que el dentista pueda ver tu diente. Eta kajiure tiajajaka te tijure sache. El lagarto abre la boca cuando se asolea.
-ájajairi'i	<font color="green">(v)</font> bostezar. Nájajairi'i taicha tawara'aicha nímaka. Estoy bostezando porque todavía tengo sueño.
-ájajamuri'a	<font color="green">(v)</font> bostezar, inspirar, aspirar. Ena tikarawa'uraiana tiajajamuri'ana taicha tivitanapa los estudiantes están bostezando porque ya están cansado. Ena tiájajairi'iana ello está bostezando toditos juntos.
-ájajaraka	<font color="green">(v)</font> estar boquiabierta. Tiajajaraka esu amuya te timara'i la niña se pone boquiabierta cuando se pone a mirar.
-ájarupawaki	<font color="green">(v)</font> brazo extendido. Najarupawaki te mamiraru'u Viya extiendo mis brazos ante Dios.
-ájaruwa'u	<font color="green">(v)</font> abrir la mano con palma encima.
-ájarukiwa	<font color="green">(v)</font> abrir los dedos del pie, estar con los dedos extendidos. Najarukiwa'u extendiendo los dedos de la mano.
-ájika	<font color="green">(v)</font> mamar, chupar pezón de la madre. Ena ánichichana amúyana wa'i náituka térana te pusiyu, takárichu tiájikana. Los niños chiquitos no saben beber en taza, sólo chupan.
-ájiku	<font color="green">(v)</font> estar seco adentro (pozo, río, taza y algún oyo). Tiájikupa eta kajákure. Ya se secó el río. Tiajikupa eta yupi, ya se secó el cántaro.
-ájiji	<font color="green">(v)</font> seco. Tiájijipa wama'i. Ya está seca la pampa. Nájijika lo seco. Piajijika eta pimuiri'a, seca tu vestido. Náji'a seco la ropa en mi cuerpo. Náji'akawa me seque con trapo. Tiájijipa eta tajuru ya se seco el retoño o planta. Tiájijinapa eta kajakure. Ya se está secando el río. Tiájipi'i eta uchepi, se seco el sabayón, tiajipi'i eta kichare, eta seco o asoleado la víbora.
-ájimereka	<font color="green">(v)</font> secar en el sol cuero o charque.
ajíne	<font color="green">(n)</font> plátano maduro secado por el sol, chuño de plátano maduro (tikísa).
-ájipaika	<font color="green">(v)</font> asolear en el suelo (ropa).
-ájipawaki	<font color="green">(n)</font> brazo paralizado. Najipawakipa ya se paralizó mi brazo.
-ájikereka	<font color="green">(v)</font> asolear leña, asolear arroz.
-ájikeru	<font color="green">(n)</font> palo seco, leña; granos secos (arroz, chocolate, café, etc.)
-ájiki	<font color="green">(v)</font> secarse una planta, palo o grano. Tiájiki eta yukuki, está seco el palo.
-ájiki'a	<font color="green">(v)</font> asolear, secar granos. Najiki'a eta nu'arusura. Seco mi arroz.
-ájime	<font color="green">(v)</font> enflaquecerse mucho, persona seca muy flaca.
-ájisika	<font color="green">(v)</font> secarlo (vaso, plato, cabeza, cucharón).
-ájimaka	<font color="green">(v)</font> asar (charque, pollo, pato, etc.) Viájimakayare eta juka waka te ajímaraki. Vamos a asar esta carne en pacumuto.
ajímaraki	<font color="green">(n)</font> palo pacumuto (anticuchero).
-ájimaru	<font color="green">(n)</font> el asado. Tijupa eta piajimaru, ya se quemó tu asado.
ajímaruka	<font color="green">(v)</font> asado en braza. Viníkaicha eta wachere ajímaruka te emániki. Comemos el buchere asado en brazas.
-ájiparaka	<font color="green">(n)</font> cosa de diferente clase; cualquier cosa.
-ájiparakana	<font color="green">(v)</font> tantas cositas. Najiparakana gente de toda clase. Títekapanapa ena nájiparakana nasi'a'airuana te wama'i. Llegaron tanta (clase de) gente en la pampa. Tájiparakana'i eta visámakeneana maurira'ana te najáka ena acháneana. Son tantas clases de mala palabras que se oye de la gente.
ajire	<font color="green">(adj)</font> esclavo, trabajando todos los días, sin días libres. Narari'i ena ajíreana te emátaneka taicha wuícha'a náitawachacha eta nave'akene'í muriare. Algunos esclavos continúan trabajando porque no terminan de pagar la ropa que sacan.
-ájiriare	<font color="green">(n)</font> amigo. Esu najiriare tikajumapa taicha tamúrakawa suematane. Mi amiga se enfermó por su trabajo que es muy duro.
-ájukuna	<font color="green">(n)</font> escritura, título, plano; inscripción; partido de bautismo, fe de edad. Nájukuna. Mi partido de bautismo.
-ájukunacha	<font color="green">(v)</font> escribir; inscribir; anotar.
-ájucha	<font color="green">(v)</font> escribir, asentar en libro. Ema tiájurekara'i májucha te ajumeruka eta suchusine eta súchusira esu amuya. El secretario escribió en el libro la fecha del nacimiento de la niña.
-ajúchemeresirare	<font color="green">(n)</font> pizarra. Eta najumeresirare te nimitureka wa'ipa tiuri la pizarra.
ajúcharaki	<font color="green">(n)</font> nombre de una danza orijinaria de pueblo mojeño ignaciano. Eta irimaraki ajucharaki tákamunu eta tapusiana taji'u eta waka, tikanasi apanapaimamaji sintapiana. Eta tapusiana eta taji'una waka eta takanunu te tirimaikana ena tirimaikaraiana.
-ájucheka	<font color="green">(v)</font> escribir en o rayar la pared. Najucheka te yuchana escribo en la pared.
-ajuekene'a	<font color="green">(n)</font> (describir historia) historia.
-ájuekene'a	<font color="green">(v)</font> escribir la historia.
ajúmeruka	<font color="green">(n)</font> papel. Eta ajúmeruka tijapu viajuchirare eta vipanereru eta taunaka wa'i tépa'aima'i, el papel es blanco donde escribimos nuestros pensamientos lo guarda jamas se borra.
-ájupairíka	<font color="green">(v)</font> escribir en el suelo.
-ájura'i	<font color="green">(v)</font> uno que escribe rápidamente; de oficio de escribir (redactor de acta).
-ájurekara'i	<font color="green">(v)</font> escritor. Ema tiájurekara'i majucha'i eta tasine eta viawasa, el escritor escribió la historia de nuestro pueblo.
-ájukunara'i	<font color="green">(v)</font> notario de registro civil. Pitanuka ema tiájukunara'i te mapeña, busca el notario en su casa.
ajúraki	<font color="green">(n)</font> lápiz (lapicero, marcador). Ajurakime.
ajurakime	<font color="green">(v)</font> tiza. Eta ajurakime apánapaneneji eta taima'iana, eta tikámunukare te viajureka te ajúchemeresirare paesa naima'a eta ajureka ena amáperuana.
-ájure	<font color="green">(n)</font> letra de su mano; la escritura.
ajúreka	<font color="green">(n)</font> escritura; documento legal; título; libro. Ajureka viachukarapi es el libro de cuento, nájuekene, mi historia, mi bibliografía.
-ájurekara'i	<font color="green">(v)</font> escritor, secretario.
-ájuirika	<font color="green">(v)</font> pescar con chipa o tarrafa. Achichu viyana ninajuirika. Mañana vamos a pescar con chipa.
ájukeve	<font color="green">(n)</font> chichapí (un árbol).
-ájukuna	<font color="green">(v)</font> mi inscripción, carnet. Eta wa'i nukajuna'ini te najukunaresirare.
