achachaw	(&lt;*<i>aĉa-ĉa-w</i>) <span foreground="#008000">interj.</span> Exclamación que expresa contrariedad, advertencia, miedo. <span foreground="#008000">Var.</span> <i>achachay</i>.
achallaw	(&lt;*<i>acha-lla-w</i>) <span foreground="#008000">interj.</span> Exclamación que expresa sorpresa agradable, una alegría o la celebración de algo. <span foreground="#008000">Var. Cuz.</span> <i>achalaw</i>.
achikyay	(&lt;*<i>achik-ya-</i>) <span foreground="#008000">Cuz.</span> <span foreground="#808080"><b>[ačiχyay]</b></span> <span foreground="#008000">v. impers.</span> Alumbrar, amanecer. <span foreground="#008000">Cf.</span> <i>illariy</i>.
achiy	(&lt;*<i><i>achi-</i></i>) <span foreground="#008000">v. intr.</span> Estornudar. Voz de origen onomatopéyico. <span foreground="#008000">Var. Aya.</span> <i>hachiy</i>.
achhuy	<span foreground="#008000">v. intr.</span> Postergar, retrasar. También acercarse, moverse a un lado. <span foreground="#008000">Var.</span> <i>asuy</i>.
achira	<span foreground="#008000">s.</span> Hierba de hojas anchas, de la familia de las cannáceas, de raíz comestible.
achita	<span foreground="#008000">s.</span> Planta amarantácea, de frutos de color blanco, semejante a los de la quinua. Chenopodium canihua.
achkha	(&lt;*<i>achka</i>) <span foreground="#008000">adv.</span> Mucho, bastante, numeroso, referido a objetos concretos o mensurables.
achura	<span foreground="#008000">s.</span> Porción que uno elige en la repartición de algún bien, generalmente comestible.
aka	(&lt;*<i>aka</i>) <span foreground="#008000">s.</span> Excremento; estiércol.
akachaw	(&lt;*<i>aka-ĉa-w</i>) <span foreground="#008000">interj. Aya.</span> Exclamación que indica calor, ardor o quemazón. <span foreground="#008000">Var. Cuz.</span> <i>akakaw</i>.
akakaw	(&lt;*<i>aka-ka-w</i>) <span foreground="#008000">interj. Cuz.</span> Exclamación que expresa sensación de calor, bochorno o quemazón.
