A'gi	<font color=ForestGreen><b>bot.s.:</b></font> Árbol de guapomó, que crece en los llanos orientales de Bolivia.
A'i	<font color=ForestGreen><b>bot.s.:</b></font> Guapomó. Fruto del árbol del guapomó.
Ajachpa	<font color=ForestGreen><b>vtr.imper.:</b></font> ¡Reciban! ¡Recíbanlo! Orden que da una persona a un grupo para que reciba a personas, animales o cosas.
Ajakaragi	<font color=ForestGreen><b>n.f.pl.:</b></font> Muela/molares. Dientes de otras personas. 
Ajañoka	<font color=ForestGreen><b>vtr.imper.:</b></font> ¡Cuiden! Orden de cuidar.
Ajañokagnenajicha	<font color=ForestGreen><b>vtr.imper.pl.:</b></font> ¡Cuídenmelo muy bien! Cuidar personas, animales o cosas.
Ajañokajno	<font color=ForestGreen><b>interj.:</b></font> Advertir a alguien de cualquier tipo de peligro.
Ajañokajnotsero	<font color=ForestGreen><b>vtr.imper.pl.:</b></font> ¡No se descuiden! No descuidar a personas, animales o cosas. Atento en el cuidado.
Ajañokripo	<font color=ForestGreen><b>vtr.interrog.:</b></font> ¿Ya lo cuidaron? Persona que pregunta si cuidaron a alguna cosa de mucho valor.
Ajañoriko	<font color=ForestGreen><b>vtr.ger.interrog.:</b></font> ¿Están cuidando? 1.- Persona que pregunta a un grupo si están cuidando animales o cosas. 2.- <font color=ForestGreen><b>Coloq.:</b></font> Velar a un difunto.
Ajañosnanu	<font color=ForestGreen><b>vtr.imper.pl.:</b></font> ¡Cuídenmelo! Orden de una persona a otras de cuidar a personas, animales o cosas.
Ajatka	<font color=ForestGreen><b>vtr.:</b></font> Rebanar. Hacer rebanadas de alimentos sólidos u otros objetos.
Ajatpaka	<font color=ForestGreen><b>vtr.:</b></font> Picar. Picar hoja de tabaco, como también la yuca asada.
Ajátaka	<font color=ForestGreen><b>vtr.imper.:</b></font> ¡Enganchen! Acción de sujetar, enganchar y unir.
Ajawonra	<font color=ForestGreen><b>n.m.ind.:</b></font> El jabón de ustedes. Jabón que pertenece a otras personas.
Ajeppono	<font color=ForestGreen><b>vtr.interrog.:</b></font> ¿Traen? Acción de traer algo. Pregunta que hace una persona en traer productos agrícolas del chaco.
Ajeppueko	<font color=ForestGreen><b>n.m.:</b></font> Gases intestinales. Residuo gaseoso de la digestión que se acumula en el intestino y causa molestias.
Ajichrokwoo'i	<font color=ForestGreen><b>vtr.:</b></font> Saludar. ¿Cómo están ustedes?
Ajiimone	<font color=ForestGreen><b>vtr.pron.demos.:</b></font> Señalar la costilla de una persona.
Achimroka	<font color=ForestGreen><b>vtr.imper.:</b></font> ¡Sorpréndanlo ustedes! Sorprender a otras personas, animales.
Achmonsi	<font color=ForestGreen><b>n.f.:</b></font> Simba de hamaca, que sirve de soporte para colgar una hamaca.
Achpi	<font color=ForestGreen><b>n.m.:</b></font> Hilado. Material de algodón para elaborar hamaca.
