taxi (?)	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> cuerpo; <span fgcolor="blue">EN:</span> body; <span fgcolor="blue">DE:</span> Körper; <span fgcolor="blue">FR:</span> corps; <span fgcolor="blue">URU:</span> taxi (?) , <span fgcolor="#228B22">Nota:</span> <span fgcolor="#696969">"cf. ‘dos’" (Métraux 1935: 94).</span></span>
ača / tsh(í)jpe	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> cabeza; <span fgcolor="blue">EN:</span> head; <span fgcolor="blue">DE:</span> Kopf / Schädel; <span fgcolor="blue">FR:</span> tête; <span fgcolor="blue">URU:</span> acha <span fgcolor="#696969">(Muysken 2005)</span>; áča / áč'a <span fgcolor="#696969">(Vellard 1950)</span>; ača <span fgcolor="#696969">(Métraux 1935)</span>; p'āḗke <span fgcolor="#696969">(Florentino 1929)</span>; ā́tša <span fgcolor="#696969">(Lehmann Ancoaqui 1929)</span>; acha, <span fgcolor="#228B22">Nota:</span> <span fgcolor="#696969">"Achoa, cabello, entre los Cayapas del Ecuador, Cham en Culli, dialecto de Pallasca, es cabeza; Acha cabello en Chinchansuyo, y Acsa en Humalles." (Polo [1901] 1957: 80). </span>; ača / tsh(í)jpe <span fgcolor="#696969">(Uhle 1894)</span>.</span>
acha	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> cabeza; <span fgcolor="blue">EN:</span> head; <span fgcolor="blue">DE:</span> Kopf / Schädel; <span fgcolor="blue">FR:</span> tête; <span fgcolor="blue">URU:</span> acha <span fgcolor="#696969">(Muysken 2005)</span>; áča / áč'a <span fgcolor="#696969">(Vellard 1950)</span>; ača <span fgcolor="#696969">(Métraux 1935)</span>; p'āḗke <span fgcolor="#696969">(Florentino 1929)</span>; ā́tša <span fgcolor="#696969">(Lehmann Ancoaqui 1929)</span>; acha, <span fgcolor="#228B22">Nota:</span> <span fgcolor="#696969">"Achoa, cabello, entre los Cayapas del Ecuador, Cham en Culli, dialecto de Pallasca, es cabeza; Acha cabello en Chinchansuyo, y Acsa en Humalles." (Polo [1901] 1957: 80). </span>; ača / tsh(í)jpe <span fgcolor="#696969">(Uhle 1894)</span>.</span>
ā́tša	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> cabeza; <span fgcolor="blue">EN:</span> head; <span fgcolor="blue">DE:</span> Kopf / Schädel; <span fgcolor="blue">FR:</span> tête; <span fgcolor="blue">URU:</span> acha <span fgcolor="#696969">(Muysken 2005)</span>; áča / áč'a <span fgcolor="#696969">(Vellard 1950)</span>; ača <span fgcolor="#696969">(Métraux 1935)</span>; p'āḗke <span fgcolor="#696969">(Florentino 1929)</span>; ā́tša <span fgcolor="#696969">(Lehmann Ancoaqui 1929)</span>; acha, <span fgcolor="#228B22">Nota:</span> <span fgcolor="#696969">"Achoa, cabello, entre los Cayapas del Ecuador, Cham en Culli, dialecto de Pallasca, es cabeza; Acha cabello en Chinchansuyo, y Acsa en Humalles." (Polo [1901] 1957: 80). </span>; ača / tsh(í)jpe <span fgcolor="#696969">(Uhle 1894)</span>.</span>
p'āḗke	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> cabeza; <span fgcolor="blue">EN:</span> head; <span fgcolor="blue">DE:</span> Kopf / Schädel; <span fgcolor="blue">FR:</span> tête; <span fgcolor="blue">URU:</span> acha <span fgcolor="#696969">(Muysken 2005)</span>; áča / áč'a <span fgcolor="#696969">(Vellard 1950)</span>; ača <span fgcolor="#696969">(Métraux 1935)</span>; p'āḗke <span fgcolor="#696969">(Florentino 1929)</span>; ā́tša <span fgcolor="#696969">(Lehmann Ancoaqui 1929)</span>; acha, <span fgcolor="#228B22">Nota:</span> <span fgcolor="#696969">"Achoa, cabello, entre los Cayapas del Ecuador, Cham en Culli, dialecto de Pallasca, es cabeza; Acha cabello en Chinchansuyo, y Acsa en Humalles." (Polo [1901] 1957: 80). </span>; ača / tsh(í)jpe <span fgcolor="#696969">(Uhle 1894)</span>.</span>
ača	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> cabeza; <span fgcolor="blue">EN:</span> head; <span fgcolor="blue">DE:</span> Kopf / Schädel; <span fgcolor="blue">FR:</span> tête; <span fgcolor="blue">URU:</span> acha <span fgcolor="#696969">(Muysken 2005)</span>; áča / áč'a <span fgcolor="#696969">(Vellard 1950)</span>; ača <span fgcolor="#696969">(Métraux 1935)</span>; p'āḗke <span fgcolor="#696969">(Florentino 1929)</span>; ā́tša <span fgcolor="#696969">(Lehmann Ancoaqui 1929)</span>; acha, <span fgcolor="#228B22">Nota:</span> <span fgcolor="#696969">"Achoa, cabello, entre los Cayapas del Ecuador, Cham en Culli, dialecto de Pallasca, es cabeza; Acha cabello en Chinchansuyo, y Acsa en Humalles." (Polo [1901] 1957: 80). </span>; ača / tsh(í)jpe <span fgcolor="#696969">(Uhle 1894)</span>.</span>
áča / áč'a	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> cabeza; <span fgcolor="blue">EN:</span> head; <span fgcolor="blue">DE:</span> Kopf / Schädel; <span fgcolor="blue">FR:</span> tête; <span fgcolor="blue">URU:</span> acha <span fgcolor="#696969">(Muysken 2005)</span>; áča / áč'a <span fgcolor="#696969">(Vellard 1950)</span>; ača <span fgcolor="#696969">(Métraux 1935)</span>; p'āḗke <span fgcolor="#696969">(Florentino 1929)</span>; ā́tša <span fgcolor="#696969">(Lehmann Ancoaqui 1929)</span>; acha, <span fgcolor="#228B22">Nota:</span> <span fgcolor="#696969">"Achoa, cabello, entre los Cayapas del Ecuador, Cham en Culli, dialecto de Pallasca, es cabeza; Acha cabello en Chinchansuyo, y Acsa en Humalles." (Polo [1901] 1957: 80). </span>; ača / tsh(í)jpe <span fgcolor="#696969">(Uhle 1894)</span>.</span>
kora	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> pescuezo, nuca; <span fgcolor="blue">EN:</span> neck; <span fgcolor="blue">DE:</span> Genick, Nacken; <span fgcolor="blue">FR:</span> nuque; <span fgcolor="blue">URU:</span> tota <span fgcolor="#696969">(Muysken 2005)</span>; tota <span fgcolor="#696969">(Métraux 1935)</span>; kora <span fgcolor="#696969">(Polo 1901)</span>.</span>
tota	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> pescuezo, nuca; <span fgcolor="blue">EN:</span> neck; <span fgcolor="blue">DE:</span> Genick, Nacken; <span fgcolor="blue">FR:</span> nuque; <span fgcolor="blue">URU:</span> tota <span fgcolor="#696969">(Muysken 2005)</span>; tota <span fgcolor="#696969">(Métraux 1935)</span>; kora <span fgcolor="#696969">(Polo 1901)</span>.</span>
xora	<span face="Doulos SIL"><span fgcolor="blue">ES:</span> cogote, cuello; <span fgcolor="blue">EN:</span> back of the head; <span fgcolor="blue">DE:</span> Hinterkopf, Nacken; <span fgcolor="blue">URU:</span> xora <span fgcolor="#696969">(Muysken 2005)</span>.</span>
