a ese lado	<span fgcolor="blue">(f)</span> Mejwë - mo'we.
a mi lado	Yɨ̈yä'.
abandonar, dejar, soltar	<i><span fgcolor="#008000">v.</span></i> Farajyak.
abanico o venteador	<i><span fgcolor="#008000">s.</span></i> Fijfityi'.
abeja barba de san pedro	<i><span fgcolor="#008000">s.</span></i> Shira'katyi'.
abeja de fuego	<i><span fgcolor="#008000">s.</span></i> Tshijtyi'.
abeja mañu mañu de color negro	<i><span fgcolor="#008000">s.</span></i> Roro'.
abeja pequeña negra	<i><span fgcolor="#008000">s.</span></i> Ñïbi'.
abeja señorita que hace su nido en los turiros	<i><span fgcolor="#008000">s.</span></i> Jï'rï'.
abeja señorita, abeja plomiza que forma pequeños cántaros de miel	<i><span fgcolor="#008000">s.</span></i> Jëwë' - pheñmɨñsi'.
abeja turiro	<i><span fgcolor="#008000">s.</span></i> Toka.
ablandar	<i><span fgcolor="#008000">v.</span></i> Pitsɨy'.
aborrecer	<i><span fgcolor="#008000">v.</span></i> Shöityak.
abrazar	<i><span fgcolor="#008000">v.</span></i> Nokhen'.
abril	<i><span fgcolor="#008000">s.</span></i> Tsisyi'si' ïwaj <span fgcolor="blue">(Cov)</span> - wajpen'dye'yatyi <span fgcolor="blue">(SA)</span>.
abrir la pierna	<i><span fgcolor="#008000">v.</span></i> Dyechher'.
abrir	<i><span fgcolor="#008000">v.</span></i> Wañak <span fgcolor="blue">(SA)</span> - jufuryë' <span fgcolor="blue">(Cov)</span>.
abuela millo (amuleto)	<i><span fgcolor="#008000">s.</span></i> Jeye' korpa.
abuela	<i><span fgcolor="#008000">s.</span></i> Jeye'.
abuelo	<i><span fgcolor="#008000">s.</span></i> Wiya'.
aburrido	<i><span fgcolor="#008000">adj.</span></i> Shöyi'joij.
aburrirse	<i><span fgcolor="#008000">v.</span></i> Shöijä'.
acantilado	<i><span fgcolor="#008000">s.</span></i> Tshuw.
acariciar	<i><span fgcolor="#008000">v.</span></i> Tyam'nak.
acaso	<i><span fgcolor="#008000">adv.</span></i> Adyak <span fgcolor="blue">(SA)</span> - anik dyaj <span fgcolor="blue">(Cov)</span>.
aceite del árbol de copaiba	<i><span fgcolor="#008000">s.</span></i> Chhudye' kopaiwasi'.
aceptar	<i><span fgcolor="#008000">v.</span></i> Jäjyi <span fgcolor="blue">(Cov)</span> – jɨ̈jyi <span fgcolor="blue">(SA)</span>.
acercar	<i><span fgcolor="#008000">v.</span></i> <span fgcolor="blue">(m)</span> Chëi'yäy - jïmëyïj.
acercarse	<i><span fgcolor="#008000">v.</span></i> Ɨya'ya'.
achachayrú	<i><span fgcolor="#008000">s.</span></i> Bɨwey'.
achicarse (tamaño)	<i><span fgcolor="#008000">v.</span></i> Ji'siñiti.
acompañar	<i><span fgcolor="#008000">v.</span></i> Jïjkäk.
acordase	<i><span fgcolor="#008000">v.</span></i> Yökij <span fgcolor="blue">(Cov)</span> - dyijtiban' <span fgcolor="blue">(SA)</span>.
acostumbrarse	<i><span fgcolor="#008000">v.</span></i> Yikij.
acto sexual	<i><span fgcolor="#008000">s.</span></i> Dyïkdye' <span fgcolor="blue">(Cov)</span> - tyɨkdye' <span fgcolor="blue">(SA)</span>; Ne'maki (Cov - SA).
actuar	<i><span fgcolor="#008000">v.</span></i> Jɨn'tyaki.
adelantar a alguien, tomar la delantera	<i><span fgcolor="#008000">v.</span></i> Käjñäk.
adelantar	<i><span fgcolor="#008000">v.</span></i> Tashij.
adelante	<i><span fgcolor="#008000">adv.</span></i> <span fgcolor="blue">(m)</span> Tashchhe'.
adentro	<i><span fgcolor="#008000">adv.</span></i> Mo'khan.
adivinar	<i><span fgcolor="#008000">v.</span></i> Ji'dyijyaksi.
adolorido	<i><span fgcolor="#008000">adj.</span></i> <span fgcolor="blue">(m)</span> Are'yi.
adormecer	<i><span fgcolor="#008000">v.</span></i> <span fgcolor="blue">(m)</span> Pɨtyɨy.
adorno nativo (amuleto)	<i><span fgcolor="#008000">s.</span></i> Bɨ̈'ïrɨ̈'.
adorno nativo (amuleto)	<i><span fgcolor="#008000">s.</span></i> Chijchiwa'.
adornos	<i><span fgcolor="#008000">s.</span></i> A'nijyakis.
adquirir conocimiento	<i><span fgcolor="#008000">v.</span></i> <span fgcolor="blue">(m)</span> Chhïjöij.
afilado	<i><span fgcolor="#008000">adj.</span></i> <span fgcolor="blue">(f)</span> Jishɨ̈mtyaksi'.
afilar (sacar punta)	<i><span fgcolor="#008000">v.</span></i> Jishɨmtyak.
afilar	<i><span fgcolor="#008000">v.</span></i> Motsak.
afinar, labrar, raspar	<i><span fgcolor="#008000">v.</span></i> Jai'dyak.
afuera	<i><span fgcolor="#008000">adv.</span></i> Fajwë.
agacharse	<i><span fgcolor="#008000">s.</span></i> Wɨ̈dɨ̈y'.
agalla	<i><span fgcolor="#008000">s.</span></i> Sha'wa'.
agarra	<i><span fgcolor="#008000">v.</span></i> Tyäp.
agarrar	<i><span fgcolor="#008000">v.</span></i> Tyäpjeyak - tyäpyak.
agitar frasco con algún líquido	<i><span fgcolor="#008000">v.</span></i> Fiki'nak.
agosto	<i><span fgcolor="#008000">s.</span></i> Khen'khanyatyi' ïwaj.
agripar	<i><span fgcolor="#008000">v.</span></i> <span fgcolor="blue">(m)</span> Ajaij.
agua del bejuco uña de gato	<i><span fgcolor="#008000">s.</span></i> Öjñi' owetosi'.
agua	<i><span fgcolor="#008000">s.</span></i> Öjñi'.
aguijón o puga (espina de alguna planta)	<i><span fgcolor="#008000">s.</span></i> Yɨtij.
águila arpía o águila real	<i><span fgcolor="#008000">s.</span></i> <span fgcolor="blue">(m)</span> Boñij durtyi'.
águila blanca	<i><span fgcolor="#008000">s.</span></i> <span fgcolor="blue">(f)</span> Jo' jai' bas.
águila ceniza con alas negras	<i><span fgcolor="#008000">s.</span></i> Pinei'.
águila cenizo come gallina, de pecho blanco y alas negras	<i><span fgcolor="#008000">s.</span></i> Jo' chhimdyes.
águila gris con alas negras en la parte posterior	<i><span fgcolor="#008000">s.</span></i> Tyä'tyä'yityi'.
águila gris mediana	<i><span fgcolor="#008000">s.</span></i> Somontyi '.
águila gris	<i><span fgcolor="#008000">s.</span></i> Jo' sïjwï'.
águila mamaní	<i><span fgcolor="#008000">s.</span></i> Boñij mamañij.
águila negra de los barbechos	<i><span fgcolor="#008000">s.</span></i> Ö'öjkörïyö.
águila real o águila real	<i><span fgcolor="#008000">s.</span></i> Boñij durtyi'.
águila	<i><span fgcolor="#008000">s.</span></i> Jo'.
aguja	<i><span fgcolor="#008000">s.</span></i> Yoke'.
agujeta para tejer marico	<i><span fgcolor="#008000">s.</span></i> Bäbä'.
ahí	<i><span fgcolor="#008000">adv.</span></i> <span fgcolor="blue">(f)</span> Mo'ya'.
ahí	<i><span fgcolor="#008000">adv.</span></i> <span fgcolor="blue">(m)</span> Mɨ'ya'.
ahí arriba	<i><span fgcolor="#008000">adv.</span></i> Mo'chhe'.
ahogado	<i><span fgcolor="#008000">adj.</span></i> <span fgcolor="blue">(m)</span> Tyomijdyi <span fgcolor="blue">(Cov)</span> - tyomity <span fgcolor="blue">(SA)</span>.
ahogar	<i><span fgcolor="#008000">v.</span></i> Ji'tyomak.
ahogarse	<i><span fgcolor="#008000">v.</span></i> Tyomij.
ahora	<i><span fgcolor="#008000">adv.</span></i> Khin'.
ahorita	<i><span fgcolor="#008000">adv.</span></i> Khiñ'dye.
aire	<i><span fgcolor="#008000">s.</span></i> Jɨtyej.
ají aribibi más pequeño	<i><span fgcolor="#008000">s.</span></i> Shïshï dyim'.
ají aribibi mediano	<i><span fgcolor="#008000">s.</span></i> Äwïwïrë.
ají aribibi pequeño	<i><span fgcolor="#008000">s.</span></i> Shïshï.
ají gusanito	<i><span fgcolor="#008000">s.</span></i> Shïshï durmɨntyi'.
ají	<i><span fgcolor="#008000">s.</span></i> Tÿa'.
