achachha	<i>ESP:</i> abecedario. <i>AYM:</i> achajala. <i>GUA:</i> achenget<s>i</s>, kuatiat<s>i</s>. 
janlla (L)	<i>ESP:</i> abertura de la boca. <i>AYM:</i> ansa. <i>GUA:</i> yuru<s>i</s>p<s>i</s>. 
qillqiri	<i>ESP:</i> abogado. <i>AYM:</i> kamachi kamani. 
q'asa	<i>ESP:</i> abra. <i>AYM:</i> willk'i. <i>GUA:</i> eipea. 
juch'uyyachiy, kutuyachiy	<i>ESP:</i> abreviar. <i>AYM:</i> jisk'aptayaña, k'utuchaña. <i>GUA:</i> mboatüri. 
kutuyachiy, juch'uyyachiy	<i>ESP:</i> abreviar. <i>AYM:</i> jisk'aptayaña, k'utuchaña. <i>GUA:</i> mboatüri. 
kutu simi	<i>ESP:</i> abreviatura. <i>AYM:</i> jisk'aptayawi, k'utu. <i>GUA:</i> atüri. 
ariwaki	<i>ESP:</i> abril. <i>AYM:</i> qasawi. <i>GUA:</i> ara<s>i</s>vi. 
suq'uy	<i>ESP:</i> absorber. <i>AYM:</i> ch'umaña. <i>GUA:</i> oip<s>i</s>temoata. 
yullmi (H)	<i>ESP:</i> abstracto. <i>AYM:</i> jani amuykaya. <i>GUA:</i> oip<s>i</s>temoataka. 
yaya, awichu, jatun tata, machula	<i>ESP:</i> abuelo, anciano. <i>AYM:</i> jach'a tata, achila. <i>GUA:</i> tam<s>i</s>i. 
awichu, yaya, jatun tata, machula	<i>ESP:</i> abuelo, anciano. <i>AYM:</i> jach'a tata, achila. <i>GUA:</i> tam<s>i</s>i. 
jatun tata, yaya, awichu, machula	<i>ESP:</i> abuelo, anciano. <i>AYM:</i> jach'a tata, achila. <i>GUA:</i> tam<s>i</s>i. 
machula, yaya, awichu, jatun tata	<i>ESP:</i> abuelo, anciano. <i>AYM:</i> jach'a tata, achila. <i>GUA:</i> tam<s>i</s>i. 
majisqa	<i>ESP:</i> aburrido. <i>AYM:</i> q'iwjtaña, q'umiña. <i>GUA:</i> iaras<s>i</s> yae. 
isu, sisu (L)	<i>ESP:</i> ácaro, arácnido traqueal. <i>GUA:</i> tärakakä. 
sisu (L), isu	<i>ESP:</i> ácaro, arácnido traqueal. <i>GUA:</i> tärakakä. 
ñak'ariy, waqllu, aquyra	<i>ESP:</i> accidente. <i>AYM:</i> waticha, chiji. <i>GUA:</i> susere. 
waqllu, ñak'ariy, aquyra	<i>ESP:</i> accidente. <i>AYM:</i> waticha, chiji. <i>GUA:</i> susere. 
aquyra, ñak'ariy, waqllu	<i>ESP:</i> accidente. <i>AYM:</i> waticha, chiji. <i>GUA:</i> susere. 
sinchiyachina	<i>ESP:</i> acento gramatical. <i>AYM:</i> jiyitatayiri. <i>GUA:</i> puäta. 
jayñiy	<i>ESP:</i> aceptar. <i>AYM:</i> iyawa saña. <i>GUA:</i> k<s>i</s>reï. 
qayllachiy, sispachiy	<i>ESP:</i> acercar. <i>AYM:</i> jak'achaña. <i>GUA:</i> moköi. 
sispachiy, qayllachiy	<i>ESP:</i> acercar. <i>AYM:</i> jak'achaña. <i>GUA:</i> moköi. 
k'allku	<i>ESP:</i> ácido. <i>AYM:</i> k'allk'u. <i>GUA:</i> jayas<s>i</s>. 
jallk'akuy (L), llaqllakuy (L)	<i>ESP:</i> acobardarse. <i>AYM:</i> jallk'a, q'iwasiña. <i>GUA:</i> kueri. 
llaqllakuy (L), jallk'akuy (L)	<i>ESP:</i> acobardarse. <i>AYM:</i> jallk'a, q'iwasiña. <i>GUA:</i> kueri. 
kunay (H)	<i>ESP:</i> aconsejar. <i>AYM:</i> iwxa. <i>GUA:</i> mboarakua. 
kunaykuchikuy (H)	<i>ESP:</i> aconsejarse, pedir consejo. <i>AYM:</i> iwxayasiña. <i>GUA:</i> emboarakua. 
uyniy, uyñiy (L)	<i>ESP:</i> acordar, tomar acuerdos. <i>AYM:</i> amtaña. <i>GUA:</i> moikavi. 
uyñiy (L), uyniy	<i>ESP:</i> acordar, tomar acuerdos. <i>AYM:</i> amtaña. <i>GUA:</i> moikavi. 
yachakuy	<i>ESP:</i> acostumbrarse. <i>AYM:</i> yatisiña, jichuntaña, awinisiña. <i>GUA:</i> yepokua. 
jatunyachiy, achkhayachiy, wiñachiy	<i>ESP:</i> acrecentar. <i>AYM:</i> jach'aptayaña. <i>GUA:</i> mbotuicha. 
achkhayachiy, jatunyachiy, wiñachiy	<i>ESP:</i> acrecentar. <i>AYM:</i> jach'aptayaña. <i>GUA:</i> mbotuicha. 
wiñachiy, jatunyachiy, achkhayachiy	<i>ESP:</i> acrecentar. <i>AYM:</i> jach'aptayaña. <i>GUA:</i> mbotuicha. 
tantanakuy qillqa	<i>ESP:</i> acta. <i>AYM:</i> tantachawi qillqa. <i>GUA:</i> ñemongetaguap<s>i</s>. 
karayni (H)	<i>ESP:</i> actitud. <i>AYM:</i> kankaña, lurawi. <i>GUA:</i> tekochauka. 
ruway	<i>ESP:</i> actividad. <i>AYM:</i> lurawi. <i>GUA:</i> yapo, mbaeapo. 
phisika ruway	<i>ESP:</i> actividad física. <i>AYM:</i> janchi lurawi. <i>GUA:</i> rete yapo. 
aranwaq	<i>ESP:</i> actor. <i>AYM:</i> luriri. <i>GUA:</i> mojäangavae. 
chukuy (L)	<i>ESP:</i> acuclillarse. <i>AYM:</i> killt'aña. <i>GUA:</i> embosape<s>i</s>, eñevichiï, echuku. 
pincha, witkhu (L)	<i>ESP:</i> acueducto. <i>AYM:</i> larq'a. <i>GUA:</i> <s>i</s>rape. 
witkhu (L), pincha	<i>ESP:</i> acueducto. <i>AYM:</i> larq'a. <i>GUA:</i> <s>i</s>rape. 
uyni, uyñiy	<i>ESP:</i> acuerdo. <i>AYM:</i> amta. <i>GUA:</i> ñemometei, maendua. 
uyñiy, uyni	<i>ESP:</i> acuerdo. <i>AYM:</i> amta. <i>GUA:</i> ñemometei, maendua. 
tinkurpachiy	<i>ESP:</i> adaptación. <i>AYM:</i> yatisiwi; jichuntawi, awinisiwi. <i>GUA:</i> ñembov<s>i</s>a. 
kurikulunta tinkurpachiy	<i>ESP:</i> adaptación auricular. <i>AYM:</i> yatiqawi jichunuqtawi, askichkipawi. <i>GUA:</i> mboes<s>ï</s>ro moikavi. 
tinkurpachisqa	<i>ESP:</i> adaptado. <i>AYM:</i> askicht'ata. <i>GUA:</i> moikavi. 
tinkurpachiy	<i>ESP:</i> adaptar. <i>AYM:</i> yatintaña, jichuntaña, askichkipaña. <i>GUA:</i> ov<s>i</s>a. 
yachakuy, amañakuy	<i>ESP:</i> adaptarse. <i>AYM:</i> yatisiña. <i>GUA:</i> oñembov<s>i</s>a. 
amañakuy, yachakuy	<i>ESP:</i> adaptarse. <i>AYM:</i> yatisiña. <i>GUA:</i> oñembov<s>i</s>a. 
tinkurpachiy, ch'antallichiy	<i>ESP:</i> adecuar. <i>AYM:</i> askichsuña, askichkipaña. <i>GUA:</i> moikav<s>i</s>. 
ch'antallichiy, tinkurpachiy	<i>ESP:</i> adecuar. <i>AYM:</i> askichsuña, askichkipaña. <i>GUA:</i> moikav<s>i</s>. 
yapay	<i>ESP:</i> adición. <i>AYM:</i> jakhthapiwi. <i>GUA:</i> moïru. 
yapay	<i>ESP:</i> adicionar. <i>AYM:</i> jakhthapiña. <i>GUA:</i> ñemoïru. 
imasmari	<i>ESP:</i> adivinanza. <i>AYM:</i> jamusiwi. <i>GUA:</i> mbaerako. 
sutilli	<i>ESP:</i> adjetivo. <i>AYM:</i> suti mayjachiri. <i>GUA:</i> teejäaka, teejäara. 
ayaw, añay	<i>ESP:</i> admiración. <i>AYM:</i> musphawi. <i>GUA:</i> m<s>i</s>akañi. 
añay, ayaw	<i>ESP:</i> admiración. <i>AYM:</i> musphawi. <i>GUA:</i> m<s>i</s>akañi. 
warma	<i>ESP:</i> adolescente (mujer). <i>AYM:</i> tawaqu. <i>GUA:</i> kuñatai. 
maqt'a	<i>ESP:</i> adolescente (varón). <i>AYM:</i> maxt'a. <i>GUA:</i> kunumi. 
churichakuy, ususichakuy (H/L)	<i>ESP:</i> adoptar el varón hijo o hija. <i>AYM:</i> katxaruña, uywthapiña. <i>GUA:</i> ta<s>i</s>ete rami, tay<s>i</s>ete rami. 
ususichakuy (H/L), churichakuy	<i>ESP:</i> adoptar el varón hijo o hija. <i>AYM:</i> katxaruña, uywthapiña. <i>GUA:</i> ta<s>i</s>ete rami, tay<s>i</s>ete rami. 
wawachakuy (H)	<i>ESP:</i> adoptar la mujer hijo o hija. <i>GUA:</i> memb<s>i</s>ete rami. 
khallki	<i>ESP:</i> adoquín. <i>AYM:</i> qala tika. 
rimay tikrachiy, imallichiq	<i>ESP:</i> adverbio. <i>AYM:</i> aruchiri mayjt'ayiri, thijra. <i>GUA:</i> ñeeapo mbor<s>i</s>ka. 
imallichiq, rimay tikrachiy	<i>ESP:</i> adverbio. <i>AYM:</i> aruchiri mayjt'ayiri, thijra. <i>GUA:</i> ñeeapo mbor<s>i</s>ka. 
awqa, jayu	<i>ESP:</i> adversario, enemigo. <i>AYM:</i> awqa, awqaru. <i>GUA:</i> tovaicho. 
jayu, awqa	<i>ESP:</i> adversario, enemigo. <i>AYM:</i> awqa, awqaru. <i>GUA:</i> tovaicho. 
aquyraki (H), ati (L)	<i>ESP:</i> adversidad, suceso infeliz. <i>AYM:</i> t'aqhisiwi, chiji. <i>GUA:</i> avai. 
ati (L), aquyraki (H)	<i>ESP:</i> adversidad, suceso infeliz. <i>AYM:</i> t'aqhisiwi, chiji. <i>GUA:</i> avai. 
aphichi	<i>ESP:</i> afiche. <i>AYM:</i> aphichi. <i>GUA:</i> mbaechaka. 
chakra yapuy	<i>ESP:</i> agosto. <i>AYM:</i> llumpaqa, lakani. <i>GUA:</i> arav<s>i</s>tu. 
