
achachi	<span fgcolor="#228B22">(s).</span> Walja marani chachawa, jani ukaxa, walja marani uywawa. Anciano o animal de mucha edad.\n<span fgcolor="#a403fb">- Achachi anuxa pisi jinq'asi.</span>\n<span fgcolor="#0000ff">- El perro de mucha edad ladra poco.</span>
achachila	<span fgcolor="#228B22">(s).</span> <b>1.</b> Awkina jani ukaxa taykana awkipa. <span fgcolor="#ff0000">Abuelo. </span><b>2.</b> Chuymani chacha. <span fgcolor="#ff0000">Anciano. </span><b>3.</b> Nayra pacha achachilanakana achachilapana ajayupa. <span fgcolor="#ff0000">El espíritu ancestral, divinidad masculina encarnada en los cerros.</span>\n<span fgcolor="#a403fb">1. Achachilaxa allchhipampiwa parli.</span>\n<span fgcolor="#0000ff">- El abuelo conversa con su nieto.</span>\n<span fgcolor="#a403fb">2. Awkijaxa chuymani chachaxiwa.</span>\n<span fgcolor="#0000ff">- Mi padre ya es un anciano.</span>\n<span fgcolor="#a403fb">3. Qhapiya achachilaruxa luqapxiwa.</span>\n<span fgcolor="#0000ff">- Rinden culto al espíritu ancestral de Ccapia.</span>
achakaja	<span fgcolor="#228B22">(s).</span> Aymara aruna wakichata qillqapa. <span fgcolor="#ff0000">Abecedario aimara.</span>\n<span fgcolor="#a403fb">- a - ch - chh - ch'- i - j - k - kh - k'- l - ll - m - n - ñ - p - ph - p' - q - qh - q'- r - s - t - th - t' - u - w - x - y.</span>\n<span fgcolor="#0000ff">- El abecedario aimara está formado por veintinueve letras.</span>
achakaña	<span fgcolor="#228B22">(s).</span> Jisk'a ch'aphini ali, qullunakanxa muruq'jama muqu muquwa alixa, achupaxa jaqina manq'añawa. <span fgcolor="#ff0000">Una variedad del cactus.</span>\n<span fgcolor="#a403fb">- Achakañana puquta achupaxa muxsawa.</span>\n<span fgcolor="#0000ff">- El fruto maduro de una variedad del cactus es dulce.</span>
achaku	<span fgcolor="#228B22">(s).</span> Ñuñuri kasta, jisk'a sallqa uywa, uqi samiri t'awrani, khuturi, taqi kunsa manq'iri, jaqina yänakapsa t'uruntiriwa. <span fgcolor="#ff0000">Ratón.</span>\n<span fgcolor="#a403fb">- Achakuxa siwara t'uruntatayna.</span>\n<span fgcolor="#0000ff">- El ratón había comido la cebada.</span>
achkatasiri	<span fgcolor="#228B22">(s).</span> Uqi qillaya, qillaya masiparuxa waykatasisina wayxasi. <span fgcolor="#ff0000">Imán.</span>\n<span fgcolor="#a403fb">- Qillayaxa yawriruxa waykatasiwa.</span>\n<span fgcolor="#0000ff">- El imán atrae la aguja.</span>
achu	<span fgcolor="#228B22">(s).</span> Panqarani alinakana machaqa puqutanakapa. <span fgcolor="#ff0000">Fruto.</span>\n<span fgcolor="#a403fb">- Ch'uqi alina achupaxa mak'unkuwa.</span>\n<span fgcolor="#0000ff">- El fruto de la papa es la baya.</span>
achuña	<span fgcolor="#228B22">(p).</span> <b>1.</b> Alinakana achupa puquña. <span fgcolor="#ff0000">Producir (dar fruto los vegetales). </span><b>2.</b> Lakampi achthapisa apana. <span fgcolor="#ff0000">Llevar algo en la boca.</span>\n<span fgcolor="#a403fb">1. Jawasaxa quta lakana achuwa.</span>\n<span fgcolor="#0000ff">- Las habas producen en la orilla del lago.</span>\n<span fgcolor="#a403fb">2. Phisixa wawapa achusiwa.</span>\n<span fgcolor="#0000ff">- El gato lleva sus cachorros en la boca.</span>
achuqa phaxsi	<span fgcolor="#228B22">(s).</span> Marana kimsayri phaxsipawa, kimsa tunka mayani uruniwa. <span fgcolor="#ff0000">Marzo.</span>\n<span fgcolor="#a403fb">- Achuqa phaxsina ch'uqixa puqutäxiwa.</span>\n<span fgcolor="#0000ff">- En el mes de marzo la papa ya está madura.</span>
achuqalla	<span fgcolor="#228B22">(s).</span> <b>1.</b> Ñuñuri, aycha manq'iri kasta, jisk'a sallqa uywa ch'umphi samiri t'awrani, niya kimsa tunka phisqani patakachjata wiskhallawa, aruma sarnaqiriwa. <span fgcolor="#ff0000">Comadreja. </span><b>2.</b> Utachaña tukuyasina achuqalla thuquña. <span fgcolor="#ff0000">Danza tradicional de techamiento.</span>\n<span fgcolor="#a403fb">1. Achuqallaxa chhiwchhi manq'antiriwa.</span>\n<span fgcolor="#0000ff">- La comadreja suele comer los pollos.</span>\n<span fgcolor="#a403fb">2. Utachaña tukuyasina achuqalla thuqupxi.</span>\n<span fgcolor="#0000ff">- Bailan la danza achoccalla después de terminar el techamiento.</span>
