abajo	Aynacha
abogar	Arxataña
abortar	Sulluña
abrazar	Qhumaña
abril	Yapu apthapi phaxsi
abrir	Jist'araña
absceso	Jinq'i
abuela	Awicha
abuelo	Achachila
acariciar	Munaraña
acicalado	Q'uma
acomodar	Uchaña
acompañar	Irpaña
acoplar	Wakthapiyaña
acordar	Amtaña
acrecentar	Mirayaña
acta	Amta qillqata
acuerdo	Amtawi, amuyt'a
adelantarse	Nayrt'aña
adherir	Lip'iyaña
adivinanza	Katjawi, chiqt'aña
adobe	Tika
adolescente	Yuqalla
adoptivo	Uywata
adorar	Yupaychaña
adornar	K'achachaña, sumachaña
afiche	Yatiqawi laphi
agitar (agitar haciendo movimientos en círculo)	Khiwiña
agosto	Thaya phaxsi
agradable	Suma, muxsa
agrandar	Jach'aptayaña
agua limpia	Ch'ika uma
águila	Paka
ahogo	Axskataña
ahora	Jichha
ajo	Ajusa
ala	Chhiqa
alborada	Willjta
alegre	K'uchi
alfabeto	Achakaja
algodón	Qhiya
almácigo	Mallki
alojado	Qurpa
alpaca	Allpachu
alzar (alzar con las manos, ver levantar)	Aptaña
amanecer	Qhantati, inti willjta
amar	Munaña
amarillo	Q'illu
amarrar	Chinuña, ñach'aña
amasar	Chapuña, ñatuña
amontonar	Phinaña
amontonar tubérculos	Qutuchaña
ampolla	Pullullu, phusullu
anaranjado	Churi q'illu
ancho	Qhanqha
anciana	Awicha
anciano o anciana	Chuymani
andén	Pata
andenería	Patapata
ángulo	K'uchu, kachja
ángulo agudo	K'ullk'u k'uchu
ángulo recto	Chiqa k'uchu
anillo	Siwi
animal	Uywa
animal doméstico	Axa uywa, uta uywa
animal enano	P'ilti
aniversario	Jach'a uru
ano	Jamaña
anochecer	Arumthapi, ch'amakthapi
anteayer	Walüru
año	Mara
apacheta	Apachita
apacible	Llamp'u chuymani
aportar (aportar dinero)	Ramaña
aprender	Yatiqaña
apuntalar	Saykatayaña
arado	Arma
araña	Kusikusi
árbol	Quqa
árcilla	Llinkí laq'a
arco iris	Kurmi, kutupi
arder	Nakhaña
arena	Ch'alla laq'a, aqu
arena fina	Ñut'u ch'alla
armadillo	Khirkhi
arrancar (arrancar hilo)	T'aqaña
arrear (arrear ganado)	Anakiña
arreglar	Askichaña
articular palabras	Aruña
asa de las vasijas	Jinchu
asado	Aycha kanka
asamblea	Mathapiña, tantachasiwi
asco	Axta
asfixia	Samana llupht'ata
asignar	Uñachayaña
asperjar	Ch'axch'uña
aspiración	Samantaña
asustar	Mulljaña
atado	Q'ipi
atardecer	Jayp'thapi
atrás	Qhipa
aula	Yatiqawi uta
aumentar	Yapaña
autoridad	Jilïri
avergonzar	Phinq'achaña
avergonzarse	Phinq'asiña
averiguar	Yatxataña
avisar	Yatiyaña
ayer	Masa uru
ayudar	Yanapaña
azufre	Asuphri
azul	Larama
bacteria	Jisk'a laq'u
bailar	Thuquña
bajar (bajar cosas, trasladarse)	Apaqaña, saraqaña
balsa	Walsa, wampu
bañarse	Jarisiña
barba	Sunkha
barranco	Axa
barriga	Puraka
barro	Ñiq'i
bastante	Alluxa, walja
bastón	Thujru
basura	T'una
basurero	T'una uchaña
batán	K'iyaña
batán	Piqaña
batán	Qhuna
batir	Jiruña
bayeta wayita, (un tipo de bayeta)	Kastilla wayita
besar	Jamp'atiña
bienes	Yänaka
bilis	Asu
blanco	Janq'u
blanco sucio	Churi
blando	Jasa
boca	Laka
bolsa (bolsa pequeña tejida)	Wayaqa
borde (borde del río, orilla del lago)	Jawira laka, quta laka
borde de un cuerpo	Qawaya
borla	K'anchila
borrar	Pichaña
bostezar	Ansaña
botar (cosas, botar agua o botar granos)	Jaqtaña , wartaña
brazada	Luqa
brillante	Qhisqha
brillar	K'ajaña, llijuña
brotar (salir la planta de la tierra)	Alsuña
bueno	Suma
buho	Juku
buitre	Siwiq'ara
burro	Asnu
buscar	Thaqaña
caballero	Wiraxucha
cabello	Ñik'uta
cabello rubio	Quri ñik'uta
cabeza	P'iqi
cabeza de familia	Awki
cactus	Achakaña
cadaver	Amaya
cadena	Axu
cadera	Thixni
cal	Q'atawi
caliente	Junt'u
calor	Inti lupi
calor solar	Lupi
calumniar	Lutiña, k'arintaña
cama	Ikiña
camellones	Waru waru
camino	Thaki
camisón	Allmilla
camote	Apichu
canica (fruto de baya negra)	Ch'uch'u
cansarse	Qariña
cantar	Waruriña
cántaro de barro	Yuru
cañihua	Qañiwa
capturar	Chakuña
capullo	Amucha
cara	Uñnaqa
cara (del ser humano y de los animales, superficie plana de los sólidos)	Ajanu
carachi	Qarachi
carbón	K'illima
cárcel	Mutüwi, wata uta
carga	Khumu
caries dental	Laka k'ama
carnavales	Anata
carne	Aycha
carne cocida	Chichi
carnívoro	Aycha manq'iri
carretera	Jach'a tupu, tupu
casa (casa en forma de cono)	Putuku
casa	Uta
cáscara	Sillp'i
cazar	Chakuña
cebada	Siwara
cebada pelada	Phata
cebolla	Siwilla
cecina	Ch'arki
celeste	Sajuna
cementerio	Amaya imaña uyu
ceniza	Qhilla
centena	Patakachata, patakanaka
centímetro	Mitru patakachjata
centro (centro o mitad de las cosas)	Chika
centro poblado	Juk'a tanta utanaka
cercanía (proximidad en el espacio y en el tiempo)	Jak'a
cerdo	Khuchi
cereal mal molido	Chhaku
cernir	Susuña
cernícalo	K'ilik'ili
cernidor	Susuña
cerro	Qullu
cerro tutelar	Pukara
chachacoma (planta medicinal)	Chachakuma
chacra	Yapu
chalona	Chaluna
charango	Khirkhi
chasqui	Yati apiri
chiste	Llarusiña yatiyawi
chullo	Ch'ullu
chuño (papa procesada por medio de la helada)	Ch'uñu
chupar	Ch'amuña
ciego	Juykhu
cien	Pataka
cilindro	T'uyu
cinco	Phisqa
cintura	Juch'usa jikhani
círculo, circunferencia	Muyu
claridad	Qhana
clase	Kasta
clavícula	Qhiwi ch'aka
cobarde	Axsariri
coca	Kuka
cocer cebada pelada	Phataña
cocido (cocido con el calor del vapor de agua hervida)	Phuti
cocinar	Phayaña
codo	Mujlli
codorniz	Khullu
cola	Wich'inkha
colgador	Warkuña
colgar	Warkuña
color blanco y negro entremezclado	Ch'ixa
color	Sami
color café, rubio	Ch'umphi
color rubio	Paqupaqu
colorear	Samichaña
columna vertebral	Jikhani k'ili
comadreja	Achuqalla
comenzar	Qalltaña
comer	Manq'aña
cómico (personaje cómico de una danza)	K'usillu
comida	Manq'a
compadre	Kumpayri
compañero	Yatiqiri masi
comparar objetos	Tupaña
competencia	Atipa
completar	Phuqaña
comprar, adquirir objetos con dinero	Alaña
comprar todo	Alsuña
concluir	Tukuña
condimento	Manq'a sumachiri
cóndor	Kunturi
cono	Pullu, putuku
consejo	Arxata, iwxa
construir andén	Patachaña
contador	Jakhuri
contagiar	Piyayaña, usu katyaña
contaminar	Q'añuchaña
contar	Jakhuña
contorno	Muyta
convertirse	Tukuña
corazón	Lluqu
cordel	Kira
cordillera	Khunu qullu
correo	Yati apiri
correr (correr del agua, andar de personas o animales)	Aywiña
cortar cosas	Khuchuña
cortar cabellos	Muruña
corteza	Sillp'i
cosas	Yänaka
cosechar tubérculos	Llamayuña
coser	Ch'ukuña
costa	Lamara tuqi suyu
costado (lado del cuerpo ubicado a la altura de los riñones)	Ch'illa
costalillo	Tupillu
costura	Ch'uku
crear	Uñstayaña
crecer	Jilaña
cresta	K'ara
cría (cría de animal en orfandad)	Chita
cría	Qallu
criar	Uywaña
crucigrama	Kitjata arunaka
crudo	Ch'uqi
cuaderno	Qillqaña panka
cuadrado	Pusi k'uchuni
cuarta	Chhiya
cuatro	Pusi
cucharón	Wislla
cuchillo, objeto cortante	Khariña
cuello	Kunka
cuento	Jawari
cuerpo	Janchi
cuesta	Amsta
cueva	Tiyi
cuidar	Uñjaña, uywaña
culebra	Asiru
culpa	Jucha
cultivar plantas	Yapuchaña
cultura	Yati
cuociente	Lakita
curar	Qullaña
cuy	Wank'u
danza (danza costumbrista que bailan después del techado de la casa)	Achuqalla
dañino, daño	Ñanqha
dar	Churaña
dar puñetazo	Ch'akuña
de ninguna manera	Janipuni
decena	Tunkacha, tunka
decisión	Amuyt'a
decolorido	Qaqa
defecar	Jamaña
defender	Arxataña
degollar	Khariña
delante	Nayraqata
delito	Jucha
denominador	Pachjiri
dentro	Manqha
departamento	Jach'a suyu
derecha	Kupi
desaparecer	Chhaqaña
desatar	Jararaña
descolorido	Churi
desear	Munaña
desenredar	Sanuña
desgracia	Chiji
deslumbrar	Llijuña
despeñadero	Axa
después	Qhipa
devolver	Kutt'ayaña
día	Uru
día siguiente	Qhara uru
dialogar	Parlakipaña, aruskipaña
diarrea	Jiphilla jaqukipata, kursu usu
diarrea	Wich'u
dibujar	Rixiña
diccionario	Aru pirwa
diciembre	Jallu qallta phaxsi
diente	Laka ch'aka
diez	Tunka
diferente	Mayja
dinero	Qullqi
dios	Tatitu
dios tutelar	Apu
dirigente	P'iqt'iri
discutir	Kutkatasiña
disminuir (disminuir cosas)	Apaqaña
distinto	Mayja
distrito	Jisk'a t'aqa suyu
dividendo	Lakiyasiri
dividir	Jaljayaña, lakiña
divisor	Jaljatiri, lakiri
divorciarse	Jaljtaña
doblar	Suk'aña
domicilio	Utjawi
domingo	Inti uru
dormir	Ikiña
dos	Paya
dulce	Muxsa
duro	Qhuru
echar líquidos o granos pequeños	Wartaña
echar agua	Qhallaña
él	Jupa
ella	Jupa
embarazada	Usuri
empujar	Nukhuña
encerrar	Llawintaña
encima	Pata
encontrar	Jakiña, katjaña
enfermar	Usuña
enfermedad	Usu
enfermo	Usuri
enjuagar	Aytiña
ensuciar	Q'añuchaña
enterrar	Allintaña
epilepsia	T'uku usu
época seca	Awti pacha
época lluviosa	Jallu pacha
equivocarse	Pantjaña
esa (pronombre)	Uka
esclavitud	T'aqisiyäwi
escoba	Pichaña
escoger frutos, vegetales y animales	Ajlliña
escozor	Jasi
escribir	Qillqaña
escrito	Qillqa
escrito en general	Qillqata
escuadra	K'uchu tupuña
escuchar	Ist'aña
escuela	Yatiña uta
escurrir	Ch'umaña
ese	Uka
eso	Uka
esófago	Mallq'a
espalda	Jikhani, ati
espiga	Pula, puya
espina	Ch'api
espiración	Samsuña
espíritu ancestral	Awicha
esta	Aka
estatura	Tansa, saya
este (lo que esta cerca de la persona que habla	Aka
esternón	Tujtuka
estiércol de oveja, llama o alpaca	Q'awa, wanu, thaxa
esto	Aka
estrella	Warawara
eterno	Wiñaya
excedente	Jila, jilt'a
excluir	Apsuña, chhijllamukuña
excremento	Jama
existir	Utjaña
extender	Janatataña, jant'akuña
extinguirse	Chhaqtaña
extraer	Apsuña
extraviar	Chhaqayaña
fábula	Yatichawini jawari
faja	Wak'a
familia de palabras	Arunaka phamilla
faz	Uñnaqa
febrero	Anata phaxsi
fémur	Chara ch'aka
feria	Qhatu
festejar	Phistachaña
feto	Sullu
fiesta	Phista, phunchawi, pura
fila	Siqi
finigénito	Chana
flecha	Mich'i
flor	Panqara
florecer	Panqaraña, phanchaña
fogón	Qhiri
fortaleza	Pukara
fracción	Pachjta
frazada	Chusi, ikiña
frío, muy frío, helado	Ch'uch'u
frío	Thaya
frotar	Qaquña
frustrarse	Qulluña
fruto (vegetales)	Achu
fuego	Nina
fuerza	Ch'ama
futuro	Qhipa
gallina	Wallpa
gallo	Chhanka, ququrichi
ganado	Uywa
garapata	Jamak'u
gastritis	Puraka tini
gato	Phisi
gavilla (pequeña gavilla de cebada)	Chulla
girar	Muyuña
golpear	Jawq'aña
gorro	Q'aspa
gota	Ch'aqa
grande	Jach'a
graneado	K'aja
granear	K'ajayaña
granero	Pirwa
granizo	Chhijchhi
gresca	Ch'axwa
gripe	Jurma usu, pisti
guanaco	Wanaku
guano	Wanu
guano de las islas	Mataxi
guardar	Imaña
guisar (guisar cereales)	Phataña
gusano	Laq'u
haba	Jawasa
hablador	Parliri
hablar	Parlaña, arsuña
hacer	Luraña
hacer producir	Achuyaña
halcón	Mamani
hambre	Awtja
harina de cereales cocidos	Aku
harina de cereales crudos	Aqallpu
harina de maíz	Tunqu jak'u
helada	Juyphi
hembra	Qachu
hermana	Kullaka
hermano	Jilata
hermoso	Suma
hervir	Wallaqiyaña
hierba cana	Qhanachu
hígado	K'iwcha
hija	Phucha
hijo	Yuqa
hilo de lana	Ch'ankha
hinchazón	P'usu
hito	Qurpa
hoja (hoja de plantas y de papel)	Laphi
hombre	Chacha
hombro	Taru, tarku
homogéneo	Khuskha
honda	Q‘urawa
hondonada	Phutunku
hormiga	K'isimira, qanlli
hoy	Jichha uru
hoz	Jusi
hueco	P'iya
huérfano	Iñu, wajcha
hueso	Ch'aka
huevo	K'awna
humear	Jiwq'iña
humo	Jiwq'i
ibis	Ch'uwankira
idéntico	Kikipa
identificar	Uñt'aña
igual	Kikipa
imaginarse	Samkaña
imán	Achkatasiri
impar	Ch'ulla
indice	Utjirinaka
infección	Añata
instrucción	Yatiñataki arunaka
inventar	Uñstayaña
ir	Saraña
iris	Nayra mami
izquierda	Ch'iqa
jabón	Jawuna
jaguar	Jach'a titi
jarro	Jaruchi
joven de sexo masculino	Wayna
juego	Anata
jueves	Ururi uru
jugar	Anataña
juguete	Anataña
junio	Juyphi phaxsi, willka kuti phaxsi
juntar	Mayachaña, apthapiña
junto (estar junto con otras personas)	Chika
kilo	Kilu
lado	Qawaya
ladrón	Jawq'a, lunthata
lagartija	Jararankha
lago	Quta
lago titicaca	Titiqaqa
lágrima	Jacha
lamer	Jallq'aña
lápiz	Lapisa
largo	Sayt'u
lavar (lavar la ropa, la cabeza)	Jariña, t'axsaña
leche	Millk'i, ñuxñu
leer	Ullaña, uñaña
legua	Tupu
lejanía (espacial y temporal)	Jaya
lengua	Aru
lengua oral	Arsuta aru
leña	Lawa, phayaña
lesión	Chhuxri
letra	Qillqa
letra mayúscula	Jach'a qillqa
letra minúscula	Jisk'a qillqa
levantar objetos largos, palos	Aytaña
levantar con las manos	Aptaña
levantar una masa o barro	Llawch'taña
levantar cereales entre los dos brazos	Marqtaña
levantar cereales entre las dos manos juntas	Phuxtaña
levantar ropa o tejidos entre los dos brazos	Quttaña
levantar palos en el hombro	Qhitaña
levantar en una manta pequeña cereales	Unktaña
levantar recipientes por su asa	Waytaña
levantar entre los dientes	Achtaña
levantar a bebés, niños y animales pequeños entre los brazos	Ichtaña
levantar la piedra con las manos	Ittaña
levantar prendas o una tela	Iqtaña
levantar cereales empuñándola con una sola mano	Jachtaña
levanta cosas en el regazo	Jarphtaña
levantar algo en una manta por sus cuatro puntas	Kalltaña
ley	Kamachi
leyenda	Jawari
libertad	Atiniña
libertador	Atiniñaptayiri
libro	Liwru
limpiar	Pichaña, q'umachaña
limpio	Q'uma
lindero	Qurpa
liviano	Suja
llama (camélido)	Qarwa
llamar	Jawsaña
llegada	Puriwi
llegar	Puriña
llevar	Apaña
llevar en brazos un bebé o persona	Ichuña
