abeja	Wanquyru
ablandar	Llaptsiy
abortar	Shulluy
abrazar	Waquy
abrir	Kichay
abrir la boca	Aayay
abuela	Awila
abuelo	Awilu
aceptar, estar de acuerdo	Aniy
acusar,culpar	Tumpay
adelante, antes, tiempo antiguo	Nawpa
adorar, venerar	Mutsakuy
adornar, arreglar	Allitsay
agonizante	Wanunaykaq
agravarse	Antsay
agregar, repetir	Yapay
agua	Yaku
aguar	Yakuchay
aguila	Anka
aguja de arriero	Antakasha
ahogamiento	Shinqashyay
ají	Utsu
ala	Ripra
alacrán	Atuq kuru
alegrarse	Kushikuy
alga	Kushuru
algodón	Utku
aliso	Ramrash
aliso	Wayaw
alma, espíritu	Hupay
almohada	Hawya
alpaca	Paqu
alumbrar	Atsikyay
alumno	Yachakuq
amanecer	Waraq
amar	Kuyay
amar	Waylluy
amargar	Puchquy
amargo	Asqa
amarillo	Qallwash
amasar	Taqllay
amigo	Yanasa
ampolla	Pushllu
amuleto	Illa
anciano	Awkin
anciano	Kukun
andenes	Patakuna
anemia	Upichu
anillo	Aniillu
animal	Uywa
animal nacido con un solo testículo	Chiklu
animal salvaje	Chukaru
ano	Uqiti
año	Wata
apacheta	Wanka
apagar	Upiy
apalear	Wiluy
aplastar	Nitiy
aplastar, embutir	Tanuy
aplaudir	Paqchiy
aporcar la papa	Unkuy
aproximarse, dirigirse en forma horizontal	Kinray
apurar	Hikutay
arado	Taklla
araña grande	Pachka
arar	Yapyay
árbol	Hacha
árbol de zona quechua y yunga	Kulli
arbol nativo, de la familia de la aliváceas	Kiswar
arcilla	Raqu
arco iris	Turmanyay
arder	Rawray
arena	Aqu
arista	Tupra
arracacha	Rakacha
arrastrarse, reptar	Qarachaakuy
arrear	Qatiy
arreglar	Altsay
arrodillarse	Qunqurikuy
arrojar un objeto	Wikapay
arrugado, encogido	Inku
arvejas	Allwi
asado	Kanka
asamblea	Rimanakuy
asco, dar náuseas, asquear	Milanay
asfixia, atorarse	Isqamray
asiento	Taakuna
asiento, silla	Taakuna
aspero	Qachqa
atado de tallo seco de cereales	Pirwa
atado, bulto	Qipi
atar, amarrar	Watay
atizar el fuego	Waykay
aullido	Waqachay
aumentar de volumen	Hakay
aumentar, reproducir	Miray
autoridad	Kamatsikuq
ave centinela	Lliqllish
avisar, contar	Willay
axila	Llikllakshu
ayer	Qanyan
ayuda mutua	Ayni
ayuda remunerada en dinero o producto	Minka
ayudar, colaborar	Yanapay
azadón	Rakwa
azul	Anqash
baba	Lamati
bailar	Tushuy
bajar	Uray
bajo de estatura, pequeño	Taksha
banco	Kunku
bandera	Unancha
bañarse	Armakuy
barba	Shapra
barbechar, roturar	Tsakmay
barranco	Qachpi
barrer, limpiar	Pitsay
barro	Liqita
bastante, mucho	Atska
bastón	Tukru
basura	Puqi
batán	Maray
batir	Qawiy
bayeta	Wayiita
bebé	Llullu
beber, tomar	Upyay
becerro	Wishi
berro	Uqururu
besar	Mutsay
blanco	Yuraq
boca	Shimi
bocio	Puqla
bolsa	Piksha
bombo	Tinya
bosque	Hacha hacha
bostezar	Aayapaakuy
brazo	Rikra
brillo	Chipapa
brotar	Chiqlliy
bruja	Achikay
buche	Ukshi
búho	Tuku
burro	Ashnu
caballo	Kawallu
cabello	Aqtsa
cabeza	Piqa
cabra	Chiwa
cactus	Waraqu
cadena alimenticia	Mikuykunapa shinrinakuynin
cadera, rabadilla	Anka
cal	Isku
calabaza	Kalawasu
calcular	Tantiyay
caliente	Quñuq
callar	Upaallakuy
calvo.	Qala putu
camellones	Wachu
camilla	Kirma
caminar	Puriy
camino	Naani
camisa	Kushma
camote	Apichu
canal, acequia	Pintsa
canasta	Isanka
canicas de semillas de choloque	Chuluki
cansarse	Utiy
cantar	Qutsuy
cántaro	Puyñu
cántaro grande	Kuntu
cantuta	Qantu
caña de maíz	Wiru
cara	Qaqlla
caracha, sarna	Qaracha
caracol	Laqatu
carbón	Ulla
cargar algo en la falda	Millqay
cargar en la espalda	Apariy
carnaval	Kallishtu
carne seca	Charki
carne, músculos	Aytsa
casa, hogar	Wayi
cascabel, sonaja	Shaqsha
cáscaras	Qara
catarata, cascada, caída de agua	Paqtsa
catarro, gripe	Wishqa
caverna, cueva	Machay
cebada	Siwara
cebolla	Siwilla
ceniza	Uchpa
centro, medio	Chawpi
cereal pelado	Llushtu
cereal remojado y pelado	Llunka
cereal semimaduro	Tahu
cerebro	Urus
cernícalo	Killiksha
cernidor, colador	Shuyshuna
cerrar	Wichqay
cerro	Hirka
champa	Tsampa
chancaca	Chankaka
chancho	Kuchi
charango	Charanku
chicha	Aswa
chocho	Tawri
choclo	Tsuqllu
choza	Tsuklla
chuño	Chuñu
chupar	Shuquy
cicatriz	Sira
ciego	Wisku
cielo	Hanan patsa
ciempiés	Pachak chaki
cien	Pachak
cifra	Kipu
cintura	Tsiqlla
cobarde, tímido	Wayllayu
cocer, cocinar	Yanuy
cocinado	Chay
cocinado	Chashqa
cocinar	Aruy
codo	Kukuchi
coito	Sipuy
cojo	Wiqru
cola, rabo	Chupa
colar	Shuyshuy
colgar	Wayuy
collar	Wallqa
color plomo	Uqi
color, ductibilidad....	Cobre Anta
colores	Niraqkuna
columpio	Wayuraakuna
comadreja	Waywash
comedia	Aranwa
comer	Mikuy
comida	Mikuna
comida recalentada	Shana
competencia	Llalliy
comprar	Rantiy
comunidad, parcialidad	Ayllu
cóndor	Kuntur
congelado	Tsururushqa
conocer	Riqiy
consejo, orientación	Willapaakuy
contagiar, infectar	Ratay
contagiarse	Muyanakuy
contaminar	Qillichakuy
contar	Yupay
corazón	Shunqu
cordillera, puna	Hallqa
corral	Chiku
corral	Kancha
correr	Ayqiy
cortar	Ruquy
cortar	Kutsuy
cortar arbustos, árboles, mutilar la cola de los animales, cercenar	Mutuy
corte de pelo	Rutuy
corto, mutilado	Kutu maki
cosas amontonadas	Chuqu
cosecha de maíz	Arkuy
cosecha de tubérculos	Allay
cosechar cereales	Pallay
coser	Hiray
costa	Chala
crecer	Wiñay
creer	Kriyikuy
crespo	Qushru
cría	Wawa
cría de oveja	Ashkash
criar	Waatay
crudo	Chawa
cruzar	Tsimpay
cucharón	Wishlla
cuello, pescuezo	Kunka
cuento, narración	Willakuy
cuerno	Waqra
cuero	Qara
cuña	Pachilla
curar	Hampiy
curvo, torcido	Wiqu
cuy	Haka
cuy macho	Kututu
danzante	Wankilla
danzante típico	Shaqsha
dar	Quy
dar a luz, parir	Wachay
dar palmadas	Taqllapay
dar pasos	Hapay
dar puñetazos	Kutay
decir	Niy
dedo	Rukana
defecar	Ismay
degollar	Pishtay
dejar boca abajo las cosas	Kupsay
delgado, angosto	Llanu
dentro	Ruri
derecha	Allawka
derramar	Ramay
derramar, echar	Hichay
derretir	Tsulluy
derrumbar	Huchuy
desatar	Paskay
desayunar	Yawapay
descansar	Hamay
descripción	Hutinyaatsiy
desgranar maíz	Iskuy
deshierbar	Quray
desnudo	Qalapaachu
desocupado	Hayaq
despedida	Aywakuy
despedir olor agradable	Pukutay
detrás, parte posterior	Qipa
día	Hunaq
dialogar	Rimanakuy
diarrea	Isqicha
dibujar	Siqiy
diente	Kiru
diez	Chunka
dinero, plata	Qillay
dios tutelar	Apu
dirigente	Umalliq
dolor	Nanay
dormir	Punuy
duende	Ichik ullqu
dulce	Mishki
duro	Anaq
embarazada, preñada	Chichu
emborracharse	Machay
empujar	Kumay
empuñar	Aptay
enana	Ichik warmi
encañada	Kallki
encolerizarse, molestarse	Piñay
encorralar animales	Chikuy
endurecido, petrificado	Rumiyashqa
enema	Lawatiwa
enemigo	Chikina
enfermedad	Qishya
enfermedad venérea	Wanti
engañar, confundir, hacer equivocar	Pantatsiy
enterrar	Pampay
entrar	Yaykuy
envidia, mezquindad	Chikikuy
envolver	Qipiy
envolver	Wankuy
época, tiempo	Patsa
equivocación, error	Pantay
eructar	Kakyay
escaldado	Llillishqa
escapar, perderse	Tsinkay
escarabajo	Ismay qaltiq
escarbar, arañar	Ashpiy
escarcha	Tsururu
escarmenar	Hichiy
escoba	Pitsana
escoger, seleccionar	Akray
escogidas del sol	Akllakuna
esconderse	Ratakuy
escorbuto	Shama
escozor	Llupapay
escribir	Qillqay
escudo	Qirara
escuela	Yachay wayi
esforzarse	Kallpatsay
espalda	Waqta
espantapájaros	Waallu
esparcir la semilla	Maqtsiy
esperanza	Shuyapaakuy
esperar	Shuyay
espina	Kasha
esposo, marido	Quwa
esquilar	Rutuy
estanque	Kita
estiércol de ovinos y auquénidos	Mullka
estiércol, abono	Wanu
estómago	Pacha
estornudar	Haqchiwsay
