a	Vocal baja central sonora. <i>s.</i> Primera letra del alfabeto castellano y primera también de sus vocales.
a	<i>prep.</i> Indica la dirección o el término de alguna persona o cosa. Sufijo –man. || Denota el objeto o complemento directo de la acción del verbo. Sufijo –ta. | Yo a tí te busco. Nuqa qanta mask'ayki.
abacería	<i>s.</i> tienda de comestibles al por menor. Qhatu wasi.
ábaco	<i>s.</i> Yupana.
abad	<i>s.</i> Dignidad superior de algunas colegiadas. Kuraq umu.
abadesa	<i>s.</i> Superiora en ciertas comunidades religiosas. Kuraq mama umu.
abadía	<i>s.</i> Monasterio regido por un abad o una abadesa. Kuraq umu wasi.
abajar	<i>v.</i> <i>tr. e intr.</i> bajar. Uraqay, uraykuy.
abajo	<i>adv.</i> Hacia lugar o parte inferior. Uray.
abalear	<i>v.</i> <i>tr.</i> Separar del trigo, cebada, etc., los granzones y la paja gruesa. Icaria. Picharay.
abalorio	<i>s.</i> Conjunto de cuentas agujereadas o dije circular de coral. Chakira.
abanderado	<i>adj. y s.</i> El que lleva la bandera en procesiones o festejos públicos. Wiphalachiq. Unanchachiq.
abandonado	<i>p.p.</i> Desamparado, dejado. Saqisqa, jaqisqa.
abandonar	<i>v.</i> <i>tr.</i> Desamparar. Saqiy, jaqiy, saqirpariy.
abandono	<i>s.</i> Desamparo, dejadez. Saqisqa.
abanicar	<i>v.</i> <i>tr. y prnl.</i> Hacer aire con el abanico. Wayrachiy, phukuy, laphay.
abanico	<i>s.</i> Instrumento para hacer o hacerse aire. Wayrachina, laphachu.
abaratar	<i>v.</i> <i>tr.</i> Disminuir o bajar el precio de una cosa. Chaninnay. Pisiyachiy, uraqay, uraykuchiy.
abarca	<i>s.</i> Juk'uta, usut'a.
abarcar	<i>v.</i> <i>tr.</i> Ceñir o llevar con los brazos. Marq'ay. || Ceñir, rodear. Uqllay.
abarrote	<i>s. pl.</i> Artículos de comercio comestibles. Mikhuna qhatu.
abasto	<i>s.</i> Provisión de cosas y víveres. Qhatu.
abate	<i>s.</i> Eclesiástico de órdenes menores. Sullk'a Umu.
abatido	<i>adj.</i> Desmirriado, flaco, agotado. Yumpaqa. || Postrado, desalentado. Willpusqa.
abatir	<i>v.</i> <i>tr.</i> Derribar, tumbar. Hacer que baje una cosa que antes tenía la posición vertical. Maray.
absceso	<i>s.</i> Tumor, divieso. Ch'upu.
abdicar	<i>v.</i> <i>tr.</i> Ceder o renunciar una dignidad, rendirse. Wasqiy.
abdómen	<i>s.</i> Wiksa.
abecedario	<i>s.</i> Alfabeto u orden alfabético. Sanampana, sanampa qillqa, sanampakuna.
abeja	<i>s.</i> Insecto himenóptero. Wara. || Abeja nativa. Tuktu.
abejar	<i>s.</i> Colmenar, lugar donde están las colmenas. Wanquyru t'iqi, wanquyru thapa.
abejorro	<i>s.</i> Insecto himenóptero, velludo, que zumba mucho al volar. Wayrunq'u, wanquyru, wankuyra.
aberración	<i>s.</i> Extravío, desorientación. Pawi. || Error, equivocación, confusión. Pantay.
abertura	<i>s.</i> Boca, hendidura. Kicha. || Agujero. Jutk'u.
abierto	<i>adj.</i> Kichasqa, kicha.
abigarrado	<i>adj.</i> De varios colores mal combinados. Saqsa.
abigeato	<i>s.</i> Hurto de ganado. Uywa suwaku.
abigotado	<i>adj.</i> Bigotudo. Sunkhasapa.
abismo	<i>s.</i> Profundidad grande y peligrosa. Wañuy ukhu, millay ukhu. (<i>sinón.</i>: Infierno).
ablandar	<i>v.</i> <i>tr. y prnl.</i> Poner blanda una cosa. Mupuchay. || Suavizar. Llamp'uy. || Moler hasta convertir en polvo. Ñut'uy.
ablandarse	<i>prnl.</i> Ponerse blando. T'ikmuyay, llamp'uyay.
abobar	<i>v.</i> <i>tr.</i> Hacer bobo a alguien. Luqt'uyachiy, luqluyachiy.
abocar	<i>v.</i> <i>tr.</i> Asir con la boca. Achuy, achulliy.
abochornado	<i>adj.</i> <i>fig.</i> Sonrojado. P'inqachikusqa.
abochornar	<i>v.</i> <i>tr.</i> Sonrojar. P'inqachiy, pukayachiy. || Causar bochorno el excesivo calor. K'ajachiy, sansachiy. || <i>v.</i> <i>prnl.</i> Sonrojarse. P'inqakuy.
abocinar	<i>v.</i> <i>tr.</i> Dar forma de bocina. K'uktiy.
abofetear	<i>v.</i> <i>tr.</i> Dar de bofetadas. Ch'aqllay, t'aqllay, jinch'ay, k'akllanchay, qallanchay, laqhay.
abogado	<i>s.</i> Amachaq, amachaqi. || Intercesor. Rimapuqi, rimaysiq.
abogar	<i>v. intr.</i> Defender en juicio. Amachay. || Interceder. Rimapuy, rimaysiy.
abolir	<i>v.</i> <i>tr.</i> Derogar un precepto o costumbre. Suprimir. Q'ullway, q'ullwachay.
abollado	<i>p.p.</i> Q'apñusqa, t'añusqa, ñat'usqa. <i>sinón.</i> Aplastado.
abollar	<i>v.</i> <i>tr.</i> Producir hundimientos en una superficie con uno o varios golpes. Q'apñuy, ñat'uy, t'añuy.
abominar	<i>v.</i> <i>tr.</i> Aborrecer. Chiqniy.
abonar	<i>v.</i> <i>tr.</i> Echar en tierra laborable materias que aumenten su fertilidad. Wanuchay. || Beneficiar la tierra para el cultivo. Kullachay, ruq'ay.
abono	<i>s.</i> Sustancia con que se fertiliza la tierra. Wanu, kullcha, ruq'a.
aborigen	<i>adj.</i> Yuriqi. || El primitivo morador de una nación. Ñawpa runa, wari runa.
aborrecer	<i>v.</i> <i>tr.</i> Tener aversión a una persona o cosa. Chiqniy.
aborrecible	<i>adj.</i> Abominable, que se puede odiar. Chiqnina.
aborrecido	<i>adj.</i> Chiqnisqa.
aborrecimiento	<i>s.</i> chiqniy, milla.
abortar	<i>v. intr.</i> Parir antes de tiempo. Sulluy.
aborto	<i>s.</i> Lo abortado. Sullu.
abotagado	<i>adj.</i> Hinchado o entumecido el cuerpo. P'unru.
abotagarse	<i>v.</i> <i>prnl.</i> Hincharse o entumecerse el cuerpo. P'unruyay.
abotonar	<i>v.</i> <i>tr.</i> Abrochar, cerrar con botones una prenda de vestir. Ch'itay.
abovedar	<i>v.</i> <i>tr.</i> Dar forma de bóveda. K'uktiy.
abra	<i>s.</i> Abertura ancha entre dos montañas. Q'asa.
abrasador	<i>adj.</i> Rupha, k'ajaq, ruphaq, k'anaq, k'ananaq.
abrasar	<i>v.</i> <i>tr.</i> Reducir a brasa. Sansachiy, k'ajachiy. || Calentar demasiado. K'anachiy, ruphay.
abrazar	<i>v.</i> <i>tr.</i> Ceñir con los brazos. Uqllay, mak'alliy.
abrazarse	<i>v.</i><i> rec.</i> uqllanakuy, mak'allinakuy.
abrazo	<i>s.</i> Mak'alli, uqllay, uqllu.
abrevadero	<i>s.</i> Paraje del río, arroyo o manantial para dar de beber al ganado. Upyana pukyu, upyana p'unqu.
abrevar	<i>v.</i> <i>tr.</i> Dar de beber al ganado. Yakuchiy, upyachiy.
abreviar	<i>v.</i> <i>tr.</i> Hacer breve, acortar, reducir a menos tiempo o espacio. Jayrichay.
abridor	<i>adj. y s.</i> Instrumento que abre. Kichariq, kicharina.
abrigar	<i>v.</i> <i>tr.</i> Defender, resguardar del frío. Qhatay.
abrigo	<i>s.</i> Cobija, defensa contra el frío. Qhata.
abril	<i>s.</i> Ariwaki. (Ver <span variant="smallcaps"><b>mes</b></span>).
abrillantar	<i>v.</i> <i>tr.</i> Dar brillantez. Lliphichiy.
abrir	<i>v.</i> <i>tr.</i> Kichay, kichariy, ichilliy. || <i>v.</i> <i>prnl.</i> Abrirse la flor. Phanchiy, phanchay.
abrumar	<i>v.</i> <i>tr.</i> Agobiar. Machitay, mach'itay.
