
atska	<span fgcolor="#228B22">(h).</span> Imapis mirashqa kaptin. <span fgcolor="#ff0000">Bastante, mucho.</span>\n<span fgcolor="#a403fb">- Tikupa ashmankunaqa atskanam.</span>\n<span fgcolor="#0000ff">- Bastantes son los animales de Teodosia.</span>
atski	<span fgcolor="#228B22">(h).</span> Inti, chiwchi, imapis tsarishqa kar ampichaw kar rikaanapaq. <span fgcolor="#ff0000">Luz, luminosidad, claridad.</span>\n<span fgcolor="#a403fb">- ¡Atskita upiy!</span>\n<span fgcolor="#0000ff">- ¡Apaga la luz!</span>
atsikyay	<span fgcolor="#228B22">(r).</span> Ampichaw atski kay. <span fgcolor="#ff0000">Alumbrar.</span>\n<span fgcolor="#a403fb">- ¡Wamra, mamaykita Atsikyay!</span>\n<span fgcolor="#0000ff">- ¡Niño, alumbra a tu madre!</span>
achachay	<span fgcolor="#228B22">(r).</span> Intichaw uryar, qishyar qarantsik humpiwan kay. <span fgcolor="#ff0000">Sofocarse, afiebrarse.</span>\n<span fgcolor="#a403fb">- Nunam achachaatsikun qishyawan.</span>\n<span fgcolor="#0000ff">- El hombre se sofoca con la enfermedad.</span>
achikay	<span fgcolor="#228B22">(h).</span> Willakuychaw, mana alli warmi, wamrakunata suwan mikunanpaq. <span fgcolor="#ff0000">Bruja.</span>\n<span fgcolor="#a403fb">- Achikayshi wiskurta tapukun.</span>\n<span fgcolor="#0000ff">- Dice que la bruja le pregunta al gallinazo.</span>
achipay	<span fgcolor="#228B22">(r).</span> Nuna, ashmapis hukpa waqtanman, imapis pachanman, qirukunam tsaripay lluqashqan. <span fgcolor="#ff0000">Trepar, subir.</span>\n<span fgcolor="#a403fb">- Wamrakunam achipayan qaqakunachaw.</span>\n<span fgcolor="#0000ff">- Los niños trepan en las rocas.</span>
achkuy	<span fgcolor="#228B22">(r).</span> Imatapis ishkan makiwan aylluy. <span fgcolor="#ff0000">Recoger con las manos.</span>\n<span fgcolor="#a403fb">- Warmikunam kinwata achkuykaayan.</span>\n<span fgcolor="#0000ff">- Las mujeres están recogiendo con las dos manos la quinua.</span>
ahayaatsiy	<span fgcolor="#228B22">(r).</span> Pitapis piñatsiy. <span fgcolor="#ff0000">Hacer que otro se enoje; molestar.</span>\n<span fgcolor="#a403fb">- Yachakuqkunam yachatsiqninta ahayaatsiyan.</span>\n<span fgcolor="#0000ff">- Los alumnos hacen enojar a su maestro.</span>
akaka	<span fgcolor="#228B22">(h).</span> Hirkakunachaw akaka, akaka nishpa waqaq pishqu. <span fgcolor="#ff0000">Pájaro carpintero, pito.</span>\n<span fgcolor="#a403fb">- Akakam rumita uchkun.</span>\n<span fgcolor="#0000ff">- El pájaro carpintero agujerea la piedra.</span>
akllakuna	<span fgcolor="#228B22">(h).</span> Intipa warminpaq akrashqa shipashkuna. <span fgcolor="#ff0000">Escogidas del sol.</span>\n<span fgcolor="#a403fb">- Akllakunam inkapa ratashninkunata awayan.</span>\n<span fgcolor="#0000ff">- Las vírgenes del sol tejen la ropa del inca.</span>
akray	<span fgcolor="#228B22">(r).</span> Atska imakunapis kaqchaw imalaya kashqantapis rikaykur, rakipa rakir, qutuy. <span fgcolor="#ff0000">Escoger, seleccionar.</span>\n<span fgcolor="#a403fb">- Warmikunam papata akrayan rantikuyaananpaq.</span>\n<span fgcolor="#0000ff">- Las mujeres escogen papas para vender.</span>
aksay	<span fgcolor="#228B22">(h).</span> Piñashqalla nuna, mana rimapay. Yaqa, yanqa. <span fgcolor="#ff0000">Hombre malo.</span>\n<span fgcolor="#a403fb">- Aksay nunam tsurinta maqan.</span>\n<span fgcolor="#0000ff">- El hombre malo golpea a su hijo.</span>
alalashqa	<span fgcolor="#228B22">(h).</span> Nunakuna allaapa alalaychaw kayaptin alalay pasashqa. <span fgcolor="#ff0000">Resfriado.</span>\n<span fgcolor="#a403fb">- Qaha ratamuptin wamrakuna alalashqa qishyaykaayan.</span>\n<span fgcolor="#0000ff">- Cuando cae la helada los niños se resfrían.</span>
alay	<span fgcolor="#228B22">(h).</span> Imapis rahunaw kaptin. <span fgcolor="#ff0000">Frío.</span>\n<span fgcolor="#a403fb">- Shipashmi alalaatsikun hirkachaw mitsikur.</span>\n<span fgcolor="#0000ff">- La joven siente frío cuando pastorea en los cerros.</span>
allawka	<span fgcolor="#228B22">(h).</span> Imapis itsuqpa tsimpanchaw kaq. <span fgcolor="#ff0000">Derecha.</span>\n<span fgcolor="#a403fb">- Yanasaa allawka makintam pakishqa.</span>\n<span fgcolor="#0000ff">- Mi amigo se fracturó el brazo derecho.</span>
allay	<span fgcolor="#228B22">(r).</span> Puqushqa papata, uqata, ullukutapis patsapita hurqay. <span fgcolor="#ff0000">Cosecha de tubérculos.</span>\n<span fgcolor="#a403fb">- Malli papatam allaykan chakranchaw.</span>\n<span fgcolor="#0000ff">- María cosecha papas en su chacra.</span>
allitsay	<span fgcolor="#228B22">(r).</span> Imatapis rurar shumaq waytakunawan, imakunawanpis alliyaatsiy alli rikakunanpaq. <span fgcolor="#ff0000">Adornar, arreglar.</span>\n<span fgcolor="#a403fb">- Wamrantsikpa aqtsanta allitsay.</span>\n<span fgcolor="#0000ff">- Adorna bien el pelo de nuestra hija.</span>
allpa	<span fgcolor="#228B22">(h).</span> Llapan patsachaw kaq, tsaychaw imatapis muruntsik, liqitatapis rurantsik. <span fgcolor="#ff0000">Tierra.</span>\n<span fgcolor="#a403fb">- Nunakunam allpapita tikata rurayan.</span>\n<span fgcolor="#0000ff">- Los hombres hacen adobes de tierra.</span>
allqu	<span fgcolor="#228B22">(h).</span> Wayi taapakuq ashma, imatapis maakur kanikun. <span fgcolor="#ff0000">Perro.</span>\n<span fgcolor="#a403fb">- Allqum nunata kanin.</span>\n<span fgcolor="#0000ff">- El perro muerde al hombre.</span>
allwi	<span fgcolor="#228B22">(h).</span> Mikunapaq murukuy, tullunpitam mikunan wayuran runkun rurinchaw. <span fgcolor="#ff0000">Arvejas.</span>\n<span fgcolor="#a403fb">- Wamrakunam allwita pallayan mikuyaananpaq.</span>\n<span fgcolor="#0000ff">- Los niños cosechan arvejas para comer.</span>
alsakuy	<span fgcolor="#228B22">(r).</span> Nunakuna allqutsaakuptin, tsayta tikratsinapaq nunakuna imatapis ruray. <span fgcolor="#ff0000">Levantamiento, rebelión.</span>\n<span fgcolor="#a403fb">- Hatun markachaw uryaq nunakunam alsakuyan uryankunata chanintsaatsir.</span>\n<span fgcolor="#0000ff">- Los hombres que trabajan en la gran ciudad se levantan en protesta para revindicar el valor de su trabajo.</span>
altsay	<span fgcolor="#228B22">(r).</span> Imatapis mana alli kaqta shumaq ruray. <span fgcolor="#ff0000">Arreglar.</span>\n<span fgcolor="#a403fb">- Taqay nunakunam huchushqa wayiita altsaykaayan.</span>\n<span fgcolor="#0000ff">- Aquellos hombres están arreglando mi casa derruida.</span>
ama	<span fgcolor="#228B22">(h).</span> Mana munayta ninapaq. <span fgcolor="#ff0000">No (prohibitivo).</span>\n<span fgcolor="#a403fb">- Ama pukllaytsu.</span>\n<span fgcolor="#0000ff">- No juegues.</span>
amaa	<span fgcolor="#228B22">(h).</span> Unay nunakunapa pampakuyaanan. <span fgcolor="#ff0000">Tumba antigua.</span>\n<span fgcolor="#a403fb">- Yanasaami amaata tarishqa taqay hirkachaw.</span>\n<span fgcolor="#0000ff">- Mi amigo encontró una tumba antigua en aquel cerro.</span>
amaru	<span fgcolor="#228B22">(h).</span> Hupayyuq machaku. <span fgcolor="#ff0000">Serpiente sagrada.</span>\n<span fgcolor="#a403fb">- Unay taytantsikkunaqa amarutam qunquripaayarqan.</span>\n<span fgcolor="#0000ff">- Los antiguos peruanos adoraron a la serpiente sagrada.</span>
ampi	<span fgcolor="#228B22">(h).</span> Inti hiqaptin, mana atski kaptin, tsaymi ampi. Tuta. <span fgcolor="#ff0000">Noche, oscurirdad.</span>\n<span fgcolor="#a403fb">- Qanyan ampim uushaata suwayaamashqa.</span>\n<span fgcolor="#0000ff">- La noche de ayer me robaron mis ovejas.</span>
amuku	<span fgcolor="#228B22">(h).</span> Kuchikunapa, uushakunapa qaranchaw kawakuq kurukuna. <span fgcolor="#ff0000">Garrapata.</span>\n<span fgcolor="#a403fb">- Uushakunatam amuku uyuyaatsin.</span>\n<span fgcolor="#0000ff">- Las garrapatas enflaquecen a las ovejas.</span>
amuqllu	<span fgcolor="#228B22">(h).</span> Ruminaw qarantsikchaw winaq. <span fgcolor="#ff0000">Tumor.</span>\n<span fgcolor="#a403fb">- Chankaachawmi huk amuqllu yurishqa.</span>\n<span fgcolor="#0000ff">- Me ha crecido un tumor en la pierna.</span>
anaq	<span fgcolor="#228B22">(h).</span> Imapis allaapa chukru kaq. Raku. <span fgcolor="#ff0000">Duro.</span>\n<span fgcolor="#a403fb">- Kay chakraqa allaapa anaqmi kanaq.</span>\n<span fgcolor="#0000ff">- Esta chacra había sido muy dura.</span>
antsay	<span fgcolor="#228B22">(r).</span> Nuna, ashmapis qishyar mana alliyaakuriptin. <span fgcolor="#ff0000">Agravarse.</span>\n<span fgcolor="#a403fb">- Qishyaq wamram antsaakurishqa.</span>\n<span fgcolor="#0000ff">- El niño enfermo se ha agravado.</span>
aniillu	<span fgcolor="#228B22">(h).</span> Rukanakunaman churakuna. <span fgcolor="#ff0000">Anillo.</span>\n<span fgcolor="#a403fb">- Shipashmi aniilluta rantin.</span>\n<span fgcolor="#0000ff">- Una joven compra un anillo.</span>
anka	<span fgcolor="#228B22">(h).</span> Hirkakunachaw paariq hatun pishqu, ichik ashmakunata mikuq. <span fgcolor="#ff0000">Aguila.</span>\n<span fgcolor="#a403fb">- Ankam wanushqa uushata mikun.</span>\n<span fgcolor="#0000ff">- El águila come una oveja muerta.</span>
anka	<span fgcolor="#228B22">(h).</span> Nunapa, ashmakunapapis siki uraynin. <span fgcolor="#ff0000">Cadera, rabadilla.</span>\n<span fgcolor="#a403fb">- Tumpum ashnuta ankanchaw kanin.</span>\n<span fgcolor="#0000ff">- El moscardón pica al burro en la rabadilla.</span>
ankash	<span fgcolor="#228B22">(h).</span> Imakunapapis ichiklla lasaynin kaptin. <span fgcolor="#ff0000">Liviano.</span>\n<span fgcolor="#a403fb">- Nuqapa qipiiqa ankashllam.</span>\n<span fgcolor="#0000ff">- Mi bulto es liviano.</span>
anqash	<span fgcolor="#228B22">(h).</span> Imapis hanan patsa niraq kaptin. <span fgcolor="#ff0000">Azul.</span>\n<span fgcolor="#a403fb">- Llushapa ruripanqa anqash niraq.</span>\n<span fgcolor="#0000ff">- La pollera de Rosa es de color azul.</span>
ankay	<span fgcolor="#228B22">(r).</span> Harata, imapis tsaynaw kaqta kallanachaw chaatsiy. <span fgcolor="#ff0000">Tostar.</span>\n<span fgcolor="#a403fb">- Mamaami harata ankan kamtsapaq.</span>\n<span fgcolor="#0000ff">- Mi madre tuesta el maíz para cancha.</span>
anku	<span fgcolor="#228B22">(h).</span> Ima ashmapa, nunapa aytsan rurinchaw waskanaw kaq. <span fgcolor="#ff0000">Tendón. Ropa no seca.</span>\n<span fgcolor="#a403fb">- Nunapa ankunmi rachirishqa.</span>\n<span fgcolor="#0000ff">- Los tendones de un hombre se han roto.</span>
anku	<span fgcolor="#228B22">(h).</span> Imakunapis ichik uqu kaq. <span fgcolor="#ff0000">Semiseco.</span>\n<span fgcolor="#a403fb">- Wamrakunapa ayunmi anku kaykan.</span>\n<span fgcolor="#0000ff">- Los pañales de los niños están semisecos.</span>
ankuy	<span fgcolor="#228B22">(r).</span> Kastantsik, yanasantsik kaqta, markantsiktapis yarpaykur llakikuy. <span fgcolor="#ff0000">Extrañar.</span>\n<span fgcolor="#a403fb">- Tsuriitam allaapa ankuu.</span>\n<span fgcolor="#0000ff">- Extraño mucho a mi hijo.</span>
anqa	<span fgcolor="#228B22">(h).</span> Imapis allaapa kachiyuq kaq. <span fgcolor="#ff0000">Salado.</span>\n<span fgcolor="#a403fb">- Kay mikunaqa allaapa anqaqmi kaykan.</span>\n<span fgcolor="#0000ff">- Esta comida está muy salada.</span>
anta	<span fgcolor="#228B22">(h).</span> Patsa rurinchaw kaq, tsaypita imatapis rurantsik alli achachaaratsir. <span fgcolor="#ff0000">Color, ductibilidad... Cobre.</span>\n<span fgcolor="#a403fb">- Nunakunam miinachaw antata uqtiyan.</span>\n<span fgcolor="#0000ff">- Los hombres sacan cobre en la mina.</span>
antaara	<span fgcolor="#228B22">(h).</span> Llanulla shuqushta kinraypayan watashqa puukaypa waqatsinapaq. <span fgcolor="#ff0000">Zampoña.</span>\n<span fgcolor="#a403fb">- Wamrakuna antaaratam puukayan yanasankuna qatswayaananpaq.</span>\n<span fgcolor="#0000ff">- Los niños tocan la antara para que bailen sus amigos.</span>
antakasha	<span fgcolor="#228B22">(h).</span> Hatun awha kustalkunata hiranapaq. <span fgcolor="#ff0000">Aguja de arriero.</span>\n<span fgcolor="#a403fb">- Warmikunam kustalta antakashawan hirayan.</span>\n<span fgcolor="#0000ff">- Las mujeres cosen los costales con aguja de arriero.</span>
anwaqshuy	<span fgcolor="#228B22">(h).</span> Ichikllallan kuru, mayu kuchunchaw, chakra kuchunchaw allpata qutuykur wayin ruraq. Sisi. <span fgcolor="#ff0000">Hormiga.</span>\n<span fgcolor="#a403fb">- Anwaqshuykunam wayinkunata rurayan patsa rurinchaw.</span>\n<span fgcolor="#0000ff">- Las hormigas hacen sus casas debajo de la tierra.</span>
añas	<span fgcolor="#228B22">(h).</span> Mana waatana ashma, ishpakuynin allaapa asyan. <span fgcolor="#ff0000">Zorrillo.</span>\n<span fgcolor="#a403fb">- Añasmi papata uqtin.</span>\n<span fgcolor="#0000ff">- El zorrillo escarba la papa.</span>
aña	<span fgcolor="#228B22">(h).</span> Yana pushpunaw qarantsikchaw kaq. <span fgcolor="#ff0000">Lunar.</span>\n<span fgcolor="#a403fb">- Taytaapa qaqllanchawmi ishkay aña kan.</span>\n<span fgcolor="#0000ff">- Mi padre tiene dos lunares en la cara.</span>
aparikarkallaamay	<span fgcolor="#228B22">(h).</span> Willakuykunachaw yuripaakuq llullu. <span fgcolor="#ff0000">Ser mítico (niño que se sube a la espalda de los viajeros).</span>\n<span fgcolor="#a403fb">- Aparikarkallamayshi nunapa waqtanman achipakurkushqa.</span>\n<span fgcolor="#0000ff">- Se dice que un aparikarkallaamay se subió a la espalda de un hombre.</span>
apariy	<span fgcolor="#228B22">(r).</span> Qipikunata waqtachaw apay. <span fgcolor="#ff0000">Cargar en la espalda.</span>\n<span fgcolor="#a403fb">- Wawqiikunam papata wayiiman apariykaayan.</span>\n<span fgcolor="#0000ff">- Mis hermanos están cargando papas en la espalda para mi casa.</span>
api	<span fgcolor="#228B22">(h).</span> Kay mikuyqa triigu kukupata yakuchaw awishqa, mishkin winashqam, alli puwatsishqa. <span fgcolor="#ff0000">Mazamorra.</span>\n<span fgcolor="#a403fb">- Awilaami triigu apita arukuykan.</span>\n<span fgcolor="#0000ff">- Mi abuela prepara mazamorra de trigo.</span>
apichu	<span fgcolor="#228B22">(h).</span> Papanaw mikuy, itsanqa mishki, yunka markakunachaw winaq. <span fgcolor="#ff0000">Camote.</span>\n<span fgcolor="#a403fb">- Nuqakunam apichuta yanukuyaa mikuyaanaapaq.</span>\n<span fgcolor="#0000ff">- Nosotros cocinamos camote para comer.</span>
aptay	<span fgcolor="#228B22">(h).</span> Maki tinku imatapis qunakuy. <span fgcolor="#ff0000">Puñado.</span>\n<span fgcolor="#a403fb">- ¡Huk aptay kamtsan wamrata quy!</span>\n<span fgcolor="#0000ff">- ¡Dale un puñado de cancha al niño!</span>
aptay	<span fgcolor="#228B22">(r).</span> Pitapis huk aptayta quy. <span fgcolor="#ff0000">Empuñar.</span>\n<span fgcolor="#a403fb">- Yachatsikuq wamrakunata shintin aptapan.</span>\n<span fgcolor="#0000ff">- El profesor da sendos puñados de habas sancochadas a sus alumnos.</span>
