
achalay	<span fgcolor="#228B22">(r).</span> Sumaq qawakunanpaq allinchay utaq llimpiy. Sumaqchay. <span fgcolor="#ff0000">Adornar, hermosear.</span>\n<span fgcolor="#a403fb">- Yachay wasinchikta achalasun.</span>\n<span fgcolor="#0000ff">- Adornemos nuestra escuela.</span>
achanqaray	<span fgcolor="#228B22">(s).</span> Chiqchirikuq rapiyuq, llantuypi wiñaq qura; wasikuna achalanapaq tarpusqa qura. <span fgcolor="#ff0000">Begonia.</span>\n<span fgcolor="#a403fb">- Achanqaray rapichawan achalasun.</span>\n<span fgcolor="#0000ff">- Adornemos con hojitas de begonia.</span>
achikyay	<b>1.</b> <span fgcolor="#228B22">(s).</span> Punchawpa piwi akchin. <span fgcolor="#ff0000">Alba. </span><b>2.</b> <span fgcolor="#228B22">(r).</span> Tukuy tuta mana puñuy. <span fgcolor="#ff0000">Amanecer.</span>\n<span fgcolor="#a403fb">1. Achikyay chayaramunña.</span>\n<span fgcolor="#0000ff">- Ya llegó el amanecer.</span>\n<span fgcolor="#a403fb">2. Hawkallam achikyaniku.</span>\n<span fgcolor="#0000ff">- Hemos amanecido tranquilos.</span>
achuwiti	<span fgcolor="#228B22">(s).</span> Pukarikuq llimpiq ruruyuq sacha. Mikuy allin rikukunanpaq achuwitipa rurunwan tiñinku. <span fgcolor="#ff0000">Achiote.</span>\n<span fgcolor="#a403fb">- Achuwiti rantiqmi, warma, rinki.</span>\n<span fgcolor="#0000ff">- Niño, tienes que ir a comprar achiote.</span>
achuqalla	<span fgcolor="#228B22">(s).</span> Punchawpas tutapas runamanta pakakuspa uchkun uchkun puriq purun uywa; quwipa, ratapa, chiwchipa yawarninta ñutqunta suquspa kawsaq uywa. Huk llaqtakunapiqa unchuchukuwan riqsinkutaqmi. <span fgcolor="#ff0000">Comadreja.</span>\n<span fgcolor="#a403fb">- Runapa chiwchintam achuqalla tukurquchkanña.</span>\n<span fgcolor="#0000ff">- La comadreja ya está exterminando los pollitos de la gente.</span>
achuqcha	<span fgcolor="#228B22">(s).</span> Arwi arwi yura ; rakta qara ruruyuq; mikunanpa sunqunpi achka yana muruyuq; qichwa allpakunapi wiñaq kawsay. Qaranmantam saqtatapas chupitapas uchutapas ruranku. <span fgcolor="#ff0000">Caigua.</span>\n<span fgcolor="#a403fb">- Payqa achuqcha uchuchata ruran.</span>\n<span fgcolor="#0000ff">- El o ella prepara ají de caigua.</span>
aka	<span fgcolor="#228B22">(s).</span> Hatun ispay. Runapa utaq uywapa uqitinmanta lluqsiq qupa. <span fgcolor="#ff0000">Heces, excremento.</span>\n<span fgcolor="#a403fb">- Akaqa millaytam asnan.</span>\n<span fgcolor="#0000ff">- El excremento huele horrible.</span>
aka kichki	<span fgcolor="#228B22">(s).</span> Wiksapi aka kurpayaptin mana akakuy atiy. <span fgcolor="#ff0000">Estreñimiento.</span>\n<span fgcolor="#a403fb">- Achka tunasta mikuspaqa manam hamkata mikunachu, aka kichkim hapikun.</span>\n<span fgcolor="#0000ff">- Cuando se come harta tuna, no se debe consumir cancha, pues puede darnos estreñimiento.</span>
akakllu	<span fgcolor="#228B22">(s).</span> Chiqchiniraq tuspasapa pisqu. Qaqakunapi, raqchikunapi uchkuspa tiyaq pisqu; «akak-akak-akak» nispa waqaq pisqu. <span fgcolor="#ff0000">Pito.</span>\n<span fgcolor="#a403fb">- Akaklluhinam qaqata tuquchkanki.</span>\n<span fgcolor="#0000ff">- Estás cavando en el abismo como el pito.</span>
akatanqa	<span fgcolor="#228B22">(s).</span> Tawa rapra, urunquy kaqlla, yana uru; aka ukupi kawsaq uru. <span fgcolor="#ff0000">Escarabajo.</span>\n<span fgcolor="#a403fb">- Ama akatanqahina akata kurpachiychu.</span>\n<span fgcolor="#0000ff">- No hagas rodar el excremento como el escarabajo.</span>
akay	<span fgcolor="#228B22">(r).</span> Raku chunchulmanta uqitinta hatun ispay wischuy. <span fgcolor="#ff0000">Cagar, defecar.</span>\n<span fgcolor="#a403fb">- Manam wasi punkupiqa akanachu.</span>\n<span fgcolor="#0000ff">- No se debe defecar en la puerta de la casa.</span>
akchi	<span fgcolor="#228B22">(s).</span> Tuta kancharichiq, aswan imapas chiwniq rikukuynin. Kanchi. <span fgcolor="#ff0000">Luz, claridad.</span>\n<span fgcolor="#a403fb">- Tutanqa akchiwanmi mikuna.</span>\n<span fgcolor="#0000ff">- En la noche se debe comer con luz.</span>
aklla	<span fgcolor="#228B22">(s).</span> Sumaq sipas warmi; inkapa suñakusqan warmi. <span fgcolor="#ff0000">Mujer escogida, virgen.</span>\n<span fgcolor="#a403fb">- Wak akllaqa sumaqcham kachkan.</span>\n<span fgcolor="#0000ff">- Qué bonita está esa mujer escogida.</span>
akllay	<span fgcolor="#228B22">(r).</span> Allinllan rakiy; hukpas, achkapas suñakuy. <span fgcolor="#ff0000">Escoger, seleccionar.</span>\n<span fgcolor="#a403fb">- Papata akllay, Markuscha.</span>\n<span fgcolor="#0000ff">- Marcos, escoge la papa.</span>
allay	<span fgcolor="#228B22">(r).</span> Allpa ukupi rurukuna allachuwan hurquy. <span fgcolor="#ff0000">Escarbar, cosechar tubérculos.</span>\n<span fgcolor="#a403fb">- Uqa allaqmi risaqku.</span>\n<span fgcolor="#0000ff">- Iremos a escarbar la oca.</span>
allinpay	<span fgcolor="#228B22">(r).</span> Awqakuna huñunakuy, allin kawsay. <span fgcolor="#ff0000">Amistar.</span>\n<span fgcolor="#a403fb">- Awqanchikwan allinpasun.</span>\n<span fgcolor="#0000ff">- Amistemos con nuestro enemigo.</span>
alliq	<b>1.</b> <span fgcolor="#228B22">(s).</span> Ichuqpa huknin. <span fgcolor="#ff0000">Derecha. </span><b>2.</b> <span fgcolor="#228B22">(s).</span> Riqsichiwaqninchik qillqakuna. <span fgcolor="#ff0000">Derecho.</span>\n<span fgcolor="#a403fb">1. Alliq makiwanmi yaqa lliw runakuna mikunchik.</span>\n- <span fgcolor="#0000ff">La mayoría de la gente come con la mano derecha.</span>\n<span fgcolor="#a403fb">2. Runakunapa alliqninqa yarupasqam.</span>\n<span fgcolor="#0000ff">- Los derechos del hombre son ignorados.</span>
allpa	<span fgcolor="#228B22">(s).</span> Tarpunapaq chakra; chaypim kawsaykuna wiñan; hinataqmi chaypi kawsanchik. <span fgcolor="#ff0000">Tierra.</span>\n<span fgcolor="#a403fb">- Allpa mana kaptinqa, manayá ima sachapas wiñanmanchu.</span>\n<span fgcolor="#0000ff">- No crecería ningún árbol si no hubiera tierra.</span>
allqa	<span fgcolor="#228B22">(s).</span> Yanawan yuraq llimpi. <span fgcolor="#ff0000">Blanquinegro.</span>\n<span fgcolor="#a403fb">- Allqa pachayuqkuna pukllachkanku.</span>\n<span fgcolor="#0000ff">- Los que están vestidos de blanco y negro están jugando.</span>
allqu	<span fgcolor="#228B22">(s).</span> Imapas sinqanwan musyaq uywa; runapa tiyaq masin uywa; chitakuna michiq, wasi waqaychaq. <span fgcolor="#ff0000">Perro.</span>\n<span fgcolor="#a403fb">- Allqutaqa wasi qawananpaqmi uywanku.</span>\n<span fgcolor="#0000ff">- Al perro se le cría para que cuide la casa.</span>
allwina	<span fgcolor="#228B22">(s).</span> Qaytukuna parisparislla arwinapaq tawa istaka takasqa. <span fgcolor="#ff0000">Urdidera, herramienta para la urdimbre.</span>\n<span fgcolor="#a403fb">- Kay allwinaqa pakikurqusqam.</span>\n<span fgcolor="#0000ff">- Esta urdidera se había roto.</span>
alwirha	<span fgcolor="#228B22">(s).</span> Purutuhina sukuchapi ruruq yura; ruruntaqa lawapipas, pikantipipas mikuna. <span fgcolor="#ff0000">Arvejas.</span>\n<span fgcolor="#a403fb">- Alwirqas pikantita yanurukuychik.</span>\n<span fgcolor="#0000ff">- Preparen un picante de arvejas.</span>
amachay	<b>1.</b> <span fgcolor="#228B22">(r).</span> Maqanakuq, awqanakuq, kaminakuq rakiy utaq allinyachiy. <span fgcolor="#ff0000">Separar, apaciguar, defender. </span><b>2.</b> <span fgcolor="#228B22">(r).</span> Nina wañuchiy. <span fgcolor="#ff0000">Apagar fuego.</span>\n<span fgcolor="#a403fb">1. Allqu maqanakuqta amachanku</span>.\n<span fgcolor="#0000ff">- Separan a los perros que se pegan.</span>\n<span fgcolor="#a403fb">2. Anacha ninata amachan.</span>\n<span fgcolor="#0000ff">- Anita apaga la candela.</span>
amani	<span fgcolor="#228B22">(s).</span> Wawa qawaq, wiñachiq warmi. <span fgcolor="#ff0000">Nodriza.</span>\n<span fgcolor="#a403fb">- Wawaypa amaninta maskachkani.</span>\n<span fgcolor="#0000ff">- Estoy buscado la nodriza de mi hijo(a).</span>
amaru	<span fgcolor="#228B22">(s).</span> Mana atakayuq, pampakunapi aysaykachakuq uru; kirunpi wañuchiq hampiyuq saywa uru. <span fgcolor="#ff0000">Serpiente.</span>\n<span fgcolor="#a403fb">- Amaruqa wañuchiq hampiyuqmi, amam asuykunachu.</span>\n<span fgcolor="#0000ff">- La serpiente es venenosa, no nos debemos acercar.</span>
amatay	<span fgcolor="#228B22">(r).</span> Ima ruraypas harkakuy. Michakuy. <span fgcolor="#ff0000">Prohibir, impedir, vedar.</span>\n<span fgcolor="#a403fb">- Ama piwanpas maqachikuychu, amatakuy.</span>\n<span fgcolor="#0000ff">- No permitas que alguien te golpee, impídelo.</span>
amu	<span fgcolor="#228B22">(s).</span> Mana rimaq. Upa, pamuchu. <span fgcolor="#ff0000">Mudo, sordomudo.</span>\n<span fgcolor="#a403fb">- Amu warmataqa manam pinqachinachu.</span>\n<span fgcolor="#0000ff">- No se debe avergonzar al niño mudo.</span>
