
achalay	<span fgcolor="#228B22">(r).</span> Sumaq p'acha churakuypas, uyanchikta mayllakuspa llimp'ikuypas, q'apaqkunawan hawikuypas; wasipas imapas sumaqyachiy. <span fgcolor="#ff0000">Adornar.</span>\n<span fgcolor="#a403fb">- Sipaskunaqa ñawraq llimp'i t'ikawanmi chukunkuta achalanku.</span>\n<span fgcolor="#0000ff">- Las jóvenes adornan sus sombreros con diversos colores de flores.</span>
achanqaray	<span fgcolor="#228B22">(s).</span> Watan watan payllamanta kawsaq hatun yuraqpas pukapas t'ika. <span fgcolor="#ff0000">Begonia.</span>\n<span fgcolor="#a403fb">- Ñawpaqqa sipaskunapas warmikunapas achanqaray yurapa t'ikanwanmi achalakuqku.</span>\n<span fgcolor="#0000ff">- Antiguamente tanto las jóvenes como las señoras se adornaban con begonias.</span>
achikyay	<span fgcolor="#228B22">(r).</span> Intipas ninapas sansapas, illapapas rirpupas, unupas, huk kawsaykunapa k'anchayninpas. <span fgcolor="#ff0000">Brillar, alumbrar, aclarar el día.</span>\n<span fgcolor="#a403fb">- Ñan purikuq runaqa sansapa achikyayninta rikuspa tuta, chay wasiman chayasqa.</span>\n<span fgcolor="#0000ff">- El viajero, viendo el brillo de las brasas, llegó a esa casa.</span>
achira	<span fgcolor="#228B22">(s).</span> Munay t'ikayuq, hatuchaq rapiyuq papahina hatun mikhuna saphiyuq yuracha. <span fgcolor="#ff0000">Achira, tubérculo de esta planta.</span>\n<span fgcolor="#a403fb">- Kurpus raymipaqqa Qusquman achira watyasqata apamunku.</span>\n<span fgcolor="#0000ff">- Para la fiesta del Corpus Christi llevan tubérculos asados de achira al Cuzco.</span>
achka	<span fgcolor="#228B22">(s).</span> Chanin, sinchi, mana pisichu, mana yupay atiy kawsaykuna. <span fgcolor="#ff0000">Mucho(s), bastante, harto.</span>\n<span fgcolor="#a403fb">- Achka hak'akllukunam chay t'uqupiqa puñusqa.</span>\n<span fgcolor="#0000ff">- En ese agujero dormían muchos pitos.</span>
achiwa	<span fgcolor="#228B22">(s).</span> Llanthukunapaq k'aspichakunaman ima awasqapas watasqa. <span fgcolor="#ff0000">Sombrilla, quitasol.</span>\n<span fgcolor="#a403fb">- Kunan p'unchawqa awasaqmi, mana ruphaykuwananpaqqa achiwata sayaykachipuway.</span>\n<span fgcolor="#0000ff">- Hoy día tejeré; hazme el favor de tenderme la sombrilla para protegerme del sol.</span>
achiyuti	<span fgcolor="#228B22">(s).</span> Yunkakunapi wiñaq kichka qarachapi puka ruruchayuq yura. Achiyuti ruruwanqa mikhunata pukayachinchik; yunka runakunaqa qarankutapas ima apaykachanankutapas chay ruruchawan llimp'inku. <span fgcolor="#ff0000">Achiote.</span>\n<span fgcolor="#a403fb">- Aychataqa achiyuti tupachisqawan kankanapaq hawirqusunchik.</span>\n<span fgcolor="#0000ff">- Vamos a untar la carne con achiote preparado para asarla.</span>
achuqalla	<span fgcolor="#228B22">(s).</span> Aycha mikhuq. Yaqa quwi sayaylla, tuta puriykachaq sallqacha. Huk sutinqa chukuru. Llulla sutinqa qataycha. <span fgcolor="#ff0000">Comadreja.</span>\n<span fgcolor="#a403fb">- Punkuta allinta wichq'aychik, paqtataq achuqalla quwitapas runtutapas suwarqukunman.</span>\n<span fgcolor="#0000ff">- Cierren bien la puerta; la comadreja puede robar los cuyes o los huevos.</span>
achuqcha	<span fgcolor="#228B22">(s).</span> Yunkakunapi arwispa wiñaq yura; rurunqa mikhuna. <span fgcolor="#ff0000">Caigua.</span>\n<span fgcolor="#a403fb">- Achuqchataqa ruqututahina hunt'achispam wayk'unapas mikhunapas.</span>\n<span fgcolor="#0000ff">- Las caiguas se preparan y se comen rellenas como el rocoto.</span>
aka	<span fgcolor="#228B22">(s).</span> <b>1.</b> Runakunapa mikhusqankupa puchunta uqutinta wisch'usqa. <span fgcolor="#ff0000">Heces fecales, excremento. </span><b>2.</b> Uywakuna mikhusqankupa puchun, chakrapaq allin. <span fgcolor="#ff0000">Guano.</span>\n<span fgcolor="#a403fb">1. Akapiqa ch'uspi huñukun.</span>\n<span fgcolor="#0000ff">- En el excremento se juntan las moscas.</span>\n<span fgcolor="#a403fb">2. Chakrakuna wanunapaqqa llama akapunim ancha allin.</span>\n<span fgcolor="#0000ff">- Para abonar las chacras no hay mejor guano que el de la llama.</span>
aka ch'aki	<span fgcolor="#228B22">(s).</span> Ch'aki mikhuykuna mikhusqamanta akakuy mana atiy. <span fgcolor="#ff0000">Estreñimiento.</span>\n<span fgcolor="#a403fb">- Tayta Jacintoqa sara kamchatawan tunastawan mikhusqanmantam aka ch'akiwan yaqalla wañurqun.</span>\n<span fgcolor="#0000ff">- Don Jacinto casi se muere por haber comido tostado y tuna.</span>
aka tanqa	<span fgcolor="#228B22">(s).</span> Akamanta rump'uta ruraspa tanqaq yana urucha. <span fgcolor="#ff0000">Escarabajo.</span>\n<span fgcolor="#a403fb">- Aka tanqa uruchaqa tarpunapaqmi rikhurimun.</span>\n<span fgcolor="#0000ff">- El escarabajo abunda en épocas de sembrío.</span>
akllakuna	<span fgcolor="#228B22">(s).</span> Inkakunapa kawsaynin pachapi riqsisqa wasikunapi awaq, puchkaq, tukuy ima yachaq akllasqa warmikuna. <span fgcolor="#ff0000">Escogidas, acllas.</span>\n<span fgcolor="#a403fb">- Akllakunaqa mana aqha rurayllatachu yachaq kasqaku, paykunaqa tukuy ima kamayta yachaq kasqaku.</span>\n<span fgcolor="#0000ff">- Las acllas no solamente sabían hacer chicha sino aprendían toda clase de oficios.</span>
akllay	<span fgcolor="#228B22">(r).</span> Achkamanta hukkunalla muhuchay, allinninlla maskay, munakusqan hurquy. <span fgcolor="#ff0000">Seleccionar, escoger.</span>\n<span fgcolor="#a403fb">- Kuru papantaqa khuchipaq akllasunchik, ñut'untataq ch'uñupaq.</span>\n<span fgcolor="#0000ff">- Escogeremos las papas agusanadas para los chanchos y las menudas, para el chuño.</span>
alwirhas	<span fgcolor="#228B22">(s).</span> Hawas sayay rurun mikhuna tarpusqa yuracha. <span fgcolor="#ff0000">Arveja.</span>\n<span fgcolor="#a403fb">- Alwirhastaqa hamk'apipas mut'ipipas mikhullanchik.</span>\n<span fgcolor="#0000ff">- Las arvejas las comemos tanto en tostado como en mote.</span>
allachu	<span fgcolor="#228B22">(s).</span> K'aspimanta kutichayuq, q'illaymanta chuntayuq papa allana. Hukkunaqa ruk'ana ninku, chayqa aspinapaq allin kaptin. <span fgcolor="#ff0000">Azadón, escarbador.</span>\n<span fgcolor="#a403fb">- Papa aspiqmi risunchik, allachuta aparqamuy.</span>\n<span fgcolor="#0000ff">- Iremos a escarbar papas; por favor tráeme el azadón.</span>
allay	<span fgcolor="#228B22">(r).</span> Allachuwan imapas hurquy, yurakuna aspiy, allpa wayayachiy. <span fgcolor="#ff0000">Escarbar, aflojar, cosechar tubérculos.</span>\n<span fgcolor="#a403fb">- Panacháy, papayta allaysirqamuway, watyatapas mikhusunchikmi.</span>\n<span fgcolor="#0000ff">- Hermanita, ayúdame a escarbar mis papas; ahí comeremos huatia.</span>
allpa	<span fgcolor="#228B22">(s).</span> Pacha mamanchik. Sarusqanchik. Chaypi ima yurakunapas wiñan, chaypi ima kawsaqkunapas mana kawsaqkunapas tiyanchik. <span fgcolor="#ff0000">Tierra, planeta tierra; terreno.</span>\n<span fgcolor="#a403fb">- Allpaqa tukuy imata urichipuwanchik; kaqtaq uywakunatapas mirachipuwanchik, chayraykum Pacha Mama ninchik.</span>\n<span fgcolor="#0000ff">- El suelo produce de todo para nosotros, también reproduce animales; por ello le decimos «Madre Tierra».</span>
allqa	<span fgcolor="#228B22">(s).</span> Uywapas, ima kawsaqpas iskay llimp'iyuq. Imapas mana tukusqa. Qullusqa. <span fgcolor="#ff0000">Moteado, de dos colores, manchado, inconcluso.</span>\n<span fgcolor="#a403fb">- Yana yuraq llimp'iyuq wakataqa allqa waka ninchik.</span>\n<span fgcolor="#0000ff">- A las vacas de dos colores les llamamos moteadas.</span>\n<span fgcolor="#a403fb">- Allqamariqa iskay llimp'iyuq: yanawan yuraqwan.</span>\n<span fgcolor="#0000ff">- El dominico también tiene dos colores: negro y blanco.</span>
allqamari	<span fgcolor="#228B22">(s).</span> Wallpa sayay pisqu, yana wasayuq yuraq qhasquyuq. Huk sutinqa aqchi. <span fgcolor="#ff0000">Dominico, alcamari.</span>\n<span fgcolor="#a403fb">- Allqamariqa kuruchakunata mikhuspa kawsan.</span>\n<span fgcolor="#0000ff">- El alcamari se alimenta de gusanos.</span>
allqu	<span fgcolor="#228B22">(s).</span> <b>1.</b> Runapa wasinpi tiyaq uywa. Payqa kanikuspa wasitapas huk uywakunatapas qhawan. <span fgcolor="#ff0000">Perro(a)</span>. <b>2.</b> Mana chanin runata chayhinata sutiyanku. <span fgcolor="#ff0000">Malvado.</span>\n<span fgcolor="#a403fb">1. Allquqa tuta kanikuspa atuqta ayqichin.</span>\n<span fgcolor="#0000ff">- El perro espanta de noche al zorro ladrando.</span>\n<span fgcolor="#a403fb">2. Chay Marianochaqa manam runachu, chayqa allqum.</span>\n<span fgcolor="#0000ff">- Ese Marianito no merece llamarse gente, ése es un malvado.</span>
