¿a…?	<span fgcolor="#228B22"><i>pron.interrog.</i></span> Introduce pregunta.\n<span fgcolor="#228B22"><i>Ej:</i></span> <span fgcolor="blue">¿A dha mikuanedha dhi putija?</span> ¿También quieren ir ustedes?\n<span fgcolor="#228B22"><i>Ej:</i></span> <span fgcolor="blue">¿A mi s'aipie we?</span> ¿Estás bien?
-a-	<b>1.</b> <span fgcolor="#228B22"><i>v.act.tr.</i></span> Hacer; lograr; actuar.\n<span fgcolor="#228B22"><i>Ej:</i></span> <span fgcolor="blue">S'aidha ataitia.</span> Hay que hacer bien. Lo hizo bien.\n<b>A taji </b><span fgcolor="#228B22"><i>v.act.tr.</i></span> Tener derecho; tener obligación.\n<span fgcolor="#228B22"><i>Ej:</i></span> <span fgcolor="blue">Kema puji a taji.</span> Yo tengo derecho (obligación) de hacerlo.\n<b>A taji mawe </b><span fgcolor="#228B22"><i>adj.</i></span> Que no hace caso, caprichoso, terco.\n<b>Aja mawe </b><span fgcolor="#228B22"><i>v.act.tr.</i></span> No querer hacerlo; estar aburrido.\n<span fgcolor="#228B22"><i>Ej:</i></span> <span fgcolor="blue">Beju ema aja mawe.</span> Ya no lo quiero hacer (Estoy aburrido).\n<b>Jaati </b><span fgcolor="#228B22"><i>s.</i></span> Un hecho (lo que uno hace).\n<b>2.</b> <span fgcolor="#228B22"><i>v.act.tr.</i></span> Decir.\n<span fgcolor="#228B22"><i>Ej:</i></span> <span fgcolor="blue">Tuedha ataitia uja: “Tiake ema yawi”. Dhaja ataitia.</span> Él le dijo así: «Dame agua». Así le dijo.\n<b>3.</b> <span fgcolor="#228B22"><i>v.act.tr.</i></span> Picar (cómo víbora o alacrán).\n<span fgcolor="#228B22"><i>Ej:</i></span> <span fgcolor="blue">Ibabi ja dheja ataitia.</span> La raya picó al hombre.\n<b>4.</b> <span fgcolor="#228B22"><i>v.act.tr.</i></span> Cumplir un compromiso.\n<span fgcolor="#228B22"><i>Ej:</i></span> <span fgcolor="blue">Beju mi yama etia aitia.</span> Ya te dije que te voy a dar.
a taji	<span fgcolor="#228B22"><i>v.act.tr.</i></span> Tener derecho; tener obligación.\n<span fgcolor="#228B22"><i>Ej:</i></span> <span fgcolor="blue">Kema puji a taji.</span> Yo tengo derecho (obligación) de hacerlo.
a taji mawe	<span fgcolor="#228B22"><i>adj.</i></span> Que no hace caso, caprichoso, terco.
aja mawe	<span fgcolor="#228B22"><i>v.act.tr.</i></span> No querer hacerlo; estar aburrido.\n<span fgcolor="#228B22"><i>Ej:</i></span> <span fgcolor="blue">Beju ema aja mawe.</span> Ya no lo quiero hacer (Estoy aburrido).
jaati	<span fgcolor="#228B22"><i>s.</i></span> Un hecho (lo que uno hace).
alma shasha	<span fgcolor="#228B22"><i>s.</i></span> [<span fgcolor="#228B22"><i>esp:</i></span> Alma] Flor de muerto, clavelito.
aba	<span fgcolor="#228B22"><i>adv.</i></span> Pobre (de tener lástima).\n<span fgcolor="#228B22"><i>Ej:</i></span> <span fgcolor="blue">¡Aba! ¡Aba chidhi!</span> ¡Qué lástima! ¡Pobrecito!
-aba-	[<span fgcolor="#228B22"><i>Ver:</i></span> <span fgcolor="blue">-a- y -ba-</span>] <span fgcolor="#228B22"><i>v.act.tr.</i></span> Aprobar.\n<b>-abaja- mawe </b><span fgcolor="#228B22"><i>v.act.tr.</i></span> Desaprobar.\n<b>Abajiji </b><span fgcolor="#228B22"><i>adj.</i></span> Aprobado.
-abaja- mawe	<span fgcolor="#228B22"><i>v.act.tr.</i></span> Desaprobar.
abajiji	<span fgcolor="#228B22"><i>adj.</i></span> Aprobado.
aba animeta	[<span fgcolor="#228B22"><i>Ver:</i></span> <span fgcolor="blue">Aba y -ani-</span>] <span fgcolor="#228B22"><i>v.e.</i></span> Estar viviendo en condiciones críticas, difíciles.
abaipi	<span fgcolor="#228B22"><i>adv.</i></span> Felizmente.\n<span fgcolor="#228B22"><i>Ej:</i></span> <span fgcolor="blue">Abaipi mue ete bia s'u dhajaja aki.</span> Felizmente el árbol no se cayó encima de la casa.
abara	<span fgcolor="#228B22"><i>s.</i></span> Carancho (prov; pez).
-abu-	<span fgcolor="#228B22"><i>v.act.tr.</i></span> Cargar.\n<b>Abu tupu </b><span fgcolor="#228B22"><i>s.</i></span> Una carga (con el peso de acuerdo a la capacidad que cada persona puede cargar).
abu tupu	<span fgcolor="#228B22"><i>s.</i></span> Una carga (con el peso de acuerdo a la capacidad que cada persona puede cargar).
achi	<span fgcolor="#228B22"><i>adj.</i></span> Sucio.\n<b>Achiachi </b><span fgcolor="#228B22"><i>adj.</i></span> Muy sucio.
achiachi	<span fgcolor="#228B22"><i>adj.</i></span> Muy sucio.
adha kitaita	<span fgcolor="#228B22"><i>adj.</i></span> Muy grande.
adhune	<span fgcolor="#228B22"><i>s.</i></span> Chontaloro (palmera).
adja	<span fgcolor="#228B22"><i>adj.</i></span> Grande.\n<b>Adjaji </b><span fgcolor="#228B22"><i>v.act.tr.</i></span> Tener algo muy grande, denso, grueso.\n<b>Adjatuajajame (nai) </b>[<span fgcolor="#228B22"><i>Ver:</i></span> <span fgcolor="blue">Etua y ejaja</span>] <span fgcolor="#228B22"><i>adj.</i></span> Gotas grandes de lluvia.\n<b>Adjatuame </b>[<span fgcolor="#228B22"><i>Ver:</i></span> <span fgcolor="blue">Etua</span>] <span fgcolor="#228B22"><i>s.</i></span> Ojos grandes.\n<span fgcolor="#228B22"><i>Ej:</i></span> <span fgcolor="blue">Iba adjatuame.</span> Ojos grandes del tigre.
adjaji	<span fgcolor="#228B22"><i>v.act.tr.</i></span> Tener algo muy grande, denso, grueso.
adjatuajajame (nai)	[<span fgcolor="#228B22"><i>Ver:</i></span> <span fgcolor="blue">Etua y ejaja</span>] <span fgcolor="#228B22"><i>adj.</i></span> Gotas grandes de lluvia.
adjatuame	[<span fgcolor="#228B22"><i>Ver:</i></span> <span fgcolor="blue">Etua</span>] <span fgcolor="#228B22"><i>s.</i></span> Ojos grandes.\n<span fgcolor="#228B22"><i>Ej:</i></span> <span fgcolor="blue">Iba adjatuame.</span> Ojos grandes del tigre.
adji	<span fgcolor="#228B22"><i>s.</i></span> Antipatía, desprecio.
-adjiame-	[<span fgcolor="#228B22"><i>Ver:</i></span> <span fgcolor="blue">Adjidha</span>] <span fgcolor="#228B22"><i>v.act.intr.</i></span> Dar asco.
-adjiba-	[<span fgcolor="#228B22"><i>Ver:</i></span> <span fgcolor="blue">Adjidha y -ba-</span>] <span fgcolor="#228B22"><i>v.act.intr.</i></span> Sentir asco.
adjidha	<span fgcolor="#228B22"><i>adj.</i></span> Asco provocado.
