A, a 	1 uyaywa [a] qillqa. <font color=ForestGreen>s.</font> Juk ñiqi qillqa qhichwa ñancharisqa qillqakunamanta; uyaywa. Kay a uyaywaqa mana jayk'aqpis wakjinayanchu. Jinapis simip, phatmip qallariyninpi, tukukuyninpi, iskay upayariq chawpinpipis riyta atin: akllay, ruwana. A, a: primera letra del alfabeto quechua normalizado; representa a la vocal baja central /a/; no tiene variaciones en su pronunciación. (ñancha, rk)
A	<font color=purple>PTS</font> <font color=ForestGreen>aq</font> Ruwakunan munasqanchikta jawanchan, tapuypi, kamachiypi, kutichikuypi ima. Pues, expresión de asentimiento; apócope de ari. <font color=brown>(ceq, lot, rk)</font> Imaman a? a qué pues? <font color=brown>(rk)</font>
Awya Yala	<font color=ForestGreen>s.</font> América <font color=brown>(ILCQ)</font>
Achacha	<font color=ForestGreen>s.</font> Pukllanapaq. Juguete. <font color=brown>(arusimiñee)</font>
Achachi	<font color=blue>masi.</font> <font color=ForestGreen>s.</font> Abuelo. <font color=brown>(ceq, rh)</font> 
Achachi	<font color=purple>sxx</font> <font color=ForestGreen>s.</font> Viejo (personas). <font color=brown>(rk)</font> 
Achachila	<font color=blue>masi.</font> <font color=ForestGreen>s.</font> Abuelo. <font color=brown>(ceq)</font>
Achachila	<font color=purple>LPZ</font> <font color=ForestGreen>s.</font> Dioses naturales <font color=brown>(cerros grandes)</font>. <font color=brown>(pat)</font>
Achachha	<font color=ForestGreen>s.</font> Abecedario <font color=Salmon><font color=red>kikin: sanampakuna.</font> </font><font color=brown>(arusimiñee)</font>
Achakana	<font color=purple>PTS</font> <font color=blue>mallki.</font> <font color=ForestGreen>s.</font> Cacto, variedad de. <font color=brown>(ceq)</font>
Achakaw	<font color=purple>LPZ</font> <font color=ForestGreen>aq</font> Qué caliente. <font color=brown>(pat)</font>
Achaki	<font color=ForestGreen>&lt;kas.</font> <font color=purple>LPZ</font> <font color=ForestGreen>s.</font> Imamantachus unqunchik, achakiman yuyarikuna; imapis tiyan achaki. Achaque; por eso - atrapado por dioses. <font color=brown>(pat)</font>
Achakiy	<font color=ForestGreen>&lt;kas.</font> <font color=ForestGreen>r.</font>p. Achacar, atribuir, culpar. <font color=brown>(ceq)</font>
Achaku	<font color=ForestGreen>&lt;aym.</font> <font color=purple>PTS</font> <font color=ForestGreen>s.</font> Ratón. <font color=brown>(rh)</font> 
Achala	<font color=purple>LPZ</font> <font color=ForestGreen>s.</font> Placer. <font color=brown>(pat)</font> 
Achala	<font color=purple>LPZ</font> <font color=ForestGreen>s.t.</font> Mujeriego. <font color=brown>(pat)</font> 
Achalaw	<font color=ForestGreen>aq</font> Qué bueno. <font color=brown>(ceq)</font>
Achalay	<font color=purple>PTS</font> <font color=ForestGreen>r.p.</font> Ofrendar (tejido o dinero) al alférez u otras personas para honrarlas. <font color=brown>(rh)</font>
Achalanayki tiyan	Tienes que dar un regalo. <font color=brown>(rh)</font>
Achallqu	<font color=purple>LPZ</font> <font color=blue>mallki.</font> <font color=ForestGreen>s.</font> Cabellos del maíz. <font color=brown>(dgh, pat)</font> <font color=Salmon><font color=red>kikin: phuñi.</font></font>
Achanqara	<font color=purple>LPZ</font> <font color=purple>PTS</font> <font color=blue>mallki.</font> <font color=ForestGreen>s.</font> Begonia; planta silvestre medicinal con espinas, hoja redonda y flor rosada. <font color=brown>(pat, rk)</font>\nLPZ <font color=Salmon><font color=red>kikin: ach'uqmuri.</font> </font><font color=brown>(pat)</font>
Achay	<font color=purple>PTS</font> <font color=ForestGreen>s.t.</font>, <font color=ForestGreen>ranti</font> Ese, esa, eso <font color=Salmon><font color=red>kikin: anchay.</font> </font><font color=brown>(lot, rk)</font>
Achay	<font color=ForestGreen>s.t.</font>, <font color=ForestGreen>ranti</font> Chaypuni. Ese, eso mismo. <font color=brown>(ceq)</font> 
Achira	<font color=purple>LPZ</font> <font color=purple>PTS</font> <font color=blue>mallki.</font> <font color=ForestGreen>s.</font> Achira, planta de la familia de las Cannáceas, de raíz comestible; medicinal. <font color=brown>(ceq, pat, DRAE)</font>
Achiwa	<font color=ForestGreen>s.</font> Quitasol, sombrilla. Kikin: llanthuna, llanthucha <font color=brown>(dgh, pol,)</font>
Achiwiti 	&lt;nahua:  achiyotl  (achuete)  <font color=purple>LPZ</font>  <font color=purple>PTS</font> mallki. <font color=ForestGreen>s.</font> Achiote, bija; colorante para la comida (rojo). <font color=brown>(pat, rk)</font>
Achkha	<font color=purple>LPZ</font> <font color=ForestGreen>s.t.</font> Abundante, numeroso. <font color=brown>(pat)</font>
Achkha	<font color=purple>CBB</font> <font color=purple>CHU</font> <font color=purple>LPZ</font> <font color=purple>PTS</font> <font color=ForestGreen>s.t.</font> Harto, mucho. <font color=brown>(pat, ceq, gro, pat, lot, rh, str)</font>
Achkhata	<font color=purple>CBB</font> <font color=purple>LPZ</font> achkata <font color=purple>PTS</font> ashkhata <font color=ForestGreen>r.t.</font> Mucho. <font color=brown>(xa, pat, rh)</font>
Achkhayuq	<font color=purple>LPZ</font> <font color=ForestGreen>s.</font> Entre hartos. <font color=brown>(pat)</font>
Achkha, tawkaq	<font color=ForestGreen>s.</font> Plural. <font color=brown>(arusimiñee)</font>
Achkhayachiq	<font color=blue>simi.</font> <font color=ForestGreen>s.</font> Imatapis sut'inchanapaq k'askaq: jukmanta yapasqa, iskaymanta astawanpis. Pluralizador. <font color=brown>(arusimiñee, ñancha)</font>
Achkhayachiy	<font color=blue>yupa.</font> <font color=ForestGreen>r.p.</font> Aumentar en cantidad. <font color=brown>(arusimiñee)</font>
Achkhayachiy	<font color=purple>LPZ</font> achkayachiy <font color=purple>PTS</font> <font color=ForestGreen>r.p.</font> Hacer aumentar. <font color=brown>(pat)</font>
Achkhayachiy	<font color=purple>LPZ</font> <font color=ForestGreen>r.p.</font> Multiplicar. <font color=brown>(ceq, pat)</font>
Achkhayachiy	<font color=ForestGreen>r.p.</font> Reproducir, hacer que se incremente en cantidad. <font color=brown>(arusimiñee)</font> <font color=Salmon><font color=red>awqan: pisiyachiy disminuir.</font></font>
Achkhayay	<font color=purple>LPZ</font> <font color=purple>PTS</font> <font color=ForestGreen>r.mp.</font> Multiplicarse <font color=Salmon><font color=red>awqan: pisiyay.</font> </font><font color=brown>(pat)</font>
Achkhayay	<font color=purple>LPZ</font> <font color=ForestGreen>r.p.</font> Aumentarse. <font color=brown>(pat)</font>
Achkha phinkichilla	<font color=ForestGreen>s.</font> Densidad de corriente. Kikin: sinchi phinkichilla*
Achkha yupaqillqa*	<font color=blue>khipu.</font> <font color=ForestGreen>s.</font> Polinomio.
Achu kiru	<font color=purple>LPZ</font> <font color=ForestGreen>s.</font> Jatun uya kiruyuq, quwipaqjina. Tiene dos dientes grandes adelante. <font color=brown>(pat)</font>
Achuma	<font color=blue>mallki.</font> <font color=ForestGreen>s.</font> Cardón gigante. (DRAE)
Achuma, qhiwillu	<font color=purple>PTS</font> <font color=blue>mallki.</font> <font color=ForestGreen>s.</font> Cacto, variedad de. <font color=brown>(lot)</font>
Achuni	<font color=purple>LPZ</font> <font color=ForestGreen>s.</font> Achhumi. Tejón. <font color=brown>(pat)</font>
Achupalla	<font color=blue>yupa.</font> <font color=ForestGreen>s.</font> Balanza de platillos. <font color=brown>(arusimiñee, pat)</font>
Achupalla, warkhunakuna	<font color=ForestGreen>s.</font> Pesas (del marco). <font color=brown>(dgh, arusimiñee)</font>
Achupalla	<font color=blue>tupu.</font> <font color=ForestGreen>s.</font> Pesa de bronce (16 onzas). <font color=brown>(ceq, rk)</font>
Achupalla	<font color=blue>mallki.</font> <font color=ForestGreen>s.</font> Planta silvestre; de la familia de las Bromeliáceas, piña, anana. <font color=brown>(ceq, DRAE, alquivi)</font>
Achuqalla	<font color=purple>LPZ</font> purum <font color=blue>uywa.</font> <font color=ForestGreen>s.</font> Juk juch'uy kampu uywa, quwimanta juch'uy yaparisqa. Roedor de los valles de Charazani, come seso de cuy. <font color=brown>(pat)</font>
Achuqay	<font color=purple>LPZ</font> <font color=purple>PTS</font> <font color=ForestGreen>r.p.</font> Bajar algo con la boca. <font color=brown>(pat, rk)</font>
Achuqcha	<font color=purple>LPZ</font> <font color=blue>mallki.</font> <font color=ForestGreen>s.</font> Mallki urin achuqchata. Caiba; planta herbácea, flores amarillas, frutos comestibles (Cyclantera brachyhotrys); planta que se cultiva en el maizal, para la ensalada y sopa. <font color=brown>(ceq, pat, DRAE)</font>
Achura	<font color=ForestGreen>s.</font> Carne que se da al que ayuda a carnear, como propina. <font color=brown>(ceq)</font>
Achuray	<font color=ForestGreen>r.p.</font> Distribuir, repartir. <font color=brown>(dgh, arusimiñee)</font>
Achuy	<font color=purple>LPZ</font> <font color=ForestGreen>r.p.</font> Llevar con los dientes. <font color=brown>(pat)</font>
Achuy	<font color=purple>PTS</font> <font color=ForestGreen>r.p.</font> Achusunqa. Llevar en la boca, los animales mamíferos. <font color=brown>(ceq, rh)</font>
Achuy	<font color=ForestGreen>r.p.</font> <font color=blue>Allqu</font> tulluta achun. El perro lleva un hueso en la boca. <font color=brown>(rk)</font>
Achuy	<font color=purple>LPZ</font> <font color=ForestGreen>s.</font> Mordisco. <font color=brown>(pat)</font>
Achhiy	<font color=purple>CHU</font> <font color=purple>LPZ</font> <font color=purple>PTS</font> <font color=ForestGreen>r.mp.</font> Estornudar. <font color=brown>(ceq, lot, pat)</font>
Achhu achhu wawa	<font color=ForestGreen>s.</font> Castigo. <font color=brown>(ceq)</font>
