a	Vocal baja central.
a [a]	Apócope de arí. Pues.
achachay!, achachaw!	<i>interj.</i> ¡Qué frío!
achakana	<i>s.</i> Una de las variedades de cacto de raíz comestible.
achakiy	<i>tr.</i> Culpar a uno de algo, con mentira; calumniar (JH).
achalachiy, achhalay	<i>tr.</i> Decorar. Adornar, hermosear. || Soltar, desasir lo que estaba sujeto. Wataray, watannay, phaskay. || <i>intr.</i> Irse, marcharse. Ripuy. || <i>prnl.</i> Escaparse. Ayqipuy, llusp'ipuy. || Dislocarse una coyuntura. Ch'utay, muq'akuy.
achalay	<i>intr.</i> Vestir, ataviar con prendas que son sólo vanidad.
achallqaw, phuñi	<i>s.</i> Cabello de maíz.
achallqu	<i>s.</i> Cabello o pelo que se encuentra en la mazorca de maíz (<i>sinón:</i> Phuñi).
achanqara	<i>s.</i> Begonia. Planta ornamental silvestre, perene, originaria de América.
achiku, q'ala, q'ara, ch'uti, llat'a, qhasti	<i>adj.</i> Desnudo, -da. Sin vestido, pelado.
achikuy	<i>tr.</i> Predecir, vaticinar, (<i>sinón:</i> Umulliy). || Adivinar, presagiar. Watuy.
achikyay	<i>intr.</i> Alumbrar, iluminar, alborear. Aclarar.
achikyay	<i>intr.</i> Amanecer (<i>sinón:</i> Paqariy, sut'iyay).
achinay, watuy	<i>tr.</i> Adivinar. Predecir el futuro o descubrir las cosas ocultas, por medio de agüeros o sortilegios o por conjeturas.
achira	<i>s.</i> Planta ornamental del Perú, de raíz comestible.
achirana	<i>s.</i> Regalo. || Legado.
achiwa, llanthuna	<i>s.</i> Quitasol. Sombrilla a modo de paraguas.
achiway	<i>tr.</i> Hacer quitasoles.
achiwiti	<i>s.</i> Achiote. Bija. Su semilla se utiliza para dar color a las comidas; también se emplea para dar color al piso o a objetos de madera.
achkhachay, yapay, askhachay, askhayachiy, achkayachiy	<i>tr.</i> Acrecentar. Aumentar.
achu!	<i>interj.</i> para reprender. ¡Qué es eso!
achu, achuch	<i>s.</i> Represión a los niños.
achuchikuy	<i>prnl.</i> Dejarse llevaren vilo.
achupalla	<i>s.</i> Pesa de bronce, medida española de 16 onzas (Pot.).
achupalla	<i>s.</i> Piña. Ananás, ananá.
achuqalla, q'arachupa, unkaka	<i>s.</i> Zarigüeya. Mamífero didelfo, propio de América.
achuqcha	<i>s.</i> Planta de la familia de las cucurbitáceas, de fruto alimenticio (JL).
achura	<i>s.</i> Pitanza, provisión diaria, ración.
achuray	<i>tr.</i> Repartir. Distribuir algo entre varios. || Rak'iy. <i>tr.</i> Dividir un terreno. || Poner raya al cabello al peinarse (Pot.).
achuy, achulliy	<i>tr.</i> Abocar. Asir con la boca.
achuy	<i>tr.</i> Comer gofio u otros parecidos.
achhalakuy	<i>r. y prnl.</i> Vestirse de gala.
achhalana, kaski, warawa, sanana	<i>s.</i> Adorno.
achhalasqa	<i>adj.</i> Engalanado, -da. Adornado, embellecido.
achhalay!	<i>interj.</i> ¡Qué maravilla!
achhalay, kaskichay, k'achanchay, sañay	<i>tr.</i> Adornar. Engalanar con adornos. || Adornar con banderines o flores. T'ikachay, t'ikanchay.
achhiy, jachiy	<i>intr.</i> Estornudar. Despedir con violencia el aire por la nariz.
achhiy, jachiy	<i>s.</i> Estornudo. Acción de arrojar con estrépito el aire por la nariz y la boca.
achhu!	<i>interj.</i> ¡Qué dolor!
achhuchiy, qayllachiy, asuchiy, k'askachiy, sispachiy, chimpachiy	<i>tr.</i> Acercar. Poner cerca o a menor distancia.
achhurichiy, ithichiy	<i>tr.</i> Retirar. Apartar o separar una persona o cosa de otra de un sitio. || <i>prnl.</i> Retirarse. Ithiy, ithiriy.
ajayllas!	<i>interj.</i> Exclamación para manifestar que no se siente temor.
ajina, jiña	<i>adv.</i> Así. De esta o de esa manera, de tal suerte. Así será.
aka tanqa	<i>s.</i> Escarabajo. Insecto coleóptero, que se cría en el estiércol.
aka wara	<i>s.</i> Pañal, tela para envolver criaturas.
aka, isma	<i>s.</i> Excremento. Heces del alimento.
aka	<i>s.</i> Ñoña. Estiércol. || Estiércol, conocido como abono animal. Wanu. || Escoria, cosa vil.
akakipa	<i>s.</i> Óxido.
akakipasqa	<i>adj.</i> Oxidado.
akakipay	<i>tr.</i> Oxidar. Transformar un cuerpo por la acción del óxido u oxidante.
akapana, antawara	<i>s.</i> Colorete, celaje.
akarway	<i>s.</i> Mariposa grande de color negro salpicado con pintas blancas (JAL).
akay	<i>tr. e intr.</i> Defecar, evacuar, expeler las materias fecales.
akchalay!	<i>interj.</i> ¡Qué lindo!, ¡qué hermoso!
akchi	<i>s.</i> Estornudo.
akchiyay	<i>intr.</i> Estornudar.
akilla	<i>s.</i> Vaso de oro o de plata para actos rituales. || <i>neol.</i> Vaso de cristal u otro material similar para copear licores. || Vaso hecho en cerámica. Qiru.
aklla wasi	<i>s.</i> Casa de escogidas.
aklla, aqlla, chiklla, chikllu	<i>s.</i> Selección. Elección de lo mejor.
aklla, aqllasqa, akllasqa	<i>adj.</i> Escogido, -da. || Escogido para algún fin. Chikllasqa.
akllapay	<i>tr.</i> Seleccionar, escoger.
akllapayay	<i>tr.</i> Volver a seleccionar. || Hacer o intentar escoger, (<i>sinón.:</i> Chikllupayay).
akllapu, wanllapu, mullphaq	<i>adj.</i> Antojadizo, ávido por escoger lo mejor.
akllasqa, aqllasqa, aklla	<i>adj.</i> Escogido, -da. || Escogido para algún fin. Chikllasqa. || Aplícase a los productos de gran tamaño y calidad. Wanlla.
akllay, aqllay, chikllay	<i>tr.</i> Seleccionar. Elegir, escoger. || Juntar los buenos tubérculos de los de calidad inferior en tamaño. Wanllay (JAL).
akllu, jakllu	<i>adj.</i> // Khaka. <i>adj. y s.</i> Tartamudo, -da. Que tartamudea.
aklluy	<i>intr.</i> Tartamudear. || Balbucear. Hablar o leer con pronunciación dificultosa y vacilante. Janlluy.
akna, ajina	<i>adv.</i> Así.
aknu kay, sumaq kay, siklla kay	<i>s.</i> Hermosura. Belleza, calidad de hermoso.
aknu, sumaq, k'acha, siklla	<i>adj.</i> Hermoso, -sa. Dotado de hermosura.
aknupu	<i>s.</i> Prenda de vestir muy hermosa.
aknupullikuy	<i>prnl. y r.</i> Arreglarse, adornarse.
aknupulliy	<i>tr.</i> Acicalar. Adornar a una persona.
aksu, aqsu	<i>s.</i> Falda. Saya, fustán o falda de mujer. Vestidura talar, especie de túnica.
akta	<i>s.</i> Garrapata. Parásito del ganado. || Piojo de ciertos animales como la llama. Jamak'u.
aktuy	<i>s.</i> Garrapata. // chipu.
akulli	<i>s.</i> Tiempo en el que se mastica la coca (<i>sinón:</i> Pikchu). || Masticación o mascada de coca (<i>sinón:</i> Pikcha).
akulliy	<i>tr.</i> Masticar la coca (<i>sinón:</i> Pikchay).
akupalla	<i>s.</i> Mezcla de harina de trigo, maíz y otros para preparar una clase de comida.
akuy	<i>tr.</i> Comer harina el maíz tostado y pulverizado.
akuylla	<i>adj. y s.</i> Bellaco. Malo, astuto, perverso.
akya	<i>adj.</i> Laborioso. || Akya! <i>interj.</i> ¡Animo!, ¡valor!
akyachiy, akyay, sunquchay	<i>tr.</i> Animar. Estimularle, alentarle.
akyanna, sunqunna	<i>s.</i> Desánimo. Desaliento, falta de ánimo.
akyannakuy, sunqunnakuy	<i>prnl.</i> Desanimarse. Perder el ánimo.
akyay, sunquchay, akyachiy	<i>tr.</i> Animar. Estimular, alentar.
alalaw!	<i>interj.</i> Exclamación del que siente frío.
allana	<i>adj. y s.</i> Sitio que puede ser cavado.
allana	<i>s.</i> Pico. Instrumento para cavar.
allaq	<i>adj.</i> Cavador, -ra. Que cava la tierra.
