¿a…?	<font color="green"><i>pron.interrog.</i></font> Introduce pregunta.<br><font color="green"><i>Ej:</i></font> <font color="blue">¿A dha mikuanedha dhi putija?</font> ¿También quieren ir ustedes?<br><font color="green"><i>Ej:</i></font> <font color="blue">¿A mi s'aipie we?</font> ¿Estás bien?
-a-	<b>1.</b> <font color="green"><i>v.act.tr.</i></font> Hacer; lograr; actuar.<br><font color="green"><i>Ej:</i></font> <font color="blue">S'aidha ataitia.</font> Hay que hacer bien. Lo hizo bien.<br><b>A taji </b><font color="green"><i>v.act.tr.</i></font> Tener derecho; tener obligación.<br><font color="green"><i>Ej:</i></font> <font color="blue">Kema puji a taji.</font> Yo tengo derecho (obligación) de hacerlo.<br><b>A taji mawe </b><font color="green"><i>adj.</i></font> Que no hace caso, caprichoso, terco.<br><b>Aja mawe </b><font color="green"><i>v.act.tr.</i></font> No querer hacerlo; estar aburrido.<br><font color="green"><i>Ej:</i></font> <font color="blue">Beju ema aja mawe.</font> Ya no lo quiero hacer (Estoy aburrido).<br><b>Jaati </b><font color="green"><i>s.</i></font> Un hecho (lo que uno hace).<br><b>2.</b> <font color="green"><i>v.act.tr.</i></font> Decir.<br><font color="green"><i>Ej:</i></font> <font color="blue">Tuedha ataitia uja: “Tiake ema yawi”. Dhaja ataitia.</font> Él le dijo así: «Dame agua». Así le dijo.<br><b>3.</b> <font color="green"><i>v.act.tr.</i></font> Picar (cómo víbora o alacrán).<br><font color="green"><i>Ej:</i></font> <font color="blue">Ibabi ja dheja ataitia.</font> La raya picó al hombre.<br><b>4.</b> <font color="green"><i>v.act.tr.</i></font> Cumplir un compromiso.<br><font color="green"><i>Ej:</i></font> <font color="blue">Beju mi yama etia aitia.</font> Ya te dije que te voy a dar.
a taji	<font color="green"><i>v.act.tr.</i></font> Tener derecho; tener obligación.<br><font color="green"><i>Ej:</i></font> <font color="blue">Kema puji a taji.</font> Yo tengo derecho (obligación) de hacerlo.
a taji mawe	<font color="green"><i>adj.</i></font> Que no hace caso, caprichoso, terco.
aja mawe	<font color="green"><i>v.act.tr.</i></font> No querer hacerlo; estar aburrido.<br><font color="green"><i>Ej:</i></font> <font color="blue">Beju ema aja mawe.</font> Ya no lo quiero hacer (Estoy aburrido).
jaati	<font color="green"><i>s.</i></font> Un hecho (lo que uno hace).
alma shasha	<font color="green"><i>s.</i></font> [<font color="green"><i>esp:</i></font> Alma] Flor de muerto, clavelito.
aba	<font color="green"><i>adv.</i></font> Pobre (de tener lástima).<br><font color="green"><i>Ej:</i></font> <font color="blue">¡Aba! ¡Aba chidhi!</font> ¡Qué lástima! ¡Pobrecito!
-aba-	[<font color="green"><i>Ver:</i></font> <font color="blue">-a- y -ba-</font>] <font color="green"><i>v.act.tr.</i></font> Aprobar.<br><b>-abaja- mawe </b><font color="green"><i>v.act.tr.</i></font> Desaprobar.<br><b>Abajiji </b><font color="green"><i>adj.</i></font> Aprobado.
-abaja- mawe	<font color="green"><i>v.act.tr.</i></font> Desaprobar.
abajiji	<font color="green"><i>adj.</i></font> Aprobado.
aba animeta	[<font color="green"><i>Ver:</i></font> <font color="blue">Aba y -ani-</font>] <font color="green"><i>v.e.</i></font> Estar viviendo en condiciones críticas, difíciles.
abaipi	<font color="green"><i>adv.</i></font> Felizmente.<br><font color="green"><i>Ej:</i></font> <font color="blue">Abaipi mue ete bia s'u dhajaja aki.</font> Felizmente el árbol no se cayó encima de la casa.
abara	<font color="green"><i>s.</i></font> Carancho (prov; pez).
-abu-	<font color="green"><i>v.act.tr.</i></font> Cargar.<br><b>Abu tupu </b><font color="green"><i>s.</i></font> Una carga (con el peso de acuerdo a la capacidad que cada persona puede cargar).
abu tupu	<font color="green"><i>s.</i></font> Una carga (con el peso de acuerdo a la capacidad que cada persona puede cargar).
achi	<font color="green"><i>adj.</i></font> Sucio.<br><b>Achiachi </b><font color="green"><i>adj.</i></font> Muy sucio.
achiachi	<font color="green"><i>adj.</i></font> Muy sucio.
adha kitaita	<font color="green"><i>adj.</i></font> Muy grande.
adhune	<font color="green"><i>s.</i></font> Chontaloro (palmera).
adja	<font color="green"><i>adj.</i></font> Grande.<br><b>Adjaji </b><font color="green"><i>v.act.tr.</i></font> Tener algo muy grande, denso, grueso.<br><b>Adjatuajajame (nai) </b>[<font color="green"><i>Ver:</i></font> <font color="blue">Etua y ejaja</font>] <font color="green"><i>adj.</i></font> Gotas grandes de lluvia.<br><b>Adjatuame </b>[<font color="green"><i>Ver:</i></font> <font color="blue">Etua</font>] <font color="green"><i>s.</i></font> Ojos grandes.<br><font color="green"><i>Ej:</i></font> <font color="blue">Iba adjatuame.</font> Ojos grandes del tigre.
adjaji	<font color="green"><i>v.act.tr.</i></font> Tener algo muy grande, denso, grueso.
adjatuajajame (nai)	[<font color="green"><i>Ver:</i></font> <font color="blue">Etua y ejaja</font>] <font color="green"><i>adj.</i></font> Gotas grandes de lluvia.
adjatuame	[<font color="green"><i>Ver:</i></font> <font color="blue">Etua</font>] <font color="green"><i>s.</i></font> Ojos grandes.<br><font color="green"><i>Ej:</i></font> <font color="blue">Iba adjatuame.</font> Ojos grandes del tigre.
adji	<font color="green"><i>s.</i></font> Antipatía, desprecio.
-adjiame-	[<font color="green"><i>Ver:</i></font> <font color="blue">Adjidha</font>] <font color="green"><i>v.act.intr.</i></font> Dar asco.
-adjiba-	[<font color="green"><i>Ver:</i></font> <font color="blue">Adjidha y -ba-</font>] <font color="green"><i>v.act.intr.</i></font> Sentir asco.
adjidha	<font color="green"><i>adj.</i></font> Asco provocado.
ai	<font color="green"><i>pron.indef.</i></font> Cosa; algo.<br><b>Ai animalu kuana </b><font color="green"><i>s.</i></font> Animales. ¿Qué animales?<br><b>Ai biame </b><font color="green"><i>pron.indef.</i></font> Nada; algo (para dar).<br><font color="green"><i>Ej:</i></font> <font color="blue">¿Jukuaja s'u mi ema ai biame etiaiñia mawe?</font> ¿Por qué no me das algo?<br><b>Ai dya taji kuana </b><font color="green"><i>s.</i></font> Víveres, provisiones (cosas de comer).<br><b>Ai eni puiti kua nime epuani dheja </b>[<font color="green"><i>Ver:</i></font> <font color="blue">-pu-</font>] <font color="green"><i>s.</i></font> Egoísta, jactancioso (hombre que actúa como si hiciera cosas buenas).<br><b>Ai id'e jadyati bue mawe kuana </b>[<font color="green"><i>Ver:</i></font> <font color="blue">Eid'e</font>] <font color="green"><i>s.</i></font> Bichos que no pican.<br><b>Ai id'e jadyatiji kuana </b>[<font color="green"><i>Ver:</i></font> <font color="blue">Eid'e</font>] <font color="green"><i>s.</i></font> Bichos que pican.<br><b>Ai id'e kuana </b>[<font color="green"><i>Ver:</i></font> <font color="blue">Eid'e</font>] <font color="green"><i>s.</i></font> Bichos, abejas.<br><b>Ai iwi </b><font color="green"><i>s.</i></font> Cosa hedionda; que se está pudriendo.<br><b>Ai jaja kuana </b><font color="green"><i>s.</i></font> Las cosechas; clases de frutas.<br><font color="green"><i>Ej:</i></font> <font color="blue">Ai jaja kuana echudhumudhutani.</font> Todo el tiempo recoge fruta.<br><b>Ai kis'a kuana </b><font color="green"><i>s.</i></font> Noticias, novedades.<br><b>Ai kuaja puana </b>[<font color="green"><i>Ver:</i></font> <font color="blue">-pu-</font>] <font color="green"><i>s.</i></font> Significación, sentido (¿cómo ocurrió?, ¿qué ha pasado?).<br><b>Ai madjadha </b><font color="green"><i>s.</i></font> Cosa mala.<br><font color="green"><i>Ej:</i></font> <font color="blue">Ai madjadha ya puji ebas'eitatiani.</font> Se está preparando para hacer una cosa mala.<br><b>Ai mawe </b><font color="green"><i>pron.indef.</i></font>/<font color="green"><i>adv.</i></font> No hay.<br><b>Mue ai biame. </b><font color="green"><i>mod.</i></font> No hay nada.<br><b>Beta tsine ai mawe kema tata ekuina yupuji. </b><font color="green"><i>mod.</i></font> Faltan dos días para que llegue mi papá.<br><b>Ai papu </b><font color="green"><i>pron.indef.</i></font> Que haga algo.<br><b>Ai … papu biame </b><font color="green"><i>pron.indef.</i></font> Cualquier cosa.<br><b>Ai piba mawe </b><font color="green"><i>adj.</i></font> Que no piensa nada.<br><b>Ai pu bue mawe </b>[<font color="green"><i>Ver:</i></font> <font color="blue">-pu-</font>] <font color="green"><i>s.</i></font> Que no sabe hacer nada.<br><b>Ai puiti kuana </b>[<font color="green"><i>Ver:</i></font> <font color="blue">-pu-</font>] <font color="green"><i>s.</i></font> Costumbres.<br><b>Ai puji s'aidha </b><font color="green"><i>adj.</i></font> Alguien que hace todo, que indica las cosas, que sirve para algo.<br><b>Ai s'enidha </b><font color="green"><i>s.</i></font> Cosa espantosa, que da miedo.<br><b>Ai ura papu </b><font color="green"><i>adv.</i></font> En cualquier momento u hora.<br><b>Ai ura s'u biamea </b><font color="green"><i>adv.</i></font> A cualquier hora; que viviendo en el mismo lugar nunca va a visitar a su familia u amigos.<br><b>Ai ura s'u biame … mawe </b><font color="green"><i>adv.</i></font> Nunca, en ningún momento.<br><font color="green"><i>Ej:</i></font> <font color="blue">Ai ura s'u biame chama bue mawe.</font> Nunca se ha visto.<br><b>Aimue jia dha ai ura s'u biame … mawe </b><font color="green"><i>adj.</i></font> Que jamás se acuerda.<br><font color="green"><i>Ej:</i></font> <font color="blue">Aimue jia dha ai ura s'u biame echama yu mawe.</font> Ya será que jamás, nunca lo volveré a ver.<br><b>Ejudhe s'a ai kuana </b><font color="green"><i>s.</i></font> Cosas del pueblo.<br><font color="green"><i>Ej:</i></font> <font color="blue">Tuedha ejudhe s'a ai kuana su epuneti.</font> Él está metido en las cosas del pueblo.<br><b>Kitaita ai kuana </b><font color="green"><i>s.</i></font> Cosas íntimas.<br><b>Etse s'a kitaita ai kuana. </b><font color="green"><i>s.</i></font> Cosas propias de uno (posesiones personales).<br><b>Kitaita ai puiti kuana </b>[<font color="green"><i>Ver:</i></font> <font color="blue">-pu-</font>] <font color="green"><i>s.</i></font> Acciones secretas (cosas reservadas o secretas).
ai animalu kuana	<font color="green"><i>s.</i></font> Animales. ¿Qué animales?
ai biame	<font color="green"><i>pron.indef.</i></font> Nada; algo (para dar).<br><font color="green"><i>Ej:</i></font> <font color="blue">¿Jukuaja s'u mi ema ai biame etiaiñia mawe?</font> ¿Por qué no me das algo?
ai dya taji kuana	<font color="green"><i>s.</i></font> Víveres, provisiones (cosas de comer).
ai eni puiti kua nime epuani dheja	[<font color="green"><i>Ver:</i></font> <font color="blue">-pu-</font>] <font color="green"><i>s.</i></font> Egoísta, jactancioso (hombre que actúa como si hiciera cosas buenas).
ai id'e jadyati bue mawe kuana	[<font color="green"><i>Ver:</i></font> <font color="blue">Eid'e</font>] <font color="green"><i>s.</i></font> Bichos que no pican.
ai id'e jadyatiji kuana	[<font color="green"><i>Ver:</i></font> <font color="blue">Eid'e</font>] <font color="green"><i>s.</i></font> Bichos que pican.
ai id'e kuana	[<font color="green"><i>Ver:</i></font> <font color="blue">Eid'e</font>] <font color="green"><i>s.</i></font> Bichos, abejas.
ai iwi	<font color="green"><i>s.</i></font> Cosa hedionda; que se está pudriendo.
ai jaja kuana	<font color="green"><i>s.</i></font> Las cosechas; clases de frutas.<br><font color="green"><i>Ej:</i></font> <font color="blue">Ai jaja kuana echudhumudhutani.</font> Todo el tiempo recoge fruta.
ai kis'a kuana	<font color="green"><i>s.</i></font> Noticias, novedades.
ai kuaja puana	[<font color="green"><i>Ver:</i></font> <font color="blue">-pu-</font>] <font color="green"><i>s.</i></font> Significación, sentido (¿cómo ocurrió?, ¿qué ha pasado?).
ai madjadha	<font color="green"><i>s.</i></font> Cosa mala.<br><font color="green"><i>Ej:</i></font> <font color="blue">Ai madjadha ya puji ebas'eitatiani.</font> Se está preparando para hacer una cosa mala.
ai mawe	<font color="green"><i>pron.indef.</i></font>/<font color="green"><i>adv.</i></font> No hay.<br><b>Mue ai biame. </b><font color="green"><i>mod.</i></font> No hay nada.<br><b>Beta tsine ai mawe kema tata ekuina yupuji. </b><font color="green"><i>mod.</i></font> Faltan dos días para que llegue mi papá.
mue ai biame	<font color="green"><i>mod.</i></font> No hay nada.
beta tsine ai mawe kema tata ekuina yupuji	<font color="green"><i>mod.</i></font> Faltan dos días para que llegue mi papá.
ai papu	<font color="green"><i>pron.indef.</i></font> Que haga algo.
