a'ạjtaba'	Mata caballo.
aca'	Casa, edificio.
acaij	Hacer casa.
aca'ĉhe'	Encima de la casa.
aca've	De tras de la casa.
aca'veij	Quiere tener casa.
aca'ya'	En la casa.
a'cava'	Macono.
a'chii'	Feo.
a'chiij	Sucio.
a'chity	Feo, que no sirve.
achi'yity-s	Malo, mala.
achic	Sabor feo.
achicdyi'	Gusto, sabor feo.
achijchiij-chii'	Mal olor.
achi'joij	Arruinado, embromado.
a'chi'yetac	Embromar, dejar de funcionar.
achi'tye'	Fregar, arruinar.
achi'taqui	Ensuciando.
achi'ti	Ensuciar.
achuj	Perro.
achuij	Cazar con perro.
adyena	Por lo menos.
adye'bo'oj	Ni a un así.
adye' ĉhịj um	Ya vez ni sabes.
adye'ĉaĉaij ọ	Para que vea.
ạdye'	Brasa.
ạdyei'	Abrasar.
ạdyeij	Quemarse con brasa.
ạfeji'	Gusano negro que nace en la carne seca.
aijyi	Grito de dolor.
aijdyi	Gritando de dolor.
ại'yi	Ladrido de perro.
ại'shaty	Jajudo.
aja'	Gripe, fiebre, resfrío, moco.
ajadyes	Remedio para la gripe o resfrío.
ajaij	Enfermarse de gripe.
ạjcavitu'	Ciempiés venenoso.
ajshacaj	Comadreja.
ajyeban	Salir del lugar.
amere	Pez pequeño sin escama.
ạnavata'	Iguana (lagartija).
ánadye'	Gaviota.
anashyi	Mirar con desprecio.
ạnjer	Ángel divino.
an'dyem' mu'ya'	Mientras está él.
an'dyem' mạij taca'	Mientras esta de día.
ạni'ij-nii'	Deseable.
ạni' chuc	Afortunadamente, por suerte.
anic	Verdad.
anicdye	De verdad.
anicdye me'	Así es.
anicdyena me'	Así fue, así resultó.
anicdye me' jiyi'	Así paso.
anicyi	Creer en algo.
anicyedye'	Creencia.
anicjete	Lo creyó.
anicja'yete	Hacerlo creer.
anictyity- sis	Verdadero.
anictyity muntyi'	Hombre verdadero.
anic där a'ni'ityi'	Cosas de buena apariencia, deseable.
anij	Despacio, con cuidado.
anijje'	Hacerlo con cuidado.
anijyi	Caminar despacio.
anijjeyaqui	Hacer lo con cuidado una cosa de uno mismo.
ạn	Cachete.
ạnve	En el cachete.
anve'jeyaqui	Colocar algo en la boca al lado del cachete.
añej	Lluvia.
añei'	Lloviendo.
añedye'	Tiempo de lluvia.
añeyeva' joi'	Lloviendo.
añetyi, -tyi'	Le cogió la lluvia.
añetyi tsun	Nos cogió la lluvia.
ap	Valusa de color rojo.
ạpej	Peto, avispa negra.
ara'	Muchos, varios.
arara'	Picapica.
araj, arajdye, arajmun	Casi.
arajtye', arajje'	Casi logró realizar una actividad o cosa.
araj ventyeque'	Casi llegó a un lugar.
arajtyecte	Casi alcanzó algún objeto, animal o persona.
